,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,whu2011314
1526446855534,-32,-43,-43,-60,-63,-59,-49,-55,-57,-65,-58,-62,-68,-79,-75,-66,-61,-60,-67,-67,-66,-86,-82,-63,-200,-78,-76,-72,-70,-74,-80,-74,-69,-200,-83,-80,-81,-84,-200,-69,-63,-68,-88,-84,-85,-75,-200,-200,-200,-89,-200,-84,-76,-200,-200,-80,-200,-200,-69,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526446858585,-32,-45,-62,-60,-64,-63,-51,-55,-57,-65,-61,-62,-68,-79,-200,-66,-61,-61,-72,-200,-200,-200,-74,-63,-200,-77,-76,-67,-70,-80,-80,-76,-67,-200,-81,-80,-200,-200,-200,-65,-63,-200,-82,-200,-84,-75,-200,-200,-200,-200,-200,-84,-76,-200,-200,-80,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526446861629,-32,-44,-43,-60,-61,-63,-49,-55,-57,-66,-57,-63,-69,-200,-76,-69,-61,-60,-72,-200,-200,-200,-74,-66,-200,-77,-76,-70,-200,-80,-200,-75,-67,-200,-82,-200,-200,-200,-200,-62,-59,-200,-82,-200,-84,-74,-87,-200,-200,-90,-200,-200,-200,-200,-90,-200,-88,-200,-73,-200,-200,-89,-89,-200,-200,-200,-200,-200,-200
1526446864637,-32,-44,-49,-60,-65,-79,-50,-55,-61,-69,-57,-78,-73,-200,-82,-80,-200,-64,-73,-200,-200,-87,-73,-68,-200,-80,-76,-75,-77,-80,-200,-75,-73,-200,-82,-200,-200,-92,-200,-68,-59,-71,-200,-200,-200,-74,-87,-200,-200,-90,-78,-91,-78,-200,-92,-76,-88,-200,-73,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526446867705,-32,-44,-50,-60,-63,-62,-50,-54,-58,-62,-57,-65,-73,-200,-82,-64,-62,-64,-73,-78,-200,-72,-79,-64,-200,-78,-76,-73,-69,-79,-200,-76,-73,-200,-65,-200,-83,-92,-200,-61,-65,-71,-81,-200,-200,-74,-87,-200,-200,-90,-78,-91,-78,-200,-92,-74,-88,-200,-73,-76,-200,-200,-89,-86,-90,-200,-200,-200,-200
1526446870761,-32,-42,-44,-60,-63,-63,-49,-56,-61,-62,-60,-60,-69,-78,-200,-66,-59,-64,-200,-69,-200,-72,-83,-65,-200,-78,-200,-72,-76,-79,-200,-76,-200,-200,-81,-73,-83,-200,-200,-61,-62,-200,-81,-200,-200,-75,-200,-200,-200,-200,-200,-200,-78,-200,-200,-74,-200,-200,-200,-76,-200,-200,-200,-86,-90,-200,-200,-200,-200
1526446873796,-32,-44,-48,-60,-67,-60,-49,-54,-59,-62,-60,-63,-69,-78,-200,-67,-61,-64,-70,-69,-200,-79,-74,-66,-200,-79,-77,-72,-74,-80,-200,-76,-200,-200,-82,-80,-82,-200,-200,-62,-62,-200,-82,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526446876850,-31,-44,-48,-60,-63,-58,-49,-55,-56,-62,-60,-64,-69,-200,-200,-62,-63,-64,-70,-200,-200,-79,-72,-66,-85,-78,-77,-73,-70,-80,-79,-76,-200,-200,-81,-73,-82,-83,-200,-67,-63,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-91,-81,-200,-89,-75,-200,-200,-200,-79,-200,-200,-85,-200,-200,-200
1526446879913,-32,-44,-44,-60,-61,-62,-50,-56,-55,-69,-60,-63,-68,-200,-200,-68,-62,-64,-200,-200,-200,-78,-72,-200,-85,-78,-200,-70,-70,-76,-79,-75,-68,-200,-83,-73,-200,-85,-88,-68,-84,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-85,-77,-200,-91,-72,-89,-89,-200,-200,-200,-200,-200,-84,-200,-85,-200,-200,-200
1526446882917,-32,-43,-46,-60,-63,-62,-50,-54,-58,-69,-64,-63,-69,-73,-200,-68,-65,-64,-200,-200,-68,-71,-71,-200,-85,-78,-200,-72,-71,-80,-79,-75,-68,-200,-81,-72,-200,-85,-88,-68,-62,-65,-200,-200,-200,-200,-200,-200,-200,-88,-200,-83,-83,-200,-91,-72,-90,-89,-200,-200,-200,-200,-200,-84,-200,-85,-86,-200,-200
1526446885986,-32,-43,-46,-59,-67,-62,-51,-82,-57,-200,-57,-200,-68,-73,-76,-68,-68,-63,-200,-72,-70,-72,-72,-66,-200,-79,-200,-78,-75,-80,-80,-75,-63,-200,-83,-72,-200,-84,-200,-72,-62,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-83,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-89,-200
1526446889046,-34,-42,-44,-60,-61,-59,-51,-57,-71,-62,-56,-65,-63,-200,-70,-65,-62,-62,-200,-70,-70,-61,-74,-64,-200,-76,-200,-69,-73,-75,-80,-75,-63,-200,-82,-65,-200,-84,-200,-67,-59,-70,-200,-200,-90,-200,-200,-200,-200,-200,-200,-84,-83,-200,-90,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-89,-90
