,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447183016,-44,-45,-58,-59,-58,-47,-46,-64,-57,-70,-59,-84,-71,-79,-200,-200,-200,-76,-68,-72,-77,-75,-65,-84,-68,-77,-76,-71,-200,-81,-200,-78,-83,-200,-86,-200,-80,-200,-200,-200,-74,-81,-85,-86,-200,-79,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-79,-200
1526447185714,-44,-44,-62,-59,-59,-52,-46,-74,-56,-70,-58,-70,-65,-77,-200,-200,-200,-72,-71,-70,-77,-74,-65,-84,-73,-74,-74,-74,-200,-79,-200,-78,-83,-200,-86,-200,-79,-200,-200,-200,-74,-72,-85,-86,-200,-79,-200,-200,-200,-89,-200,-200,-200,-85,-200,-200,-88,-91,-200,-79,-200
1526447186054,-44,-44,-62,-59,-59,-52,-46,-74,-56,-70,-58,-70,-65,-77,-200,-200,-200,-72,-71,-70,-77,-74,-65,-84,-73,-74,-74,-74,-200,-79,-200,-78,-83,-200,-86,-200,-79,-200,-200,-200,-74,-72,-85,-86,-200,-79,-200,-200,-200,-89,-200,-200,-200,-85,-200,-200,-88,-91,-200,-79,-200
1526447188717,-45,-48,-61,-60,-58,-47,-78,-67,-56,-73,-58,-67,-65,-77,-200,-200,-200,-72,-69,-70,-77,-75,-78,-82,-76,-77,-74,-73,-83,-79,-200,-81,-83,-88,-86,-200,-79,-200,-200,-200,-66,-72,-200,-86,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-88,-91,-200,-200,-200
1526447189102,-45,-48,-61,-60,-58,-47,-78,-67,-56,-73,-58,-67,-65,-77,-200,-200,-200,-72,-69,-70,-77,-75,-78,-82,-76,-77,-74,-73,-83,-79,-200,-81,-83,-88,-86,-200,-79,-200,-200,-200,-66,-72,-200,-86,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-88,-91,-200,-200,-200
1526447191729,-45,-48,-62,-59,-58,-46,-50,-68,-82,-71,-62,-70,-69,-78,-200,-200,-74,-72,-71,-70,-80,-76,-78,-84,-76,-77,-200,-73,-83,-79,-200,-81,-200,-88,-86,-200,-200,-200,-200,-200,-75,-79,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-83,-86,-90,-200,-200,-200
1526447192143,-45,-48,-62,-59,-58,-46,-50,-68,-82,-71,-62,-70,-69,-78,-200,-200,-74,-72,-71,-70,-80,-76,-78,-84,-76,-77,-200,-73,-83,-79,-200,-81,-200,-88,-86,-200,-200,-200,-200,-200,-75,-79,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-83,-86,-90,-200,-200,-200
1526447194773,-45,-46,-61,-60,-57,-51,-47,-67,-58,-70,-63,-83,-69,-75,-200,-200,-82,-75,-68,-70,-84,-75,-200,-77,-71,-77,-79,-72,-82,-79,-82,-77,-200,-200,-86,-200,-200,-200,-200,-85,-66,-79,-92,-200,-200,-200,-81,-86,-200,-200,-200,-200,-200,-200,-82,-90,-88,-90,-200,-200,-200
1526447195154,-45,-46,-61,-60,-57,-51,-47,-67,-58,-70,-63,-83,-69,-75,-200,-200,-82,-75,-68,-70,-84,-75,-200,-77,-71,-77,-79,-72,-82,-79,-82,-77,-200,-200,-86,-200,-200,-200,-200,-85,-66,-79,-92,-200,-200,-200,-81,-86,-200,-200,-200,-200,-200,-200,-82,-90,-88,-90,-200,-200,-200
1526447197813,-45,-48,-61,-60,-56,-51,-46,-61,-58,-70,-58,-67,-68,-77,-200,-200,-82,-70,-70,-72,-84,-75,-200,-83,-78,-76,-79,-72,-82,-200,-82,-81,-200,-200,-86,-200,-82,-200,-200,-85,-66,-200,-92,-87,-200,-200,-200,-86,-200,-85,-200,-200,-200,-200,-82,-90,-88,-90,-200,-200,-200
1526447198194,-45,-48,-61,-60,-56,-51,-46,-61,-58,-70,-58,-67,-68,-77,-200,-200,-82,-70,-70,-72,-84,-75,-200,-83,-78,-76,-79,-72,-82,-200,-82,-81,-200,-200,-86,-200,-82,-200,-200,-85,-66,-200,-92,-87,-200,-200,-200,-86,-200,-85,-200,-200,-200,-200,-82,-90,-88,-90,-200,-200,-200
1526447200857,-45,-45,-62,-59,-57,-46,-46,-66,-56,-69,-58,-68,-67,-77,-200,-200,-82,-70,-70,-72,-200,-75,-200,-75,-79,-76,-200,-73,-81,-200,-200,-78,-85,-200,-84,-200,-82,-200,-200,-87,-200,-200,-200,-87,-200,-76,-79,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-90,-92,-200,-200
1526447201245,-45,-45,-62,-59,-57,-46,-46,-66,-56,-69,-58,-68,-67,-77,-200,-200,-82,-70,-70,-72,-200,-75,-200,-75,-79,-76,-200,-73,-81,-200,-200,-78,-85,-200,-84,-200,-82,-200,-200,-87,-200,-200,-200,-87,-200,-76,-79,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-90,-92,-200,-200
