,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526455001682,-91,-200,-200,-200,-200,-200,-200,-76,-72,-200,-81,-200,-200,-200,-200,-200,-86,-200,-76,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455002769,-200,-200,-200,-66,-88,-200,-91,-75,-74,-88,-85,-200,-200,-200,-95,-200,-200,-73,-200,-61,-90,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526455003916,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-85,-200,-82,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455004947,-84,-91,-75,-66,-89,-200,-200,-73,-200,-200,-86,-200,-200,-77,-200,-88,-200,-200,-200,-62,-200,-74,-200,-200,-200,-91,-200,-200,-200,-200
1526455005053,-200,-200,-200,-200,-200,-86,-200,-76,-72,-200,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526455005161,-200,-200,-200,-66,-200,-200,-91,-77,-200,-87,-200,-200,-85,-200,-200,-87,-200,-200,-200,-200,-84,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526455006216,-200,-95,-76,-200,-200,-94,-200,-76,-200,-200,-84,-93,-77,-88,-88,-87,-200,-200,-200,-200,-200,-79,-200,-200,-200,-86,-200,-200,-200,-200
1526455009493,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-74,-75,-64,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526455010556,-87,-200,-200,-68,-200,-78,-200,-200,-79,-200,-82,-200,-200,-86,-84,-78,-200,-62,-200,-72,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526455011731,-86,-100,-83,-200,-200,-200,-200,-200,-80,-200,-200,-94,-200,-200,-85,-200,-200,-66,-73,-200,-200,-78,-200,-87,-92,-200,-200,-200,-200,-200
1526455013847,-200,-200,-200,-200,-200,-75,-200,-74,-72,-200,-83,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526455015002,-200,-200,-200,-68,-200,-200,-200,-200,-80,-200,-89,-200,-82,-200,-200,-200,-200,-74,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-96
1526455015103,-200,-200,-200,-200,-95,-200,-87,-200,-78,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455016170,-200,-200,-81,-66,-200,-200,-200,-77,-73,-200,-83,-200,-200,-200,-86,-200,-200,-68,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455017275,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-84,-200,-64,-81,-200,-200,-83,-200,-88,-200,-200,-200,-200,-200,-200
1526455018347,-200,-200,-75,-66,-93,-200,-88,-200,-78,-200,-200,-94,-200,-80,-200,-200,-200,-200,-78,-200,-200,-75,-200,-200,-200,-82,-200,-200,-200,-200
1526455019472,-200,-200,-200,-67,-91,-200,-94,-200,-200,-200,-200,-91,-200,-78,-200,-200,-91,-200,-79,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526455020564,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-75,-64,-89,-81,-200,-88,-91,-200,-200,-200,-200,-95
1526455021652,-200,-200,-79,-200,-200,-200,-200,-75,-200,-200,-79,-200,-85,-200,-83,-200,-200,-68,-200,-65,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526455022808,-200,-200,-200,-68,-200,-200,-200,-74,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200
1526455023858,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-93,-88,-200,-200,-200,-200,-200,-200,-63,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526455025046,-200,-200,-200,-200,-200,-82,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
