,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A20,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526463903399,-33,-59,-38,-56,-53,-44,-46,-56,-60,-59,-62,-63,-60,-53,-65,-57,-67,-59,-61,-75,-62,-83,-69,-77,-58,-64,-92,-79,-69,-76,-68,-70,-200,-73,-84,-93,-80,-85,-82,-81,-86,-79,-73,-84,-83,-200,-82,-87,-85,-90,-83,-86,-90,-200,-90,-95,-92,-89,-95,-89,-84,-200,-95,-85,-83,-93,-200,-82,-93,-82,-91,-90,-200,-200,-79,-79,-86,-87,-87,-95,-80,-90,-93,-94,-71,-91,-89,-80,-80,-81,-200,-94,-200,-91,-200,-200,-200,-93,-78,-91,-200,-200,-96,-83,-96,-200,-200,-200,-200,-200,-200
1526463906460,-33,-58,-38,-57,-49,-44,-46,-54,-55,-62,-64,-63,-63,-58,-64,-56,-61,-60,-62,-75,-66,-76,-74,-77,-55,-64,-84,-82,-70,-73,-69,-79,-82,-73,-76,-89,-82,-85,-78,-88,-84,-78,-74,-84,-85,-87,-82,-83,-82,-90,-87,-85,-90,-87,-90,-95,-88,-89,-95,-94,-87,-93,-200,-85,-83,-91,-200,-82,-94,-200,-91,-89,-200,-200,-79,-76,-80,-85,-87,-95,-80,-90,-94,-200,-71,-200,-89,-74,-81,-82,-200,-94,-200,-91,-200,-200,-97,-200,-78,-91,-200,-200,-96,-83,-96,-200,-200,-200,-200,-200,-200
1526463909522,-34,-61,-38,-56,-54,-45,-46,-56,-57,-64,-61,-64,-62,-52,-64,-57,-67,-60,-67,-77,-64,-75,-67,-77,-56,-64,-83,-76,-71,-79,-66,-76,-82,-73,-77,-92,-81,-89,-81,-77,-85,-80,-75,-77,-85,-89,-75,-82,-83,-94,-88,-85,-90,-87,-200,-87,-85,-88,-95,-89,-84,-93,-200,-85,-84,-92,-200,-82,-95,-83,-93,-93,-200,-82,-79,-80,-79,-84,-87,-94,-80,-91,-94,-94,-200,-90,-87,-73,-81,-81,-88,-93,-200,-91,-88,-200,-97,-200,-61,-90,-200,-200,-97,-83,-96,-92,-200,-200,-200,-200,-200
1526463912579,-32,-56,-37,-56,-48,-43,-47,-59,-57,-56,-61,-62,-61,-53,-64,-57,-73,-57,-61,-74,-61,-83,-70,-200,-58,-63,-91,-79,-70,-78,-68,-73,-82,-73,-76,-94,-79,-84,-81,-79,-86,-80,-73,-81,-88,-89,-75,-83,-82,-91,-83,-85,-90,-88,-200,-90,-90,-88,-96,-89,-84,-94,-200,-80,-83,-92,-200,-81,-95,-83,-93,-91,-200,-83,-200,-78,-83,-87,-200,-94,-81,-91,-94,-94,-200,-91,-87,-74,-90,-83,-88,-93,-200,-91,-88,-200,-97,-200,-61,-90,-94,-200,-97,-200,-200,-92,-200,-200,-200,-200,-200
1526463915632,-33,-65,-37,-58,-46,-45,-47,-53,-55,-63,-65,-63,-62,-55,-64,-58,-67,-58,-63,-77,-61,-77,-74,-200,-56,-65,-82,-82,-70,-77,-68,-75,-87,-72,-80,-94,-81,-82,-77,-77,-84,-78,-77,-81,-84,-89,-80,-87,-81,-91,-85,-85,-90,-88,-200,-90,-88,-92,-91,-89,-84,-94,-200,-80,-83,-92,-200,-82,-95,-84,-91,-91,-200,-83,-200,-77,-79,-86,-200,-94,-80,-91,-94,-93,-200,-91,-89,-74,-90,-82,-88,-93,-200,-200,-88,-200,-200,-200,-61,-93,-94,-200,-97,-84,-200,-92,-200,-200,-200,-200,-200
1526463918699,-33,-52,-38,-55,-50,-44,-45,-55,-55,-58,-60,-60,-61,-53,-65,-56,-66,-55,-62,-67,-61,-83,-74,-72,-60,-65,-80,-82,-68,-78,-66,-78,-87,-73,-77,-94,-77,-78,-76,-81,-89,-80,-75,-79,-83,-92,-80,-87,-81,-92,-87,-84,-89,-88,-200,-90,-88,-92,-91,-200,-84,-94,-200,-80,-87,-93,-200,-82,-95,-84,-91,-91,-200,-83,-200,-77,-75,-86,-87,-94,-81,-200,-95,-93,-200,-94,-89,-74,-92,-82,-92,-96,-200,-96,-94,-200,-200,-200,-200,-94,-94,-200,-200,-81,-200,-200,-88,-94,-95,-200,-200
1526463921765,-39,-56,-38,-56,-46,-43,-47,-58,-57,-63,-64,-56,-59,-57,-63,-57,-66,-62,-59,-78,-61,-84,-74,-72,-57,-66,-80,-82,-68,-71,-70,-78,-87,-80,-77,-95,-74,-78,-73,-83,-89,-79,-75,-77,-83,-92,-81,-87,-87,-92,-87,-87,-89,-88,-200,-89,-88,-92,-93,-200,-86,-200,-96,-200,-82,-93,-200,-84,-95,-84,-91,-86,-96,-85,-88,-82,-75,-84,-87,-93,-81,-200,-95,-93,-200,-94,-88,-74,-92,-82,-85,-96,-200,-90,-93,-200,-92,-200,-200,-93,-200,-200,-200,-83,-96,-88,-88,-94,-95,-200,-200
1526463924824,-34,-50,-44,-57,-55,-43,-48,-57,-57,-46,-60,-53,-58,-61,-61,-49,-66,-56,-71,-74,-62,-77,-71,-72,-55,-66,-80,-79,-70,-69,-70,-78,-200,-74,-73,-94,-70,-81,-75,-79,-81,-87,-75,-79,-85,-92,-80,-200,-80,-92,-87,-88,-87,-85,-200,-89,-90,-90,-91,-200,-87,-200,-96,-200,-82,-93,-200,-84,-92,-200,-93,-86,-97,-87,-85,-78,-75,-86,-84,-94,-81,-82,-95,-200,-200,-94,-90,-78,-92,-200,-85,-93,-200,-90,-93,-92,-92,-200,-200,-93,-200,-200,-200,-83,-96,-88,-88,-94,-93,-92,-200
1526463927875,-32,-53,-40,-56,-51,-44,-46,-58,-62,-58,-57,-52,-58,-54,-64,-56,-67,-59,-70,-70,-58,-76,-74,-200,-54,-68,-200,-79,-67,-73,-66,-73,-200,-72,-76,-89,-74,-83,-75,-79,-81,-87,-75,-81,-89,-200,-83,-200,-85,-200,-84,-88,-88,-87,-200,-89,-95,-90,-91,-200,-89,-200,-96,-200,-82,-94,-200,-84,-92,-200,-93,-92,-97,-87,-85,-79,-81,-84,-84,-94,-65,-82,-200,-200,-200,-91,-90,-76,-200,-80,-85,-93,-200,-88,-93,-92,-92,-200,-200,-93,-200,-200,-200,-83,-96,-88,-200,-200,-95,-92,-200
1526463930926,-34,-48,-37,-52,-49,-44,-49,-55,-56,-45,-59,-55,-58,-55,-64,-56,-66,-59,-71,-55,-61,-74,-74,-200,-55,-64,-82,-79,-67,-73,-69,-78,-200,-72,-77,-91,-79,-84,-78,-79,-85,-87,-75,-81,-89,-89,-81,-200,-85,-200,-85,-88,-88,-87,-200,-200,-83,-90,-91,-92,-87,-200,-200,-68,-79,-94,-200,-200,-92,-200,-93,-92,-97,-87,-85,-76,-83,-86,-84,-93,-81,-82,-96,-200,-200,-91,-90,-75,-95,-80,-200,-93,-200,-88,-200,-94,-200,-200,-82,-200,-200,-200,-200,-200,-96,-200,-200,-200,-95,-92,-200
1526463933981,-35,-60,-40,-54,-50,-44,-48,-55,-60,-58,-68,-58,-56,-53,-66,-57,-68,-60,-69,-72,-57,-82,-70,-200,-56,-68,-91,-200,-67,-71,-73,-76,-200,-72,-77,-92,-79,-82,-72,-83,-85,-84,-75,-83,-89,-89,-81,-200,-85,-91,-87,-200,-88,-87,-85,-200,-83,-200,-95,-92,-87,-92,-200,-68,-79,-94,-200,-84,-200,-91,-200,-92,-200,-200,-81,-79,-85,-86,-86,-99,-78,-82,-96,-200,-200,-91,-200,-75,-95,-80,-85,-200,-200,-88,-200,-94,-200,-200,-60,-90,-200,-200,-200,-200,-96,-200,-200,-200,-95,-200,-92
1526463937044,-34,-51,-37,-53,-56,-44,-46,-51,-54,-58,-59,-63,-59,-57,-64,-58,-69,-55,-64,-78,-63,-71,-67,-200,-51,-64,-85,-83,-73,-68,-71,-83,-200,-200,-75,-92,-80,-84,-73,-78,-88,-80,-74,-83,-200,-90,-82,-87,-80,-91,-87,-200,-88,-83,-85,-200,-83,-90,-97,-92,-86,-92,-200,-87,-81,-94,-200,-84,-96,-91,-90,-89,-200,-200,-81,-75,-77,-86,-86,-99,-61,-82,-96,-200,-200,-96,-200,-76,-95,-200,-83,-200,-200,-200,-200,-94,-200,-97,-60,-90,-200,-200,-200,-200,-96,-94,-200,-200,-93,-200,-92
