,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018
1526452254781,-45,-34,-37,-53,-62,-60,-54,-55,-52,-61,-52,-49,-75,-62,-55,-200,-66,-73,-61,-70,-73,-75,-200,-77,-200,-78,-74,-200,-78,-200,-84,-200,-92,-200,-81,-89,-200,-87,-200,-87,-77,-65,-75,-92,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526452257803,-45,-34,-37,-53,-62,-55,-54,-55,-52,-61,-52,-49,-75,-62,-55,-200,-66,-73,-61,-70,-73,-75,-200,-77,-200,-78,-74,-200,-78,-200,-84,-200,-92,-200,-81,-89,-200,-87,-200,-87,-77,-65,-75,-92,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526452260829,-45,-32,-37,-57,-52,-53,-54,-52,-58,-61,-52,-49,-78,-65,-55,-200,-65,-73,-57,-65,-73,-77,-200,-65,-200,-75,-74,-200,-84,-200,-83,-200,-92,-200,-83,-200,-200,-85,-200,-87,-81,-60,-75,-92,-75,-82,-84,-90,-200,-200,-200,-200,-200
1526452263852,-45,-32,-37,-57,-52,-54,-54,-52,-58,-61,-52,-49,-78,-65,-55,-200,-65,-73,-57,-65,-73,-77,-200,-65,-200,-75,-74,-200,-84,-200,-83,-200,-92,-200,-83,-200,-200,-85,-200,-87,-81,-60,-75,-92,-75,-82,-84,-90,-200,-200,-200,-200,-200
1526452266879,-39,-32,-42,-59,-48,-55,-51,-52,-57,-61,-61,-51,-78,-65,-55,-200,-65,-73,-59,-64,-73,-79,-200,-58,-200,-75,-74,-200,-80,-200,-77,-200,-92,-200,-83,-200,-200,-86,-200,-84,-81,-75,-200,-92,-75,-82,-84,-90,-79,-200,-200,-200,-200
1526452269905,-39,-32,-42,-59,-48,-51,-51,-52,-57,-61,-61,-51,-78,-65,-55,-200,-65,-73,-59,-64,-73,-79,-200,-58,-200,-75,-74,-200,-80,-200,-77,-200,-92,-200,-83,-200,-200,-86,-200,-84,-81,-75,-200,-92,-75,-82,-84,-90,-79,-200,-200,-200,-200
1526452272924,-40,-42,-41,-55,-48,-51,-52,-51,-53,-61,-61,-50,-78,-69,-60,-200,-64,-200,-72,-64,-200,-79,-200,-60,-200,-79,-75,-200,-80,-200,-88,-200,-92,-200,-87,-200,-200,-86,-200,-87,-81,-71,-200,-92,-75,-82,-84,-90,-75,-81,-200,-200,-200
1526452275934,-40,-42,-41,-55,-48,-52,-52,-51,-53,-61,-61,-50,-78,-69,-60,-200,-64,-200,-72,-64,-200,-79,-200,-60,-200,-79,-75,-200,-80,-200,-88,-200,-92,-200,-87,-200,-200,-86,-200,-87,-81,-71,-200,-92,-75,-82,-84,-90,-75,-81,-200,-200,-200
1526452278949,-37,-36,-41,-55,-48,-53,-49,-51,-53,-60,-61,-46,-78,-70,-62,-200,-64,-200,-72,-64,-200,-77,-200,-60,-200,-75,-68,-200,-80,-200,-82,-200,-200,-200,-87,-200,-200,-88,-200,-85,-81,-71,-200,-200,-82,-82,-84,-90,-75,-81,-70,-200,-200
1526452281964,-37,-36,-41,-55,-48,-51,-49,-51,-53,-60,-61,-46,-78,-70,-62,-200,-64,-200,-72,-64,-200,-77,-200,-60,-200,-75,-68,-200,-80,-200,-82,-200,-200,-200,-87,-200,-200,-88,-200,-85,-81,-71,-200,-200,-82,-82,-84,-90,-75,-81,-70,-200,-200
1526452284988,-35,-39,-41,-52,-51,-52,-49,-48,-52,-63,-61,-47,-78,-67,-66,-200,-64,-200,-70,-64,-68,-77,-200,-60,-200,-78,-75,-200,-80,-200,-85,-200,-200,-200,-85,-200,-200,-86,-200,-88,-81,-71,-200,-200,-82,-82,-84,-90,-75,-81,-70,-83,-89
1526452288009,-35,-39,-41,-52,-51,-56,-49,-48,-52,-63,-61,-47,-78,-67,-66,-200,-64,-200,-70,-64,-68,-77,-200,-60,-200,-78,-75,-200,-80,-200,-85,-200,-200,-200,-85,-200,-200,-86,-200,-88,-81,-71,-200,-200,-82,-82,-84,-90,-75,-81,-70,-83,-89
