,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,DLINK_D00EB8,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A58,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68
1526465763856,-37,-48,-52,-65,-74,-76,-61,-62,-52,-53,-72,-76,-81,-65,-69,-71,-69,-74,-86,-200,-81,-200,-79,-68,-76,-65,-84,-200,-200,-84,-91,-200,-200,-200,-85,-88,-87,-72,-77,-81,-200,-200,-200,-200,-88,-200,-82,-200,-200,-83,-200,-200,-68,-200,-200,-200,-200,-200,-86,-200,-88,-200,-81,-200,-200,-200,-86,-86,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526465766912,-34,-46,-60,-67,-64,-56,-57,-68,-55,-55,-72,-79,-81,-65,-69,-70,-69,-76,-86,-79,-70,-64,-82,-68,-76,-79,-83,-70,-200,-84,-91,-200,-200,-200,-85,-88,-87,-73,-78,-81,-200,-200,-200,-200,-82,-79,-84,-200,-200,-83,-200,-200,-68,-84,-200,-200,-200,-200,-84,-200,-89,-89,-87,-200,-200,-200,-86,-86,-87,-86,-86,-89,-200,-200,-200,-200,-200,-200
1526465769968,-33,-44,-60,-66,-59,-57,-62,-65,-52,-55,-72,-79,-83,-69,-200,-71,-77,-76,-200,-79,-71,-64,-82,-200,-73,-76,-83,-70,-83,-84,-200,-200,-200,-200,-200,-86,-200,-73,-79,-82,-88,-200,-200,-200,-80,-79,-84,-200,-200,-200,-200,-200,-200,-84,-90,-200,-200,-200,-84,-200,-88,-89,-87,-200,-200,-200,-200,-200,-200,-200,-86,-89,-87,-88,-89,-90,-200,-200
1526465773014,-33,-45,-65,-68,-59,-56,-62,-65,-51,-55,-69,-200,-84,-80,-200,-70,-73,-79,-84,-200,-81,-65,-200,-70,-73,-68,-81,-70,-83,-84,-200,-200,-200,-76,-200,-86,-200,-200,-79,-82,-88,-200,-200,-200,-80,-200,-200,-200,-200,-87,-200,-200,-77,-200,-90,-200,-200,-200,-77,-200,-88,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-87,-88,-89,-90,-85,-200
1526465776081,-34,-45,-200,-65,-58,-56,-64,-62,-53,-57,-200,-74,-85,-69,-68,-69,-74,-200,-84,-78,-81,-65,-83,-75,-73,-78,-80,-71,-200,-200,-86,-82,-200,-200,-200,-200,-200,-200,-79,-84,-91,-200,-200,-200,-81,-200,-80,-84,-200,-87,-200,-200,-77,-79,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-88
1526465779142,-37,-46,-62,-65,-59,-65,-61,-62,-54,-56,-72,-74,-85,-68,-68,-67,-74,-200,-83,-78,-67,-66,-83,-69,-73,-63,-80,-72,-200,-84,-86,-82,-200,-200,-200,-200,-200,-73,-89,-81,-91,-82,-89,-200,-81,-200,-83,-85,-200,-87,-200,-200,-77,-79,-200,-200,-200,-200,-74,-200,-87,-90,-200,-200,-89,-200,-89,-90,-200,-86,-200,-200,-200,-200,-200,-200,-200,-88
1526465782150,-42,-41,-62,-64,-59,-56,-56,-67,-54,-58,-72,-80,-84,-66,-75,-68,-79,-200,-87,-78,-80,-65,-80,-65,-73,-75,-72,-72,-200,-84,-86,-82,-200,-200,-200,-200,-200,-73,-77,-81,-91,-82,-89,-200,-81,-200,-83,-86,-200,-87,-200,-200,-77,-84,-200,-200,-200,-200,-74,-200,-87,-90,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88
1526465785200,-37,-43,-65,-56,-62,-57,-56,-68,-65,-55,-69,-80,-84,-66,-75,-74,-81,-200,-87,-200,-80,-65,-80,-67,-76,-77,-72,-72,-200,-200,-200,-200,-200,-200,-88,-89,-200,-73,-77,-200,-200,-77,-200,-200,-80,-200,-200,-86,-200,-200,-200,-200,-200,-84,-91,-200,-200,-200,-74,-82,-87,-92,-79,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465788206,-35,-45,-54,-70,-57,-64,-60,-68,-55,-54,-71,-79,-87,-200,-200,-74,-81,-200,-88,-73,-79,-68,-77,-67,-76,-77,-80,-84,-200,-200,-86,-200,-200,-200,-88,-89,-200,-71,-200,-200,-83,-77,-200,-200,-80,-85,-82,-86,-200,-88,-200,-200,-72,-200,-91,-88,-200,-200,-74,-82,-87,-92,-79,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465791241,-36,-40,-56,-60,-57,-62,-60,-63,-52,-55,-70,-79,-87,-200,-70,-71,-79,-80,-88,-73,-79,-71,-77,-70,-75,-60,-80,-83,-200,-80,-86,-200,-200,-83,-85,-89,-200,-71,-200,-200,-83,-200,-200,-200,-200,-85,-83,-86,-200,-88,-200,-200,-72,-200,-200,-88,-200,-200,-73,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
