,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526450518035,-38,-32,-39,-48,-53,-48,-66,-52,-74,-52,-81,-65,-56,-57,-64,-68,-69,-68,-63,-71,-69,-68,-60,-77,-62,-72,-87,-75,-71,-200,-82,-200,-65,-78,-73,-73,-200,-200,-75,-79,-83,-73,-200,-60,-200,-200,-88,-83,-71,-200,-200,-200,-200,-81,-77,-83,-74,-200,-88,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-85,-89,-80,-88,-89,-200,-200,-200,-200,-200,-200
1526450521044,-38,-33,-37,-49,-49,-49,-66,-53,-74,-53,-80,-65,-56,-58,-62,-67,-69,-65,-66,-67,-69,-71,-62,-77,-69,-71,-87,-68,-73,-200,-82,-200,-65,-200,-73,-73,-200,-200,-200,-200,-83,-69,-200,-59,-200,-200,-88,-83,-71,-200,-200,-200,-200,-81,-81,-85,-74,-200,-88,-200,-81,-200,-200,-72,-69,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-71,-200,-89,-80,-88,-89,-200,-200,-200,-200,-200,-200
1526450524111,-32,-35,-38,-49,-49,-50,-67,-53,-76,-52,-81,-65,-71,-58,-62,-68,-74,-63,-66,-68,-69,-71,-62,-89,-62,-72,-87,-68,-73,-200,-82,-80,-65,-200,-73,-73,-200,-200,-75,-200,-82,-69,-81,-57,-85,-200,-83,-83,-71,-200,-200,-200,-200,-81,-86,-85,-74,-200,-81,-81,-83,-200,-200,-72,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-83,-200,-89,-80,-88,-89,-77,-200,-200,-200,-200,-200
1526450527168,-31,-35,-38,-48,-49,-50,-65,-54,-73,-53,-81,-61,-53,-57,-200,-68,-74,-63,-67,-68,-69,-68,-62,-89,-69,-73,-200,-200,-71,-200,-200,-80,-65,-200,-200,-200,-200,-200,-75,-200,-82,-73,-81,-57,-85,-200,-83,-200,-72,-200,-200,-200,-200,-200,-86,-200,-73,-200,-81,-81,-83,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-77,-86,-90,-200,-200,-200
1526450530218,-32,-35,-38,-47,-53,-50,-67,-54,-74,-53,-81,-62,-56,-57,-200,-68,-74,-63,-67,-68,-69,-68,-62,-89,-62,-73,-200,-200,-72,-200,-200,-80,-71,-200,-72,-200,-200,-200,-75,-200,-79,-70,-81,-61,-86,-89,-88,-84,-72,-200,-200,-77,-200,-200,-81,-200,-73,-200,-81,-81,-83,-200,-200,-200,-71,-81,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-83,-200,-200,-200,-200,-77,-86,-90,-91,-200,-200
1526450533227,-37,-35,-38,-82,-54,-50,-69,-53,-73,-53,-80,-64,-57,-57,-67,-65,-73,-68,-66,-71,-200,-68,-63,-200,-200,-71,-76,-76,-200,-200,-80,-200,-69,-200,-200,-200,-200,-200,-76,-200,-84,-72,-200,-58,-86,-88,-89,-86,-200,-91,-200,-200,-82,-200,-83,-200,-73,-200,-200,-80,-200,-200,-200,-200,-78,-200,-85,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200
1526450536275,-37,-35,-38,-82,-53,-50,-69,-53,-73,-54,-73,-62,-54,-57,-67,-65,-73,-65,-66,-74,-200,-68,-63,-200,-200,-72,-76,-67,-68,-200,-80,-200,-69,-76,-200,-72,-200,-200,-76,-200,-83,-72,-200,-59,-79,-88,-89,-86,-200,-91,-200,-200,-82,-200,-83,-200,-73,-78,-200,-80,-83,-200,-200,-200,-78,-200,-85,-83,-85,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200
1526450539345,-17,-33,-38,-80,-53,-49,-68,-53,-72,-53,-73,-64,-57,-57,-67,-67,-74,-66,-65,-69,-57,-83,-65,-200,-69,-72,-76,-68,-75,-200,-80,-200,-69,-73,-69,-70,-82,-200,-76,-200,-81,-72,-79,-61,-79,-88,-89,-86,-73,-91,-200,-88,-91,-78,-83,-81,-90,-80,-200,-80,-83,-200,-200,-200,-78,-200,-87,-83,-85,-200,-200,-200,-200,-200,-200,-79,-200,-70,-200,-200,-200,-200,-200,-200,-85,-200,-200,-91,-200
1526450542395,-37,-35,-38,-48,-53,-49,-68,-53,-73,-54,-82,-66,-53,-58,-65,-65,-70,-64,-66,-68,-69,-68,-63,-79,-87,-72,-200,-68,-75,-200,-79,-200,-200,-71,-71,-70,-82,-200,-76,-200,-83,-200,-79,-58,-200,-200,-200,-200,-73,-91,-200,-88,-81,-78,-82,-81,-90,-78,-82,-81,-200,-200,-200,-200,-71,-200,-87,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-85,-200,-200,-90,-200
1526450545465,-38,-33,-38,-49,-49,-50,-65,-53,-73,-52,-53,-62,-55,-59,-63,-64,-73,-65,-66,-73,-69,-68,-63,-79,-70,-72,-200,-68,-75,-200,-79,-200,-70,-76,-71,-76,-82,-200,-77,-200,-82,-70,-79,-61,-86,-200,-200,-84,-73,-91,-200,-88,-81,-78,-83,-81,-90,-78,-82,-81,-200,-200,-200,-200,-66,-200,-87,-200,-200,-85,-85,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-85,-200,-200,-90,-200
1526450548514,-36,-35,-37,-48,-50,-48,-65,-53,-54,-52,-54,-63,-56,-58,-67,-64,-200,-64,-65,-70,-200,-72,-66,-200,-64,-72,-76,-76,-74,-200,-200,-200,-69,-74,-200,-73,-200,-200,-200,-79,-83,-70,-200,-61,-84,-200,-200,-83,-76,-200,-200,-74,-81,-78,-200,-82,-74,-81,-82,-80,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-86
1526450551568,-32,-35,-38,-49,-52,-50,-68,-53,-72,-52,-81,-65,-56,-58,-67,-64,-200,-65,-66,-68,-66,-69,-64,-77,-62,-73,-76,-76,-74,-84,-81,-81,-69,-73,-77,-73,-200,-200,-200,-79,-82,-69,-200,-62,-84,-200,-200,-83,-72,-200,-200,-75,-81,-78,-82,-82,-74,-77,-80,-80,-82,-200,-200,-77,-200,-200,-82,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-86
