,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D02A98,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D013A8,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464204390,-26,-21,-50,-44,-35,-56,-40,-49,-34,-53,-48,-42,-59,-58,-56,-47,-54,-53,-57,-59,-54,-52,-51,-200,-73,-200,-58,-68,-67,-56,-64,-200,-54,-72,-61,-200,-48,-52,-66,-71,-200,-68,-65,-59,-59,-74,-82,-200,-61,-68,-67,-67,-71,-200,-200,-75,-200,-90,-200,-70,-71,-70,-81,-65,-200,-75,-200,-200,-74,-73,-200,-200,-84,-200,-200,-200,-200,-87,-84,-200,-200,-200,-55,-70,-75,-74,-200,-200,-200,-72,-72,-77,-77,-79,-70,-62,-88,-200,-200,-200,-200,-200,-200
1526464207452,-27,-24,-50,-44,-33,-56,-44,-50,-35,-48,-40,-44,-59,-58,-58,-49,-55,-55,-59,-57,-53,-56,-51,-200,-200,-200,-59,-69,-61,-56,-60,-200,-54,-67,-61,-200,-50,-52,-58,-71,-200,-70,-65,-63,-60,-74,-82,-200,-61,-71,-68,-67,-71,-200,-200,-75,-200,-90,-200,-70,-71,-70,-81,-65,-200,-72,-200,-200,-74,-73,-200,-200,-84,-200,-200,-200,-200,-88,-200,-200,-91,-200,-52,-70,-75,-74,-200,-57,-200,-72,-66,-69,-77,-79,-70,-62,-88,-94,-200,-200,-200,-200,-200
1526464210515,-26,-22,-49,-44,-34,-56,-42,-46,-42,-48,-34,-43,-60,-58,-59,-49,-55,-52,-61,-57,-50,-55,-48,-200,-200,-67,-58,-71,-62,-53,-62,-69,-54,-69,-61,-200,-49,-52,-59,-71,-200,-70,-67,-60,-59,-74,-82,-200,-63,-64,-66,-67,-71,-200,-200,-75,-200,-90,-78,-70,-68,-70,-79,-61,-200,-75,-200,-76,-74,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-87,-200,-53,-70,-200,-74,-200,-57,-200,-200,-66,-69,-77,-79,-70,-62,-88,-94,-200,-200,-200,-200,-200
1526464213593,-26,-22,-49,-41,-34,-56,-42,-43,-34,-49,-38,-45,-60,-58,-59,-49,-55,-48,-61,-56,-50,-56,-47,-60,-200,-67,-57,-71,-62,-54,-62,-69,-54,-63,-61,-200,-50,-52,-59,-71,-200,-70,-69,-59,-61,-200,-82,-200,-62,-64,-66,-67,-70,-200,-200,-75,-200,-90,-78,-70,-68,-70,-79,-61,-200,-75,-200,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-87,-200,-53,-70,-200,-74,-200,-57,-67,-200,-66,-69,-200,-79,-70,-62,-88,-93,-79,-200,-200,-200,-200
1526464216667,-24,-29,-49,-42,-35,-51,-42,-43,-30,-49,-37,-45,-60,-200,-59,-48,-55,-49,-57,-56,-49,-57,-47,-60,-200,-67,-57,-68,-62,-54,-61,-69,-200,-63,-61,-200,-50,-52,-64,-71,-200,-70,-69,-59,-61,-200,-80,-200,-61,-64,-66,-67,-70,-200,-76,-75,-200,-200,-78,-200,-68,-200,-80,-61,-82,-75,-200,-72,-200,-200,-200,-200,-200,-89,-200,-200,-200,-87,-200,-200,-87,-200,-56,-200,-200,-200,-200,-57,-67,-200,-66,-69,-200,-79,-200,-62,-88,-93,-79,-82,-200,-200,-200
1526464219750,-26,-25,-50,-41,-36,-51,-43,-43,-33,-45,-34,-42,-60,-200,-57,-48,-48,-49,-56,-56,-50,-54,-47,-60,-200,-67,-57,-68,-65,-57,-62,-69,-200,-63,-61,-200,-51,-52,-62,-69,-200,-70,-69,-65,-61,-200,-76,-200,-61,-64,-66,-67,-70,-200,-76,-200,-200,-200,-78,-200,-68,-73,-80,-61,-82,-77,-200,-76,-77,-200,-200,-200,-200,-89,-200,-200,-200,-87,-200,-200,-87,-200,-56,-63,-200,-200,-200,-60,-67,-200,-63,-69,-200,-200,-200,-200,-200,-91,-79,-82,-200,-200,-200
1526464222804,-27,-26,-49,-41,-35,-51,-43,-45,-33,-45,-37,-46,-60,-57,-57,-47,-48,-49,-57,-56,-50,-54,-55,-60,-200,-67,-57,-68,-65,-57,-61,-69,-200,-63,-62,-200,-50,-52,-62,-69,-200,-200,-69,-63,-61,-200,-74,-200,-62,-72,-66,-200,-70,-200,-76,-200,-200,-200,-78,-72,-68,-73,-80,-62,-82,-77,-200,-76,-77,-200,-200,-200,-200,-89,-200,-200,-200,-87,-200,-88,-87,-200,-52,-63,-200,-200,-200,-56,-67,-200,-65,-200,-200,-200,-69,-61,-200,-91,-79,-82,-200,-200,-200
1526464225882,-27,-26,-49,-42,-36,-49,-41,-45,-35,-45,-39,-46,-60,-57,-57,-48,-46,-53,-58,-56,-50,-51,-52,-60,-200,-200,-57,-68,-64,-57,-61,-200,-51,-63,-62,-200,-49,-52,-62,-69,-200,-200,-69,-60,-60,-200,-74,-200,-62,-64,-64,-200,-70,-200,-76,-200,-200,-81,-200,-72,-68,-73,-80,-62,-82,-73,-200,-76,-77,-200,-200,-200,-200,-89,-200,-68,-200,-87,-200,-88,-200,-200,-49,-63,-200,-200,-200,-56,-67,-200,-65,-200,-200,-200,-69,-61,-200,-91,-79,-82,-74,-90,-200
1526464228938,-25,-23,-47,-42,-33,-49,-43,-45,-35,-46,-38,-39,-60,-57,-57,-47,-48,-61,-57,-60,-52,-55,-49,-59,-200,-200,-59,-69,-64,-57,-61,-200,-52,-200,-60,-200,-49,-55,-62,-69,-200,-200,-74,-58,-58,-200,-80,-200,-62,-64,-64,-200,-71,-80,-76,-200,-200,-79,-200,-72,-71,-73,-81,-62,-82,-73,-200,-70,-77,-77,-200,-200,-83,-89,-200,-68,-84,-88,-200,-88,-200,-200,-49,-63,-73,-200,-200,-56,-200,-74,-65,-200,-200,-200,-65,-61,-200,-91,-79,-82,-74,-90,-72
1526464232002,-30,-31,-47,-40,-35,-49,-44,-45,-30,-46,-38,-39,-60,-57,-57,-46,-50,-61,-57,-58,-51,-61,-49,-59,-69,-200,-56,-69,-63,-57,-60,-200,-52,-200,-60,-200,-49,-55,-62,-69,-200,-63,-74,-61,-58,-200,-80,-200,-63,-64,-67,-200,-70,-80,-200,-200,-200,-79,-200,-72,-67,-73,-78,-62,-200,-73,-200,-70,-77,-77,-200,-200,-83,-200,-200,-68,-84,-86,-200,-88,-200,-200,-49,-63,-75,-200,-200,-56,-200,-68,-65,-200,-200,-200,-65,-61,-200,-91,-79,-200,-74,-90,-72
1526464235060,-27,-26,-51,-36,-35,-49,-45,-43,-30,-44,-37,-41,-60,-67,-52,-48,-50,-49,-62,-58,-50,-57,-47,-64,-69,-200,-56,-67,-62,-200,-60,-200,-52,-200,-61,-200,-49,-55,-200,-200,-200,-63,-68,-62,-61,-200,-80,-200,-63,-65,-65,-65,-72,-80,-200,-200,-200,-79,-200,-72,-67,-69,-78,-62,-200,-73,-200,-75,-200,-77,-83,-200,-83,-200,-200,-68,-84,-86,-200,-88,-200,-200,-49,-200,-75,-200,-200,-56,-200,-71,-65,-200,-78,-200,-65,-61,-200,-91,-200,-200,-74,-90,-72
1526464238131,-26,-22,-51,-36,-35,-50,-41,-41,-32,-48,-37,-43,-60,-61,-49,-48,-54,-61,-61,-57,-50,-56,-48,-64,-69,-200,-56,-65,-62,-200,-61,-200,-49,-70,-61,-200,-49,-55,-62,-200,-200,-63,-68,-60,-60,-200,-80,-200,-62,-65,-65,-62,-72,-80,-200,-200,-200,-78,-77,-200,-68,-69,-78,-200,-200,-73,-200,-75,-200,-77,-83,-200,-82,-200,-200,-68,-88,-86,-200,-200,-200,-200,-49,-200,-75,-200,-200,-56,-200,-74,-200,-200,-78,-200,-65,-200,-200,-200,-82,-200,-74,-90,-72
