,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,DLINK_D02A58,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018
1526455293357,-36,-35,-44,-35,-55,-61,-54,-59,-46,-51,-55,-57,-53,-66,-46,-56,-63,-69,-66,-64,-48,-65,-66,-69,-59,-68,-200,-68,-200,-63,-63,-75,-75,-75,-80,-73,-72,-71,-79,-78,-77,-80,-71,-67,-200,-81,-77,-82,-81,-200,-82,-83,-85,-88,-200,-83,-200,-200,-86,-200,-76,-79,-85,-82,-200,-91,-200,-82,-200,-73,-77,-88,-82,-200,-200,-200,-200
1526455296405,-34,-36,-44,-34,-52,-54,-57,-56,-45,-50,-59,-57,-50,-66,-49,-54,-63,-72,-66,-64,-48,-65,-66,-69,-58,-68,-200,-70,-76,-63,-65,-75,-74,-62,-80,-73,-74,-65,-79,-85,-77,-80,-70,-67,-200,-83,-77,-82,-81,-200,-86,-82,-85,-87,-200,-83,-200,-81,-86,-200,-76,-78,-86,-82,-200,-91,-200,-82,-200,-73,-77,-88,-82,-200,-200,-200,-200
1526455299458,-34,-36,-40,-36,-55,-54,-56,-59,-45,-50,-59,-55,-51,-65,-53,-56,-63,-70,-66,-64,-48,-60,-69,-69,-58,-68,-200,-70,-76,-61,-64,-75,-75,-62,-80,-77,-75,-66,-79,-85,-78,-80,-68,-200,-200,-83,-200,-82,-79,-200,-86,-82,-200,-88,-200,-83,-200,-81,-78,-200,-77,-78,-86,-83,-200,-91,-200,-82,-200,-73,-77,-200,-82,-58,-85,-200,-200
1526455302499,-34,-35,-37,-37,-54,-54,-54,-60,-48,-51,-56,-59,-59,-64,-48,-56,-63,-74,-66,-64,-56,-60,-69,-69,-60,-66,-200,-70,-76,-62,-64,-76,-81,-63,-75,-77,-75,-66,-79,-85,-78,-80,-72,-200,-200,-82,-200,-82,-78,-200,-86,-82,-200,-88,-200,-200,-200,-81,-78,-200,-77,-78,-86,-83,-200,-91,-200,-82,-200,-73,-77,-200,-82,-58,-85,-84,-200
1526455305541,-37,-34,-40,-36,-54,-54,-55,-57,-49,-51,-58,-59,-59,-65,-48,-63,-65,-74,-66,-64,-48,-60,-71,-69,-60,-66,-200,-71,-76,-69,-63,-74,-76,-62,-76,-77,-75,-66,-79,-74,-78,-80,-68,-200,-200,-82,-200,-87,-78,-75,-86,-82,-200,-88,-200,-200,-200,-81,-78,-200,-77,-78,-86,-83,-85,-91,-200,-82,-200,-73,-77,-200,-200,-58,-85,-84,-200
1526455308597,-38,-33,-43,-38,-52,-54,-55,-56,-46,-51,-58,-59,-56,-64,-48,-59,-69,-64,-66,-200,-46,-60,-70,-200,-60,-68,-200,-70,-76,-69,-65,-76,-74,-63,-76,-77,-75,-66,-83,-75,-78,-200,-68,-200,-200,-82,-200,-87,-81,-75,-86,-82,-88,-88,-200,-200,-200,-81,-78,-200,-77,-80,-86,-83,-85,-200,-200,-200,-200,-73,-200,-200,-200,-58,-85,-84,-75
1526455311634,-36,-33,-46,-35,-52,-52,-55,-58,-45,-53,-57,-59,-55,-62,-48,-56,-63,-64,-64,-200,-46,-60,-70,-200,-60,-76,-200,-69,-200,-69,-64,-74,-74,-63,-76,-76,-78,-65,-87,-75,-78,-200,-68,-200,-200,-82,-200,-85,-80,-75,-200,-81,-88,-86,-200,-200,-200,-200,-78,-200,-80,-80,-200,-83,-85,-200,-200,-83,-83,-73,-200,-200,-200,-60,-85,-84,-75
1526455314701,-36,-36,-38,-37,-54,-51,-56,-56,-49,-53,-54,-59,-51,-65,-49,-58,-63,-64,-68,-69,-45,-200,-70,-200,-61,-76,-200,-75,-200,-69,-64,-74,-74,-60,-76,-77,-78,-63,-83,-75,-79,-200,-71,-200,-200,-82,-200,-85,-84,-75,-200,-85,-88,-86,-200,-200,-200,-83,-200,-200,-80,-80,-200,-83,-85,-87,-200,-83,-83,-73,-200,-200,-200,-60,-200,-84,-75
1526455317746,-38,-36,-45,-35,-51,-48,-51,-55,-48,-53,-55,-59,-53,-64,-50,-55,-63,-67,-68,-69,-43,-200,-74,-200,-61,-76,-200,-75,-200,-69,-64,-74,-73,-56,-79,-78,-78,-63,-83,-75,-79,-200,-71,-200,-200,-82,-200,-85,-84,-75,-83,-85,-86,-86,-200,-200,-200,-83,-90,-200,-80,-80,-200,-83,-85,-87,-200,-80,-83,-86,-200,-200,-200,-60,-200,-200,-75
1526455320803,-41,-36,-48,-37,-51,-44,-57,-53,-54,-52,-58,-70,-51,-64,-50,-55,-64,-67,-68,-69,-43,-200,-72,-200,-64,-82,-200,-75,-200,-67,-65,-74,-75,-62,-80,-78,-78,-63,-83,-75,-78,-80,-71,-200,-85,-200,-200,-86,-80,-200,-82,-85,-86,-88,-200,-200,-200,-83,-89,-200,-87,-80,-200,-83,-85,-87,-200,-80,-83,-82,-200,-200,-200,-60,-200,-200,-75
1526455323883,-40,-39,-46,-33,-53,-51,-55,-53,-46,-51,-56,-61,-55,-65,-49,-56,-63,-70,-65,-73,-43,-200,-72,-81,-63,-82,-84,-75,-200,-66,-64,-74,-77,-56,-81,-78,-78,-63,-83,-75,-78,-80,-71,-74,-85,-83,-200,-86,-77,-200,-82,-85,-86,-88,-200,-200,-87,-83,-89,-200,-87,-81,-200,-83,-85,-87,-200,-80,-83,-82,-200,-200,-200,-60,-86,-88,-200
1526455326958,-37,-37,-40,-34,-52,-48,-56,-53,-48,-52,-59,-59,-55,-65,-52,-58,-64,-68,-66,-73,-39,-63,-72,-81,-64,-73,-84,-73,-76,-66,-65,-75,-77,-57,-81,-76,-78,-67,-83,-75,-78,-80,-67,-74,-85,-83,-86,-86,-77,-200,-82,-85,-86,-88,-200,-200,-87,-83,-89,-200,-87,-81,-84,-200,-85,-88,-200,-80,-200,-79,-200,-200,-200,-64,-86,-88,-84
