,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526463039629,-31,-45,-42,-45,-44,-54,-45,-89,-53,-200,-55,-55,-47,-52,-58,-71,-60,-59,-65,-57,-200,-76,-200,-68,-66,-72,-58,-50,-200,-72,-54,-80,-72,-68,-200,-58,-78,-72,-70,-200,-55,-69,-58,-200,-76,-69,-200,-200,-200,-200,-74,-200,-68,-200,-200,-77,-200,-78,-200,-200,-80,-200,-200,-200,-200,-53,-200,-58,-71,-200,-200,-200,-200,-75,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463042676,-31,-47,-42,-45,-44,-54,-43,-54,-55,-86,-55,-55,-84,-50,-59,-77,-59,-58,-66,-57,-200,-77,-200,-63,-63,-72,-58,-50,-73,-72,-54,-80,-55,-68,-69,-59,-78,-72,-73,-200,-79,-70,-59,-200,-200,-200,-200,-200,-200,-200,-77,-89,-65,-68,-200,-200,-200,-78,-200,-200,-80,-200,-200,-87,-200,-59,-200,-68,-200,-200,-200,-200,-200,-75,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-78,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526463045768,-31,-50,-43,-57,-43,-53,-46,-54,-55,-59,-55,-57,-47,-50,-57,-71,-60,-59,-66,-55,-62,-77,-200,-63,-66,-74,-58,-50,-73,-73,-53,-200,-72,-68,-69,-55,-77,-200,-73,-200,-78,-71,-67,-200,-200,-200,-200,-200,-200,-200,-78,-89,-68,-68,-200,-200,-200,-200,-64,-200,-81,-200,-200,-87,-200,-56,-200,-67,-200,-200,-200,-200,-57,-200,-80,-200,-200,-200,-200,-79,-84,-200,-89,-200,-84,-200,-200,-200,-73,-88,-200,-200,-200,-200,-200,-200,-200
1526463048834,-31,-52,-56,-46,-47,-53,-49,-68,-70,-59,-55,-57,-62,-55,-73,-53,-60,-59,-66,-69,-64,-77,-200,-63,-66,-75,-55,-49,-73,-73,-56,-200,-71,-68,-73,-59,-79,-66,-73,-200,-79,-70,-57,-200,-74,-200,-200,-200,-81,-200,-78,-89,-68,-68,-84,-200,-77,-200,-79,-200,-81,-200,-200,-87,-200,-60,-200,-73,-200,-87,-90,-91,-58,-200,-79,-200,-200,-200,-200,-83,-84,-200,-89,-200,-84,-200,-200,-200,-73,-88,-90,-90,-93,-200,-200,-200,-200
1526463051897,-82,-49,-41,-46,-48,-53,-45,-51,-70,-200,-55,-57,-50,-52,-57,-71,-59,-58,-65,-53,-63,-77,-200,-200,-73,-75,-54,-50,-200,-74,-56,-200,-73,-68,-73,-59,-77,-70,-200,-200,-79,-71,-59,-200,-74,-69,-200,-200,-81,-200,-78,-200,-68,-200,-84,-76,-77,-200,-79,-200,-200,-200,-200,-200,-200,-57,-200,-73,-200,-87,-90,-91,-56,-200,-79,-76,-200,-200,-200,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-90,-93,-76,-200,-200,-200
1526463054915,-31,-44,-41,-46,-47,-53,-44,-57,-53,-200,-55,-57,-48,-52,-57,-76,-59,-59,-65,-56,-63,-72,-200,-63,-73,-75,-57,-50,-200,-74,-59,-200,-73,-70,-73,-55,-60,-70,-200,-200,-55,-73,-57,-200,-76,-70,-200,-200,-81,-200,-80,-200,-67,-70,-84,-76,-77,-200,-79,-200,-200,-200,-200,-200,-200,-59,-200,-72,-200,-87,-90,-91,-56,-200,-79,-76,-200,-200,-200,-83,-84,-200,-200,-200,-200,-200,-200,-80,-200,-200,-90,-90,-93,-76,-200,-200,-200
1526463057959,-31,-45,-43,-47,-45,-53,-46,-55,-56,-57,-54,-54,-53,-52,-60,-76,-54,-60,-64,-57,-62,-71,-200,-63,-67,-200,-56,-56,-69,-200,-56,-200,-72,-68,-200,-63,-77,-71,-200,-200,-79,-53,-62,-200,-76,-70,-200,-200,-82,-200,-82,-200,-67,-70,-72,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-58,-200,-76,-200,-200,-89,-89,-200,-200,-79,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463061008,-30,-41,-40,-46,-43,-54,-45,-50,-56,-57,-55,-56,-50,-55,-60,-76,-60,-65,-64,-58,-62,-72,-70,-63,-60,-200,-58,-49,-69,-200,-57,-200,-70,-64,-71,-58,-74,-65,-73,-200,-81,-71,-56,-200,-75,-67,-200,-79,-82,-200,-80,-200,-200,-200,-72,-200,-82,-200,-64,-200,-200,-200,-200,-200,-200,-56,-200,-66,-200,-200,-88,-89,-73,-70,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463064077,-40,-49,-42,-47,-46,-52,-44,-50,-56,-57,-55,-55,-46,-51,-60,-76,-60,-59,-68,-54,-63,-75,-70,-65,-77,-72,-60,-50,-69,-76,-62,-200,-73,-74,-76,-74,-76,-82,-83,-75,-79,-70,-55,-200,-78,-74,-86,-79,-82,-200,-77,-70,-75,-69,-70,-79,-82,-200,-65,-84,-200,-200,-200,-200,-200,-50,-200,-69,-200,-200,-88,-89,-73,-82,-77,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-78,-200,-200,-200,-200,-200,-87,-88,-90
1526463067083,-39,-49,-43,-45,-44,-54,-45,-200,-56,-60,-55,-54,-49,-50,-200,-73,-59,-66,-73,-91,-63,-73,-200,-61,-57,-72,-58,-49,-72,-76,-52,-200,-71,-69,-76,-58,-75,-72,-83,-75,-78,-73,-59,-200,-78,-74,-86,-79,-200,-200,-55,-72,-75,-69,-74,-79,-200,-200,-65,-84,-200,-200,-200,-85,-200,-50,-200,-67,-74,-200,-200,-200,-200,-69,-77,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-89,-200,-78,-200,-200,-200,-200,-200,-87,-88,-90
1526463070088,-29,-48,-41,-46,-44,-53,-46,-53,-48,-60,-55,-56,-47,-53,-58,-61,-60,-78,-65,-54,-61,-74,-200,-77,-57,-72,-58,-55,-73,-76,-53,-200,-73,-68,-73,-59,-76,-65,-83,-75,-79,-71,-59,-200,-78,-68,-86,-79,-200,-200,-78,-72,-68,-69,-70,-74,-200,-200,-64,-84,-200,-200,-200,-84,-200,-50,-200,-87,-74,-200,-200,-200,-200,-69,-77,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-89,-200,-78,-200,-200,-90,-200,-200,-87,-88,-90
1526463073131,-75,-46,-40,-45,-47,-54,-46,-58,-52,-200,-55,-57,-49,-51,-57,-76,-59,-58,-65,-56,-63,-71,-200,-65,-67,-73,-58,-50,-73,-200,-52,-200,-73,-68,-73,-59,-76,-70,-72,-200,-78,-71,-56,-200,-65,-70,-84,-200,-200,-200,-83,-200,-68,-200,-70,-74,-200,-200,-64,-200,-200,-200,-200,-84,-200,-57,-200,-73,-200,-200,-200,-200,-54,-68,-200,-77,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
