,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,DLINK_D02A58,DLINK_D00E98,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018
1526463380880,-23,-47,-42,-33,-45,-58,-56,-63,-43,-62,-58,-63,-44,-66,-55,-79,-72,-54,-56,-64,-67,-65,-66,-57,-80,-66,-81,-72,-70,-69,-82,-61,-82,-76,-72,-70,-88,-64,-78,-74,-200,-77,-76,-82,-73,-80,-73,-78,-78,-83,-78,-85,-72,-83,-74,-77,-200,-94,-90,-75,-200,-74,-77,-75,-200,-79,-89,-83,-84,-92,-89,-86,-84,-87,-86,-85,-82,-93,-94,-85,-92,-94,-200,-89,-200,-200,-200,-96,-89,-96,-200,-97,-87,-200,-200,-93,-78,-88,-200,-82,-200,-200,-200,-87,-87,-200,-96,-76,-80,-90,-200,-95,-200,-97,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463383935,-22,-44,-41,-33,-46,-55,-57,-64,-47,-62,-50,-59,-33,-71,-57,-65,-65,-55,-57,-61,-45,-65,-66,-54,-68,-74,-78,-69,-70,-77,-85,-59,-77,-76,-71,-68,-82,-66,-78,-72,-81,-76,-78,-78,-70,-76,-71,-83,-78,-81,-77,-87,-71,-81,-74,-77,-200,-90,-82,-78,-200,-74,-77,-74,-200,-89,-89,-83,-84,-200,-89,-86,-85,-88,-86,-84,-82,-93,-88,-85,-88,-92,-200,-88,-200,-200,-200,-200,-86,-200,-200,-97,-83,-200,-200,-90,-200,-88,-200,-82,-200,-200,-200,-87,-86,-200,-200,-200,-80,-90,-200,-95,-200,-97,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463386989,-22,-45,-42,-32,-47,-59,-53,-65,-45,-62,-51,-62,-43,-72,-54,-67,-61,-54,-58,-62,-68,-68,-68,-57,-73,-59,-72,-72,-70,-74,-83,-60,-79,-74,-71,-68,-85,-65,-83,-72,-72,-80,-76,-80,-70,-79,-73,-82,-78,-81,-79,-87,-71,-79,-73,-76,-200,-90,-86,-78,-200,-74,-75,-74,-200,-86,-89,-85,-84,-200,-200,-86,-85,-88,-88,-87,-82,-92,-92,-200,-88,-96,-200,-89,-200,-200,-200,-97,-86,-200,-200,-200,-83,-200,-200,-92,-200,-88,-200,-82,-200,-200,-95,-87,-86,-200,-200,-200,-80,-93,-200,-95,-200,-200,-95,-95,-93,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526463390043,-24,-41,-42,-33,-35,-54,-54,-65,-48,-56,-48,-63,-40,-77,-54,-70,-64,-57,-56,-64,-69,-68,-64,-57,-66,-68,-82,-66,-69,-71,-82,-57,-78,-67,-73,-68,-80,-69,-85,-73,-72,-85,-81,-76,-65,-76,-70,-78,-78,-81,-83,-87,-69,-79,-73,-79,-78,-91,-86,-77,-200,-72,-75,-72,-200,-87,-95,-85,-200,-97,-200,-200,-85,-88,-87,-86,-80,-92,-87,-85,-92,-96,-200,-89,-200,-200,-200,-94,-83,-200,-200,-200,-86,-91,-200,-92,-77,-88,-200,-200,-200,-86,-95,-200,-84,-200,-94,-76,-200,-93,-200,-200,-200,-200,-91,-200,-93,-96,-96,-200,-200,-200,-200,-200,-200,-200
1526463393103,-23,-40,-42,-32,-47,-52,-57,-65,-49,-60,-48,-64,-43,-73,-53,-73,-63,-54,-55,-63,-71,-68,-66,-52,-67,-68,-82,-70,-73,-64,-79,-58,-78,-67,-71,-69,-82,-66,-81,-80,-73,-78,-76,-76,-66,-76,-75,-78,-74,-82,-80,-200,-70,-84,-70,-76,-78,-91,-86,-77,-200,-72,-75,-72,-200,-84,-95,-79,-85,-97,-200,-200,-85,-88,-85,-85,-80,-94,-87,-89,-92,-96,-200,-89,-200,-200,-92,-94,-82,-97,-200,-200,-84,-91,-200,-88,-77,-88,-200,-200,-200,-86,-89,-88,-84,-200,-95,-76,-200,-90,-200,-200,-200,-200,-91,-200,-93,-96,-96,-87,-200,-200,-200,-200,-200,-200
1526463396162,-24,-42,-41,-32,-41,-52,-53,-63,-51,-61,-46,-65,-42,-77,-45,-67,-63,-55,-59,-64,-68,-70,-66,-58,-63,-68,-81,-71,-71,-69,-79,-53,-88,-67,-71,-66,-81,-67,-79,-79,-73,-80,-80,-77,-66,-75,-73,-80,-81,-80,-80,-200,-70,-83,-70,-76,-78,-89,-86,-77,-200,-74,-75,-74,-200,-84,-95,-79,-85,-97,-84,-88,-85,-88,-85,-87,-80,-92,-87,-86,-93,-84,-200,-200,-200,-200,-92,-94,-83,-98,-200,-200,-85,-91,-200,-95,-77,-89,-200,-79,-200,-86,-89,-89,-85,-200,-95,-76,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-96,-87,-95,-200,-200,-200,-200,-200
1526463399228,-32,-41,-44,-33,-48,-58,-55,-63,-48,-57,-48,-62,-41,-74,-56,-71,-61,-55,-63,-64,-61,-68,-64,-59,-64,-68,-74,-64,-69,-68,-79,-52,-84,-67,-71,-68,-80,-67,-79,-75,-78,-80,-80,-79,-66,-80,-73,-80,-81,-80,-80,-200,-72,-83,-72,-74,-200,-89,-200,-77,-200,-79,-74,-73,-200,-85,-92,-82,-85,-92,-80,-81,-83,-90,-86,-87,-79,-92,-87,-89,-93,-88,-200,-91,-200,-200,-92,-96,-83,-98,-200,-200,-85,-200,-200,-91,-200,-86,-200,-79,-200,-200,-89,-87,-85,-200,-95,-200,-74,-92,-200,-200,-200,-100,-200,-200,-200,-200,-200,-87,-94,-200,-200,-200,-200,-200
1526463402287,-31,-42,-45,-34,-50,-52,-63,-59,-54,-55,-46,-62,-43,-78,-46,-68,-58,-56,-57,-63,-61,-74,-68,-61,-63,-65,-75,-73,-69,-67,-77,-58,-84,-63,-71,-68,-80,-69,-79,-78,-74,-80,-82,-78,-63,-74,-68,-76,-81,-80,-80,-200,-73,-83,-72,-73,-200,-89,-84,-200,-88,-73,-74,-74,-200,-84,-90,-79,-87,-92,-79,-83,-84,-90,-92,-91,-79,-92,-88,-89,-93,-86,-86,-91,-200,-200,-200,-96,-83,-93,-200,-200,-84,-200,-200,-91,-79,-86,-200,-79,-200,-200,-200,-87,-85,-200,-200,-200,-71,-93,-200,-200,-200,-100,-200,-200,-200,-200,-200,-200,-94,-97,-200,-200,-200,-200
1526463405345,-26,-38,-40,-34,-46,-53,-57,-59,-48,-59,-49,-59,-42,-70,-56,-66,-58,-60,-60,-65,-65,-66,-65,-54,-64,-66,-74,-63,-69,-72,-77,-55,-78,-77,-73,-69,-80,-68,-78,-77,-74,-79,-78,-81,-62,-81,-68,-78,-75,-80,-200,-200,-73,-81,-72,-76,-200,-90,-87,-200,-88,-73,-74,-72,-200,-85,-87,-79,-87,-92,-80,-83,-85,-90,-87,-89,-79,-92,-88,-89,-200,-86,-86,-88,-200,-200,-95,-96,-85,-95,-200,-200,-86,-200,-200,-91,-79,-86,-200,-85,-200,-92,-87,-87,-200,-200,-200,-81,-79,-93,-200,-89,-200,-100,-200,-200,-200,-200,-200,-200,-94,-97,-94,-200,-200,-200
1526463408405,-33,-40,-41,-33,-46,-56,-61,-61,-52,-56,-54,-58,-43,-74,-61,-61,-59,-58,-59,-64,-64,-72,-72,-61,-63,-67,-79,-66,-67,-75,-74,-56,-78,-64,-74,-69,-80,-65,-79,-78,-72,-79,-80,-78,-64,-72,-68,-78,-80,-80,-85,-200,-73,-82,-200,-75,-77,-94,-87,-77,-88,-72,-74,-76,-200,-88,-89,-79,-87,-92,-80,-82,-85,-88,-88,-92,-79,-92,-88,-200,-200,-87,-86,-88,-200,-200,-95,-200,-85,-95,-200,-200,-85,-200,-200,-92,-79,-85,-200,-85,-200,-92,-83,-200,-200,-200,-200,-81,-76,-94,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-94,-97,-94,-200,-200,-200
1526463411467,-26,-40,-40,-33,-41,-53,-61,-60,-55,-58,-47,-60,-42,-75,-64,-64,-53,-60,-55,-64,-60,-70,-65,-61,-64,-74,-82,-74,-69,-53,-76,-54,-78,-64,-71,-69,-80,-68,-82,-80,-86,-82,-82,-81,-69,-76,-76,-77,-76,-80,-85,-200,-71,-82,-78,-73,-77,-91,-86,-77,-200,-71,-74,-67,-200,-87,-94,-79,-200,-91,-80,-82,-83,-88,-88,-87,-81,-91,-87,-89,-200,-87,-86,-88,-200,-200,-95,-200,-85,-96,-200,-200,-82,-200,-200,-92,-200,-87,-200,-85,-200,-86,-84,-200,-82,-200,-94,-81,-78,-94,-200,-89,-200,-200,-200,-94,-200,-200,-95,-200,-91,-200,-94,-86,-200,-200
1526463414519,-26,-41,-46,-34,-51,-56,-59,-58,-51,-59,-48,-60,-42,-78,-57,-65,-51,-57,-55,-65,-60,-73,-62,-61,-64,-68,-82,-74,-69,-64,-75,-56,-200,-78,-72,-54,-81,-69,-85,-82,-76,-86,-85,-82,-65,-80,-67,-81,-76,-79,-78,-200,-73,-82,-78,-74,-77,-95,-86,-79,-200,-70,-77,-73,-200,-83,-92,-79,-200,-92,-79,-82,-83,-88,-88,-87,-78,-93,-87,-88,-200,-85,-86,-95,-89,-200,-200,-200,-88,-96,-200,-200,-84,-200,-200,-92,-200,-85,-200,-200,-200,-90,-84,-88,-82,-200,-94,-200,-77,-94,-200,-90,-92,-200,-200,-94,-200,-200,-95,-200,-91,-96,-200,-86,-95,-97
