,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011314
1526460131476,-48,-54,-44,-59,-69,-86,-55,-62,-79,-81,-85,-79,-90,-74,-73,-200,-200,-85,-70,-200,-80,-78,-79,-200,-200,-200,-200,-87,-200,-72,-200,-89,-85,-89,-85,-200,-200,-200,-77,-84,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-84,-86,-80,-91,-89,-89,-200,-200,-70,-86,-200,-85,-200,-90,-200,-200,-93,-90,-200,-84,-89,-84,-88,-200,-84,-89,-200,-200,-200,-200
1526460134507,-50,-57,-44,-62,-70,-200,-55,-64,-81,-81,-85,-79,-89,-70,-75,-200,-200,-90,-72,-200,-82,-86,-79,-200,-200,-200,-200,-87,-200,-73,-200,-89,-85,-200,-83,-200,-200,-200,-79,-79,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-86,-80,-91,-89,-89,-200,-200,-78,-86,-200,-85,-200,-90,-200,-200,-93,-90,-200,-85,-89,-84,-88,-200,-200,-200,-200,-200,-200,-200
1526460137530,-49,-57,-41,-63,-69,-200,-56,-62,-79,-81,-82,-80,-89,-70,-75,-200,-200,-90,-71,-200,-83,-78,-79,-200,-200,-200,-200,-87,-200,-73,-200,-89,-82,-200,-83,-200,-91,-200,-80,-76,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-86,-80,-91,-89,-89,-200,-200,-78,-86,-200,-200,-200,-88,-200,-200,-93,-90,-200,-85,-92,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526460140562,-49,-58,-43,-60,-71,-200,-54,-59,-79,-83,-82,-80,-89,-70,-75,-200,-200,-84,-70,-200,-81,-75,-78,-200,-200,-200,-200,-87,-200,-73,-200,-200,-82,-89,-83,-200,-91,-200,-80,-72,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-78,-200,-89,-80,-91,-89,-89,-200,-200,-75,-80,-200,-200,-86,-87,-200,-200,-93,-90,-200,-84,-92,-200,-200,-91,-200,-200,-87,-200,-200,-200
1526460143574,-47,-56,-43,-60,-71,-200,-59,-59,-79,-83,-81,-78,-89,-70,-75,-200,-200,-84,-70,-200,-81,-78,-78,-200,-200,-200,-200,-89,-200,-74,-200,-200,-74,-89,-76,-200,-91,-200,-79,-72,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-90,-90,-200,-200,-200,-76,-200,-89,-200,-200,-200,-200,-200,-200,-75,-80,-200,-85,-86,-87,-200,-200,-200,-200,-200,-84,-92,-200,-200,-91,-200,-200,-87,-85,-90,-200
1526460146608,-47,-60,-42,-61,-72,-86,-58,-59,-79,-81,-82,-78,-89,-73,-75,-200,-200,-84,-70,-200,-82,-78,-82,-200,-200,-200,-200,-89,-200,-74,-200,-90,-74,-89,-74,-200,-91,-200,-79,-74,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-90,-90,-200,-200,-200,-76,-200,-89,-87,-200,-200,-200,-200,-200,-78,-80,-200,-85,-86,-87,-200,-200,-200,-90,-200,-84,-92,-83,-91,-91,-200,-200,-87,-85,-90,-200
1526460149636,-48,-58,-42,-69,-72,-86,-58,-60,-79,-84,-82,-78,-91,-73,-75,-200,-200,-86,-70,-200,-82,-77,-82,-200,-200,-200,-200,-89,-200,-74,-200,-90,-78,-88,-76,-200,-200,-200,-79,-74,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-90,-90,-200,-200,-200,-72,-200,-89,-87,-200,-200,-200,-200,-200,-76,-79,-200,-85,-86,-88,-200,-200,-90,-90,-200,-84,-200,-83,-91,-200,-200,-200,-87,-85,-90,-200
1526460152666,-47,-61,-43,-62,-71,-86,-56,-59,-79,-84,-82,-79,-90,-73,-75,-200,-200,-86,-70,-200,-78,-77,-81,-200,-200,-200,-200,-89,-200,-74,-200,-89,-76,-88,-74,-200,-200,-200,-78,-74,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-73,-81,-200,-83,-200,-90,-200,-200,-200,-76,-79,-200,-85,-200,-88,-200,-200,-90,-90,-200,-84,-200,-83,-88,-200,-200,-200,-200,-85,-90,-200
1526460155697,-49,-55,-41,-57,-71,-86,-58,-61,-79,-84,-82,-79,-90,-73,-78,-200,-200,-88,-70,-200,-78,-78,-80,-200,-200,-200,-200,-200,-200,-75,-200,-89,-76,-89,-70,-200,-200,-200,-78,-80,-200,-200,-200,-89,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-81,-87,-83,-200,-90,-200,-200,-200,-76,-87,-200,-200,-88,-88,-200,-200,-90,-86,-200,-83,-200,-83,-88,-88,-200,-200,-200,-200,-200,-90
1526460158707,-49,-57,-41,-58,-71,-86,-58,-58,-79,-85,-86,-77,-90,-82,-79,-200,-200,-88,-70,-200,-78,-77,-79,-200,-200,-200,-200,-200,-200,-73,-200,-89,-75,-89,-70,-200,-200,-200,-79,-81,-200,-200,-200,-89,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-83,-87,-84,-200,-89,-200,-200,-200,-76,-87,-200,-86,-88,-88,-200,-200,-90,-86,-90,-83,-90,-200,-88,-88,-200,-200,-200,-200,-200,-90
1526460161742,-48,-59,-42,-63,-70,-86,-56,-59,-80,-84,-86,-78,-89,-69,-75,-200,-200,-88,-66,-200,-78,-78,-79,-200,-200,-200,-200,-200,-200,-73,-200,-89,-75,-89,-70,-200,-200,-200,-79,-60,-200,-200,-200,-89,-200,-92,-200,-200,-200,-200,-90,-200,-200,-200,-200,-76,-83,-87,-84,-200,-89,-200,-200,-91,-75,-85,-200,-86,-88,-87,-200,-200,-200,-86,-90,-83,-90,-200,-88,-88,-200,-200,-200,-200,-200,-90
1526460164773,-47,-62,-41,-63,-69,-86,-58,-57,-79,-85,-82,-78,-89,-74,-77,-200,-200,-88,-71,-200,-200,-78,-82,-200,-200,-200,-200,-200,-200,-80,-200,-88,-75,-89,-74,-200,-200,-200,-79,-60,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-90,-200,-200,-200,-200,-73,-83,-87,-84,-200,-89,-200,-200,-91,-77,-85,-200,-86,-88,-87,-200,-200,-200,-86,-90,-86,-89,-200,-90,-88,-200,-90,-200,-200,-200,-90
