,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526464626964,-42,-54,-50,-43,-57,-52,-55,-49,-63,-64,-56,-57,-58,-60,-54,-71,-63,-71,-68,-76,-81,-83,-71,-83,-74,-84,-200,-200,-83,-82,-79,-200,-84,-200,-200,-200,-200,-200,-90,-200,-90,-86,-74,-200,-200,-90,-200,-89,-200,-90,-90,-200,-200,-200
1526464629990,-41,-54,-49,-43,-57,-57,-56,-54,-63,-63,-54,-61,-58,-62,-60,-75,-72,-69,-67,-77,-86,-83,-70,-83,-83,-83,-83,-90,-83,-82,-83,-83,-84,-200,-200,-200,-91,-200,-90,-200,-90,-86,-75,-200,-200,-200,-200,-89,-200,-90,-90,-88,-90,-200
1526464633013,-43,-50,-52,-44,-59,-56,-57,-52,-64,-63,-52,-62,-64,-61,-59,-72,-68,-70,-65,-75,-86,-83,-69,-83,-83,-83,-83,-90,-84,-82,-80,-82,-85,-200,-200,-200,-91,-200,-89,-200,-90,-86,-75,-200,-200,-200,-200,-87,-200,-200,-90,-88,-90,-92
1526464636042,-39,-53,-54,-43,-60,-57,-61,-46,-59,-65,-54,-59,-64,-64,-58,-74,-70,-70,-70,-72,-78,-82,-69,-83,-83,-85,-80,-90,-84,-200,-87,-82,-78,-200,-200,-200,-91,-200,-89,-200,-90,-86,-76,-200,-200,-200,-200,-87,-200,-200,-90,-88,-90,-92
1526464639070,-41,-56,-50,-43,-60,-56,-58,-50,-63,-60,-53,-60,-64,-60,-58,-76,-74,-73,-65,-76,-82,-82,-70,-85,-71,-85,-82,-90,-82,-200,-83,-82,-85,-200,-200,-200,-91,-200,-89,-200,-200,-200,-77,-200,-200,-200,-200,-87,-200,-200,-89,-88,-90,-92
1526464642097,-39,-53,-50,-42,-61,-56,-58,-49,-63,-64,-54,-63,-63,-60,-60,-73,-73,-74,-70,-77,-81,-80,-70,-85,-71,-85,-82,-200,-82,-200,-83,-80,-85,-200,-200,-200,-200,-92,-97,-200,-200,-200,-77,-200,-200,-200,-200,-87,-200,-200,-89,-200,-200,-92
1526464645123,-39,-52,-50,-43,-60,-58,-52,-49,-63,-68,-52,-64,-63,-61,-57,-73,-68,-74,-66,-77,-81,-80,-70,-78,-71,-84,-82,-200,-82,-200,-83,-80,-81,-200,-200,-200,-200,-92,-97,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526464648151,-38,-52,-47,-45,-59,-60,-59,-49,-65,-67,-45,-70,-62,-61,-54,-70,-62,-72,-69,-79,-81,-80,-68,-82,-73,-84,-82,-200,-82,-200,-82,-80,-81,-200,-200,-200,-200,-92,-89,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200
1526464651158,-37,-50,-46,-44,-59,-56,-57,-48,-57,-64,-52,-68,-61,-61,-52,-69,-70,-72,-64,-79,-81,-83,-68,-82,-77,-84,-82,-200,-82,-200,-82,-80,-81,-200,-200,-200,-200,-92,-89,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200
1526464654184,-41,-51,-52,-42,-59,-52,-55,-50,-62,-62,-54,-63,-65,-65,-58,-73,-60,-73,-66,-76,-80,-78,-70,-81,-72,-84,-82,-200,-82,-200,-85,-200,-81,-200,-200,-200,-200,-91,-89,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200
1526464657191,-39,-53,-53,-44,-59,-53,-60,-47,-61,-62,-52,-60,-67,-63,-55,-69,-70,-71,-64,-75,-80,-78,-66,-81,-71,-200,-200,-91,-82,-200,-86,-84,-86,-200,-200,-200,-200,-91,-89,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200
1526464660220,-39,-51,-53,-41,-60,-49,-61,-52,-62,-62,-54,-59,-66,-68,-56,-76,-59,-75,-66,-73,-80,-83,-67,-84,-79,-200,-84,-91,-200,-200,-80,-84,-86,-200,-200,-200,-200,-91,-89,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
