,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526464727958,-41,-42,-45,-48,-44,-59,-52,-49,-48,-54,-42,-64,-64,-59,-58,-57,-73,-72,-71,-84,-67,-73,-73,-74,-63,-71,-70,-200,-74,-83,-83,-82,-200,-200,-200,-77,-200,-200,-91,-200,-200,-200,-200,-88,-87,-88,-200,-84,-200,-200,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526464730984,-38,-40,-51,-42,-43,-57,-48,-45,-50,-54,-51,-54,-65,-51,-65,-57,-73,-71,-71,-84,-66,-70,-200,-74,-68,-73,-82,-200,-74,-83,-83,-82,-76,-200,-200,-77,-200,-200,-91,-200,-200,-200,-200,-92,-87,-88,-200,-84,-200,-200,-200,-89,-88,-86,-200,-200,-200,-200,-200,-200,-200
1526464734010,-42,-36,-49,-42,-47,-52,-47,-48,-55,-54,-56,-63,-58,-50,-71,-55,-73,-78,-71,-61,-65,-76,-200,-77,-72,-76,-82,-81,-82,-83,-83,-82,-76,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-92,-86,-88,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200,-200,-200
1526464737038,-47,-34,-39,-46,-49,-64,-55,-48,-53,-55,-45,-55,-62,-67,-67,-53,-75,-79,-62,-78,-62,-70,-67,-78,-76,-76,-82,-81,-86,-79,-85,-79,-76,-200,-200,-61,-200,-200,-200,-200,-88,-200,-200,-92,-86,-200,-200,-200,-91,-87,-200,-200,-88,-86,-88,-200,-200,-200,-200,-200,-200
1526464740052,-41,-31,-40,-42,-50,-55,-50,-56,-56,-52,-52,-58,-55,-57,-64,-56,-74,-75,-64,-72,-65,-76,-69,-80,-76,-82,-72,-81,-83,-83,-85,-79,-85,-200,-80,-61,-200,-200,-200,-200,-88,-89,-200,-200,-86,-200,-79,-200,-91,-87,-200,-200,-200,-200,-88,-89,-89,-200,-200,-200,-200
1526464743087,-46,-39,-59,-45,-54,-52,-46,-43,-47,-49,-60,-61,-65,-66,-64,-46,-74,-77,-64,-66,-71,-72,-59,-72,-74,-74,-78,-200,-83,-78,-82,-79,-85,-200,-80,-61,-94,-200,-200,-200,-88,-89,-200,-200,-200,-200,-79,-200,-89,-87,-200,-200,-92,-85,-88,-89,-89,-200,-200,-200,-200
1526464746098,-50,-39,-51,-52,-53,-58,-38,-40,-43,-47,-51,-65,-67,-61,-63,-45,-74,-70,-64,-71,-66,-68,-59,-79,-75,-71,-78,-200,-83,-78,-82,-78,-85,-200,-80,-87,-94,-200,-200,-200,-200,-89,-200,-200,-200,-200,-79,-200,-89,-200,-200,-200,-92,-85,-200,-89,-89,-200,-200,-200,-200
1526464749128,-52,-42,-48,-41,-49,-50,-46,-39,-45,-51,-55,-62,-60,-57,-63,-59,-75,-73,-71,-71,-60,-68,-61,-72,-69,-72,-78,-83,-85,-78,-85,-77,-85,-200,-80,-87,-90,-86,-88,-200,-86,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-92,-85,-200,-89,-89,-200,-200,-200,-200
1526464752159,-51,-45,-51,-46,-56,-53,-39,-39,-48,-51,-51,-60,-59,-59,-57,-57,-75,-74,-71,-73,-69,-81,-54,-71,-74,-73,-78,-83,-85,-78,-85,-77,-200,-200,-200,-74,-90,-86,-88,-89,-86,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-92,-85,-88,-200,-200,-86,-200,-200,-200
1526464755171,-50,-39,-53,-44,-57,-54,-45,-46,-53,-48,-52,-58,-64,-62,-56,-57,-75,-76,-71,-71,-66,-81,-63,-71,-74,-77,-200,-83,-85,-78,-85,-83,-200,-200,-84,-71,-90,-86,-88,-89,-86,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-90,-200,-90,-200,-200,-88,-74,-88,-200
1526464758209,-49,-42,-44,-47,-56,-61,-51,-47,-55,-55,-51,-57,-60,-57,-68,-70,-75,-78,-71,-71,-63,-73,-70,-77,-74,-76,-200,-83,-87,-83,-85,-83,-77,-86,-84,-71,-90,-86,-88,-91,-86,-200,-200,-200,-86,-200,-200,-200,-88,-200,-200,-200,-90,-200,-90,-200,-90,-88,-74,-81,-90
