,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464336972,-34,-60,-49,-43,-55,-56,-50,-55,-53,-58,-66,-46,-61,-65,-69,-64,-72,-72,-58,-82,-200,-69,-78,-78,-200,-68,-60,-76,-74,-82,-86,-85,-200,-66,-89,-200,-79,-200,-200,-200,-82,-85,-86,-200,-86,-86,-91,-84,-85,-200,-200,-86,-200,-89,-200,-200,-90,-91,-94,-81,-88,-91,-200,-200
1526464340006,-33,-58,-50,-43,-58,-56,-49,-56,-55,-58,-70,-63,-62,-62,-68,-65,-71,-69,-62,-82,-200,-69,-78,-78,-200,-70,-61,-74,-74,-82,-85,-87,-200,-70,-89,-200,-80,-82,-200,-200,-82,-85,-86,-200,-86,-84,-85,-84,-85,-200,-200,-86,-200,-89,-200,-200,-200,-200,-200,-81,-85,-91,-200,-200
1526464343040,-33,-57,-49,-40,-57,-56,-52,-54,-56,-56,-64,-59,-57,-64,-69,-65,-70,-70,-60,-84,-76,-69,-78,-79,-79,-69,-64,-74,-74,-82,-85,-87,-81,-71,-89,-200,-80,-82,-84,-200,-82,-85,-86,-200,-200,-84,-85,-84,-85,-200,-200,-75,-200,-89,-89,-200,-200,-200,-200,-81,-85,-91,-200,-200
1526464346059,-34,-60,-51,-39,-56,-57,-51,-57,-54,-60,-62,-58,-62,-63,-67,-63,-69,-71,-64,-84,-75,-72,-79,-79,-79,-67,-61,-74,-79,-82,-87,-87,-81,-69,-200,-200,-80,-82,-84,-89,-81,-85,-73,-200,-86,-84,-85,-83,-85,-200,-200,-75,-90,-89,-89,-200,-200,-200,-200,-200,-85,-91,-86,-200
1526464349087,-33,-58,-53,-39,-54,-56,-51,-61,-52,-59,-65,-61,-61,-67,-64,-62,-71,-71,-63,-84,-75,-72,-79,-77,-79,-69,-62,-76,-79,-83,-87,-87,-81,-69,-200,-200,-80,-82,-84,-89,-81,-85,-85,-200,-86,-84,-88,-83,-84,-200,-200,-75,-90,-89,-89,-91,-200,-200,-200,-200,-85,-200,-86,-200
1526464352095,-33,-57,-51,-40,-56,-57,-51,-64,-54,-60,-71,-62,-62,-65,-64,-64,-70,-67,-63,-82,-75,-68,-77,-77,-79,-71,-64,-76,-79,-84,-87,-200,-81,-69,-200,-200,-81,-200,-84,-89,-84,-85,-85,-200,-86,-88,-88,-86,-84,-200,-200,-86,-90,-89,-89,-91,-200,-200,-200,-200,-200,-200,-83,-200
1526464355118,-33,-51,-52,-41,-59,-55,-50,-62,-55,-58,-64,-60,-65,-65,-65,-66,-69,-67,-56,-81,-75,-68,-77,-76,-200,-66,-65,-82,-79,-84,-87,-200,-81,-69,-200,-200,-81,-200,-200,-89,-84,-85,-84,-200,-86,-85,-88,-85,-87,-200,-200,-86,-90,-200,-200,-91,-92,-200,-200,-200,-86,-200,-83,-91
1526464358148,-33,-51,-47,-40,-57,-54,-46,-58,-58,-58,-70,-62,-62,-67,-66,-60,-70,-69,-56,-80,-80,-67,-74,-76,-200,-64,-63,-75,-80,-84,-200,-87,-81,-200,-200,-200,-81,-200,-200,-200,-86,-88,-84,-200,-79,-85,-88,-85,-87,-200,-200,-86,-200,-200,-200,-91,-90,-200,-200,-200,-86,-200,-83,-91
1526464361158,-35,-50,-46,-40,-61,-60,-45,-49,-59,-52,-52,-57,-56,-60,-67,-64,-63,-73,-59,-82,-76,-64,-79,-76,-76,-67,-61,-75,-74,-84,-200,-87,-200,-68,-83,-200,-81,-200,-83,-87,-81,-88,-85,-200,-79,-81,-200,-80,-87,-200,-200,-79,-200,-200,-200,-200,-87,-200,-200,-200,-86,-200,-83,-91
1526464364192,-34,-50,-45,-23,-61,-60,-50,-51,-58,-52,-61,-56,-66,-60,-66,-64,-60,-72,-62,-82,-76,-67,-79,-78,-78,-62,-54,-70,-79,-84,-82,-87,-200,-68,-80,-200,-200,-200,-83,-81,-81,-88,-85,-200,-84,-81,-200,-82,-88,-200,-200,-79,-82,-200,-200,-200,-87,-82,-200,-200,-86,-200,-200,-91
1526464367214,-34,-51,-45,-47,-57,-62,-52,-49,-57,-52,-61,-57,-57,-60,-66,-65,-62,-72,-62,-80,-75,-70,-80,-78,-78,-65,-64,-64,-79,-83,-82,-200,-200,-67,-80,-200,-200,-200,-83,-86,-82,-86,-85,-200,-84,-81,-200,-82,-87,-200,-200,-89,-82,-200,-200,-200,-87,-82,-200,-200,-200,-200,-200,-200
1526464370235,-34,-47,-45,-39,-58,-62,-51,-48,-56,-50,-62,-46,-66,-65,-62,-64,-62,-73,-63,-81,-79,-70,-79,-77,-78,-67,-63,-68,-74,-83,-89,-200,-200,-68,-80,-200,-200,-200,-82,-86,-82,-86,-86,-200,-84,-82,-200,-81,-87,-200,-200,-89,-82,-200,-200,-200,-87,-82,-200,-200,-200,-91,-200,-200
