,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526453127202,-36,-30,-34,-44,-42,-48,-41,-50,-56,-52,-55,-63,-66,-52,-56,-49,-54,-54,-69,-69,-65,-200,-78,-61,-47,-80,-68,-58,-77,-72,-78,-80,-62,-80,-200,-55,-74,-87,-71,-72,-78,-71,-65,-67,-72,-75,-79,-82,-79,-83,-83,-200,-84,-82,-79,-90,-88,-81,-81,-84,-83,-67,-200,-85,-200,-80,-85,-74,-200,-200,-200,-88,-74,-74,-73,-76,-80,-82,-86,-84,-87,-200,-89,-200,-76,-85,-83,-82,-83,-84,-88,-83,-88,-91,-52,-200,-200,-88,-91,-91,-200,-91,-67,-77,-88,-200,-200,-89,-90,-91,-91,-76,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526453130241,-44,-39,-35,-47,-42,-51,-54,-55,-59,-62,-54,-71,-65,-51,-56,-49,-61,-60,-69,-69,-65,-80,-77,-61,-48,-80,-68,-57,-200,-74,-78,-80,-64,-80,-200,-54,-74,-86,-73,-72,-76,-71,-65,-67,-72,-79,-78,-82,-54,-89,-84,-200,-80,-82,-79,-200,-200,-83,-81,-84,-90,-72,-200,-85,-200,-80,-85,-75,-200,-200,-200,-88,-77,-76,-74,-76,-78,-81,-86,-84,-89,-200,-89,-74,-76,-80,-83,-82,-83,-84,-88,-85,-88,-91,-52,-200,-200,-88,-91,-91,-200,-91,-200,-77,-88,-200,-200,-87,-90,-91,-91,-76,-84,-90,-85,-89,-200,-200,-200,-200,-200,-200
1526453133289,-37,-31,-35,-47,-42,-51,-43,-48,-55,-52,-55,-62,-68,-51,-54,-47,-54,-54,-68,-61,-62,-75,-72,-58,-50,-79,-67,-58,-200,-69,-78,-80,-66,-80,-200,-54,-80,-88,-73,-200,-76,-70,-65,-67,-65,-79,-76,-200,-80,-83,-84,-200,-82,-84,-79,-89,-200,-81,-82,-84,-84,-72,-200,-200,-200,-83,-85,-73,-200,-81,-200,-87,-69,-78,-73,-75,-78,-81,-86,-84,-89,-200,-89,-74,-76,-81,-82,-82,-83,-81,-86,-82,-88,-90,-52,-200,-200,-86,-91,-90,-200,-91,-200,-77,-88,-200,-200,-87,-200,-200,-82,-76,-85,-90,-85,-89,-84,-200,-200,-200,-200,-200
1526453136329,-37,-31,-35,-46,-46,-51,-43,-50,-57,-51,-55,-62,-68,-52,-55,-47,-53,-52,-70,-69,-62,-75,-70,-66,-46,-79,-67,-58,-200,-73,-78,-77,-68,-80,-200,-54,-70,-88,-71,-200,-75,-77,-65,-67,-65,-79,-76,-200,-78,-82,-83,-200,-82,-84,-83,-88,-200,-82,-79,-84,-84,-72,-200,-88,-200,-81,-85,-73,-200,-82,-200,-87,-69,-75,-72,-77,-78,-82,-86,-85,-89,-200,-89,-74,-76,-81,-82,-82,-200,-81,-85,-82,-200,-90,-56,-200,-200,-87,-91,-90,-200,-91,-62,-77,-85,-200,-87,-87,-200,-200,-82,-76,-85,-90,-85,-89,-84,-200,-200,-200,-200,-200
1526453139370,-36,-29,-36,-45,-43,-51,-41,-49,-58,-52,-54,-65,-67,-52,-57,-49,-52,-54,-62,-67,-65,-75,-68,-61,-48,-79,-69,-58,-200,-69,-78,-83,-68,-81,-67,-57,-70,-86,-73,-75,-80,-70,-65,-56,-65,-76,-76,-200,-75,-82,-83,-200,-85,-84,-82,-88,-200,-82,-83,-86,-83,-70,-200,-90,-200,-82,-84,-73,-200,-82,-200,-87,-69,-75,-72,-77,-78,-82,-86,-85,-89,-200,-90,-74,-79,-81,-82,-82,-200,-81,-85,-82,-200,-90,-61,-200,-200,-87,-91,-90,-200,-200,-62,-77,-84,-200,-87,-87,-200,-200,-82,-76,-85,-200,-85,-89,-84,-86,-200,-200,-200,-200
1526453142413,-37,-29,-36,-45,-44,-51,-44,-44,-58,-52,-54,-62,-68,-51,-56,-48,-53,-54,-68,-67,-64,-75,-67,-62,-49,-79,-61,-58,-200,-72,-74,-83,-68,-81,-67,-55,-77,-86,-73,-69,-80,-71,-65,-65,-73,-76,-76,-200,-78,-82,-83,-200,-79,-82,-80,-88,-200,-82,-81,-86,-82,-70,-200,-90,-200,-82,-84,-79,-200,-82,-200,-87,-68,-75,-73,-76,-82,-82,-86,-85,-90,-200,-89,-75,-79,-83,-81,-82,-200,-81,-87,-85,-200,-90,-62,-200,-200,-87,-91,-90,-200,-200,-62,-77,-84,-200,-87,-200,-200,-200,-82,-76,-85,-200,-200,-200,-84,-86,-200,-200,-200,-200
1526453145450,-37,-30,-43,-46,-43,-51,-44,-46,-57,-51,-53,-63,-74,-50,-53,-49,-61,-54,-77,-67,-64,-200,-70,-58,-51,-79,-61,-58,-200,-75,-81,-77,-68,-80,-67,-54,-77,-87,-73,-69,-79,-79,-65,-74,-71,-76,-200,-200,-77,-82,-83,-200,-80,-82,-80,-88,-200,-81,-81,-85,-86,-68,-200,-91,-200,-82,-84,-79,-200,-82,-200,-200,-71,-72,-73,-76,-82,-82,-84,-86,-90,-200,-89,-75,-76,-87,-81,-82,-200,-82,-88,-85,-200,-90,-62,-200,-200,-87,-91,-90,-200,-200,-62,-81,-84,-93,-87,-200,-200,-200,-200,-76,-85,-200,-200,-200,-200,-86,-76,-91,-200,-200
1526453148488,-37,-29,-34,-49,-46,-50,-53,-50,-59,-51,-54,-63,-74,-51,-56,-46,-52,-54,-69,-57,-63,-200,-74,-62,-49,-82,-67,-58,-200,-74,-81,-77,-67,-80,-65,-55,-77,-88,-72,-69,-80,-72,-64,-68,-71,-76,-200,-200,-74,-77,-83,-200,-80,-83,-75,-200,-200,-81,-81,-85,-86,-68,-200,-87,-200,-82,-85,-65,-200,-200,-200,-200,-71,-73,-73,-76,-82,-83,-84,-86,-90,-200,-89,-75,-76,-87,-82,-82,-200,-83,-86,-85,-200,-90,-62,-200,-200,-200,-200,-200,-200,-200,-200,-78,-84,-93,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-76,-86,-76,-91,-200,-200
1526453151538,-36,-31,-89,-45,-45,-50,-42,-48,-59,-52,-55,-63,-69,-59,-56,-50,-49,-52,-69,-76,-61,-72,-69,-59,-49,-82,-68,-58,-200,-75,-79,-77,-69,-80,-65,-54,-80,-88,-72,-69,-80,-71,-65,-68,-71,-80,-80,-200,-77,-77,-84,-200,-80,-83,-89,-90,-86,-81,-88,-85,-86,-64,-200,-87,-200,-82,-84,-77,-200,-86,-200,-200,-68,-70,-73,-76,-82,-82,-84,-86,-90,-200,-89,-75,-78,-87,-82,-82,-200,-83,-87,-85,-200,-90,-62,-80,-200,-200,-200,-200,-81,-200,-200,-77,-84,-93,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-83,-86,-76,-91,-69,-200
1526453154552,-36,-30,-15,-42,-45,-49,-43,-47,-57,-51,-54,-66,-71,-57,-58,-49,-55,-53,-69,-70,-60,-72,-68,-58,-48,-82,-66,-58,-200,-70,-78,-79,-72,-80,-65,-53,-80,-87,-72,-74,-80,-70,-66,-69,-76,-80,-80,-200,-76,-77,-83,-200,-85,-82,-80,-90,-83,-84,-84,-85,-200,-71,-200,-89,-200,-82,-84,-76,-200,-86,-200,-78,-69,-72,-74,-72,-200,-82,-84,-200,-89,-200,-200,-74,-76,-82,-83,-82,-200,-83,-87,-83,-200,-200,-54,-80,-88,-200,-200,-200,-81,-85,-66,-77,-86,-200,-200,-89,-200,-200,-200,-83,-200,-200,-80,-200,-83,-200,-200,-200,-69,-200
1526453157594,-37,-30,-34,-48,-45,-50,-42,-47,-59,-52,-56,-54,-71,-51,-55,-48,-53,-52,-69,-70,-61,-72,-68,-62,-51,-200,-61,-58,-200,-69,-78,-79,-72,-80,-65,-53,-80,-89,-72,-74,-80,-76,-66,-60,-72,-80,-77,-200,-74,-58,-83,-200,-76,-82,-79,-89,-84,-80,-84,-84,-200,-65,-200,-87,-200,-82,-86,-76,-200,-86,-200,-78,-69,-71,-72,-76,-200,-82,-200,-89,-90,-200,-200,-74,-75,-84,-83,-81,-200,-83,-87,-83,-200,-200,-54,-80,-88,-200,-200,-200,-81,-85,-66,-77,-84,-200,-200,-89,-200,-200,-89,-83,-200,-200,-80,-200,-83,-200,-200,-200,-69,-200
1526453160631,-44,-38,-37,-44,-42,-51,-52,-50,-59,-52,-53,-63,-71,-53,-55,-56,-50,-60,-69,-70,-63,-200,-76,-61,-52,-79,-70,-58,-200,-69,-78,-82,-72,-79,-65,-55,-80,-89,-72,-74,-200,-70,-66,-60,-73,-80,-75,-200,-76,-58,-83,-200,-76,-82,-81,-90,-84,-83,-81,-83,-200,-65,-200,-87,-200,-82,-86,-76,-200,-91,-200,-78,-76,-71,-73,-76,-200,-81,-200,-89,-90,-200,-90,-74,-77,-84,-83,-81,-200,-83,-87,-84,-200,-200,-70,-200,-88,-200,-200,-200,-200,-85,-66,-85,-84,-200,-200,-89,-200,-200,-89,-83,-200,-200,-80,-200,-200,-90,-200,-200,-200,-87
