,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526452049496,-43,-30,-50,-48,-55,-45,-47,-42,-55,-40,-44,-54,-52,-48,-56,-64,-56,-53,-62,-65,-78,-80,-61,-74,-83,-70,-57,-66,-69,-74,-64,-200,-66,-78,-67,-62,-52,-65,-54,-74,-59,-89,-72,-58,-70,-78,-70,-64,-82,-74,-83,-61,-200,-78,-70,-84,-200,-80,-80,-86,-79,-80,-56,-74,-77,-67,-78,-86,-200,-200,-86,-73,-78,-88,-86,-200,-90,-200,-80,-88,-85,-200,-88,-86,-87,-83,-200,-200,-93,-88,-200,-82,-200,-200,-89,-200,-200,-60,-80,-79,-200,-200,-83,-84,-86,-200,-90,-77,-200,-200,-79,-88,-89,-84,-87,-90,-200,-200,-200,-200,-200
1526452052514,-41,-7,-45,-55,-54,-46,-48,-45,-57,-40,-42,-59,-53,-48,-56,-71,-56,-53,-62,-65,-74,-78,-60,-77,-88,-73,-57,-63,-69,-68,-64,-200,-67,-78,-76,-62,-52,-66,-63,-74,-58,-80,-72,-59,-72,-79,-70,-64,-82,-74,-83,-62,-200,-78,-80,-200,-200,-80,-80,-85,-81,-79,-68,-73,-78,-66,-81,-91,-200,-91,-85,-80,-79,-90,-85,-200,-90,-200,-80,-200,-82,-200,-80,-85,-87,-87,-200,-200,-200,-92,-93,-82,-200,-200,-89,-200,-200,-58,-80,-200,-200,-200,-83,-84,-82,-200,-90,-77,-93,-200,-200,-88,-89,-87,-87,-91,-200,-200,-200,-200,-200
1526452055560,-43,-8,-45,-58,-51,-45,-48,-42,-55,-41,-51,-52,-49,-50,-56,-69,-62,-56,-60,-62,-72,-80,-65,-77,-73,-73,-52,-63,-76,-72,-73,-200,-68,-77,-76,-200,-59,-67,-63,-81,-58,-84,-78,-60,-70,-80,-82,-71,-80,-76,-73,-62,-200,-80,-77,-200,-200,-80,-78,-83,-80,-79,-67,-74,-79,-65,-79,-88,-200,-91,-82,-81,-79,-89,-83,-90,-90,-200,-80,-200,-83,-200,-80,-85,-200,-85,-200,-200,-200,-92,-93,-83,-200,-200,-87,-200,-200,-60,-81,-79,-200,-87,-83,-81,-86,-200,-89,-77,-90,-200,-65,-82,-200,-87,-87,-91,-85,-200,-200,-200,-200
1526452058601,-38,-28,-47,-48,-51,-44,-49,-40,-49,-40,-42,-51,-50,-52,-53,-61,-57,-58,-61,-66,-72,-73,-59,-77,-73,-71,-69,-63,-72,-72,-73,-200,-66,-72,-76,-200,-49,-65,-63,-81,-52,-88,-73,-52,-71,-80,-66,-69,-80,-76,-71,-57,-200,-80,-80,-200,-73,-200,-83,-83,-80,-76,-67,-75,-79,-65,-83,-88,-200,-91,-82,-80,-79,-91,-83,-90,-91,-200,-200,-200,-81,-200,-79,-85,-200,-83,-200,-200,-200,-92,-93,-83,-200,-92,-87,-200,-200,-63,-81,-77,-200,-87,-200,-81,-84,-200,-89,-77,-90,-200,-65,-82,-200,-87,-200,-91,-85,-91,-200,-200,-200
1526452061637,-42,-31,-45,-50,-59,-44,-46,-41,-56,-41,-44,-55,-51,-52,-55,-60,-54,-58,-59,-64,-72,-76,-59,-200,-73,-69,-60,-67,-70,-72,-63,-200,-66,-75,-76,-200,-53,-63,-200,-81,-58,-88,-68,-60,-70,-81,-69,-69,-78,-76,-71,-62,-200,-80,-80,-200,-73,-200,-80,-82,-80,-79,-68,-75,-78,-68,-83,-88,-200,-91,-82,-83,-79,-91,-85,-90,-88,-200,-81,-200,-84,-200,-79,-200,-82,-83,-200,-200,-200,-200,-200,-83,-200,-92,-87,-200,-200,-63,-81,-77,-200,-87,-200,-81,-85,-200,-89,-78,-90,-200,-68,-82,-200,-200,-200,-91,-85,-91,-88,-200,-200
1526452064678,-43,-26,-47,-50,-57,-47,-47,-41,-56,-38,-42,-51,-54,-51,-55,-59,-53,-59,-65,-62,-73,-78,-61,-200,-73,-70,-66,-63,-67,-73,-60,-200,-66,-72,-76,-63,-52,-64,-69,-200,-57,-88,-74,-53,-69,-80,-67,-67,-78,-200,-71,-65,-89,-80,-81,-200,-72,-80,-80,-85,-82,-80,-68,-75,-79,-65,-83,-88,-200,-91,-82,-81,-79,-87,-90,-90,-90,-200,-80,-200,-82,-200,-85,-200,-82,-92,-200,-200,-87,-200,-200,-82,-200,-92,-87,-200,-200,-62,-200,-77,-200,-87,-200,-200,-91,-200,-91,-75,-200,-200,-68,-82,-92,-200,-200,-91,-200,-91,-88,-85,-200
1526452067712,-41,-27,-47,-49,-55,-48,-47,-40,-55,-40,-44,-50,-50,-51,-54,-60,-53,-53,-65,-62,-74,-77,-58,-75,-84,-77,-68,-64,-67,-74,-62,-200,-65,-70,-66,-63,-51,-65,-69,-77,-58,-88,-76,-57,-69,-81,-76,-67,-81,-200,-71,-64,-91,-200,-81,-200,-72,-80,-79,-82,-82,-80,-68,-74,-80,-64,-83,-200,-200,-91,-82,-81,-80,-89,-82,-200,-90,-200,-82,-200,-82,-200,-85,-84,-82,-87,-200,-200,-87,-200,-200,-82,-200,-92,-88,-200,-90,-63,-200,-77,-200,-200,-200,-200,-83,-200,-90,-75,-200,-200,-70,-82,-92,-86,-200,-91,-200,-91,-88,-85,-200
1526452070755,-39,-21,-47,-54,-66,-47,-47,-42,-54,-40,-51,-51,-53,-51,-54,-59,-57,-59,-63,-65,-76,-73,-58,-75,-84,-72,-70,-64,-80,-72,-62,-200,-65,-70,-66,-63,-44,-65,-68,-77,-51,-88,-70,-58,-70,-80,-70,-70,-80,-200,-71,-57,-91,-200,-83,-200,-72,-81,-80,-83,-81,-77,-67,-74,-80,-65,-78,-200,-200,-92,-82,-79,-78,-89,-82,-200,-90,-200,-82,-200,-80,-200,-85,-84,-82,-85,-200,-200,-87,-200,-200,-82,-200,-200,-86,-200,-86,-63,-200,-200,-200,-200,-86,-82,-82,-82,-90,-83,-200,-200,-70,-82,-92,-86,-200,-200,-200,-200,-88,-85,-200
1526452073798,-40,-28,-46,-50,-58,-48,-48,-42,-56,-41,-41,-52,-51,-50,-56,-64,-59,-59,-63,-62,-77,-77,-59,-75,-84,-75,-69,-71,-80,-73,-62,-200,-66,-70,-67,-63,-51,-61,-68,-77,-60,-84,-74,-58,-69,-79,-65,-65,-80,-200,-76,-62,-91,-75,-85,-200,-72,-79,-80,-83,-82,-78,-78,-75,-80,-68,-84,-89,-200,-92,-83,-79,-81,-85,-83,-200,-91,-200,-81,-200,-80,-200,-85,-84,-200,-85,-200,-200,-87,-200,-200,-82,-200,-200,-86,-200,-86,-58,-200,-200,-200,-200,-85,-82,-82,-82,-90,-83,-200,-200,-70,-88,-92,-86,-200,-200,-200,-200,-200,-85,-200
1526452076841,-38,-28,-45,-50,-58,-47,-47,-40,-58,-41,-41,-52,-51,-49,-58,-63,-57,-54,-62,-66,-74,-78,-56,-70,-77,-69,-68,-68,-80,-71,-62,-200,-66,-74,-67,-68,-51,-63,-68,-77,-54,-82,-74,-60,-69,-79,-68,-72,-80,-200,-73,-61,-91,-75,-81,-200,-200,-79,-81,-79,-82,-77,-67,-74,-81,-71,-83,-89,-200,-88,-83,-79,-79,-85,-85,-200,-91,-200,-81,-200,-83,-200,-88,-84,-200,-85,-200,-200,-200,-200,-200,-82,-200,-200,-88,-200,-86,-58,-80,-200,-200,-200,-85,-82,-87,-82,-90,-83,-200,-200,-70,-88,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526452079877,-44,-26,-47,-49,-54,-45,-47,-39,-54,-40,-44,-59,-52,-51,-49,-60,-57,-68,-62,-60,-73,-77,-59,-70,-77,-72,-70,-64,-80,-71,-64,-200,-66,-86,-64,-70,-51,-63,-68,-200,-60,-82,-70,-59,-70,-83,-68,-70,-80,-200,-72,-56,-200,-80,-81,-200,-200,-79,-79,-79,-82,-80,-77,-74,-81,-67,-83,-89,-200,-88,-92,-79,-80,-88,-85,-200,-90,-200,-81,-90,-80,-200,-88,-200,-200,-85,-200,-200,-88,-200,-200,-85,-200,-200,-88,-200,-86,-64,-80,-80,-200,-200,-85,-82,-87,-82,-200,-83,-200,-200,-69,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452082897,-40,-27,-46,-48,-54,-45,-47,-42,-54,-40,-43,-52,-51,-48,-55,-59,-54,-54,-52,-60,-74,-78,-58,-70,-77,-70,-69,-64,-69,-72,-64,-200,-66,-86,-64,-65,-51,-63,-200,-200,-60,-81,-74,-56,-63,-80,-68,-69,-82,-70,-75,-62,-200,-80,-81,-200,-74,-81,-79,-84,-82,-79,-68,-73,-81,-67,-78,-89,-200,-88,-83,-80,-78,-88,-83,-200,-90,-200,-81,-90,-80,-200,-88,-86,-200,-88,-200,-200,-88,-89,-200,-83,-200,-200,-87,-200,-200,-64,-80,-80,-200,-200,-85,-200,-87,-200,-92,-78,-90,-200,-69,-88,-200,-200,-200,-200,-200,-200,-200,-200,-90
