,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro
1526458497275,-37,-35,-44,-47,-47,-50,-44,-52,-50,-55,-51,-56,-70,-72,-64,-71,-67,-59,-62,-64,-63,-76,-200,-71,-74,-69,-67,-67,-78,-69,-75,-67,-63,-74,-69,-73,-80,-200,-73,-70,-78,-77,-78,-81,-79,-81,-82,-80,-78,-84,-81,-80,-200,-85,-74,-200,-200,-85,-200,-87,-87,-200,-200,-88,-76,-86,-200,-85,-86,-86,-90,-80,-200,-200,-200,-200,-200
1526458500345,-34,-35,-46,-48,-48,-50,-46,-53,-46,-57,-51,-56,-70,-72,-60,-70,-67,-64,-62,-65,-63,-84,-200,-71,-73,-72,-67,-64,-74,-69,-75,-67,-67,-74,-69,-74,-80,-200,-73,-70,-81,-88,-78,-81,-87,-79,-82,-80,-78,-84,-81,-79,-200,-85,-74,-200,-200,-85,-200,-87,-88,-200,-200,-88,-73,-86,-200,-85,-87,-89,-90,-80,-200,-200,-200,-200,-200
1526458503406,-34,-37,-46,-49,-44,-49,-43,-51,-62,-57,-51,-56,-67,-68,-59,-71,-72,-57,-61,-62,-64,-71,-200,-69,-73,-72,-70,-64,-74,-69,-75,-67,-66,-74,-69,-73,-80,-200,-73,-67,-78,-88,-200,-81,-85,-79,-82,-80,-75,-84,-200,-79,-200,-85,-74,-200,-200,-200,-200,-200,-86,-200,-200,-88,-73,-86,-200,-85,-88,-89,-90,-80,-200,-200,-200,-200,-200
1526458506492,-35,-35,-44,-47,-47,-53,-47,-53,-54,-55,-52,-57,-67,-69,-59,-70,-69,-58,-60,-64,-68,-71,-200,-75,-73,-72,-70,-66,-77,-68,-74,-67,-64,-70,-69,-74,-80,-200,-73,-67,-78,-90,-75,-82,-84,-79,-200,-80,-82,-84,-200,-76,-85,-200,-74,-200,-200,-83,-200,-200,-86,-95,-200,-88,-73,-86,-200,-85,-89,-89,-90,-80,-89,-90,-200,-200,-200
1526458509537,-35,-36,-44,-49,-48,-49,-47,-49,-54,-58,-52,-55,-67,-69,-59,-70,-69,-58,-63,-62,-67,-71,-83,-75,-73,-72,-67,-66,-77,-66,-76,-70,-64,-70,-68,-74,-200,-200,-200,-67,-76,-90,-75,-82,-85,-79,-200,-80,-78,-82,-200,-76,-85,-200,-77,-200,-200,-83,-200,-200,-88,-95,-200,-200,-74,-86,-200,-85,-89,-89,-200,-80,-89,-90,-82,-200,-200
1526458512596,-35,-40,-44,-43,-44,-49,-43,-48,-51,-57,-52,-56,-72,-72,-59,-70,-69,-58,-64,-60,-65,-72,-83,-71,-81,-66,-67,-67,-77,-66,-76,-70,-66,-70,-67,-73,-200,-200,-75,-67,-77,-90,-75,-81,-85,-81,-80,-80,-77,-82,-200,-76,-85,-200,-77,-200,-200,-83,-200,-200,-86,-95,-200,-200,-74,-200,-200,-200,-89,-89,-200,-200,-89,-90,-82,-200,-200
1526458515683,-34,-39,-45,-43,-47,-47,-50,-48,-51,-55,-53,-56,-65,-72,-62,-70,-69,-63,-64,-60,-64,-72,-83,-72,-81,-70,-65,-67,-77,-66,-75,-71,-67,-70,-65,-72,-200,-200,-78,-67,-77,-90,-75,-81,-84,-80,-80,-79,-78,-82,-200,-76,-85,-200,-77,-200,-200,-83,-87,-200,-86,-95,-200,-200,-74,-200,-200,-200,-89,-87,-200,-200,-89,-90,-82,-85,-200
1526458518726,-33,-37,-47,-43,-46,-48,-50,-52,-54,-58,-50,-56,-61,-72,-61,-76,-69,-60,-61,-67,-64,-72,-84,-72,-81,-74,-65,-67,-80,-64,-79,-71,-67,-74,-65,-72,-200,-200,-78,-200,-77,-78,-75,-81,-84,-80,-82,-79,-78,-82,-200,-76,-87,-87,-77,-200,-200,-83,-87,-200,-87,-95,-200,-200,-74,-200,-200,-200,-88,-87,-200,-200,-89,-90,-82,-85,-200
1526458521788,-32,-39,-45,-44,-46,-49,-49,-52,-54,-58,-53,-56,-61,-72,-61,-72,-69,-57,-60,-71,-63,-74,-84,-70,-81,-74,-67,-69,-80,-64,-76,-71,-64,-74,-71,-72,-200,-200,-79,-200,-78,-76,-200,-85,-83,-80,-82,-78,-78,-82,-200,-81,-87,-87,-77,-200,-200,-200,-87,-88,-87,-200,-200,-200,-74,-200,-200,-200,-88,-87,-200,-200,-200,-200,-82,-85,-200
1526458524832,-32,-39,-40,-47,-43,-50,-49,-52,-54,-58,-53,-56,-61,-73,-60,-72,-200,-58,-62,-71,-65,-70,-84,-70,-81,-74,-67,-69,-76,-64,-76,-70,-64,-74,-71,-72,-200,-200,-79,-200,-78,-76,-200,-85,-83,-80,-82,-78,-78,-200,-200,-81,-87,-87,-78,-200,-200,-200,-87,-88,-87,-200,-200,-200,-200,-200,-200,-200,-88,-87,-200,-200,-200,-200,-200,-85,-73
1526458527894,-32,-38,-41,-44,-43,-54,-47,-51,-54,-56,-51,-56,-66,-70,-61,-72,-65,-60,-62,-62,-65,-66,-84,-73,-200,-74,-67,-69,-72,-64,-76,-70,-63,-81,-71,-73,-200,-80,-79,-200,-78,-76,-200,-85,-83,-80,-82,-78,-73,-200,-200,-75,-87,-87,-78,-200,-200,-200,-87,-88,-87,-200,-200,-90,-200,-200,-200,-83,-90,-87,-200,-200,-200,-200,-200,-85,-73
1526458530961,-35,-38,-41,-44,-47,-54,-53,-52,-54,-56,-53,-56,-70,-71,-61,-72,-69,-64,-63,-61,-65,-66,-84,-70,-200,-69,-61,-69,-73,-64,-74,-70,-63,-81,-69,-73,-200,-80,-79,-200,-78,-76,-200,-83,-85,-80,-82,-78,-72,-85,-200,-72,-87,-87,-78,-200,-200,-200,-200,-88,-88,-200,-200,-90,-75,-200,-200,-83,-90,-200,-200,-200,-200,-200,-200,-200,-73
