,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526447708156,-75,-200,-76,-200,-200,-78,-200,-200,-200,-200,-200,-77,-92,-76,-200,-200,-86,-80,-200,-200,-84,-89,-93,-200,-79,-88,-200,-200,-88,-200,-92,-200,-200,-92,-91,-92,-200,-200,-200,-200,-200,-200,-200
1526447710393,-77,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-74,-200,-200,-200,-200,-80,-200,-94,-81,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447711473,-200,-200,-88,-82,-200,-200,-200,-80,-200,-71,-200,-79,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-93,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447712567,-200,-200,-79,-81,-200,-70,-200,-200,-200,-64,-200,-79,-200,-200,-88,-200,-78,-200,-75,-200,-200,-200,-92,-90,-82,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526447713763,-200,-200,-79,-90,-76,-200,-200,-82,-200,-62,-200,-200,-200,-83,-94,-200,-77,-200,-200,-200,-85,-98,-95,-90,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447714853,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-68,-74,-82,-200,-200,-200,-80,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-81,-89,-200,-200,-200,-200
1526447715968,-72,-94,-80,-200,-200,-71,-88,-200,-200,-67,-200,-77,-200,-75,-91,-200,-200,-200,-71,-200,-74,-200,-200,-200,-200,-200,-85,-200,-200,-200,-89,-200,-200,-200,-98,-86,-200,-90,-200,-95,-200,-200,-200
1526447718173,-200,-200,-200,-200,-76,-200,-87,-74,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-86,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447720363,-200,-95,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-76,-82,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447720454,-72,-200,-200,-200,-200,-77,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-89,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-91,-200,-200
1526447721510,-200,-200,-80,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-84,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447722577,-89,-200,-200,-200,-73,-70,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-76,-200,-81,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200
1526447722682,-80,-200,-90,-88,-81,-72,-200,-77,-200,-62,-200,-88,-200,-93,-200,-200,-83,-200,-72,-72,-79,-92,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447723821,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526447724867,-76,-200,-70,-200,-83,-71,-82,-200,-200,-62,-200,-200,-82,-200,-87,-200,-200,-200,-72,-75,-200,-200,-200,-87,-75,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447726035,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-92,-200,-200,-200,-200,-200,-200
1526447727068,-200,-93,-200,-200,-200,-72,-200,-200,-200,-67,-200,-200,-81,-75,-200,-200,-200,-200,-69,-75,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526447728182,-200,-200,-200,-200,-77,-200,-200,-79,-200,-64,-200,-79,-86,-200,-200,-200,-82,-200,-200,-77,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447729263,-200,-200,-71,-200,-72,-200,-200,-200,-200,-64,-200,-82,-81,-200,-200,-85,-200,-200,-200,-74,-200,-200,-200,-88,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-93,-200,-200,-200,-200,-200
1526447730395,-86,-200,-75,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-83,-90,-200,-200,-200,-87,-200,-200,-93,-88,-200,-200,-200,-200
1526447731504,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526447732567,-200,-200,-200,-82,-200,-77,-200,-200,-200,-70,-200,-79,-200,-82,-83,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447732664,-200,-200,-200,-80,-72,-200,-200,-78,-200,-71,-200,-200,-200,-200,-85,-75,-200,-79,-200,-200,-76,-90,-200,-200,-200,-200,-200,-200,-91,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447733767,-200,-200,-200,-200,-200,-82,-200,-83,-200,-200,-200,-82,-200,-200,-87,-200,-200,-80,-87,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526447734888,-75,-200,-200,-82,-200,-77,-200,-78,-200,-67,-200,-200,-85,-200,-87,-75,-81,-200,-200,-73,-79,-200,-200,-89,-200,-200,-90,-200,-93,-200,-91,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526447737110,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-84,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447738173,-74,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-86,-84,-88,-82,-81,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-90,-200,-200,-80,-200,-200,-200,-200,-200
1526447739300,-72,-93,-200,-78,-70,-71,-200,-200,-200,-69,-200,-82,-78,-73,-200,-200,-200,-200,-72,-200,-200,-95,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447741514,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-81,-200,-200,-200,-80,-68,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526447742651,-200,-200,-89,-200,-79,-200,-200,-83,-200,-67,-200,-200,-200,-86,-95,-200,-200,-78,-76,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-88,-89,-200,-200,-200,-200,-84,-200,-200,-92,-200,-200,-97,-200
1526447743778,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-74,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526447744861,-200,-92,-200,-200,-200,-200,-200,-74,-200,-67,-200,-200,-87,-82,-90,-200,-83,-79,-200,-80,-200,-96,-200,-200,-200,-200,-200,-200,-90,-84,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94
1526447747096,-200,-200,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447748173,-73,-200,-72,-200,-200,-200,-200,-80,-200,-67,-200,-200,-200,-200,-88,-76,-82,-85,-200,-78,-84,-200,-200,-200,-200,-86,-200,-200,-200,-81,-91,-200,-200,-200,-200,-86,-200,-80,-200,-200,-200,-200,-98
1526447749321,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526447750373,-200,-88,-71,-83,-200,-200,-200,-75,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447751534,-200,-200,-72,-83,-200,-76,-200,-200,-200,-67,-200,-200,-200,-200,-84,-200,-200,-81,-71,-70,-200,-200,-91,-95,-73,-200,-200,-200,-200,-200,-89,-200,-200,-92,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526447753772,-88,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-82,-79,-200,-70,-200,-98,-200,-92,-72,-88,-200,-200,-200,-200,-90,-92,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526447754975,-200,-200,-75,-200,-200,-200,-91,-75,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-68,-200,-200,-92,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526447756018,-200,-200,-77,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-73,-200,-93,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447758170,-87,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-82,-87,-200,-77,-200,-200,-80,-200,-97,-200,-96,-200,-200,-200,-200,-90,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447759277,-77,-200,-71,-200,-74,-78,-200,-200,-200,-70,-200,-87,-200,-81,-200,-200,-79,-200,-200,-80,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526447760387,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-74,-200,-200,-200,-200,-89,-76,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
