,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526449241950,-200,-68,-84,-200,-73,-200,-200,-200,-76,-200,-80,-200,-200,-200,-84,-63,-200,-200,-200,-200,-78,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449243073,-200,-200,-76,-200,-200,-200,-81,-200,-72,-200,-200,-200,-200,-82,-200,-67,-200,-200,-200,-200,-200,-81,-86,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-93,-90,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526449244233,-200,-200,-200,-90,-200,-200,-200,-200,-76,-200,-200,-81,-90,-90,-200,-61,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-85,-88,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449246341,-200,-200,-78,-200,-71,-86,-200,-200,-200,-200,-78,-200,-200,-200,-200,-64,-200,-200,-200,-200,-77,-200,-75,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449247461,-200,-200,-75,-200,-200,-200,-80,-200,-73,-200,-78,-200,-200,-200,-87,-67,-92,-200,-200,-200,-200,-80,-88,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449248555,-200,-200,-200,-200,-200,-200,-82,-79,-200,-200,-80,-200,-200,-200,-200,-60,-200,-87,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-93,-200,-200,-200,-200,-200,-200
1526449249768,-200,-200,-200,-200,-200,-200,-81,-200,-74,-96,-81,-200,-94,-92,-200,-66,-200,-200,-93,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-93,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526449250940,-200,-67,-75,-200,-78,-200,-80,-200,-69,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526449252000,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449253052,-200,-200,-81,-200,-200,-200,-200,-200,-75,-200,-80,-83,-200,-200,-200,-61,-200,-200,-200,-200,-79,-200,-200,-68,-200,-92,-200,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449254147,-89,-200,-200,-200,-200,-86,-200,-200,-69,-200,-200,-200,-200,-200,-89,-200,-200,-81,-200,-87,-75,-80,-74,-69,-200,-200,-200,-200,-82,-200,-200,-200,-200,-77,-84,-200,-88,-71,-200,-200,-93,-200,-200,-200,-200,-200
1526449255300,-200,-200,-79,-90,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-90,-200,-89,-200,-200,-92,-79,-81,-72,-68,-200,-200,-91,-200,-78,-91,-200,-200,-88,-84,-200,-83,-85,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526449257460,-200,-200,-200,-200,-200,-200,-80,-87,-200,-90,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-75,-80,-200,-69,-200,-200,-92,-200,-200,-200,-200,-97,-200,-200,-94,-200,-200,-73,-200,-200,-200,-96,-200,-200,-200,-200
1526449258715,-200,-67,-200,-200,-71,-200,-200,-200,-70,-200,-77,-200,-200,-200,-200,-64,-200,-200,-200,-200,-75,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526449259780,-88,-68,-200,-200,-71,-200,-82,-200,-73,-200,-78,-85,-90,-83,-90,-200,-89,-81,-200,-200,-78,-79,-72,-67,-94,-200,-200,-200,-82,-200,-200,-200,-200,-82,-200,-82,-200,-71,-200,-200,-92,-200,-200,-200,-200,-200
1526449263049,-200,-200,-74,-200,-200,-200,-200,-84,-73,-200,-79,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-79,-84,-77,-94,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526449264167,-200,-70,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-61,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526449265259,-200,-67,-74,-200,-72,-86,-78,-84,-70,-200,-200,-200,-200,-200,-200,-65,-200,-84,-200,-87,-200,-80,-200,-78,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-89,-200,-200,-87,-200,-200,-94,-200,-200,-200,-200
1526449267447,-200,-200,-200,-200,-200,-86,-83,-81,-76,-200,-200,-84,-200,-200,-200,-63,-90,-200,-200,-200,-200,-80,-200,-200,-90,-200,-92,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449268668,-88,-200,-74,-200,-200,-200,-79,-84,-73,-200,-200,-200,-200,-200,-200,-65,-200,-81,-93,-87,-200,-200,-200,-77,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200
1526449269751,-200,-67,-200,-200,-200,-200,-85,-200,-73,-200,-200,-200,-90,-88,-200,-65,-200,-200,-93,-87,-200,-79,-72,-68,-200,-200,-92,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-68,-91,-200,-200,-200,-200,-93,-200,-200
1526449272023,-87,-70,-200,-200,-200,-200,-80,-200,-200,-200,-200,-82,-90,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-77,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526449273103,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449274147,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-67,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-92,-200
1526449275248,-88,-200,-78,-200,-200,-200,-200,-84,-74,-200,-78,-83,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-88,-76,-200,-92,-200,-200,-77,-200,-200,-200,-200,-83,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526449276368,-200,-200,-200,-200,-200,-200,-82,-79,-75,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-92,-78,-200,-200,-68,-200,-200,-200,-86,-200,-200,-200,-200,-88,-200,-88,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526449277455,-200,-67,-74,-200,-200,-200,-200,-200,-69,-200,-78,-82,-200,-200,-200,-200,-200,-200,-200,-86,-75,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526449278633,-88,-67,-77,-200,-76,-86,-200,-81,-74,-200,-200,-85,-200,-200,-92,-61,-89,-90,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-84,-200,-200,-200,-88,-82,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526449280904,-200,-71,-200,-200,-200,-200,-200,-80,-75,-200,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449281960,-200,-68,-75,-200,-72,-200,-200,-76,-200,-200,-75,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-80,-93,-92,-200,-200,-200,-89,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200
1526449283079,-87,-68,-200,-200,-200,-200,-200,-82,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449284166,-200,-200,-76,-200,-71,-200,-200,-78,-70,-90,-78,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-68,-200,-82,-200,-200,-84,-90,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449285275,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-82,-94,-86,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449286361,-200,-200,-200,-200,-77,-200,-80,-80,-76,-200,-200,-82,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449287447,-200,-200,-200,-200,-200,-200,-77,-79,-78,-200,-92,-200,-200,-200,-200,-200,-200,-80,-200,-87,-200,-80,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449288584,-200,-200,-200,-200,-200,-200,-82,-88,-77,-94,-81,-200,-200,-90,-200,-200,-200,-200,-200,-200,-83,-79,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-94,-92,-200,-200,-200,-200,-200,-200,-200,-95,-200
1526449289752,-200,-67,-77,-200,-200,-86,-78,-200,-200,-200,-80,-82,-200,-200,-200,-200,-200,-79,-200,-200,-73,-81,-71,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449290857,-200,-200,-200,-200,-200,-200,-82,-82,-78,-200,-200,-80,-200,-200,-200,-66,-200,-80,-200,-200,-81,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94
1526449291965,-200,-71,-79,-200,-78,-200,-81,-200,-200,-200,-77,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-84,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526449293076,-200,-200,-200,-200,-200,-200,-75,-77,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526449294162,-200,-68,-200,-200,-200,-200,-200,-87,-200,-200,-200,-82,-200,-89,-200,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-87,-84,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
