,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526447467371,-200,-79,-200,-200,-82,-200,-200,-200,-79,-200,-200,-68,-87,-76,-200,-200,-90,-75,-73,-75,-76,-200,-89,-200,-76,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447469568,-200,-80,-72,-200,-200,-90,-200,-200,-76,-200,-200,-200,-200,-76,-83,-86,-87,-76,-200,-200,-72,-86,-87,-67,-72,-200,-200,-80,-200,-200,-200,-200,-92,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447470803,-200,-200,-200,-85,-200,-200,-200,-94,-200,-76,-200,-70,-200,-200,-200,-90,-200,-81,-70,-200,-72,-84,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447471890,-200,-200,-70,-85,-83,-200,-200,-200,-70,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-63,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526447472989,-200,-200,-200,-78,-200,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-67,-200,-200,-75,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-95,-93,-200,-200,-200,-200,-200,-200
1526447475167,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-77,-200,-83,-76,-200,-71,-72,-83,-200,-65,-71,-89,-92,-200,-84,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526447476330,-200,-200,-68,-74,-86,-200,-200,-200,-67,-200,-200,-200,-200,-75,-200,-200,-82,-200,-200,-74,-200,-200,-87,-72,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526447478470,-90,-80,-200,-200,-200,-90,-200,-200,-75,-78,-200,-200,-84,-75,-200,-200,-200,-75,-200,-86,-72,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-88,-200,-200,-200
1526447479557,-200,-200,-200,-200,-200,-200,-200,-200,-68,-74,-200,-200,-200,-74,-200,-83,-81,-200,-200,-200,-200,-200,-83,-200,-74,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526447479663,-96,-200,-69,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-96,-200,-200,-200,-200,-200
1526447479785,-200,-200,-68,-200,-89,-86,-200,-200,-69,-200,-200,-61,-85,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-73,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526447482833,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-75,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526447484176,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-78,-72,-200,-200,-200,-83,-200,-76,-88,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-93,-200,-200
1526447485578,-200,-79,-70,-200,-200,-92,-87,-200,-200,-200,-200,-68,-200,-200,-200,-200,-78,-200,-200,-68,-72,-87,-200,-66,-200,-95,-80,-200,-200,-200,-94,-200,-93,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526447488457,-200,-80,-70,-200,-200,-86,-200,-200,-200,-200,-90,-200,-200,-200,-200,-90,-80,-200,-200,-200,-74,-86,-200,-69,-200,-200,-200,-92,-86,-200,-200,-200,-200,-200,-85,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447488570,-200,-79,-200,-200,-200,-92,-200,-200,-200,-200,-83,-200,-200,-78,-88,-200,-200,-77,-200,-200,-77,-80,-200,-68,-76,-200,-200,-84,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447491336,-200,-200,-200,-78,-200,-200,-200,-200,-200,-79,-93,-62,-81,-76,-200,-200,-200,-200,-68,-70,-200,-84,-200,-65,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447491441,-200,-200,-200,-78,-82,-200,-200,-200,-200,-200,-200,-61,-200,-79,-79,-200,-78,-74,-70,-200,-200,-200,-200,-63,-70,-86,-200,-200,-88,-78,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447491592,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-66,-200,-82,-200,-200,-81,-200,-70,-73,-200,-83,-200,-66,-200,-200,-200,-84,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526447491700,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-73,-81,-70,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447491804,-200,-200,-70,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-80,-200,-68,-72,-82,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447491969,-200,-200,-70,-79,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-71,-70,-74,-200,-84,-63,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200
1526447492103,-200,-80,-77,-200,-200,-200,-200,-200,-74,-81,-89,-67,-200,-200,-200,-200,-200,-200,-200,-68,-86,-200,-91,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526447492217,-200,-200,-76,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-80,-200,-200,-200,-200,-78,-75,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447492317,-200,-200,-81,-200,-200,-200,-200,-200,-200,-77,-90,-200,-200,-200,-82,-200,-200,-90,-200,-69,-85,-93,-200,-200,-200,-91,-82,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447492422,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-86,-200,-200,-200,-200,-76,-75,-88,-200,-200,-72,-88,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447492584,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526447494054,-200,-78,-68,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-68,-72,-200,-84,-61,-78,-88,-79,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526447496890,-200,-200,-200,-200,-200,-81,-200,-200,-200,-91,-200,-200,-200,-200,-84,-200,-83,-80,-200,-200,-72,-86,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-95,-200,-200
1526447498268,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447502885,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-81,-200,-200,-84,-200,-67,-200,-84,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-94
1526447511921,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-72,-200,-67,-200,-81,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526447517985,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
