,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526450546993,-43,-54,-61,-67,-42,-43,-58,-85,-66,-58,-78,-69,-79,-61,-76,-55,-200,-47,-61,-77,-62,-84,-57,-74,-58,-68,-200,-70,-200,-78,-55,-78,-68,-200,-84,-93,-69,-85,-88,-85,-200,-89,-200,-200,-95,-200,-75,-200,-200,-87,-200,-200,-70,-84,-200,-90,-79,-82,-91,-200,-87,-200,-200,-91,-200,-84,-200,-92,-53,-59,-59,-68,-200,-76,-83,-80,-81,-94,-91,-89,-92,-74,-83,-84,-86,-83,-200,-91,-80,-200,-200,-200,-97,-96,-91,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526450550052,-45,-54,-61,-62,-39,-44,-59,-85,-70,-61,-83,-64,-77,-52,-78,-54,-200,-50,-56,-78,-62,-88,-56,-74,-56,-67,-200,-71,-200,-77,-56,-79,-69,-84,-83,-93,-69,-85,-88,-84,-200,-89,-200,-94,-95,-200,-75,-94,-95,-80,-200,-200,-70,-88,-200,-90,-200,-84,-92,-200,-87,-200,-200,-91,-200,-86,-200,-92,-59,-56,-58,-72,-74,-75,-72,-79,-82,-90,-90,-90,-92,-74,-81,-84,-86,-83,-200,-200,-82,-96,-200,-200,-97,-96,-91,-200,-84,-200,-94,-77,-200,-200,-200,-200
1526450553106,-45,-56,-59,-67,-38,-45,-59,-85,-66,-61,-82,-65,-78,-61,-81,-59,-87,-53,-57,-79,-63,-87,-59,-76,-57,-65,-200,-70,-200,-80,-51,-79,-71,-84,-83,-93,-200,-86,-200,-83,-200,-83,-200,-94,-200,-200,-76,-94,-95,-83,-200,-200,-70,-90,-200,-91,-75,-84,-92,-200,-78,-200,-200,-200,-200,-87,-200,-90,-62,-57,-59,-71,-74,-77,-77,-79,-80,-90,-93,-90,-93,-76,-81,-84,-86,-83,-200,-200,-80,-97,-200,-96,-96,-96,-91,-200,-81,-200,-94,-77,-200,-200,-200,-200
1526450556160,-44,-56,-60,-70,-39,-45,-62,-78,-67,-60,-82,-74,-77,-61,-84,-57,-87,-51,-59,-78,-64,-76,-58,-76,-55,-65,-200,-70,-200,-79,-54,-79,-68,-84,-84,-93,-71,-88,-88,-83,-200,-83,-200,-97,-200,-200,-76,-97,-95,-81,-200,-200,-68,-85,-200,-89,-79,-84,-92,-94,-78,-200,-200,-91,-200,-85,-200,-90,-61,-55,-60,-70,-74,-78,-80,-81,-80,-90,-92,-95,-93,-77,-81,-83,-83,-80,-200,-200,-80,-97,-200,-96,-96,-200,-200,-93,-81,-200,-200,-77,-82,-200,-200,-200
1526450559201,-44,-55,-56,-71,-39,-45,-61,-79,-69,-59,-82,-71,-86,-61,-84,-53,-87,-51,-58,-81,-62,-84,-57,-74,-52,-62,-200,-70,-200,-80,-56,-79,-70,-200,-83,-94,-68,-84,-88,-83,-200,-81,-200,-97,-200,-200,-73,-97,-200,-76,-200,-200,-72,-86,-200,-89,-75,-82,-91,-94,-88,-200,-200,-89,-200,-81,-200,-91,-61,-59,-61,-75,-78,-75,-73,-80,-83,-95,-94,-95,-93,-76,-82,-84,-83,-83,-200,-92,-81,-97,-86,-96,-96,-96,-200,-93,-81,-200,-200,-200,-82,-200,-200,-200
1526450562253,-45,-54,-60,-71,-40,-46,-60,-82,-66,-59,-82,-69,-80,-61,-82,-55,-84,-53,-58,-77,-63,-74,-55,-74,-56,-67,-200,-70,-200,-79,-57,-78,-70,-200,-83,-92,-68,-85,-86,-83,-200,-80,-200,-97,-200,-200,-74,-97,-95,-78,-200,-200,-72,-89,-200,-91,-72,-82,-91,-94,-88,-200,-200,-89,-200,-82,-200,-93,-61,-57,-58,-72,-77,-77,-73,-81,-83,-94,-92,-95,-94,-75,-81,-84,-83,-83,-200,-92,-82,-200,-86,-200,-96,-96,-200,-92,-82,-93,-200,-200,-82,-89,-91,-200
1526450565306,-45,-57,-60,-70,-47,-47,-56,-83,-66,-59,-81,-71,-80,-59,-82,-55,-84,-50,-61,-78,-63,-89,-55,-75,-57,-70,-200,-70,-200,-79,-53,-78,-68,-200,-83,-96,-68,-85,-84,-83,-200,-81,-200,-200,-200,-200,-74,-200,-95,-79,-200,-200,-70,-84,-200,-88,-72,-82,-91,-200,-88,-200,-200,-89,-200,-83,-200,-93,-60,-56,-58,-67,-77,-76,-69,-78,-82,-94,-92,-200,-94,-74,-82,-84,-200,-83,-90,-92,-81,-200,-86,-200,-96,-96,-200,-92,-82,-93,-200,-200,-80,-89,-91,-200
1526450568366,-46,-52,-61,-68,-48,-44,-58,-83,-66,-58,-80,-72,-80,-63,-79,-56,-84,-50,-59,-79,-65,-84,-59,-73,-55,-65,-200,-71,-200,-80,-56,-78,-67,-200,-83,-96,-68,-84,-87,-85,-200,-81,-200,-200,-200,-200,-74,-200,-96,-80,-200,-200,-70,-85,-200,-91,-84,-82,-92,-94,-85,-200,-200,-200,-200,-82,-200,-93,-60,-49,-61,-74,-77,-77,-68,-80,-82,-94,-93,-200,-93,-75,-82,-77,-76,-83,-90,-200,-82,-200,-200,-101,-96,-200,-91,-92,-82,-96,-200,-200,-80,-89,-91,-200
1526450571415,-46,-53,-56,-70,-44,-42,-60,-82,-66,-57,-80,-67,-86,-61,-78,-55,-84,-52,-60,-77,-58,-79,-55,-73,-57,-63,-200,-72,-200,-79,-56,-78,-68,-200,-83,-96,-70,-85,-85,-85,-200,-81,-200,-93,-200,-200,-73,-87,-96,-80,-200,-200,-70,-83,-200,-88,-82,-200,-92,-94,-85,-200,-200,-89,-200,-83,-200,-90,-61,-54,-60,-72,-200,-77,-73,-80,-82,-200,-92,-90,-94,-77,-81,-77,-74,-86,-90,-200,-81,-200,-200,-101,-200,-200,-91,-200,-82,-94,-200,-200,-80,-200,-200,-200
1526450574468,-48,-58,-57,-69,-38,-47,-59,-76,-66,-61,-80,-70,-88,-59,-77,-58,-84,-50,-56,-76,-61,-75,-58,-75,-55,-63,-200,-69,-200,-79,-55,-78,-68,-200,-83,-93,-72,-85,-87,-84,-200,-200,-200,-93,-200,-200,-74,-87,-96,-80,-200,-200,-72,-87,-200,-88,-74,-200,-92,-94,-85,-200,-200,-89,-200,-82,-200,-91,-62,-59,-59,-69,-75,-75,-73,-80,-84,-94,-91,-90,-94,-74,-81,-84,-85,-82,-200,-200,-80,-97,-200,-101,-95,-200,-87,-200,-82,-94,-200,-200,-200,-200,-200,-200
1526450577521,-45,-52,-60,-69,-40,-43,-60,-82,-68,-59,-82,-68,-77,-59,-79,-56,-88,-56,-62,-79,-57,-76,-56,-76,-57,-64,-200,-74,-200,-80,-54,-78,-69,-200,-83,-94,-74,-88,-85,-84,-200,-80,-200,-94,-200,-200,-73,-200,-94,-87,-200,-200,-67,-83,-200,-200,-79,-81,-91,-200,-70,-200,-200,-200,-200,-83,-200,-91,-69,-61,-60,-71,-73,-76,-75,-78,-83,-94,-89,-93,-95,-75,-81,-84,-75,-82,-200,-200,-83,-97,-83,-97,-95,-200,-87,-200,-200,-87,-200,-200,-81,-200,-200,-200
1526450580577,-46,-54,-61,-70,-41,-44,-58,-82,-68,-60,-86,-71,-86,-60,-78,-58,-85,-54,-61,-78,-61,-87,-61,-76,-56,-57,-200,-70,-200,-81,-51,-76,-70,-200,-83,-94,-73,-86,-86,-84,-200,-91,-200,-94,-200,-200,-78,-94,-94,-87,-200,-200,-70,-83,-200,-88,-78,-83,-91,-200,-85,-200,-200,-200,-200,-82,-200,-92,-63,-59,-61,-70,-73,-78,-74,-80,-86,-94,-89,-91,-93,-74,-81,-84,-83,-82,-90,-200,-82,-97,-83,-96,-95,-96,-87,-200,-200,-87,-200,-200,-80,-200,-200,-96
