,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526450392510,-41,-31,-35,-45,-43,-43,-43,-43,-36,-53,-53,-54,-42,-53,-55,-61,-56,-51,-58,-49,-73,-56,-200,-50,-38,-50,-65,-56,-57,-50,-64,-63,-62,-200,-73,-61,-200,-200,-75,-65,-76,-200,-200,-62,-68,-78,-76,-71,-85,-76,-81,-83,-89,-200,-200,-66,-56,-77,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526450395535,-37,-36,-35,-45,-49,-44,-39,-40,-37,-51,-54,-48,-42,-53,-55,-61,-52,-47,-58,-51,-73,-52,-200,-50,-41,-54,-65,-61,-54,-50,-64,-62,-63,-200,-200,-61,-200,-200,-72,-65,-76,-200,-200,-62,-68,-74,-76,-72,-84,-83,-81,-84,-89,-200,-200,-66,-56,-77,-75,-58,-200,-200,-200,-200,-200,-200,-200
1526450398560,-37,-35,-35,-45,-49,-41,-37,-38,-37,-51,-54,-46,-46,-53,-55,-59,-50,-49,-55,-50,-73,-56,-200,-50,-41,-54,-62,-63,-54,-51,-64,-62,-63,-200,-200,-61,-200,-200,-69,-65,-75,-200,-200,-61,-69,-74,-74,-71,-84,-82,-83,-87,-87,-200,-200,-66,-56,-77,-75,-58,-78,-80,-200,-200,-200,-200,-200
1526450401592,-35,-53,-36,-45,-44,-42,-38,-38,-37,-59,-54,-46,-41,-53,-55,-61,-50,-56,-55,-49,-73,-52,-200,-50,-41,-54,-61,-62,-55,-51,-64,-61,-65,-81,-200,-61,-200,-69,-68,-65,-77,-200,-200,-61,-69,-78,-72,-72,-84,-80,-81,-87,-87,-200,-200,-66,-64,-77,-75,-57,-78,-80,-200,-200,-200,-200,-200
1526450404619,-35,-53,-36,-45,-44,-42,-38,-38,-38,-59,-54,-46,-44,-53,-55,-61,-50,-55,-55,-49,-60,-51,-55,-50,-42,-54,-61,-63,-52,-51,-64,-61,-64,-81,-200,-61,-200,-69,-71,-62,-75,-200,-200,-63,-70,-82,-70,-72,-85,-80,-81,-87,-87,-200,-200,-66,-64,-77,-75,-57,-78,-80,-200,-200,-200,-200,-200
1526450407651,-37,-40,-36,-45,-44,-42,-38,-39,-37,-59,-53,-46,-40,-53,-51,-61,-51,-56,-55,-49,-60,-51,-55,-51,-42,-54,-61,-58,-56,-51,-200,-65,-63,-81,-200,-61,-200,-69,-75,-62,-74,-200,-200,-66,-70,-81,-70,-71,-81,-79,-85,-89,-87,-200,-200,-66,-64,-200,-75,-57,-78,-80,-73,-200,-200,-200,-200
1526450410680,-33,-36,-32,-45,-44,-39,-40,-44,-36,-59,-53,-43,-45,-53,-53,-51,-51,-56,-52,-53,-60,-50,-55,-50,-39,-49,-67,-57,-56,-55,-61,-68,-70,-81,-76,-61,-200,-69,-69,-62,-73,-200,-200,-67,-71,-75,-74,-71,-81,-77,-85,-89,-89,-200,-200,-72,-64,-200,-75,-57,-78,-80,-76,-73,-82,-200,-200
1526450413712,-34,-34,-36,-41,-43,-39,-39,-44,-35,-46,-53,-43,-50,-51,-53,-51,-51,-56,-52,-49,-60,-50,-55,-50,-35,-49,-64,-55,-56,-51,-61,-63,-66,-81,-76,-200,-75,-68,-73,-62,-73,-200,-200,-67,-73,-73,-76,-71,-85,-79,-83,-89,-89,-200,-200,-72,-54,-200,-200,-57,-78,-80,-76,-73,-82,-200,-200
1526450416745,-35,-30,-36,-45,-43,-40,-38,-40,-34,-46,-49,-44,-46,-51,-58,-51,-51,-56,-52,-49,-60,-50,-55,-50,-39,-49,-65,-55,-56,-51,-61,-67,-67,-71,-76,-200,-75,-70,-70,-62,-75,-200,-200,-66,-71,-75,-74,-70,-85,-79,-83,-89,-89,-200,-200,-72,-55,-200,-200,-57,-78,-80,-76,-73,-82,-200,-200
1526450419757,-36,-30,-36,-45,-43,-43,-38,-40,-36,-48,-50,-46,-48,-51,-58,-57,-52,-56,-52,-45,-60,-49,-55,-48,-36,-52,-67,-55,-55,-49,-61,-64,-65,-71,-76,-60,-75,-66,-71,-62,-72,-200,-200,-66,-71,-74,-76,-71,-85,-78,-78,-89,-89,-200,-200,-72,-56,-200,-68,-57,-200,-200,-76,-73,-82,-200,-200
1526450422793,-37,-35,-36,-38,-42,-41,-37,-44,-35,-48,-50,-44,-48,-49,-58,-54,-52,-56,-52,-53,-60,-55,-55,-52,-38,-51,-63,-58,-55,-50,-64,-65,-68,-67,-76,-60,-75,-66,-72,-62,-75,-200,-200,-66,-77,-69,-72,-68,-82,-81,-80,-80,-86,-200,-200,-65,-55,-200,-68,-57,-200,-200,-75,-73,-82,-70,-70
1526450425818,-37,-36,-37,-46,-41,-39,-40,-43,-35,-48,-54,-44,-45,-49,-62,-54,-56,-56,-52,-44,-200,-47,-200,-51,-38,-47,-58,-56,-55,-55,-64,-67,-67,-67,-76,-60,-75,-66,-68,-72,-73,-200,-200,-65,-73,-69,-72,-67,-82,-81,-82,-80,-87,-200,-200,-65,-55,-200,-68,-200,-200,-200,-75,-73,-82,-70,-70
