,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D00EC0,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro
1526455454067,-25,-43,-50,-41,-51,-47,-49,-57,-52,-50,-73,-54,-62,-75,-59,-69,-63,-67,-77,-73,-63,-73,-63,-58,-75,-61,-67,-81,-68,-79,-85,-79,-76,-75,-76,-81,-200,-200,-200,-72,-82,-200,-77,-85,-74,-84,-84,-87,-200,-85,-83,-200,-91,-83,-200,-79,-77,-82,-78,-92,-77,-82,-92,-78,-200,-84,-92,-88,-200,-90,-93,-88,-92,-200,-83,-94,-200,-90,-95,-93,-200,-200,-92,-82,-90,-200,-90,-200,-200,-93,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-94,-200,-95,-73,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455457128,-27,-42,-50,-41,-52,-45,-51,-55,-54,-50,-77,-56,-62,-81,-60,-71,-69,-68,-77,-77,-63,-73,-63,-58,-75,-63,-67,-75,-67,-78,-83,-77,-76,-75,-76,-75,-200,-200,-200,-76,-82,-200,-79,-86,-80,-82,-84,-88,-200,-85,-83,-200,-91,-79,-85,-81,-83,-82,-78,-92,-85,-83,-93,-80,-95,-84,-92,-88,-200,-90,-93,-88,-92,-200,-84,-94,-200,-90,-92,-200,-200,-200,-92,-82,-90,-200,-90,-200,-97,-93,-200,-200,-200,-98,-200,-200,-200,-200,-92,-200,-94,-200,-95,-73,-200,-90,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526455460183,-27,-42,-46,-40,-52,-45,-48,-55,-54,-49,-61,-56,-54,-77,-64,-73,-71,-68,-78,-78,-67,-70,-63,-58,-79,-64,-67,-85,-69,-78,-79,-78,-76,-75,-76,-75,-200,-200,-200,-74,-80,-200,-77,-84,-80,-84,-84,-88,-200,-83,-85,-200,-90,-82,-85,-81,-83,-82,-76,-97,-85,-82,-92,-78,-95,-84,-93,-200,-200,-90,-92,-89,-200,-200,-84,-96,-200,-90,-92,-96,-95,-86,-93,-82,-90,-200,-90,-200,-96,-91,-200,-200,-200,-96,-200,-200,-200,-200,-92,-200,-96,-200,-96,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526455463239,-29,-38,-50,-44,-50,-45,-48,-59,-50,-50,-63,-55,-62,-77,-65,-73,-66,-68,-80,-74,-73,-70,-62,-59,-75,-63,-69,-78,-69,-81,-88,-77,-77,-75,-73,-70,-200,-78,-200,-75,-83,-200,-76,-86,-80,-86,-82,-86,-83,-87,-84,-200,-89,-82,-85,-85,-81,-82,-76,-97,-77,-83,-88,-79,-95,-84,-91,-200,-200,-200,-92,-88,-200,-84,-82,-96,-200,-90,-93,-90,-95,-86,-93,-83,-91,-200,-86,-200,-96,-93,-200,-200,-97,-96,-200,-200,-200,-200,-92,-200,-96,-200,-96,-200,-200,-200,-82,-78,-98,-200,-200,-200,-200,-200,-200
1526455466298,-27,-37,-46,-41,-50,-46,-49,-58,-50,-49,-66,-57,-63,-75,-54,-73,-64,-67,-76,-74,-65,-74,-63,-58,-78,-66,-68,-79,-68,-77,-88,-77,-73,-74,-75,-88,-200,-78,-200,-77,-83,-200,-78,-81,-80,-82,-84,-89,-83,-86,-84,-200,-90,-82,-86,-86,-77,-83,-78,-93,-77,-83,-85,-78,-93,-84,-91,-200,-200,-90,-92,-89,-200,-84,-83,-96,-200,-89,-93,-90,-95,-86,-93,-86,-89,-200,-86,-200,-96,-93,-200,-200,-97,-96,-200,-200,-200,-200,-200,-200,-96,-200,-96,-77,-200,-200,-200,-78,-98,-96,-200,-200,-200,-200,-200
1526455469354,-26,-38,-50,-41,-51,-46,-50,-56,-51,-49,-65,-52,-62,-79,-60,-200,-69,-65,-76,-74,-65,-74,-63,-58,-74,-66,-68,-77,-69,-80,-88,-78,-76,-76,-76,-73,-200,-78,-200,-75,-81,-200,-79,-85,-81,-84,-84,-84,-83,-86,-84,-200,-91,-83,-86,-84,-77,-82,-76,-93,-77,-83,-86,-79,-93,-85,-91,-200,-200,-90,-91,-88,-200,-84,-84,-94,-200,-89,-93,-90,-200,-200,-95,-86,-89,-200,-86,-200,-200,-94,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-96,-96,-75,-200,-200,-200,-78,-98,-96,-92,-200,-200,-200,-200
1526455472405,-28,-38,-50,-40,-52,-44,-48,-56,-52,-50,-65,-65,-62,-71,-58,-76,-69,-66,-77,-76,-65,-74,-62,-56,-76,-65,-68,-78,-66,-82,-88,-77,-75,-76,-74,-71,-200,-78,-200,-74,-79,-200,-79,-85,-81,-84,-86,-83,-83,-86,-200,-200,-91,-82,-82,-84,-81,-82,-78,-93,-77,-83,-90,-79,-92,-84,-200,-200,-200,-86,-92,-87,-200,-200,-84,-94,-200,-89,-200,-200,-200,-200,-95,-85,-91,-200,-89,-96,-97,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-75,-200,-200,-81,-200,-200,-96,-92,-86,-200,-200,-200
1526455475452,-31,-37,-52,-43,-50,-44,-48,-54,-54,-50,-64,-51,-62,-74,-64,-78,-72,-72,-82,-72,-65,-69,-64,-58,-78,-65,-69,-80,-64,-84,-88,-75,-76,-75,-75,-80,-200,-78,-200,-80,-83,-95,-77,-89,-81,-84,-87,-87,-83,-86,-82,-200,-90,-85,-87,-85,-85,-80,-78,-200,-77,-81,-88,-82,-88,-84,-200,-200,-200,-87,-91,-90,-200,-200,-86,-94,-200,-89,-200,-200,-200,-200,-95,-85,-91,-200,-89,-96,-97,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-81,-200,-200,-82,-200,-200,-200,-92,-85,-92,-200,-200
1526455478499,-27,-45,-50,-48,-52,-46,-46,-55,-55,-61,-75,-51,-63,-81,-56,-78,-66,-67,-78,-75,-62,-72,-61,-58,-81,-65,-71,-80,-73,-82,-82,-80,-75,-75,-76,-81,-61,-78,-200,-74,-83,-95,-75,-89,-82,-85,-87,-86,-81,-84,-80,-200,-91,-85,-87,-85,-78,-89,-78,-94,-77,-82,-91,-79,-88,-85,-200,-200,-92,-87,-94,-91,-200,-200,-86,-200,-200,-90,-93,-200,-200,-87,-200,-82,-91,-200,-93,-96,-97,-89,-200,-200,-97,-96,-200,-200,-200,-200,-93,-200,-97,-200,-200,-81,-200,-200,-82,-200,-200,-200,-200,-85,-93,-92,-94
1526455481555,-26,-43,-51,-49,-50,-44,-52,-59,-54,-57,-65,-52,-65,-83,-62,-70,-66,-70,-79,-68,-63,-75,-68,-58,-77,-200,-69,-84,-77,-82,-88,-84,-74,-75,-74,-78,-61,-84,-200,-79,-82,-95,-78,-87,-82,-85,-82,-83,-81,-84,-80,-200,-90,-84,-87,-85,-83,-88,-82,-94,-81,-87,-86,-86,-88,-87,-200,-200,-92,-90,-94,-92,-200,-200,-83,-94,-200,-90,-93,-93,-97,-87,-94,-83,-200,-200,-93,-200,-200,-95,-200,-200,-97,-96,-200,-200,-200,-200,-93,-200,-97,-200,-200,-76,-200,-200,-82,-74,-200,-96,-92,-85,-93,-92,-94
1526455484605,-26,-38,-55,-44,-51,-46,-51,-55,-48,-54,-68,-54,-65,-74,-62,-76,-62,-71,-79,-74,-62,-75,-68,-59,-76,-54,-70,-78,-73,-84,-79,-79,-78,-200,-79,-74,-61,-80,-78,-78,-82,-200,-88,-80,-82,-85,-83,-85,-81,-84,-80,-200,-84,-83,-200,-77,-83,-85,-81,-94,-81,-81,-86,-78,-88,-84,-200,-200,-92,-87,-94,-92,-200,-200,-83,-94,-200,-90,-92,-93,-96,-88,-91,-82,-90,-200,-93,-200,-200,-95,-200,-200,-97,-96,-96,-200,-200,-200,-93,-200,-97,-200,-200,-76,-200,-200,-200,-74,-200,-96,-92,-200,-93,-92,-94
1526455487661,-28,-41,-54,-45,-51,-44,-47,-58,-54,-52,-68,-52,-66,-65,-62,-74,-62,-76,-79,-74,-65,-73,-68,-55,-73,-54,-70,-83,-70,-84,-79,-80,-78,-200,-77,-80,-200,-80,-78,-75,-81,-200,-88,-82,-76,-86,-82,-81,-200,-84,-84,-200,-84,-85,-85,-81,-83,-85,-77,-94,-81,-84,-90,-80,-91,-86,-200,-200,-200,-87,-200,-92,-200,-200,-82,-94,-96,-200,-92,-93,-96,-88,-91,-87,-89,-200,-200,-200,-200,-95,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-84,-78,-200,-96,-92,-200,-200,-200,-200
