,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526455015028,-31,-37,-51,-55,-53,-50,-55,-53,-71,-67,-53,-55,-52,-47,-73,-59,-66,-63,-58,-58,-69,-58,-56,-64,-63,-87,-77,-65,-73,-77,-78,-75,-77,-67,-78,-66,-75,-62,-74,-85,-80,-82,-81,-200,-83,-77,-85,-84,-88,-200,-79,-83,-200,-200,-80,-81,-200,-93,-85,-84,-91,-88,-84,-86,-82,-200,-89,-89,-82,-87,-200,-200,-89,-92,-90,-88,-200,-200,-89,-200,-90,-200,-95,-200,-86,-93,-95,-200,-200,-92,-86,-200,-90,-200,-77,-84,-96,-94,-200,-92,-92,-94,-200,-84,-93,-200,-99,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526455018086,-25,-40,-49,-60,-56,-65,-56,-53,-64,-62,-47,-54,-54,-50,-66,-62,-65,-63,-58,-56,-69,-61,-60,-70,-68,-86,-75,-65,-81,-79,-76,-75,-73,-68,-78,-70,-79,-61,-73,-87,-77,-75,-81,-82,-85,-78,-76,-84,-83,-200,-76,-84,-200,-200,-81,-81,-200,-87,-85,-81,-91,-89,-84,-200,-82,-200,-89,-87,-83,-87,-200,-200,-89,-93,-91,-88,-94,-200,-89,-94,-87,-200,-95,-200,-86,-90,-91,-200,-200,-91,-94,-200,-90,-200,-200,-200,-200,-91,-200,-92,-95,-94,-200,-84,-93,-200,-99,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526455021143,-27,-31,-58,-58,-56,-56,-54,-51,-66,-64,-50,-51,-59,-46,-63,-62,-65,-62,-68,-60,-76,-57,-56,-59,-59,-88,-74,-200,-78,-78,-76,-75,-79,-71,-75,-69,-76,-60,-73,-86,-85,-76,-84,-82,-82,-78,-80,-85,-83,-200,-75,-76,-200,-200,-79,-80,-200,-88,-86,-81,-94,-89,-84,-82,-200,-200,-89,-84,-84,-88,-200,-200,-89,-92,-90,-94,-95,-200,-200,-91,-87,-200,-200,-200,-86,-90,-91,-200,-200,-93,-91,-200,-90,-200,-200,-82,-200,-92,-200,-92,-94,-94,-200,-200,-93,-200,-95,-77,-89,-90,-93,-200,-200,-200,-200,-200,-200
1526455024197,-24,-41,-62,-49,-58,-59,-55,-52,-67,-68,-48,-53,-54,-47,-68,-62,-68,-61,-65,-58,-61,-57,-58,-65,-59,-88,-76,-200,-78,-76,-76,-76,-76,-69,-75,-70,-72,-60,-73,-87,-80,-75,-79,-82,-83,-76,-81,-85,-86,-200,-77,-79,-200,-200,-80,-81,-91,-90,-87,-81,-91,-89,-200,-82,-81,-200,-90,-87,-83,-88,-200,-200,-89,-92,-90,-94,-95,-200,-200,-95,-91,-200,-200,-200,-89,-87,-88,-200,-200,-93,-88,-200,-90,-88,-200,-82,-96,-92,-200,-200,-92,-94,-200,-83,-90,-200,-95,-77,-200,-92,-93,-200,-200,-200,-200,-200,-200
1526455027249,-25,-40,-48,-60,-52,-52,-54,-53,-68,-67,-48,-59,-57,-47,-71,-60,-67,-60,-65,-58,-66,-60,-60,-65,-59,-88,-74,-74,-72,-76,-76,-76,-76,-68,-77,-70,-72,-59,-73,-87,-79,-82,-82,-200,-83,-76,-76,-85,-86,-200,-78,-87,-200,-200,-80,-83,-91,-92,-85,-80,-96,-89,-82,-82,-81,-200,-90,-87,-81,-86,-84,-88,-89,-92,-91,-94,-95,-200,-200,-95,-91,-200,-200,-200,-89,-91,-94,-200,-94,-93,-91,-200,-89,-88,-200,-82,-96,-92,-200,-200,-92,-94,-200,-83,-90,-200,-95,-200,-200,-92,-93,-200,-200,-200,-200,-200,-200
1526455030308,-26,-33,-51,-57,-51,-59,-55,-52,-68,-63,-48,-54,-52,-46,-71,-59,-66,-58,-58,-60,-66,-58,-56,-63,-64,-200,-75,-77,-72,-76,-77,-77,-76,-64,-76,-70,-78,-61,-73,-87,-79,-75,-82,-84,-84,-75,-82,-90,-85,-200,-79,-84,-200,-200,-82,-81,-91,-93,-85,-79,-96,-89,-82,-83,-81,-200,-90,-86,-81,-86,-84,-93,-91,-91,-91,-91,-200,-200,-93,-90,-91,-200,-200,-200,-89,-91,-94,-200,-94,-200,-89,-200,-88,-88,-200,-83,-95,-200,-200,-200,-92,-95,-200,-86,-90,-200,-200,-83,-200,-91,-200,-87,-200,-200,-200,-200,-200
1526455033362,-25,-38,-49,-61,-56,-53,-54,-53,-67,-63,-54,-54,-58,-46,-70,-61,-66,-63,-67,-59,-72,-57,-55,-63,-76,-83,-75,-73,-74,-76,-77,-77,-75,-69,-77,-72,-76,-60,-71,-84,-79,-75,-82,-84,-81,-80,-82,-88,-87,-200,-76,-85,-200,-200,-81,-81,-200,-77,-87,-79,-90,-89,-88,-83,-81,-200,-90,-86,-80,-83,-84,-91,-89,-93,-91,-93,-200,-200,-92,-92,-91,-200,-95,-200,-87,-89,-91,-200,-94,-91,-92,-200,-88,-200,-200,-82,-95,-94,-200,-200,-95,-94,-200,-86,-89,-200,-200,-83,-200,-90,-200,-87,-200,-200,-200,-200,-200
1526455036425,-25,-42,-49,-63,-58,-53,-55,-51,-68,-65,-52,-53,-51,-48,-71,-63,-65,-62,-67,-58,-70,-62,-54,-63,-66,-88,-78,-62,-73,-76,-78,-73,-75,-69,-78,-66,-74,-59,-71,-87,-79,-75,-80,-84,-85,-71,-83,-86,-85,-200,-77,-79,-200,-200,-79,-83,-200,-87,-84,-79,-90,-200,-84,-83,-81,-200,-92,-89,-82,-88,-200,-91,-89,-93,-91,-93,-200,-200,-92,-92,-91,-200,-95,-95,-87,-90,-92,-200,-94,-91,-88,-200,-87,-200,-77,-82,-95,-93,-200,-94,-92,-96,-77,-82,-89,-68,-200,-82,-200,-90,-200,-87,-200,-200,-200,-200,-200
1526455039483,-25,-38,-49,-60,-54,-62,-54,-53,-68,-63,-54,-54,-53,-46,-68,-58,-65,-60,-60,-56,-70,-58,-54,-62,-64,-84,-77,-62,-73,-79,-78,-77,-77,-67,-77,-66,-75,-59,-71,-85,-80,-83,-83,-81,-84,-76,-83,-85,-86,-200,-78,-79,-200,-200,-80,-83,-200,-87,-84,-83,-90,-88,-85,-200,-81,-200,-90,-84,-83,-85,-200,-91,-89,-93,-90,-95,-200,-200,-94,-92,-89,-200,-95,-95,-87,-92,-92,-200,-94,-89,-90,-200,-87,-200,-77,-82,-97,-93,-200,-94,-94,-96,-77,-83,-91,-68,-96,-82,-200,-90,-200,-200,-84,-91,-200,-200,-200
1526455042539,-25,-34,-49,-62,-53,-60,-54,-51,-67,-63,-49,-53,-60,-46,-69,-58,-64,-65,-60,-58,-70,-57,-56,-63,-68,-84,-76,-76,-73,-78,-76,-76,-77,-69,-73,-73,-72,-62,-79,-85,-83,-76,-83,-81,-84,-74,-81,-85,-86,-200,-76,-81,-200,-200,-80,-83,-200,-90,-85,-83,-91,-88,-84,-200,-200,-200,-91,-88,-83,-86,-200,-200,-200,-92,-90,-95,-200,-200,-94,-200,-90,-200,-200,-95,-87,-92,-92,-200,-94,-92,-90,-200,-87,-200,-77,-85,-97,-93,-200,-94,-94,-96,-77,-83,-91,-68,-96,-82,-200,-91,-200,-200,-84,-91,-97,-200,-200
1526455045597,-26,-39,-51,-59,-56,-56,-54,-53,-67,-63,-52,-53,-52,-47,-70,-66,-71,-63,-58,-57,-70,-58,-60,-59,-61,-86,-76,-76,-73,-75,-76,-76,-82,-70,-73,-74,-74,-58,-74,-83,-81,-77,-82,-81,-83,-82,-80,-90,-86,-200,-80,-81,-200,-200,-81,-81,-200,-90,-85,-82,-91,-88,-84,-84,-200,-200,-90,-86,-84,-84,-200,-200,-200,-93,-91,-95,-200,-200,-94,-94,-94,-200,-200,-200,-87,-92,-200,-200,-200,-92,-90,-200,-89,-200,-200,-85,-97,-93,-86,-94,-94,-200,-200,-83,-91,-200,-96,-200,-200,-91,-200,-200,-84,-92,-97,-88,-200
1526455048639,-31,-40,-56,-59,-52,-52,-55,-53,-73,-62,-49,-52,-53,-47,-69,-60,-70,-61,-69,-61,-74,-59,-54,-62,-70,-86,-76,-77,-80,-76,-76,-75,-82,-70,-75,-73,-74,-60,-74,-87,-88,-76,-83,-200,-83,-77,-84,-87,-89,-200,-88,-81,-200,-200,-79,-79,-200,-87,-79,-82,-91,-91,-88,-84,-200,-200,-90,-85,-83,-92,-200,-200,-89,-93,-89,-89,-200,-200,-200,-91,-94,-200,-200,-200,-200,-91,-93,-200,-200,-92,-200,-200,-90,-200,-200,-85,-93,-200,-86,-200,-94,-96,-76,-77,-91,-200,-200,-200,-200,-89,-200,-200,-200,-92,-97,-88,-91
