,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1
1526451625497,-200,-200,-200,-200,-200,-200,-200,-200,-92,-68,-200,-200,-200,-200,-200,-98,-200,-200,-86,-200,-94,-200,-88,-86,-200,-88,-73,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526451625641,-200,-200,-200,-80,-200,-200,-200,-200,-96,-200,-200,-59,-200,-80,-200,-97,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451626715,-76,-200,-200,-200,-200,-200,-200,-200,-98,-68,-200,-200,-78,-80,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451627777,-200,-200,-200,-200,-92,-200,-200,-200,-93,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-86,-93,-200,-77,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451628971,-200,-200,-200,-80,-200,-200,-85,-71,-200,-68,-200,-200,-79,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526451630028,-200,-200,-82,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451631094,-77,-200,-200,-200,-200,-86,-200,-200,-200,-67,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-79,-200,-200,-200,-200,-200,-88,-98,-200,-200,-200
1526451632193,-200,-200,-200,-200,-200,-82,-75,-200,-200,-64,-200,-64,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-93,-200,-92,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
1526451633362,-200,-200,-90,-200,-200,-200,-85,-73,-200,-200,-200,-200,-200,-200,-90,-200,-86,-200,-86,-200,-200,-84,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
1526451634212,-76,-75,-81,-81,-200,-200,-200,-70,-92,-200,-200,-200,-79,-200,-89,-200,-200,-200,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451634335,-82,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-62,-200,-200,-92,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451635421,-200,-200,-200,-91,-200,-200,-200,-200,-97,-66,-200,-64,-200,-200,-86,-97,-200,-200,-84,-200,-200,-84,-85,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451636510,-76,-74,-86,-200,-200,-200,-200,-200,-200,-66,-94,-200,-79,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451637625,-82,-200,-200,-200,-200,-91,-200,-75,-200,-67,-200,-62,-200,-79,-200,-200,-200,-200,-87,-200,-200,-200,-86,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451638716,-76,-73,-200,-200,-200,-200,-200,-76,-200,-200,-200,-64,-200,-84,-86,-200,-200,-200,-85,-200,-200,-85,-85,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451639866,-200,-73,-200,-200,-200,-85,-200,-200,-97,-200,-200,-62,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451640915,-200,-78,-200,-84,-200,-200,-87,-200,-87,-67,-200,-67,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200
1526451642040,-200,-200,-200,-200,-200,-81,-200,-71,-90,-67,-200,-60,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-93,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451643172,-80,-78,-200,-79,-200,-200,-200,-200,-88,-63,-200,-68,-200,-200,-91,-200,-81,-89,-85,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526451644311,-200,-200,-86,-200,-200,-200,-78,-76,-90,-200,-200,-62,-200,-200,-200,-95,-80,-200,-82,-200,-200,-200,-86,-83,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451645429,-200,-200,-86,-200,-200,-200,-200,-71,-200,-63,-200,-65,-200,-200,-200,-200,-200,-200,-81,-200,-200,-82,-200,-84,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451646526,-80,-200,-200,-80,-200,-200,-200,-200,-200,-66,-200,-68,-200,-200,-200,-200,-200,-200,-200,-98,-200,-90,-83,-85,-200,-200,-200,-87,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526451647632,-76,-75,-200,-200,-200,-200,-90,-200,-200,-200,-200,-61,-200,-200,-84,-200,-200,-200,-83,-200,-200,-86,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526451648747,-74,-200,-84,-200,-200,-83,-79,-200,-200,-63,-200,-63,-200,-200,-200,-200,-85,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451649822,-75,-75,-200,-200,-200,-200,-200,-72,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
1526451650936,-75,-73,-200,-200,-200,-83,-79,-200,-88,-63,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451652056,-200,-76,-200,-200,-200,-200,-200,-73,-200,-200,-200,-68,-80,-200,-200,-200,-200,-200,-84,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526451653132,-200,-200,-88,-200,-97,-200,-78,-200,-90,-64,-200,-62,-200,-78,-92,-200,-80,-200,-200,-200,-200,-200,-200,-84,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451654292,-200,-200,-200,-78,-200,-200,-88,-75,-200,-200,-96,-66,-92,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-84,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526451655422,-200,-200,-200,-87,-200,-200,-90,-73,-200,-200,-200,-200,-81,-80,-83,-92,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451656536,-200,-74,-83,-200,-93,-200,-79,-200,-91,-64,-200,-66,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526451657685,-200,-200,-80,-200,-200,-200,-88,-200,-89,-200,-200,-200,-200,-79,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-83,-200,-200,-200,-94,-200,-200,-92,-200,-200
1526451658743,-80,-200,-87,-80,-95,-200,-200,-200,-88,-69,-200,-200,-200,-78,-200,-200,-200,-90,-200,-96,-200,-200,-86,-84,-200,-200,-83,-82,-200,-200,-200,-92,-200,-200,-92,-200,-90
1526451660966,-75,-73,-200,-200,-200,-200,-200,-200,-200,-64,-200,-66,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526451662039,-200,-77,-200,-80,-200,-95,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-82,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451663119,-80,-73,-200,-200,-90,-200,-200,-200,-200,-200,-200,-63,-200,-200,-90,-200,-92,-88,-92,-200,-200,-82,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451663260,-79,-73,-200,-200,-200,-200,-80,-200,-200,-63,-200,-60,-81,-200,-200,-93,-77,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451664316,-200,-200,-200,-86,-92,-200,-77,-200,-200,-67,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-86,-87,-200,-200,-76,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451665422,-84,-200,-200,-200,-200,-85,-200,-200,-95,-64,-200,-61,-200,-85,-200,-95,-200,-200,-82,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451666649,-200,-200,-200,-80,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200
1526451667618,-80,-200,-200,-200,-97,-81,-200,-200,-200,-200,-200,-59,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526451668739,-200,-200,-200,-200,-92,-200,-78,-200,-200,-63,-200,-60,-80,-200,-200,-200,-78,-200,-81,-200,-200,-200,-89,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85
1526451669845,-86,-200,-200,-81,-200,-92,-92,-200,-97,-200,-200,-58,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-85,-200,-200,-200,-200,-83,-200,-200,-200,-95,-98,-200,-200,-200,-200
1526451670932,-78,-73,-89,-200,-200,-88,-200,-77,-200,-64,-98,-61,-79,-85,-90,-200,-200,-91,-90,-200,-200,-200,-86,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451672055,-85,-77,-200,-200,-97,-92,-82,-200,-200,-200,-200,-58,-90,-200,-200,-200,-95,-200,-200,-200,-200,-200,-91,-86,-92,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
1526451674274,-79,-72,-86,-200,-92,-200,-200,-74,-200,-200,-200,-60,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451675365,-200,-200,-79,-200,-200,-200,-200,-200,-97,-200,-200,-60,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-90
1526451676460,-200,-73,-200,-200,-90,-200,-200,-200,-200,-200,-200,-59,-200,-88,-200,-200,-80,-200,-86,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451678935,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86
1526451680287,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-61,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-88,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
