,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A30,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018
1526449547672,-24,-35,-37,-41,-42,-42,-51,-53,-59,-49,-48,-52,-56,-46,-59,-64,-69,-63,-67,-57,-69,-67,-71,-65,-62,-81,-77,-83,-200,-73,-200,-75,-77,-77,-82,-82,-87,-82,-200,-75,-80,-85,-76,-200,-85,-64,-200,-200,-200,-200,-200,-89,-81,-78,-83,-87,-200,-82,-82,-89,-79,-89,-200,-200,-200,-200,-200,-200,-200
1526449550708,-26,-35,-38,-47,-42,-44,-51,-53,-56,-49,-49,-52,-56,-47,-59,-64,-69,-62,-67,-57,-71,-65,-72,-65,-61,-78,-75,-79,-200,-72,-84,-78,-76,-77,-71,-79,-86,-82,-200,-75,-79,-85,-76,-200,-85,-64,-200,-200,-88,-200,-200,-89,-81,-78,-83,-87,-200,-82,-82,-89,-79,-89,-200,-200,-200,-200,-200,-200,-200
1526449553759,-26,-35,-40,-45,-45,-47,-52,-54,-57,-51,-47,-52,-56,-46,-59,-64,-69,-61,-67,-57,-77,-62,-70,-65,-60,-74,-75,-79,-86,-73,-84,-78,-77,-77,-74,-79,-85,-82,-200,-75,-79,-200,-82,-200,-85,-200,-200,-200,-88,-87,-200,-89,-73,-78,-83,-87,-200,-82,-82,-89,-71,-89,-66,-69,-87,-89,-200,-200,-200
1526449556827,-26,-35,-36,-49,-44,-43,-52,-62,-57,-51,-46,-61,-56,-46,-56,-64,-72,-64,-67,-74,-71,-66,-70,-66,-61,-74,-76,-79,-85,-73,-82,-78,-75,-76,-70,-82,-85,-82,-200,-75,-79,-200,-75,-200,-86,-200,-200,-200,-88,-87,-200,-89,-80,-78,-200,-87,-200,-82,-200,-200,-71,-89,-66,-69,-87,-89,-79,-90,-92
1526449559892,-25,-36,-36,-49,-47,-45,-50,-54,-59,-62,-47,-60,-56,-46,-56,-71,-72,-60,-67,-74,-72,-64,-68,-68,-60,-74,-80,-87,-85,-74,-82,-78,-75,-71,-76,-86,-88,-82,-200,-75,-78,-200,-81,-200,-86,-200,-200,-200,-88,-91,-200,-200,-80,-78,-81,-87,-200,-82,-200,-89,-71,-89,-66,-69,-87,-89,-79,-90,-92
1526449562964,-25,-35,-39,-43,-44,-41,-54,-54,-56,-48,-43,-60,-56,-45,-56,-69,-72,-59,-200,-56,-75,-65,-72,-66,-60,-74,-79,-85,-85,-75,-82,-78,-77,-73,-76,-86,-88,-82,-200,-75,-80,-200,-76,-200,-81,-200,-200,-200,-88,-91,-200,-200,-80,-200,-81,-200,-76,-82,-200,-89,-71,-88,-66,-69,-84,-89,-79,-90,-92
1526449566033,-29,-34,-36,-45,-43,-41,-57,-54,-54,-43,-45,-60,-52,-41,-56,-70,-69,-59,-200,-57,-74,-62,-72,-65,-62,-74,-76,-86,-79,-74,-82,-78,-77,-75,-76,-86,-88,-200,-200,-76,-80,-200,-74,-200,-81,-200,-81,-86,-88,-91,-200,-200,-80,-200,-81,-200,-76,-88,-200,-90,-71,-88,-66,-69,-84,-89,-79,-90,-92
1526449569098,-29,-34,-38,-48,-40,-39,-50,-54,-58,-42,-42,-60,-56,-41,-59,-66,-69,-63,-67,-57,-74,-66,-68,-62,-64,-74,-76,-83,-79,-75,-82,-78,-77,-75,-74,-86,-88,-86,-200,-76,-76,-200,-75,-200,-86,-64,-81,-86,-88,-89,-200,-200,-80,-200,-81,-200,-77,-88,-200,-90,-200,-88,-200,-200,-84,-200,-79,-90,-92
1526449572167,-29,-34,-38,-43,-40,-40,-43,-51,-57,-42,-44,-60,-53,-42,-59,-68,-70,-62,-65,-57,-74,-63,-70,-66,-61,-76,-75,-83,-88,-75,-81,-75,-77,-74,-74,-83,-81,-86,-200,-74,-76,-200,-75,-200,-86,-67,-81,-86,-87,-89,-200,-200,-80,-200,-81,-200,-77,-88,-200,-90,-200,-88,-200,-200,-84,-200,-200,-200,-200
1526449575216,-21,-34,-40,-43,-43,-40,-57,-53,-57,-48,-44,-200,-52,-45,-59,-68,-70,-62,-65,-57,-70,-63,-72,-66,-61,-76,-74,-83,-88,-75,-81,-75,-77,-74,-77,-83,-81,-86,-200,-76,-76,-200,-75,-200,-83,-60,-81,-86,-87,-89,-200,-200,-80,-200,-81,-200,-77,-88,-200,-90,-200,-88,-82,-200,-84,-200,-200,-200,-200
1526449578258,-27,-34,-39,-47,-41,-44,-53,-50,-57,-48,-46,-200,-51,-45,-59,-64,-70,-62,-65,-57,-68,-67,-71,-67,-60,-76,-74,-83,-85,-74,-81,-75,-77,-74,-77,-85,-81,-86,-200,-76,-79,-200,-72,-200,-84,-60,-81,-86,-87,-89,-200,-83,-76,-200,-81,-200,-77,-88,-200,-90,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526449581316,-30,-34,-40,-45,-41,-44,-49,-56,-58,-47,-48,-200,-53,-44,-59,-68,-70,-59,-65,-57,-74,-70,-71,-70,-60,-78,-74,-83,-85,-74,-81,-75,-76,-74,-77,-82,-81,-86,-200,-76,-79,-200,-72,-200,-88,-58,-200,-200,-87,-89,-200,-83,-76,-200,-81,-90,-77,-200,-200,-200,-200,-200,-82,-200,-200,-90,-200,-91,-200
