,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526454358725,-88,-200,-64,-62,-84,-200,-200,-200,-200,-83,-64,-200,-200,-200,-73,-200,-200
1526454358827,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-74,-200,-200
1526454358944,-200,-200,-200,-62,-83,-200,-200,-200,-200,-200,-200,-82,-200,-89,-200,-200,-200
1526454359044,-200,-200,-200,-61,-200,-200,-200,-87,-200,-200,-64,-84,-200,-200,-74,-200,-200
1526454363872,-200,-200,-57,-200,-90,-200,-88,-200,-200,-200,-74,-200,-200,-83,-200,-89,-200
1526454364086,-200,-86,-57,-69,-81,-200,-89,-87,-200,-80,-73,-200,-200,-200,-200,-88,-200
1526454364190,-200,-87,-58,-69,-82,-200,-89,-86,-200,-200,-74,-85,-200,-83,-68,-89,-200
1526454364308,-200,-200,-57,-68,-81,-200,-200,-200,-200,-200,-73,-85,-200,-200,-69,-200,-200
1526454364402,-200,-200,-61,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454368696,-94,-200,-200,-63,-77,-200,-90,-69,-200,-200,-200,-200,-200,-88,-70,-200,-200
1526454368805,-200,-200,-200,-63,-78,-200,-88,-69,-200,-200,-79,-200,-200,-200,-70,-200,-200
1526454368918,-200,-200,-61,-63,-77,-200,-88,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526454369020,-88,-89,-60,-200,-200,-200,-87,-68,-200,-200,-79,-200,-200,-87,-69,-200,-92
1526454373711,-88,-200,-63,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454373824,-87,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454373925,-87,-200,-63,-61,-89,-200,-200,-200,-200,-200,-63,-200,-200,-90,-200,-200,-200
1526454374075,-200,-200,-200,-61,-84,-200,-200,-200,-87,-81,-200,-200,-200,-84,-68,-89,-200
1526454378773,-200,-85,-58,-72,-200,-200,-88,-83,-200,-81,-76,-200,-200,-200,-200,-89,-200
1526454378876,-79,-87,-58,-72,-200,-200,-200,-83,-200,-200,-200,-84,-200,-200,-68,-89,-200
1526454379017,-200,-200,-57,-200,-84,-200,-88,-83,-200,-200,-200,-86,-200,-83,-68,-200,-200
1526454379125,-200,-200,-200,-72,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
