,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DQKJ,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526454049579,-33,-37,-47,-48,-34,-55,-55,-60,-70,-56,-55,-65,-71,-45,-58,-64,-68,-55,-61,-64,-61,-68,-59,-64,-76,-74,-63,-68,-77,-73,-86,-80,-200,-85,-77,-59,-70,-70,-83,-78,-67,-70,-83,-59,-200,-71,-59,-71,-75,-68,-78,-61,-72,-76,-200,-79,-200,-80,-91,-80,-84,-81,-200,-200,-80,-86,-93,-67,-200,-87,-91,-80,-200,-200,-92,-200,-80,-76,-200,-200,-200,-200,-200,-200,-200,-71,-71,-84,-90,-83,-200,-91,-88,-200,-66,-80,-80,-81,-200,-76,-200,-81,-200,-200,-90,-200,-84,-200,-200,-200,-200,-68,-86,-200,-90,-88,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526454052595,-33,-37,-48,-48,-34,-54,-52,-62,-75,-52,-55,-66,-71,-46,-57,-64,-68,-55,-59,-65,-61,-64,-62,-64,-76,-75,-60,-70,-77,-74,-86,-78,-73,-85,-79,-60,-74,-67,-83,-78,-69,-70,-83,-62,-200,-72,-59,-72,-71,-72,-77,-62,-74,-73,-200,-82,-200,-81,-91,-80,-84,-81,-200,-200,-80,-83,-200,-67,-200,-79,-91,-83,-200,-200,-92,-200,-80,-76,-200,-200,-200,-200,-200,-200,-200,-70,-71,-84,-88,-83,-200,-90,-90,-83,-62,-80,-200,-81,-200,-200,-200,-81,-200,-200,-90,-200,-84,-200,-200,-200,-72,-68,-86,-200,-89,-91,-83,-82,-91,-200,-200,-200,-200,-200,-200,-200
1526454055634,-15,-39,-43,-50,-34,-55,-54,-63,-71,-53,-55,-65,-76,-44,-58,-64,-69,-57,-60,-64,-200,-64,-64,-64,-76,-76,-58,-66,-86,-81,-86,-89,-73,-85,-79,-66,-74,-67,-83,-85,-69,-92,-83,-58,-200,-72,-62,-71,-74,-78,-77,-60,-80,-73,-200,-79,-200,-81,-91,-83,-83,-81,-200,-200,-81,-83,-200,-69,-200,-79,-91,-81,-92,-200,-200,-81,-80,-76,-200,-88,-200,-200,-200,-200,-200,-70,-71,-84,-89,-83,-98,-90,-90,-83,-69,-80,-200,-81,-88,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-72,-69,-85,-200,-89,-91,-80,-82,-91,-86,-200,-200,-200,-200,-200,-200
1526454058685,-33,-37,-43,-48,-34,-53,-54,-63,-71,-52,-54,-65,-76,-45,-57,-64,-74,-55,-60,-65,-200,-65,-62,-63,-68,-74,-66,-69,-86,-73,-200,-89,-85,-85,-78,-59,-74,-67,-81,-85,-68,-74,-82,-58,-200,-72,-58,-71,-78,-78,-77,-58,-71,-73,-200,-82,-200,-81,-91,-83,-86,-80,-200,-200,-81,-82,-89,-69,-200,-79,-200,-80,-92,-200,-200,-81,-82,-75,-200,-88,-200,-200,-200,-200,-200,-69,-70,-84,-88,-84,-98,-90,-90,-83,-69,-200,-200,-81,-88,-76,-200,-200,-200,-86,-90,-90,-200,-78,-200,-200,-72,-69,-85,-89,-89,-91,-80,-82,-91,-86,-88,-200,-200,-200,-200,-200
1526454061739,-16,-37,-48,-51,-34,-54,-52,-63,-69,-57,-55,-65,-76,-45,-58,-64,-72,-91,-60,-62,-66,-66,-62,-64,-74,-75,-60,-68,-79,-74,-200,-83,-84,-88,-77,-58,-74,-67,-81,-80,-68,-73,-84,-60,-200,-72,-69,-71,-76,-68,-77,-61,-74,-75,-200,-83,-200,-81,-200,-83,-84,-81,-200,-200,-82,-84,-89,-69,-200,-79,-200,-81,-92,-200,-94,-83,-81,-76,-200,-88,-200,-200,-200,-200,-200,-69,-71,-84,-88,-84,-98,-90,-89,-83,-64,-76,-200,-81,-88,-76,-200,-200,-200,-86,-92,-90,-200,-78,-200,-200,-72,-69,-87,-89,-89,-91,-79,-200,-91,-86,-88,-84,-85,-200,-200,-200
1526454064779,-14,-38,-47,-49,-34,-54,-54,-61,-69,-53,-58,-65,-72,-45,-57,-67,-68,-55,-59,-65,-59,-66,-58,-64,-73,-74,-59,-68,-75,-81,-86,-82,-82,-85,-80,-57,-81,-200,-81,-80,-67,-73,-84,-60,-200,-74,-61,-71,-74,-68,-77,-59,-69,-73,-200,-82,-200,-200,-200,-79,-83,-81,-200,-200,-82,-86,-89,-70,-200,-200,-200,-83,-200,-200,-90,-81,-81,-76,-200,-200,-200,-200,-200,-200,-200,-76,-71,-200,-88,-84,-200,-200,-90,-200,-73,-77,-200,-200,-200,-76,-200,-81,-200,-86,-92,-90,-200,-78,-200,-200,-200,-200,-86,-89,-200,-200,-79,-200,-200,-86,-88,-89,-85,-200,-200,-200
1526454067798,-32,-36,-47,-47,-34,-52,-53,-61,-68,-52,-57,-64,-71,-44,-54,-62,-73,-54,-60,-65,-66,-72,-63,-64,-68,-73,-60,-66,-77,-73,-88,-78,-82,-85,-77,-59,-74,-70,-200,-80,-68,-73,-85,-62,-200,-73,-61,-71,-74,-65,-77,-60,-72,-73,-200,-79,-200,-79,-200,-79,-83,-81,-200,-200,-80,-83,-89,-68,-200,-200,-200,-83,-200,-200,-90,-82,-81,-76,-200,-200,-200,-200,-200,-200,-200,-69,-71,-200,-200,-200,-200,-200,-89,-200,-59,-76,-200,-200,-200,-200,-200,-81,-200,-200,-92,-90,-84,-200,-200,-200,-200,-200,-86,-200,-200,-200,-79,-200,-200,-85,-200,-89,-85,-89,-93,-200
1526454070841,-32,-45,-72,-55,-21,-58,-53,-62,-69,-54,-56,-64,-71,-46,-66,-63,-73,-55,-59,-72,-66,-65,-64,-63,-71,-72,-59,-67,-79,-73,-85,-79,-85,-85,-76,-62,-74,-72,-200,-200,-69,-73,-84,-60,-200,-73,-67,-71,-74,-58,-78,-61,-74,-54,-200,-84,-200,-88,-200,-85,-85,-81,-200,-95,-84,-83,-89,-68,-200,-81,-200,-85,-200,-200,-92,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-68,-71,-84,-89,-200,-200,-89,-89,-200,-66,-80,-78,-81,-86,-200,-200,-81,-200,-200,-200,-90,-79,-200,-200,-200,-200,-200,-86,-200,-89,-200,-200,-200,-200,-85,-200,-88,-200,-89,-93,-200
1526454073884,-31,-40,-46,-47,-33,-53,-54,-62,-70,-54,-54,-65,-77,-45,-58,-64,-67,-57,-58,-64,-63,-64,-63,-64,-75,-73,-60,-67,-77,-72,-85,-81,-85,-85,-78,-59,-74,-72,-200,-72,-68,-73,-84,-60,-200,-72,-64,-71,-74,-73,-78,-59,-75,-73,-200,-84,-200,-80,-200,-74,-85,-81,-200,-95,-84,-83,-89,-68,-200,-81,-200,-82,-200,-200,-92,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-68,-71,-84,-87,-200,-200,-87,-91,-200,-67,-80,-78,-81,-87,-200,-200,-200,-200,-88,-200,-200,-79,-200,-200,-86,-200,-200,-86,-89,-89,-200,-200,-200,-200,-85,-200,-88,-200,-89,-93,-200
1526454076922,-32,-37,-48,-51,-33,-55,-53,-61,-70,-54,-57,-64,-77,-45,-58,-61,-74,-57,-58,-64,-63,-75,-63,-62,-73,-73,-60,-66,-78,-76,-85,-79,-88,-200,-78,-60,-74,-69,-200,-70,-69,-74,-86,-60,-200,-72,-67,-71,-73,-73,-78,-61,-71,-73,-200,-84,-200,-80,-200,-79,-85,-81,-200,-95,-84,-83,-89,-68,-200,-79,-200,-81,-200,-200,-92,-82,-200,-76,-200,-200,-200,-200,-200,-200,-200,-67,-71,-84,-89,-200,-200,-87,-90,-200,-68,-75,-78,-81,-87,-200,-84,-200,-200,-88,-200,-200,-79,-200,-200,-86,-200,-200,-200,-89,-91,-200,-77,-200,-200,-85,-200,-88,-200,-88,-93,-200
1526454079979,-14,-37,-45,-47,-35,-53,-53,-65,-70,-53,-56,-64,-72,-45,-57,-66,-69,-56,-59,-64,-67,-64,-64,-64,-76,-73,-61,-66,-79,-74,-85,-79,-81,-200,-78,-28,-76,-69,-82,-70,-70,-77,-80,-75,-200,-76,-67,-71,-75,-73,-77,-58,-73,-73,-200,-80,-200,-79,-200,-79,-85,-81,-200,-95,-81,-85,-200,-77,-200,-84,-200,-83,-200,-200,-92,-82,-200,-76,-200,-200,-200,-200,-200,-200,-200,-67,-71,-84,-88,-200,-200,-87,-88,-200,-77,-81,-78,-81,-87,-75,-84,-200,-200,-88,-200,-200,-85,-200,-200,-86,-200,-69,-200,-89,-91,-200,-77,-200,-200,-200,-200,-88,-200,-88,-200,-90
1526454082998,-33,-40,-46,-51,-34,-54,-52,-62,-70,-54,-56,-66,-73,-45,-58,-64,-73,-56,-60,-64,-61,-62,-61,-64,-75,-75,-61,-68,-78,-75,-87,-78,-81,-87,-79,-62,-74,-75,-82,-67,-68,-77,-83,-60,-200,-71,-61,-71,-74,-72,-78,-61,-74,-74,-200,-82,-200,-79,-200,-82,-84,-81,-200,-200,-81,-84,-200,-64,-200,-84,-200,-78,-200,-200,-200,-80,-200,-75,-200,-87,-200,-200,-200,-200,-200,-69,-71,-84,-87,-200,-200,-87,-91,-200,-62,-77,-200,-81,-87,-75,-84,-200,-200,-88,-200,-200,-85,-78,-88,-86,-200,-69,-200,-89,-91,-91,-77,-200,-200,-200,-200,-87,-200,-88,-200,-90
