,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro_5GHz
1526447749855,-30,-34,-35,-34,-44,-44,-51,-48,-49,-43,-60,-53,-60,-54,-44,-65,-47,-55,-52,-67,-51,-57,-64,-65,-55,-59,-62,-69,-65,-200,-83,-65,-85,-80,-73,-78,-72,-76,-65,-78,-72,-77,-74,-83,-92,-69,-83,-87,-200,-83,-79,-77,-71,-74,-69,-78,-71,-200,-81,-85,-89,-81,-85,-86,-83,-91,-200,-89,-200,-86,-79,-82,-83,-89,-78,-87,-79,-200,-200,-56,-68,-83,-200,-86,-90,-100,-200,-200,-200,-81,-81,-89,-89,-91,-92,-82,-89,-91,-92,-200,-200,-200
1526447752891,-26,-32,-37,-36,-47,-47,-51,-49,-50,-43,-59,-53,-57,-55,-52,-58,-49,-54,-52,-65,-58,-58,-67,-65,-53,-61,-61,-70,-73,-200,-74,-67,-82,-80,-73,-78,-67,-76,-66,-70,-73,-78,-74,-79,-74,-69,-83,-88,-200,-83,-82,-77,-71,-74,-69,-81,-75,-200,-82,-85,-89,-76,-85,-84,-77,-91,-200,-89,-200,-86,-79,-82,-83,-90,-66,-87,-81,-200,-92,-56,-68,-83,-62,-86,-90,-100,-200,-200,-200,-200,-82,-84,-200,-200,-200,-88,-89,-91,-92,-200,-200,-200
1526447755928,-36,-16,-40,-37,-54,-47,-50,-48,-52,-43,-59,-52,-68,-59,-48,-59,-56,-53,-56,-66,-58,-60,-67,-63,-59,-64,-62,-70,-66,-200,-72,-67,-82,-80,-64,-76,-67,-73,-67,-70,-73,-78,-74,-73,-88,-70,-83,-89,-200,-83,-80,-77,-89,-74,-70,-79,-75,-200,-82,-87,-89,-76,-86,-84,-77,-91,-200,-89,-200,-86,-78,-82,-84,-90,-66,-87,-88,-85,-90,-56,-71,-83,-62,-86,-89,-100,-200,-200,-200,-79,-82,-84,-200,-200,-200,-82,-89,-91,-88,-88,-200,-200
1526447758974,-27,-30,-40,-36,-46,-47,-48,-44,-47,-45,-56,-52,-58,-59,-48,-57,-49,-50,-53,-68,-50,-58,-67,-63,-61,-62,-62,-73,-67,-200,-73,-68,-82,-80,-61,-77,-66,-73,-69,-70,-77,-78,-74,-79,-81,-69,-82,-86,-200,-200,-80,-76,-86,-74,-68,-79,-74,-200,-82,-86,-200,-73,-84,-86,-82,-89,-200,-90,-200,-86,-77,-83,-83,-90,-66,-93,-82,-85,-90,-58,-71,-200,-62,-86,-89,-100,-200,-89,-78,-79,-82,-84,-200,-200,-200,-82,-200,-200,-88,-88,-200,-200
1526447762030,-28,-28,-40,-35,-48,-51,-54,-47,-52,-44,-56,-51,-58,-57,-48,-57,-48,-50,-55,-69,-49,-59,-63,-61,-57,-71,-63,-74,-63,-70,-71,-64,-83,-80,-67,-72,-68,-74,-67,-73,-74,-78,-76,-79,-81,-72,-82,-86,-200,-200,-80,-76,-86,-73,-68,-79,-72,-200,-82,-87,-84,-76,-85,-86,-81,-89,-200,-90,-200,-86,-77,-83,-83,-90,-66,-81,-82,-85,-90,-55,-68,-79,-62,-86,-89,-91,-200,-88,-78,-79,-82,-82,-200,-92,-200,-82,-200,-200,-88,-88,-200,-200
1526447765077,-7,-31,-37,-32,-44,-41,-50,-52,-50,-43,-54,-66,-59,-57,-48,-63,-47,-58,-42,-66,-67,-59,-64,-51,-57,-71,-63,-70,-70,-75,-72,-68,-82,-80,-67,-85,-68,-74,-63,-73,-76,-70,-76,-79,-81,-71,-82,-86,-200,-200,-80,-76,-86,-73,-66,-78,-71,-200,-81,-86,-86,-79,-84,-86,-82,-89,-200,-90,-200,-86,-77,-81,-83,-90,-73,-81,-83,-85,-90,-62,-68,-79,-200,-200,-89,-91,-200,-88,-80,-79,-200,-82,-200,-92,-200,-82,-200,-200,-91,-88,-200,-200
1526447768121,-27,-28,-37,-38,-46,-47,-52,-53,-49,-43,-53,-51,-58,-56,-45,-56,-47,-52,-51,-66,-56,-59,-66,-63,-56,-62,-63,-70,-63,-75,-72,-68,-82,-200,-67,-77,-67,-76,-65,-71,-75,-78,-76,-79,-86,-69,-84,-86,-200,-200,-78,-81,-86,-74,-70,-78,-70,-200,-84,-83,-86,-76,-84,-86,-82,-89,-200,-90,-200,-86,-77,-83,-85,-89,-73,-87,-83,-200,-200,-62,-68,-79,-200,-200,-89,-91,-200,-88,-80,-200,-200,-82,-200,-92,-200,-200,-200,-200,-91,-200,-200,-200
1526447771162,-26,-30,-40,-37,-49,-43,-50,-48,-49,-43,-55,-53,-60,-58,-47,-59,-49,-54,-52,-69,-60,-60,-67,-65,-58,-61,-64,-70,-68,-72,-73,-68,-82,-200,-69,-74,-66,-76,-63,-72,-73,-79,-76,-80,-86,-72,-81,-88,-200,-200,-78,-76,-200,-74,-68,-78,-76,-200,-84,-86,-86,-76,-84,-84,-82,-90,-200,-89,-200,-86,-78,-80,-85,-90,-73,-93,-83,-200,-200,-62,-68,-79,-84,-81,-89,-91,-91,-88,-79,-200,-200,-82,-200,-91,-200,-200,-200,-200,-91,-200,-200,-200
1526447774204,-34,-32,-37,-35,-47,-47,-50,-46,-49,-44,-55,-52,-60,-56,-50,-58,-48,-55,-52,-67,-60,-56,-65,-66,-57,-62,-63,-68,-69,-72,-71,-67,-82,-200,-64,-74,-67,-76,-61,-73,-74,-79,-78,-77,-85,-74,-82,-88,-200,-200,-81,-76,-200,-74,-68,-76,-72,-200,-80,-85,-86,-79,-84,-84,-82,-90,-200,-91,-200,-88,-78,-80,-83,-90,-73,-93,-80,-200,-200,-59,-70,-200,-84,-81,-90,-92,-91,-200,-79,-200,-200,-200,-200,-91,-200,-200,-200,-200,-88,-200,-92,-200
1526447777235,-32,-27,-40,-35,-52,-49,-49,-45,-50,-43,-57,-52,-58,-55,-48,-57,-49,-51,-53,-61,-54,-58,-63,-62,-55,-62,-63,-70,-68,-72,-70,-61,-82,-200,-66,-73,-67,-69,-63,-70,-72,-78,-78,-77,-82,-70,-80,-86,-200,-200,-81,-80,-85,-74,-68,-84,-72,-200,-80,-85,-200,-76,-84,-84,-82,-90,-200,-91,-200,-88,-78,-82,-83,-90,-200,-93,-80,-200,-200,-59,-70,-81,-84,-81,-90,-92,-91,-200,-79,-200,-83,-200,-200,-91,-200,-200,-89,-200,-86,-200,-92,-200
1526447780272,-8,-15,-40,-38,-55,-49,-50,-59,-50,-42,-55,-53,-84,-55,-53,-62,-47,-57,-52,-70,-54,-61,-63,-64,-57,-62,-63,-68,-68,-72,-74,-68,-92,-200,-66,-83,-66,-69,-66,-72,-72,-76,-78,-77,-78,-70,-82,-86,-200,-200,-79,-84,-87,-75,-68,-79,-72,-200,-80,-85,-85,-80,-84,-86,-78,-91,-200,-89,-200,-88,-78,-82,-83,-90,-200,-93,-82,-200,-200,-59,-70,-84,-84,-81,-90,-92,-91,-200,-79,-200,-83,-200,-200,-91,-200,-200,-89,-200,-86,-200,-92,-200
1526447783307,-31,-30,-40,-36,-53,-52,-53,-53,-49,-42,-55,-52,-57,-56,-47,-58,-47,-54,-53,-70,-56,-61,-60,-64,-59,-61,-64,-71,-66,-200,-72,-68,-87,-200,-66,-74,-71,-69,-67,-71,-72,-76,-76,-81,-88,-71,-82,-85,-200,-85,-78,-77,-87,-73,-71,-80,-71,-200,-82,-85,-85,-80,-85,-86,-78,-91,-200,-89,-200,-87,-77,-82,-83,-200,-71,-200,-82,-200,-200,-59,-70,-84,-83,-85,-90,-92,-200,-91,-200,-200,-83,-82,-200,-88,-200,-200,-89,-200,-86,-200,-92,-84
