,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458388789,-36,-35,-48,-36,-47,-56,-69,-56,-61,-60,-70,-67,-63,-77,-67,-70,-69,-61,-64,-69,-77,-69,-84,-71,-71,-200,-83,-70,-86,-82,-90,-81,-83,-73,-200,-78,-81,-84,-79,-80,-84,-97,-200,-200,-200,-78,-89,-200,-91,-200,-90,-88,-88,-84,-91,-90,-200,-82,-80,-90,-91,-91,-92,-91,-200,-91,-200,-200,-85,-200,-200,-90,-88,-89,-200,-93,-200,-88,-92,-200,-89,-90,-92,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526458391830,-36,-37,-47,-36,-48,-58,-61,-48,-62,-53,-63,-68,-62,-77,-68,-68,-63,-62,-66,-71,-77,-71,-79,-67,-74,-73,-81,-76,-87,-82,-200,-81,-83,-76,-200,-77,-82,-200,-78,-83,-84,-87,-200,-71,-200,-79,-89,-200,-85,-200,-200,-88,-92,-85,-90,-89,-200,-200,-86,-88,-91,-92,-92,-200,-200,-89,-200,-200,-85,-200,-200,-90,-83,-78,-200,-93,-200,-88,-92,-200,-200,-89,-84,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526458394872,-34,-39,-47,-38,-48,-56,-66,-44,-66,-54,-66,-64,-70,-77,-68,-77,-70,-61,-56,-79,-78,-71,-80,-71,-74,-73,-81,-69,-92,-87,-200,-80,-83,-76,-200,-79,-84,-83,-78,-83,-84,-87,-200,-71,-200,-79,-90,-85,-85,-200,-82,-85,-92,-84,-88,-89,-90,-200,-88,-89,-90,-92,-90,-92,-200,-89,-200,-200,-85,-200,-200,-90,-84,-78,-200,-200,-200,-88,-92,-200,-200,-89,-84,-200,-200,-91,-91,-200,-200,-200,-200,-200
1526458397911,-36,-38,-47,-36,-48,-55,-59,-44,-61,-56,-66,-65,-63,-79,-70,-69,-70,-63,-65,-70,-80,-68,-83,-71,-74,-73,-81,-73,-92,-78,-200,-81,-83,-79,-200,-77,-83,-83,-83,-81,-200,-87,-200,-71,-200,-79,-87,-85,-90,-200,-87,-85,-92,-84,-88,-89,-90,-85,-88,-89,-92,-92,-90,-92,-200,-89,-200,-200,-200,-200,-200,-200,-84,-78,-200,-91,-200,-200,-200,-93,-200,-89,-86,-200,-200,-91,-89,-200,-200,-200,-200,-200
1526458400942,-36,-36,-46,-38,-48,-56,-62,-44,-56,-55,-67,-66,-63,-78,-69,-68,-67,-65,-63,-71,-77,-70,-80,-65,-76,-73,-81,-71,-92,-78,-200,-84,-81,-79,-200,-77,-82,-83,-80,-81,-200,-88,-200,-71,-200,-83,-89,-85,-90,-200,-87,-90,-89,-84,-88,-200,-90,-89,-86,-89,-88,-92,-92,-92,-200,-89,-200,-89,-85,-200,-200,-200,-84,-90,-200,-90,-200,-200,-200,-93,-200,-200,-89,-200,-200,-91,-89,-200,-200,-200,-200,-200
1526458403982,-37,-37,-47,-37,-50,-54,-63,-44,-56,-56,-67,-63,-64,-78,-69,-68,-66,-60,-61,-71,-77,-70,-81,-71,-76,-200,-83,-69,-85,-61,-200,-82,-82,-75,-200,-77,-82,-86,-79,-81,-200,-88,-200,-84,-200,-83,-89,-87,-90,-200,-87,-87,-89,-86,-88,-200,-90,-89,-86,-89,-87,-92,-92,-92,-200,-200,-200,-92,-84,-88,-200,-200,-84,-87,-200,-90,-200,-200,-200,-93,-200,-200,-89,-200,-200,-91,-89,-200,-200,-200,-200,-200
1526458407015,-36,-37,-46,-36,-49,-52,-72,-54,-61,-55,-66,-64,-67,-78,-67,-70,-66,-63,-60,-71,-77,-71,-76,-69,-54,-200,-82,-72,-89,-82,-200,-80,-82,-73,-200,-64,-94,-84,-76,-81,-200,-88,-200,-84,-200,-83,-89,-87,-84,-200,-87,-87,-89,-86,-88,-200,-200,-89,-86,-200,-84,-200,-92,-200,-200,-200,-91,-92,-84,-89,-200,-200,-66,-87,-200,-88,-200,-200,-200,-93,-200,-200,-89,-200,-200,-91,-89,-86,-200,-200,-200,-200
1526458410052,-43,-37,-46,-15,-50,-56,-72,-44,-58,-53,-66,-62,-81,-86,-68,-70,-69,-64,-78,-70,-77,-70,-89,-72,-77,-200,-82,-80,-89,-82,-200,-82,-83,-75,-200,-75,-83,-84,-77,-86,-200,-88,-200,-84,-200,-83,-89,-87,-84,-200,-200,-87,-87,-91,-88,-200,-200,-89,-90,-90,-87,-88,-92,-200,-200,-200,-91,-92,-84,-89,-200,-200,-66,-80,-200,-88,-200,-89,-200,-200,-200,-200,-89,-200,-200,-91,-200,-86,-200,-200,-200,-200
1526458413093,-36,-37,-46,-38,-47,-56,-64,-44,-64,-55,-66,-65,-73,-78,-69,-70,-71,-63,-65,-67,-77,-69,-80,-70,-75,-72,-81,-79,-87,-78,-200,-82,-83,-75,-200,-79,-83,-85,-77,-82,-200,-200,-200,-84,-200,-79,-92,-87,-88,-200,-200,-87,-87,-85,-88,-200,-90,-200,-88,-90,-87,-93,-91,-200,-200,-200,-91,-91,-84,-89,-200,-200,-66,-88,-200,-88,-200,-89,-200,-200,-200,-200,-86,-200,-200,-91,-88,-86,-88,-200,-200,-200
1526458416127,-36,-37,-46,-40,-50,-56,-64,-43,-63,-56,-67,-63,-62,-78,-66,-70,-69,-63,-64,-71,-77,-68,-80,-70,-75,-72,-81,-72,-86,-81,-200,-82,-82,-75,-200,-64,-82,-85,-77,-82,-200,-200,-200,-72,-200,-79,-92,-86,-88,-200,-200,-200,-88,-85,-200,-200,-90,-88,-89,-90,-87,-93,-90,-200,-200,-200,-91,-91,-200,-85,-200,-88,-66,-88,-200,-89,-200,-89,-200,-200,-200,-90,-84,-200,-200,-91,-88,-86,-88,-90,-200,-200
1526458419162,-36,-37,-46,-40,-50,-56,-63,-44,-63,-55,-66,-66,-73,-78,-76,-70,-71,-63,-62,-70,-79,-68,-78,-70,-75,-72,-81,-71,-86,-81,-88,-82,-81,-71,-200,-78,-81,-85,-77,-81,-200,-200,-200,-72,-86,-79,-90,-86,-88,-200,-200,-200,-91,-85,-200,-200,-90,-85,-86,-90,-87,-93,-90,-200,-200,-90,-200,-91,-200,-85,-200,-88,-200,-88,-200,-88,-200,-89,-200,-200,-200,-90,-86,-200,-200,-92,-88,-200,-88,-90,-84,-95
1526458422200,-36,-37,-46,-36,-49,-56,-62,-43,-52,-57,-66,-67,-64,-79,-76,-52,-69,-64,-61,-71,-78,-70,-80,-67,-76,-72,-82,-71,-85,-77,-88,-83,-83,-76,-200,-78,-81,-85,-78,-80,-89,-200,-200,-72,-86,-83,-87,-86,-88,-200,-85,-200,-91,-83,-84,-89,-90,-85,-84,-200,-87,-93,-90,-200,-200,-89,-200,-91,-85,-85,-200,-88,-87,-87,-200,-88,-200,-200,-200,-200,-200,-90,-83,-200,-200,-92,-88,-200,-86,-90,-84,-95
