,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526458754042,-32,-25,-48,-45,-45,-48,-55,-55,-59,-63,-62,-61,-68,-65,-62,-73,-69,-71,-82,-71,-69,-82,-76,-67,-72,-82,-72,-77,-78,-200,-81,-200,-78,-200,-84,-88,-89,-85,-200,-86,-81,-85,-88,-85,-89,-91,-89,-200,-82,-89,-200,-90,-200,-90,-93,-200,-200,-89,-200,-200,-200,-200,-89,-89,-200,-88,-89,-87,-91,-200,-93,-80,-200,-85,-200,-200,-92,-86,-86,-91,-200,-200,-200,-200,-200,-200
1526458757054,-39,-26,-49,-46,-45,-50,-62,-55,-59,-64,-64,-60,-68,-67,-71,-70,-69,-72,-82,-71,-76,-74,-75,-70,-73,-82,-72,-77,-77,-200,-80,-200,-79,-200,-200,-88,-89,-85,-200,-86,-82,-85,-92,-87,-86,-91,-200,-200,-82,-89,-200,-90,-200,-86,-200,-200,-200,-90,-200,-200,-200,-200,-89,-89,-87,-88,-89,-87,-91,-200,-200,-80,-200,-88,-200,-200,-92,-86,-200,-89,-200,-200,-200,-200,-200,-200
1526458760089,-14,-14,-48,-45,-45,-46,-56,-56,-67,-64,-67,-73,-68,-66,-63,-68,-70,-71,-200,-71,-86,-75,-75,-68,-80,-81,-200,-77,-77,-200,-79,-200,-76,-87,-200,-90,-84,-81,-200,-86,-82,-84,-86,-87,-87,-90,-200,-200,-200,-89,-200,-89,-200,-88,-200,-200,-200,-87,-200,-200,-200,-200,-89,-89,-87,-86,-200,-85,-91,-200,-200,-81,-200,-85,-200,-200,-92,-86,-200,-89,-84,-200,-200,-200,-200,-200
1526458763122,-31,-14,-48,-38,-45,-52,-56,-55,-58,-64,-60,-55,-68,-65,-64,-65,-69,-69,-79,-76,-72,-75,-75,-69,-73,-81,-79,-77,-77,-83,-80,-200,-76,-89,-200,-86,-84,-81,-200,-200,-82,-86,-90,-90,-90,-90,-90,-200,-81,-200,-200,-89,-200,-88,-200,-88,-200,-86,-200,-200,-200,-200,-200,-89,-87,-87,-200,-85,-91,-200,-200,-81,-200,-85,-200,-200,-200,-86,-200,-89,-84,-200,-200,-200,-200,-200
1526458766161,-30,-30,-47,-46,-45,-52,-52,-56,-61,-63,-61,-59,-70,-67,-51,-64,-70,-71,-79,-76,-72,-75,-75,-70,-72,-81,-79,-79,-77,-83,-78,-200,-74,-89,-200,-89,-84,-81,-200,-200,-200,-86,-90,-90,-90,-90,-89,-200,-81,-88,-200,-89,-92,-88,-200,-88,-200,-89,-200,-200,-200,-200,-91,-200,-200,-87,-90,-85,-91,-200,-200,-81,-200,-85,-200,-200,-200,-86,-200,-200,-84,-90,-200,-200,-200,-200
1526458769201,-31,-30,-47,-45,-45,-52,-52,-56,-64,-62,-63,-60,-70,-64,-54,-66,-70,-70,-80,-72,-90,-74,-75,-70,-72,-79,-79,-77,-79,-83,-79,-200,-80,-89,-200,-89,-84,-89,-200,-200,-200,-85,-88,-90,-90,-90,-88,-200,-81,-88,-90,-200,-92,-88,-200,-89,-200,-90,-200,-200,-200,-200,-89,-87,-200,-87,-90,-85,-91,-200,-200,-81,-200,-85,-200,-200,-200,-85,-200,-200,-84,-90,-90,-200,-200,-200
1526458772235,-30,-25,-47,-45,-45,-52,-54,-56,-60,-62,-61,-63,-67,-67,-52,-66,-69,-72,-80,-72,-77,-74,-75,-69,-73,-82,-79,-77,-79,-83,-79,-82,-77,-89,-200,-88,-85,-84,-200,-200,-200,-85,-88,-90,-90,-90,-92,-88,-82,-88,-90,-200,-92,-88,-200,-89,-200,-89,-200,-200,-200,-200,-89,-87,-200,-87,-90,-200,-91,-200,-89,-200,-200,-200,-89,-200,-200,-85,-200,-200,-200,-90,-90,-91,-200,-200
1526458775274,-14,-31,-48,-44,-45,-52,-53,-55,-56,-64,-61,-61,-78,-67,-45,-70,-68,-73,-80,-71,-75,-74,-75,-70,-74,-82,-200,-78,-76,-200,-79,-82,-79,-89,-200,-88,-85,-84,-200,-85,-200,-90,-86,-85,-200,-88,-92,-86,-82,-87,-90,-200,-90,-88,-200,-89,-200,-89,-200,-200,-200,-93,-90,-87,-200,-200,-90,-200,-91,-200,-89,-89,-200,-200,-89,-200,-200,-85,-200,-200,-200,-90,-90,-91,-92,-200
1526458778296,-31,-25,-48,-35,-45,-52,-54,-55,-59,-63,-62,-60,-69,-66,-64,-65,-68,-71,-80,-65,-72,-73,-75,-70,-74,-82,-85,-79,-76,-200,-79,-82,-75,-89,-200,-88,-85,-84,-200,-85,-200,-90,-86,-84,-200,-88,-92,-86,-82,-91,-90,-86,-90,-88,-200,-89,-200,-89,-200,-200,-200,-93,-90,-87,-200,-200,-200,-200,-91,-200,-89,-79,-200,-200,-89,-200,-200,-86,-200,-200,-200,-200,-92,-91,-92,-200
1526458781332,-30,-25,-49,-44,-45,-52,-56,-55,-57,-62,-66,-59,-69,-67,-63,-71,-67,-71,-80,-71,-72,-76,-75,-71,-73,-85,-85,-78,-77,-200,-79,-82,-77,-89,-79,-89,-85,-84,-200,-85,-200,-85,-86,-84,-200,-88,-92,-86,-81,-86,-200,-86,-90,-88,-89,-90,-200,-88,-200,-200,-200,-93,-90,-200,-79,-200,-200,-200,-91,-200,-89,-79,-86,-84,-89,-200,-200,-86,-200,-200,-200,-91,-92,-91,-92,-200
1526458784373,-31,-24,-48,-45,-45,-34,-53,-56,-63,-66,-64,-60,-71,-68,-64,-72,-64,-96,-78,-71,-79,-86,-75,-71,-72,-85,-85,-80,-77,-88,-79,-200,-73,-89,-81,-89,-86,-83,-200,-85,-200,-85,-86,-84,-200,-88,-200,-86,-81,-86,-200,-86,-93,-88,-89,-90,-200,-88,-200,-200,-200,-93,-90,-200,-79,-200,-200,-90,-91,-200,-200,-79,-86,-84,-89,-200,-200,-86,-200,-200,-200,-91,-92,-200,-92,-90
1526458787403,-31,-14,-49,-45,-45,-51,-54,-55,-58,-62,-62,-60,-70,-65,-62,-71,-69,-73,-82,-72,-72,-86,-75,-70,-73,-75,-74,-80,-77,-87,-73,-82,-75,-90,-81,-89,-85,-83,-200,-200,-200,-85,-87,-86,-87,-91,-89,-200,-83,-86,-200,-86,-93,-88,-90,-89,-200,-89,-200,-200,-200,-93,-90,-200,-79,-89,-200,-90,-91,-200,-89,-79,-86,-84,-89,-200,-200,-86,-200,-200,-200,-91,-92,-200,-200,-90
