,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,whjx-gaofeng-13,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,ez-hr-honglianhu-1,ChinaNet-GLeE,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461962108,-41,-42,-48,-50,-67,-60,-55,-55,-60,-61,-66,-69,-68,-72,-52,-82,-54,-77,-70,-70,-78,-70,-81,-74,-57,-66,-75,-57,-67,-86,-82,-67,-83,-200,-75,-77,-69,-78,-85,-86,-72,-77,-81,-79,-92,-69,-82,-81,-64,-200,-79,-78,-200,-76,-200,-85,-89,-200,-200,-91,-82,-200,-85,-200,-85,-200,-200,-97,-90,-94,-75,-93,-200,-93,-96,-200,-200,-87,-96,-87,-94,-89,-96,-96,-88,-200,-200,-63,-85,-81,-200,-93,-85,-86,-93,-200,-93,-200,-96,-200,-97,-95,-98,-87,-92,-85,-94,-95,-200,-200,-200
1526461965155,-47,-42,-51,-52,-61,-57,-58,-51,-72,-59,-63,-69,-62,-72,-54,-81,-73,-68,-66,-74,-78,-71,-79,-74,-56,-64,-77,-65,-68,-85,-82,-71,-85,-200,-75,-75,-68,-75,-87,-83,-70,-77,-79,-79,-80,-76,-84,-81,-63,-200,-82,-69,-200,-79,-200,-86,-89,-200,-200,-89,-84,-200,-81,-200,-82,-200,-200,-97,-90,-93,-74,-94,-200,-93,-200,-200,-200,-89,-200,-87,-94,-89,-200,-200,-85,-200,-200,-61,-85,-81,-200,-93,-85,-85,-96,-200,-93,-200,-94,-200,-96,-200,-200,-87,-92,-85,-94,-95,-200,-200,-200
1526461968209,-41,-44,-48,-49,-57,-63,-53,-56,-58,-63,-64,-68,-63,-75,-52,-83,-73,-68,-67,-69,-80,-71,-73,-74,-59,-63,-74,-63,-70,-85,-78,-69,-92,-81,-75,-80,-70,-68,-87,-83,-69,-79,-81,-79,-80,-83,-84,-82,-66,-200,-81,-66,-200,-79,-200,-86,-88,-200,-200,-90,-90,-200,-81,-200,-87,-200,-200,-97,-91,-93,-80,-94,-200,-91,-200,-200,-200,-85,-200,-86,-93,-89,-200,-200,-90,-200,-200,-58,-85,-200,-200,-93,-80,-87,-91,-200,-200,-200,-94,-200,-96,-200,-200,-200,-92,-85,-94,-95,-80,-200,-200
1526461971264,-43,-39,-56,-46,-69,-62,-58,-52,-58,-64,-66,-76,-58,-74,-55,-82,-66,-70,-66,-84,-80,-66,-83,-73,-57,-75,-76,-63,-68,-82,-71,-69,-92,-81,-65,-80,-70,-75,-85,-86,-73,-81,-82,-82,-80,-83,-84,-80,-59,-200,-81,-82,-200,-79,-200,-86,-88,-200,-200,-90,-81,-200,-86,-200,-84,-200,-200,-94,-94,-93,-77,-92,-200,-91,-92,-200,-200,-85,-97,-82,-93,-200,-200,-200,-83,-200,-200,-62,-85,-88,-200,-200,-80,-87,-95,-200,-90,-200,-94,-200,-96,-200,-200,-200,-93,-200,-200,-200,-80,-200,-200
1526461974309,-41,-38,-52,-49,-59,-62,-58,-49,-59,-66,-73,-76,-61,-76,-52,-85,-67,-70,-68,-82,-80,-66,-86,-72,-58,-67,-75,-64,-69,-79,-73,-71,-92,-81,-65,-80,-73,-77,-81,-82,-70,-78,-82,-82,-200,-77,-200,-82,-67,-200,-85,-75,-200,-200,-200,-87,-95,-200,-200,-90,-86,-95,-85,-200,-82,-200,-92,-94,-89,-200,-77,-92,-200,-91,-92,-200,-200,-85,-97,-80,-89,-200,-95,-200,-84,-200,-200,-62,-80,-85,-97,-93,-80,-87,-94,-200,-90,-200,-95,-200,-96,-200,-200,-200,-93,-89,-200,-200,-80,-96,-200
1526461977356,-42,-38,-58,-50,-53,-61,-51,-54,-59,-66,-67,-71,-60,-76,-54,-70,-67,-70,-69,-76,-65,-70,-84,-71,-58,-71,-76,-64,-69,-79,-73,-71,-92,-200,-65,-85,-83,-77,-83,-79,-70,-78,-83,-79,-200,-75,-200,-82,-70,-200,-85,-69,-200,-200,-200,-89,-95,-200,-92,-84,-88,-93,-89,-200,-82,-200,-92,-95,-93,-200,-77,-86,-200,-94,-96,-200,-200,-86,-97,-88,-92,-86,-95,-200,-84,-200,-200,-62,-85,-83,-97,-93,-200,-200,-97,-200,-85,-200,-95,-200,-200,-200,-200,-200,-90,-89,-200,-200,-200,-96,-200
1526461980411,-41,-41,-63,-47,-62,-59,-55,-48,-59,-65,-71,-73,-60,-71,-54,-70,-70,-200,-69,-81,-70,-70,-83,-74,-58,-68,-76,-63,-69,-80,-71,-71,-78,-200,-72,-81,-83,-77,-80,-81,-72,-78,-71,-79,-200,-78,-200,-82,-61,-200,-85,-73,-200,-200,-200,-90,-95,-200,-92,-86,-85,-93,-84,-200,-82,-200,-92,-95,-89,-200,-75,-91,-200,-94,-96,-200,-200,-86,-200,-82,-90,-87,-95,-200,-85,-200,-200,-60,-85,-83,-94,-93,-200,-87,-89,-200,-85,-200,-94,-200,-200,-200,-200,-86,-90,-89,-200,-200,-200,-96,-200
1526461983474,-39,-41,-49,-46,-57,-56,-63,-49,-62,-61,-68,-73,-57,-71,-54,-82,-68,-68,-69,-78,-70,-66,-84,-72,-62,-72,-77,-62,-70,-79,-68,-75,-88,-200,-70,-82,-63,-200,-79,-90,-70,-83,-82,-78,-200,-76,-200,-79,-62,-200,-84,-73,-200,-200,-200,-90,-93,-200,-92,-82,-88,-93,-84,-200,-73,-200,-94,-95,-89,-200,-82,-88,-200,-94,-96,-200,-200,-84,-200,-90,-90,-88,-200,-200,-87,-200,-200,-64,-85,-83,-94,-93,-200,-88,-90,-200,-85,-200,-94,-200,-200,-200,-200,-86,-93,-200,-200,-200,-200,-200,-200
1526461986521,-41,-44,-49,-47,-57,-59,-60,-55,-57,-68,-70,-72,-59,-73,-55,-79,-68,-68,-67,-77,-70,-70,-85,-71,-56,-72,-77,-64,-71,-80,-73,-73,-88,-200,-70,-83,-67,-71,-79,-81,-72,-77,-78,-73,-89,-79,-200,-79,-62,-200,-84,-76,-200,-200,-200,-86,-93,-200,-86,-83,-90,-200,-85,-200,-81,-200,-94,-95,-89,-200,-75,-89,-200,-94,-200,-200,-200,-88,-200,-90,-90,-88,-92,-200,-84,-200,-200,-64,-79,-200,-94,-94,-200,-88,-90,-200,-200,-200,-94,-200,-200,-200,-200,-86,-93,-200,-200,-200,-200,-200,-200
1526461989573,-40,-39,-57,-48,-62,-62,-59,-49,-55,-64,-71,-76,-57,-73,-51,-85,-66,-68,-73,-78,-66,-67,-79,-74,-58,-70,-80,-58,-69,-79,-73,-73,-88,-200,-70,-81,-74,-76,-80,-85,-72,-80,-78,-77,-89,-74,-200,-80,-63,-200,-87,-75,-200,-200,-200,-89,-93,-200,-86,-83,-88,-93,-86,-200,-83,-200,-94,-95,-90,-87,-74,-91,-200,-94,-200,-200,-200,-88,-200,-91,-90,-83,-95,-200,-83,-200,-200,-63,-76,-200,-94,-94,-200,-88,-95,-200,-200,-200,-96,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526461992625,-41,-38,-53,-48,-57,-60,-58,-52,-57,-66,-67,-76,-60,-76,-51,-85,-64,-200,-73,-75,-74,-66,-87,-73,-57,-72,-75,-60,-67,-78,-73,-71,-87,-200,-73,-84,-80,-74,-80,-84,-73,-80,-82,-74,-89,-73,-200,-82,-63,-200,-87,-75,-92,-78,-200,-87,-92,-200,-86,-83,-85,-93,-89,-200,-85,-200,-200,-95,-90,-88,-80,-91,-200,-93,-96,-200,-200,-90,-97,-91,-91,-83,-95,-200,-83,-96,-98,-63,-77,-200,-93,-94,-200,-200,-95,-200,-90,-200,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526461995679,-44,-41,-58,-49,-56,-53,-60,-51,-58,-65,-65,-76,-59,-71,-51,-80,-64,-200,-71,-81,-76,-66,-80,-74,-53,-67,-80,-69,-67,-81,-200,-73,-81,-200,-78,-82,-74,-74,-82,-83,-72,-77,-82,-74,-84,-74,-86,-79,-63,-200,-85,-76,-90,-78,-200,-91,-92,-200,-87,-89,-87,-93,-91,-200,-83,-200,-200,-92,-89,-87,-73,-92,-200,-94,-96,-200,-200,-88,-97,-89,-89,-82,-93,-200,-84,-96,-98,-61,-77,-200,-93,-89,-200,-87,-95,-85,-90,-200,-95,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-83
