,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526451057401,-39,-37,-32,-41,-50,-200,-54,-57,-43,-55,-50,-59,-55,-53,-61,-52,-58,-66,-200,-70,-200,-70,-62,-60,-200,-60,-64,-63,-200,-67,-72,-75,-200,-67,-200,-200,-72,-200,-65,-74,-200,-200,-78,-84,-64,-200,-68,-67,-200,-200,-84,-200,-80,-72,-200,-200,-200,-81,-72,-80,-200,-200,-86,-200,-200,-200,-200,-200,-74,-72,-75,-76,-200,-67,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451060449,-27,-34,-39,-46,-43,-200,-73,-57,-44,-55,-45,-52,-54,-57,-63,-60,-54,-66,-55,-63,-60,-59,-63,-60,-200,-67,-200,-63,-61,-65,-73,-84,-67,-72,-200,-200,-200,-200,-72,-75,-200,-200,-78,-58,-64,-200,-73,-73,-200,-200,-82,-200,-80,-200,-200,-200,-200,-82,-73,-81,-200,-84,-86,-200,-200,-200,-200,-200,-74,-200,-200,-76,-200,-67,-200,-200,-76,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451063509,-32,-45,-33,-46,-49,-56,-45,-56,-43,-50,-52,-52,-54,-52,-57,-56,-54,-66,-49,-62,-60,-59,-63,-62,-70,-64,-200,-63,-61,-67,-70,-70,-67,-68,-200,-200,-200,-71,-68,-76,-200,-200,-78,-58,-64,-200,-73,-69,-200,-200,-79,-200,-74,-200,-200,-200,-200,-81,-73,-84,-80,-85,-86,-200,-200,-200,-200,-200,-78,-200,-200,-67,-200,-71,-78,-200,-76,-200,-200,-62,-200,-200,-200,-91,-200,-86,-200,-200,-200,-200,-200,-76,-83,-80,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526451066513,-38,-40,-33,-41,-53,-56,-49,-56,-44,-54,-47,-50,-53,-59,-55,-56,-200,-66,-53,-62,-200,-56,-200,-62,-67,-47,-200,-67,-65,-64,-68,-69,-200,-70,-86,-200,-200,-71,-63,-76,-70,-200,-78,-79,-200,-200,-72,-65,-200,-200,-83,-200,-75,-200,-200,-200,-200,-84,-73,-84,-80,-84,-200,-200,-200,-200,-200,-200,-77,-71,-200,-67,-200,-71,-78,-200,-200,-200,-200,-200,-72,-200,-200,-91,-200,-86,-200,-200,-200,-200,-200,-200,-200,-80,-86,-89,-79,-200,-200,-200,-200,-200,-200,-200
1526451069560,-39,-38,-34,-40,-59,-200,-49,-55,-43,-54,-47,-73,-53,-54,-54,-56,-200,-66,-57,-62,-200,-61,-200,-64,-67,-53,-200,-67,-64,-65,-69,-69,-200,-69,-86,-68,-200,-200,-85,-79,-70,-67,-81,-65,-200,-200,-72,-66,-200,-200,-80,-200,-75,-200,-200,-200,-200,-84,-73,-200,-200,-80,-200,-200,-200,-200,-200,-200,-77,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-77,-79,-92,-200,-200,-200,-200
1526451072610,-44,-31,-40,-41,-57,-200,-51,-54,-45,-52,-48,-49,-59,-63,-68,-57,-57,-200,-67,-70,-69,-61,-200,-64,-73,-54,-73,-73,-66,-52,-70,-66,-200,-63,-85,-68,-200,-200,-85,-78,-73,-67,-77,-80,-200,-200,-200,-67,-200,-200,-78,-200,-200,-200,-79,-200,-200,-200,-69,-52,-200,-86,-200,-200,-200,-200,-200,-82,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-88,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-79,-92,-83,-200,-200,-200
1526451075626,-63,-33,-42,-40,-44,-54,-49,-54,-42,-55,-41,-62,-54,-64,-63,-61,-57,-200,-58,-70,-69,-62,-200,-64,-69,-57,-73,-73,-66,-65,-76,-64,-200,-65,-85,-68,-68,-200,-65,-82,-73,-67,-75,-80,-200,-200,-55,-65,-200,-200,-82,-200,-200,-200,-79,-84,-90,-200,-69,-84,-200,-86,-200,-200,-200,-87,-200,-82,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-89,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-77,-79,-92,-83,-84,-200,-200
1526451078693,-30,-32,-39,-37,-49,-54,-72,-62,-41,-60,-45,-63,-56,-53,-75,-55,-51,-59,-58,-53,-69,-58,-200,-65,-69,-65,-67,-73,-67,-67,-74,-80,-200,-64,-86,-200,-68,-200,-65,-78,-71,-200,-78,-77,-75,-200,-76,-62,-200,-200,-80,-87,-200,-200,-79,-84,-90,-85,-74,-86,-200,-86,-200,-200,-200,-87,-200,-85,-83,-200,-77,-200,-200,-64,-200,-200,-200,-200,-200,-69,-200,-200,-200,-89,-200,-87,-81,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-83,-84,-200,-200
1526451081745,-73,-33,-39,-36,-48,-67,-69,-68,-44,-56,-46,-50,-69,-58,-68,-51,-60,-56,-60,-53,-65,-68,-200,-65,-200,-82,-81,-68,-68,-67,-73,-64,-200,-65,-84,-77,-69,-200,-72,-82,-73,-200,-78,-66,-81,-200,-66,-62,-200,-77,-80,-87,-79,-75,-200,-200,-200,-85,-74,-86,-200,-86,-200,-200,-200,-200,-200,-85,-83,-200,-76,-200,-200,-64,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451084813,-32,-32,-37,-41,-43,-60,-48,-68,-44,-50,-49,-51,-69,-54,-58,-66,-58,-61,-60,-68,-80,-66,-63,-200,-200,-82,-68,-68,-68,-50,-78,-64,-200,-75,-84,-77,-69,-200,-75,-80,-73,-200,-78,-66,-90,-200,-66,-200,-200,-77,-77,-200,-76,-85,-200,-200,-200,-86,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-85,-63,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451087852,-39,-35,-37,-40,-44,-58,-52,-63,-51,-53,-52,-56,-55,-58,-57,-58,-57,-61,-58,-71,-80,-58,-63,-200,-63,-58,-68,-71,-200,-70,-74,-200,-200,-76,-200,-200,-200,-200,-75,-76,-75,-200,-78,-79,-90,-200,-200,-62,-200,-200,-82,-200,-76,-77,-200,-200,-79,-85,-70,-86,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-64,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200
1526451090913,-32,-34,-37,-37,-37,-58,-50,-63,-50,-56,-48,-50,-55,-60,-63,-57,-57,-57,-61,-69,-200,-57,-200,-64,-54,-56,-200,-65,-200,-58,-72,-71,-200,-70,-85,-200,-71,-200,-72,-76,-75,-200,-79,-78,-73,-200,-66,-67,-200,-78,-82,-200,-200,-77,-200,-200,-79,-85,-72,-86,-82,-86,-200,-200,-200,-90,-200,-200,-200,-81,-79,-73,-200,-64,-200,-200,-70,-200,-200,-92,-75,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-72,-69,-94
