,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526450278918,-38,-51,-45,-49,-46,-53,-49,-57,-23,-70,-68,-200,-58,-60,-55,-64,-59,-53,-64,-77,-200,-68,-76,-69,-73,-79,-80,-200,-79,-74,-67,-73,-81,-72,-200,-200,-90,-73,-86,-78,-82,-200,-200,-200,-200,-87,-76,-200,-80,-200,-200,-84,-200,-74,-73,-200,-70,-82,-200,-200,-81,-86,-74,-77,-84,-91,-81,-200,-200,-200,-200,-85,-200,-200,-74,-84,-88,-89,-78,-84,-88,-88,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450281927,-34,-51,-46,-49,-46,-53,-49,-56,-40,-70,-66,-66,-59,-61,-54,-64,-60,-51,-200,-77,-200,-68,-76,-69,-71,-75,-80,-200,-200,-80,-72,-73,-84,-71,-200,-71,-71,-73,-77,-76,-78,-200,-73,-200,-200,-91,-86,-200,-80,-89,-200,-84,-200,-74,-73,-200,-76,-200,-200,-200,-81,-85,-74,-77,-84,-91,-81,-89,-200,-200,-200,-85,-200,-200,-200,-200,-200,-88,-80,-84,-88,-88,-88,-89,-89,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450284992,-37,-49,-42,-48,-47,-48,-49,-57,-41,-54,-63,-68,-59,-61,-53,-64,-60,-57,-200,-83,-71,-68,-76,-69,-71,-77,-75,-200,-200,-81,-73,-73,-84,-69,-200,-71,-71,-73,-77,-77,-81,-200,-74,-200,-200,-86,-86,-200,-80,-89,-87,-85,-200,-53,-73,-200,-73,-200,-200,-200,-81,-85,-74,-77,-82,-90,-81,-89,-200,-200,-200,-85,-200,-200,-200,-200,-200,-88,-80,-84,-88,-88,-88,-89,-89,-76,-79,-81,-83,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526450287997,-37,-51,-45,-49,-47,-49,-48,-58,-41,-57,-65,-68,-61,-59,-85,-61,-59,-52,-63,-83,-70,-69,-200,-200,-71,-77,-75,-200,-200,-81,-67,-75,-83,-71,-200,-71,-200,-71,-72,-78,-80,-200,-75,-200,-200,-86,-200,-200,-80,-200,-87,-86,-200,-56,-200,-200,-73,-81,-200,-200,-200,-200,-200,-200,-82,-90,-200,-89,-200,-68,-200,-81,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-81,-83,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526450291054,-35,-50,-44,-50,-51,-48,-50,-59,-39,-53,-62,-68,-61,-59,-54,-60,-55,-52,-68,-200,-70,-66,-200,-66,-71,-200,-200,-200,-200,-200,-70,-75,-80,-71,-200,-200,-200,-77,-72,-77,-82,-200,-75,-200,-200,-59,-200,-200,-59,-200,-200,-86,-200,-57,-200,-200,-200,-81,-200,-200,-80,-200,-200,-200,-82,-200,-81,-89,-200,-68,-200,-81,-200,-200,-200,-83,-200,-89,-79,-200,-200,-200,-200,-200,-200,-78,-200,-78,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526450294070,-39,-49,-44,-86,-51,-48,-47,-58,-41,-56,-71,-200,-62,-59,-54,-61,-57,-45,-66,-71,-72,-66,-200,-66,-200,-200,-200,-78,-90,-200,-73,-200,-80,-69,-200,-72,-48,-89,-85,-77,-81,-200,-72,-87,-92,-59,-88,-76,-82,-86,-86,-200,-200,-54,-72,-200,-200,-200,-200,-200,-81,-83,-200,-200,-82,-200,-81,-200,-200,-200,-77,-200,-200,-200,-200,-69,-200,-89,-89,-200,-200,-200,-200,-200,-85,-78,-200,-78,-200,-200,-200,-88,-86,-91,-200,-200,-200,-200
1526450297117,-35,-51,-39,-48,-48,-47,-47,-59,-45,-55,-71,-67,-59,-59,-55,-59,-58,-57,-65,-71,-72,-200,-200,-200,-85,-200,-200,-74,-88,-200,-71,-200,-200,-69,-200,-72,-48,-89,-85,-81,-81,-200,-72,-87,-92,-89,-88,-76,-82,-86,-86,-200,-200,-54,-72,-200,-200,-200,-200,-200,-81,-80,-200,-200,-200,-200,-84,-200,-200,-200,-77,-200,-200,-200,-200,-82,-200,-89,-89,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-86,-91,-86,-200,-200,-200
1526450300175,-35,-50,-41,-48,-54,-47,-51,-63,-42,-60,-71,-71,-56,-59,-55,-59,-57,-54,-65,-71,-73,-200,-200,-70,-85,-73,-200,-71,-88,-200,-75,-78,-200,-73,-78,-72,-48,-87,-85,-78,-80,-200,-72,-78,-92,-90,-88,-76,-80,-86,-86,-84,-200,-63,-71,-200,-200,-200,-200,-200,-81,-80,-200,-200,-86,-200,-84,-200,-200,-200,-77,-200,-200,-200,-200,-82,-200,-89,-89,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-88,-200,-200,-86,-91,-86,-200,-200,-200
1526450303226,-37,-60,-43,-49,-52,-49,-54,-69,-42,-56,-73,-70,-59,-58,-54,-59,-61,-52,-65,-200,-73,-200,-200,-69,-85,-73,-200,-74,-75,-200,-71,-78,-200,-50,-78,-200,-200,-87,-200,-81,-78,-200,-200,-78,-86,-90,-200,-75,-81,-200,-200,-84,-200,-63,-71,-79,-200,-200,-200,-200,-200,-80,-200,-72,-86,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-88,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-88,-200,-200,-200,-200,-86,-200,-200,-200
1526450306293,-37,-50,-43,-49,-75,-48,-50,-71,-43,-60,-73,-66,-57,-58,-52,-200,-62,-52,-65,-200,-200,-200,-72,-71,-74,-200,-200,-74,-75,-78,-73,-75,-200,-73,-200,-200,-89,-79,-200,-79,-79,-200,-70,-200,-85,-200,-86,-75,-82,-200,-200,-85,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-72,-70,-200,-89,-79,-200,-89,-200,-200,-81,-200,-200,-200,-82,-200,-87,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-86,-200,-87,-200,-200
1526450309298,-37,-52,-43,-50,-50,-47,-52,-70,-43,-58,-73,-66,-51,-59,-52,-59,-56,-52,-65,-200,-87,-68,-77,-71,-74,-74,-200,-200,-75,-78,-86,-75,-200,-71,-200,-200,-89,-77,-68,-80,-80,-200,-70,-200,-85,-200,-86,-73,-80,-200,-200,-84,-200,-62,-200,-200,-70,-200,-200,-200,-200,-79,-72,-70,-200,-90,-200,-200,-89,-200,-200,-81,-200,-200,-200,-82,-200,-87,-86,-200,-200,-200,-200,-200,-89,-73,-200,-200,-200,-200,-200,-200,-200,-86,-200,-87,-84,-200
1526450312367,-36,-52,-43,-50,-54,-47,-52,-72,-42,-66,-200,-75,-56,-58,-56,-59,-59,-50,-65,-200,-87,-68,-77,-200,-200,-74,-200,-200,-200,-200,-86,-200,-200,-75,-200,-200,-200,-77,-68,-79,-79,-200,-76,-76,-83,-200,-200,-76,-72,-200,-200,-84,-200,-63,-200,-200,-71,-82,-200,-200,-200,-79,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-86,-200,-200,-200,-200,-200,-89,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-75
