,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
1526458261853,-38,-42,-48,-60,-34,-49,-49,-58,-57,-61,-56,-70,-51,-55,-55,-62,-68,-71,-69,-70,-62,-74,-64,-83,-80,-71,-200,-80,-77,-72,-85,-80,-86,-200,-89,-84,-89,-84,-85,-84,-90,-82,-82,-86,-200,-84,-88,-80,-200,-87,-93,-200,-200,-68,-200,-80,-85,-86,-86,-81,-93,-93,-92,-68,-200,-80,-84,-86,-200,-91,-91,-92,-95,-200,-95,-200,-200,-200,-95,-94,-200,-200,-200,-82,-200,-200,-87,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458264903,-38,-44,-50,-59,-36,-52,-48,-57,-57,-63,-55,-65,-52,-58,-55,-61,-70,-70,-70,-69,-64,-73,-65,-83,-86,-71,-200,-80,-70,-71,-85,-77,-85,-200,-89,-83,-89,-83,-90,-84,-87,-82,-81,-84,-200,-84,-89,-80,-200,-87,-95,-200,-93,-68,-200,-79,-85,-86,-86,-81,-200,-200,-92,-63,-81,-79,-200,-87,-200,-89,-89,-92,-95,-200,-94,-200,-200,-200,-95,-94,-200,-200,-200,-76,-200,-200,-87,-200,-96,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526458267951,-38,-44,-55,-59,-36,-50,-48,-58,-57,-55,-56,-66,-51,-58,-56,-60,-71,-69,-70,-67,-63,-73,-65,-80,-85,-71,-200,-80,-71,-74,-200,-76,-85,-200,-89,-71,-89,-87,-90,-90,-90,-82,-79,-84,-200,-83,-89,-79,-200,-87,-95,-200,-91,-73,-200,-79,-85,-86,-87,-200,-200,-71,-92,-63,-82,-79,-200,-88,-200,-89,-89,-84,-200,-200,-94,-200,-200,-96,-200,-94,-200,-200,-200,-77,-200,-200,-87,-200,-96,-79,-91,-200,-200,-200,-200,-200,-200,-200
1526458271002,-39,-39,-46,-59,-36,-52,-48,-58,-55,-59,-55,-66,-51,-59,-53,-59,-72,-67,-68,-67,-62,-75,-63,-83,-82,-71,-84,-80,-70,-72,-67,-77,-85,-87,-89,-83,-200,-87,-90,-84,-87,-79,-78,-85,-81,-83,-89,-84,-200,-86,-90,-200,-91,-63,-200,-73,-83,-88,-87,-87,-93,-71,-94,-62,-80,-79,-200,-86,-200,-90,-89,-84,-200,-200,-94,-200,-95,-96,-200,-94,-200,-200,-200,-77,-200,-200,-87,-200,-96,-79,-91,-200,-200,-200,-200,-200,-200,-200
1526458274052,-38,-43,-45,-64,-33,-50,-49,-60,-56,-59,-53,-65,-51,-56,-54,-59,-72,-64,-72,-65,-66,-68,-64,-84,-82,-70,-91,-80,-70,-73,-67,-76,-85,-87,-88,-87,-89,-87,-90,-84,-85,-79,-79,-87,-83,-82,-87,-92,-200,-88,-94,-200,-91,-67,-77,-79,-83,-87,-88,-83,-93,-71,-92,-62,-80,-79,-200,-86,-200,-90,-200,-90,-200,-93,-96,-200,-94,-96,-200,-94,-99,-200,-200,-79,-200,-200,-87,-200,-200,-200,-91,-90,-98,-200,-200,-200,-200,-200
1526458277101,-37,-42,-42,-72,-35,-51,-49,-58,-57,-52,-55,-65,-50,-57,-54,-59,-72,-68,-71,-69,-63,-78,-63,-84,-82,-69,-91,-81,-74,-73,-88,-77,-85,-86,-88,-81,-89,-86,-90,-85,-88,-72,-79,-89,-83,-82,-87,-91,-200,-88,-93,-200,-200,-68,-77,-79,-83,-89,-88,-85,-94,-200,-92,-62,-82,-79,-200,-87,-200,-90,-200,-88,-200,-93,-96,-200,-94,-200,-95,-97,-99,-200,-200,-79,-200,-200,-87,-200,-97,-200,-200,-90,-98,-200,-200,-200,-200,-200
1526458280155,-37,-41,-45,-59,-35,-51,-48,-62,-57,-56,-55,-66,-50,-58,-53,-59,-67,-71,-71,-67,-62,-72,-61,-82,-83,-70,-65,-81,-68,-73,-88,-76,-85,-89,-89,-84,-89,-86,-90,-83,-89,-72,-79,-84,-83,-82,-89,-88,-200,-88,-94,-200,-200,-67,-77,-79,-83,-89,-87,-85,-94,-200,-92,-65,-80,-79,-82,-87,-200,-200,-200,-83,-200,-93,-95,-200,-94,-200,-95,-98,-99,-96,-66,-79,-200,-200,-200,-200,-97,-200,-200,-90,-98,-87,-200,-200,-200,-200
1526458283207,-39,-43,-46,-66,-35,-50,-49,-59,-58,-56,-58,-66,-51,-57,-54,-65,-55,-71,-69,-67,-63,-77,-63,-83,-83,-70,-65,-81,-69,-73,-88,-76,-85,-89,-89,-83,-88,-84,-200,-84,-89,-78,-79,-87,-200,-83,-89,-85,-200,-88,-90,-200,-200,-68,-72,-79,-83,-87,-88,-88,-94,-200,-93,-65,-81,-79,-82,-87,-200,-200,-200,-90,-93,-93,-95,-97,-200,-200,-95,-98,-98,-96,-79,-200,-200,-200,-87,-200,-97,-80,-200,-200,-200,-89,-94,-200,-200,-200
1526458286261,-39,-44,-47,-67,-36,-53,-49,-58,-58,-58,-58,-68,-51,-59,-54,-59,-67,-68,-69,-66,-65,-77,-62,-81,-83,-71,-65,-81,-68,-72,-200,-78,-85,-88,-90,-85,-88,-84,-200,-85,-89,-81,-79,-89,-84,-81,-89,-86,-200,-88,-90,-200,-91,-68,-72,-81,-83,-88,-87,-90,-200,-200,-93,-65,-81,-78,-87,-87,-200,-89,-200,-90,-93,-200,-95,-97,-92,-200,-200,-98,-98,-96,-74,-200,-200,-200,-90,-200,-200,-80,-200,-200,-200,-90,-94,-95,-96,-200
1526458289311,-39,-43,-46,-58,-35,-52,-50,-59,-56,-60,-58,-65,-50,-55,-54,-57,-66,-70,-68,-66,-62,-74,-62,-82,-82,-70,-91,-80,-70,-72,-200,-75,-85,-88,-90,-84,-88,-85,-200,-88,-87,-64,-79,-87,-83,-82,-88,-90,-200,-88,-93,-200,-91,-68,-72,-82,-83,-89,-87,-90,-94,-92,-92,-68,-83,-78,-87,-87,-91,-89,-200,-87,-93,-200,-96,-97,-95,-200,-96,-95,-98,-96,-73,-200,-200,-200,-85,-200,-200,-80,-200,-200,-200,-90,-94,-95,-96,-200
1526458292365,-40,-43,-45,-61,-33,-49,-50,-60,-56,-60,-56,-68,-51,-55,-54,-59,-72,-70,-71,-66,-60,-77,-64,-83,-84,-70,-91,-79,-68,-73,-200,-76,-85,-88,-90,-84,-200,-86,-200,-84,-88,-75,-78,-86,-83,-81,-88,-88,-200,-89,-95,-200,-91,-68,-72,-82,-83,-89,-88,-89,-94,-94,-92,-64,-83,-78,-87,-78,-91,-89,-200,-87,-200,-200,-95,-200,-95,-200,-96,-95,-200,-96,-71,-200,-200,-200,-85,-200,-200,-77,-200,-200,-200,-90,-200,-95,-96,-200
1526458295416,-40,-42,-47,-58,-34,-51,-49,-56,-56,-59,-56,-66,-52,-58,-52,-58,-72,-70,-71,-68,-64,-74,-59,-82,-83,-70,-91,-80,-68,-73,-200,-78,-85,-89,-89,-84,-200,-86,-92,-88,-87,-75,-79,-86,-82,-82,-87,-89,-200,-88,-92,-200,-200,-72,-200,-83,-82,-89,-88,-89,-94,-94,-92,-64,-82,-79,-87,-78,-88,-86,-200,-87,-200,-95,-95,-200,-95,-93,-96,-95,-200,-96,-80,-200,-200,-200,-85,-200,-200,-78,-200,-200,-200,-89,-200,-95,-200,-94
