,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526454817419,-77,-200,-73,-200,-73,-92,-89,-200,-74,-73,-200,-200,-200,-200,-79,-63,-59,-200,-79,-200,-200,-200,-97,-81,-200,-200,-200,-95,-200,-200,-200
1526454817556,-78,-200,-72,-200,-73,-91,-87,-200,-200,-74,-200,-200,-200,-200,-200,-200,-59,-200,-79,-93,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454817666,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-60,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526454817771,-77,-200,-73,-200,-74,-90,-200,-200,-75,-200,-200,-200,-200,-95,-78,-63,-60,-86,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526454817877,-78,-200,-73,-74,-75,-90,-90,-94,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-94,-91,-200,-200
1526454818002,-200,-200,-72,-200,-200,-200,-91,-94,-200,-74,-200,-200,-200,-200,-200,-63,-60,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-92,-200,-200
1526454822423,-200,-200,-200,-200,-200,-200,-89,-200,-200,-75,-200,-200,-74,-200,-85,-66,-71,-200,-87,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454822524,-200,-200,-73,-200,-71,-88,-200,-200,-74,-75,-200,-200,-73,-200,-85,-67,-72,-95,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526454822653,-200,-200,-73,-200,-71,-88,-89,-200,-73,-75,-200,-200,-73,-200,-200,-67,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526454822763,-82,-200,-200,-200,-71,-200,-88,-200,-200,-200,-200,-200,-72,-200,-85,-67,-200,-97,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454822888,-81,-200,-72,-200,-71,-88,-90,-200,-73,-75,-200,-200,-73,-200,-85,-66,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454822984,-82,-200,-73,-200,-71,-87,-89,-200,-200,-75,-200,-200,-73,-200,-85,-67,-200,-94,-86,-95,-89,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526454823094,-200,-200,-72,-200,-200,-82,-87,-200,-71,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454827507,-200,-200,-80,-77,-72,-200,-86,-200,-200,-76,-89,-200,-72,-200,-75,-66,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454827622,-200,-200,-79,-200,-72,-82,-200,-200,-73,-200,-93,-200,-71,-200,-200,-65,-65,-200,-200,-91,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526454827781,-200,-200,-200,-76,-71,-200,-87,-89,-71,-200,-91,-200,-71,-93,-73,-66,-200,-88,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526454827883,-77,-200,-200,-200,-71,-83,-87,-89,-200,-77,-200,-91,-71,-200,-74,-66,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454827985,-200,-200,-78,-75,-72,-200,-200,-200,-71,-200,-200,-200,-72,-92,-200,-66,-62,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454828087,-78,-200,-200,-200,-200,-200,-84,-200,-200,-200,-90,-200,-71,-200,-73,-66,-66,-88,-79,-200,-95,-200,-200,-82,-200,-91,-200,-200,-200,-200,-200
1526454832457,-200,-200,-73,-200,-200,-200,-200,-200,-200,-73,-87,-200,-69,-200,-78,-59,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454832548,-200,-200,-77,-75,-200,-200,-200,-200,-74,-73,-200,-200,-69,-200,-78,-61,-200,-200,-200,-200,-200,-200,-200,-200,-96,-90,-200,-200,-200,-200,-200
1526454832730,-77,-96,-73,-74,-72,-93,-200,-200,-73,-200,-89,-200,-69,-200,-78,-62,-59,-87,-200,-200,-200,-200,-96,-200,-200,-200,-200,-95,-200,-95,-200
1526454832850,-77,-200,-75,-74,-73,-200,-84,-200,-200,-200,-200,-200,-69,-200,-200,-62,-59,-86,-79,-200,-200,-200,-200,-200,-200,-200,-200,-95,-90,-200,-200
1526454832946,-77,-200,-74,-200,-200,-200,-200,-200,-200,-200,-87,-200,-69,-200,-79,-62,-60,-86,-200,-200,-200,-200,-200,-81,-200,-200,-96,-95,-92,-200,-200
1526454833047,-77,-200,-73,-200,-200,-200,-84,-200,-73,-200,-200,-200,-200,-94,-84,-67,-200,-86,-200,-96,-200,-200,-200,-200,-200,-90,-200,-96,-91,-200,-200
1526454837445,-83,-200,-200,-83,-71,-88,-200,-200,-73,-75,-93,-200,-73,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526454837549,-82,-200,-200,-200,-200,-87,-92,-200,-73,-74,-91,-200,-73,-200,-84,-66,-73,-95,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454837659,-81,-200,-200,-82,-200,-200,-92,-200,-200,-75,-92,-99,-200,-200,-200,-200,-71,-200,-86,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454837760,-81,-200,-76,-200,-200,-87,-92,-200,-73,-200,-92,-200,-73,-200,-84,-200,-72,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454837868,-82,-200,-72,-82,-200,-87,-200,-200,-73,-75,-92,-200,-72,-200,-85,-67,-72,-200,-87,-95,-89,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526454837987,-82,-200,-73,-82,-200,-200,-200,-200,-73,-200,-92,-200,-73,-200,-84,-200,-72,-200,-86,-95,-91,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526454838079,-81,-200,-72,-82,-71,-87,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-72,-200,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526454842422,-78,-200,-200,-77,-200,-83,-200,-200,-73,-76,-200,-200,-71,-200,-200,-200,-66,-200,-85,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526454842519,-78,-200,-200,-76,-72,-83,-200,-200,-73,-75,-90,-90,-200,-91,-200,-200,-66,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454842627,-200,-200,-200,-75,-200,-83,-88,-89,-72,-76,-92,-200,-200,-200,-200,-200,-65,-88,-85,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526454842756,-78,-200,-200,-200,-72,-84,-200,-89,-71,-77,-91,-200,-70,-200,-74,-66,-65,-88,-200,-90,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526454842858,-77,-200,-200,-200,-72,-83,-200,-200,-71,-77,-90,-89,-200,-200,-74,-66,-65,-89,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454842963,-77,-200,-79,-200,-200,-84,-200,-89,-71,-76,-91,-91,-71,-200,-74,-65,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454843101,-200,-200,-79,-76,-200,-200,-86,-200,-200,-76,-200,-200,-200,-200,-200,-200,-66,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454847448,-77,-200,-72,-74,-71,-88,-200,-200,-73,-74,-200,-200,-68,-200,-78,-200,-60,-200,-79,-200,-200,-200,-94,-200,-200,-91,-200,-200,-200,-200,-200
1526454847557,-77,-200,-200,-74,-72,-86,-200,-93,-200,-200,-89,-200,-69,-200,-78,-63,-59,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-95,-200,-200,-100
1526454847662,-77,-200,-75,-74,-200,-200,-80,-200,-200,-72,-200,-200,-69,-200,-200,-63,-60,-200,-79,-200,-200,-200,-200,-81,-200,-200,-200,-95,-96,-200,-200
1526454847779,-77,-200,-74,-74,-200,-85,-200,-200,-73,-73,-200,-200,-69,-96,-200,-200,-200,-200,-80,-200,-200,-200,-95,-81,-200,-90,-200,-94,-200,-200,-200
1526454847888,-200,-94,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-69,-95,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454847987,-77,-200,-200,-200,-72,-200,-200,-200,-200,-74,-200,-200,-200,-98,-78,-200,-200,-87,-79,-200,-200,-200,-200,-81,-200,-91,-200,-96,-200,-200,-100
1526454848099,-76,-96,-73,-82,-71,-200,-200,-93,-74,-74,-91,-200,-200,-200,-84,-61,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526454852501,-81,-200,-200,-82,-70,-87,-91,-200,-73,-200,-200,-200,-72,-200,-84,-67,-200,-200,-87,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454852603,-81,-200,-200,-82,-71,-200,-200,-200,-73,-200,-92,-200,-72,-200,-84,-67,-200,-93,-87,-200,-200,-200,-200,-200,-200,-200,-97,-200,-94,-200,-200
1526454852723,-81,-200,-73,-200,-200,-200,-93,-200,-73,-75,-92,-200,-200,-200,-200,-67,-200,-94,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454852838,-81,-200,-200,-82,-70,-87,-200,-200,-73,-74,-200,-200,-200,-200,-200,-67,-71,-93,-87,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526454852937,-81,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-84,-67,-71,-93,-87,-96,-89,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526454853046,-81,-200,-200,-200,-71,-200,-93,-200,-74,-200,-200,-200,-72,-200,-85,-200,-200,-94,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454857419,-77,-200,-79,-77,-72,-82,-200,-89,-71,-75,-92,-200,-200,-91,-76,-65,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454857522,-77,-200,-80,-200,-73,-82,-200,-92,-73,-76,-200,-200,-200,-200,-73,-65,-65,-200,-86,-91,-91,-200,-200,-82,-200,-200,-200,-200,-93,-200,-200
1526454857645,-78,-200,-200,-77,-72,-200,-200,-200,-72,-75,-200,-200,-200,-200,-74,-65,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454857743,-200,-200,-79,-76,-200,-83,-200,-200,-71,-75,-200,-200,-71,-92,-74,-65,-66,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454857851,-77,-200,-79,-77,-72,-200,-82,-200,-200,-75,-200,-200,-200,-200,-74,-66,-200,-90,-85,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526454857940,-77,-200,-79,-76,-72,-200,-82,-200,-71,-75,-200,-89,-71,-200,-74,-65,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454858051,-200,-200,-80,-200,-200,-200,-200,-200,-200,-75,-91,-200,-200,-200,-74,-66,-65,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
