,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526446467383,-39,-46,-60,-44,-49,-64,-61,-62,-61,-82,-58,-61,-67,-68,-73,-70,-66,-74,-80,-84,-83,-200,-75,-200,-76,-200,-73,-82,-81,-76,-82,-73,-76,-89,-200,-72,-60,-87,-87,-75,-76,-70,-75,-200,-68,-72,-200,-200,-89,-85,-200,-76,-200,-200,-88,-200,-88,-83,-85,-82,-87,-92,-89,-200,-200,-200,-200,-200,-200,-200
1526446470432,-39,-45,-63,-41,-51,-64,-61,-62,-62,-82,-58,-60,-69,-69,-73,-70,-68,-74,-81,-84,-83,-200,-76,-200,-68,-200,-73,-82,-81,-78,-83,-75,-75,-89,-200,-71,-64,-86,-200,-75,-76,-70,-75,-89,-68,-77,-200,-200,-89,-85,-200,-76,-200,-200,-87,-200,-200,-83,-85,-82,-87,-92,-83,-82,-90,-200,-200,-200,-200,-200
1526446473505,-35,-45,-68,-41,-53,-64,-61,-61,-62,-82,-60,-64,-67,-66,-76,-71,-68,-75,-80,-84,-81,-200,-76,-81,-68,-200,-73,-82,-81,-77,-81,-75,-75,-89,-84,-71,-61,-86,-200,-80,-76,-70,-79,-89,-68,-77,-200,-200,-89,-200,-200,-76,-200,-200,-87,-85,-200,-83,-200,-82,-87,-92,-83,-82,-90,-200,-200,-200,-200,-200
1526446476588,-35,-44,-70,-39,-54,-63,-62,-60,-64,-82,-58,-61,-68,-68,-75,-71,-64,-75,-83,-84,-81,-200,-76,-81,-76,-200,-73,-82,-81,-79,-81,-70,-72,-200,-84,-68,-61,-83,-88,-72,-77,-78,-79,-89,-68,-77,-200,-200,-89,-200,-87,-78,-200,-200,-87,-85,-200,-83,-200,-83,-200,-200,-83,-83,-90,-200,-200,-200,-200,-200
1526446479630,-35,-44,-65,-39,-55,-63,-62,-62,-63,-82,-57,-68,-65,-68,-75,-77,-69,-75,-83,-84,-81,-200,-76,-81,-70,-200,-75,-200,-81,-80,-81,-70,-72,-200,-84,-68,-61,-85,-88,-70,-77,-78,-87,-89,-68,-74,-200,-200,-89,-82,-87,-78,-200,-200,-87,-91,-200,-83,-200,-83,-200,-200,-83,-83,-90,-88,-200,-200,-200,-200
1526446482686,-35,-43,-67,-41,-51,-63,-69,-60,-61,-200,-59,-59,-69,-71,-78,-77,-69,-74,-83,-84,-81,-200,-79,-81,-80,-200,-75,-83,-81,-80,-81,-70,-75,-200,-82,-68,-64,-83,-85,-71,-77,-76,-87,-89,-68,-74,-200,-200,-200,-82,-87,-77,-200,-200,-87,-86,-200,-83,-200,-83,-200,-200,-83,-83,-90,-88,-200,-200,-200,-200
1526446485757,-39,-43,-66,-43,-51,-62,-64,-61,-63,-200,-59,-59,-68,-68,-78,-67,-65,-73,-86,-200,-84,-84,-79,-83,-74,-200,-76,-82,-81,-82,-84,-70,-74,-200,-81,-68,-61,-84,-85,-75,-75,-75,-87,-200,-70,-75,-200,-200,-200,-82,-87,-79,-200,-200,-87,-86,-200,-83,-200,-83,-200,-200,-200,-83,-200,-88,-200,-200,-200,-200
1526446488815,-35,-43,-67,-44,-49,-62,-60,-59,-62,-200,-63,-60,-68,-69,-78,-67,-69,-73,-82,-200,-87,-84,-78,-77,-74,-200,-76,-82,-77,-82,-82,-74,-70,-90,-80,-68,-59,-86,-85,-73,-77,-74,-79,-88,-70,-75,-200,-200,-200,-82,-87,-79,-200,-200,-87,-86,-200,-83,-200,-83,-200,-200,-200,-83,-200,-88,-200,-200,-200,-200
1526446491880,-35,-43,-66,-44,-49,-59,-60,-61,-61,-200,-59,-59,-63,-68,-78,-67,-69,-73,-83,-200,-87,-84,-80,-77,-74,-200,-75,-82,-77,-81,-80,-74,-73,-90,-80,-68,-59,-83,-85,-73,-75,-74,-79,-88,-71,-76,-200,-200,-200,-87,-200,-78,-200,-89,-87,-86,-200,-83,-200,-83,-83,-200,-200,-200,-200,-88,-82,-200,-200,-200
1526446494916,-39,-43,-66,-42,-49,-61,-58,-60,-63,-200,-67,-63,-62,-69,-78,-68,-69,-69,-80,-200,-87,-84,-77,-77,-74,-200,-76,-82,-77,-81,-83,-74,-70,-90,-80,-200,-63,-83,-85,-77,-79,-82,-83,-88,-71,-74,-200,-200,-200,-82,-200,-81,-200,-89,-87,-86,-200,-83,-200,-88,-83,-200,-200,-200,-200,-200,-82,-200,-200,-200
1526446497970,-42,-41,-64,-39,-53,-65,-59,-59,-63,-84,-60,-70,-62,-70,-78,-68,-69,-69,-80,-86,-87,-84,-77,-81,-72,-200,-75,-81,-78,-79,-82,-74,-69,-90,-80,-71,-63,-86,-200,-77,-79,-82,-83,-88,-67,-74,-200,-200,-200,-82,-200,-81,-200,-89,-200,-200,-200,-86,-200,-88,-83,-200,-200,-200,-200,-200,-83,-89,-93,-200
1526446501043,-42,-43,-67,-39,-48,-62,-58,-58,-62,-87,-59,-62,-67,-69,-78,-70,-67,-71,-84,-86,-87,-200,-77,-81,-75,-200,-76,-81,-78,-79,-81,-78,-73,-90,-84,-71,-62,-84,-89,-80,-79,-75,-83,-88,-67,-73,-200,-200,-89,-82,-200,-79,-200,-89,-200,-200,-200,-86,-200,-88,-83,-200,-200,-200,-200,-200,-83,-89,-93,-88
