,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526465872626,-41,-54,-53,-55,-44,-54,-61,-55,-73,-57,-70,-63,-65,-67,-62,-66,-74,-68,-69,-63,-65,-68,-200,-78,-74,-81,-79,-200,-73,-83,-68,-72,-74,-82,-77,-76,-200,-200,-77,-81,-200,-75,-85,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-76,-75,-88,-92,-87,-78,-200,-200,-200,-200,-200,-200
1526465875673,-41,-54,-53,-55,-44,-54,-61,-55,-73,-57,-70,-63,-65,-67,-62,-66,-74,-68,-69,-63,-65,-68,-200,-78,-74,-81,-79,-200,-73,-83,-68,-72,-74,-82,-77,-76,-200,-200,-77,-81,-200,-75,-85,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-76,-75,-88,-92,-87,-78,-200,-200,-200,-200,-200,-200
1526465878717,-41,-54,-53,-55,-44,-54,-61,-55,-73,-57,-70,-63,-65,-67,-62,-66,-74,-68,-69,-63,-65,-68,-200,-78,-74,-81,-79,-200,-73,-83,-68,-72,-74,-82,-77,-76,-200,-200,-77,-81,-200,-75,-85,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-76,-75,-88,-92,-87,-78,-200,-200,-200,-200,-200,-200
1526465881758,-42,-52,-52,-57,-45,-53,-61,-52,-70,-65,-67,-64,-63,-66,-60,-70,-75,-68,-67,-63,-66,-200,-200,-78,-74,-200,-79,-70,-200,-78,-74,-72,-74,-75,-78,-81,-200,-200,-200,-78,-200,-80,-85,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-81,-200,-200,-76,-75,-86,-200,-92,-78,-80,-200,-200,-200,-200,-200
1526465884806,-43,-51,-51,-57,-48,-53,-61,-52,-68,-66,-66,-61,-64,-65,-60,-70,-75,-68,-67,-63,-66,-200,-77,-78,-72,-200,-79,-70,-77,-82,-74,-72,-74,-76,-76,-75,-85,-200,-200,-80,-200,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-81,-200,-200,-76,-75,-86,-200,-88,-79,-80,-81,-200,-200,-200,-200
1526465887853,-43,-51,-51,-57,-48,-53,-61,-52,-68,-66,-66,-61,-64,-65,-60,-70,-75,-68,-67,-63,-66,-200,-77,-78,-72,-200,-79,-70,-77,-82,-74,-72,-74,-76,-76,-75,-85,-200,-200,-80,-200,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-81,-200,-200,-76,-75,-86,-200,-88,-79,-80,-81,-200,-200,-200,-200
1526465890899,-43,-51,-51,-57,-48,-53,-61,-52,-68,-66,-66,-61,-64,-65,-60,-70,-75,-68,-67,-63,-66,-200,-77,-78,-72,-200,-79,-70,-77,-82,-74,-72,-74,-76,-76,-75,-85,-200,-200,-80,-200,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-81,-200,-200,-76,-75,-86,-200,-88,-79,-80,-81,-200,-200,-200,-200
1526465893949,-45,-54,-52,-57,-46,-57,-62,-54,-77,-67,-79,-63,-67,-68,-62,-85,-200,-69,-67,-66,-65,-72,-77,-78,-77,-200,-80,-77,-77,-82,-200,-71,-73,-73,-76,-76,-85,-200,-200,-80,-85,-76,-86,-200,-200,-200,-200,-88,-77,-200,-200,-200,-200,-200,-200,-200,-200,-75,-75,-200,-200,-88,-79,-200,-81,-85,-90,-200,-200
1526465896993,-44,-53,-51,-57,-42,-54,-61,-52,-77,-67,-68,-63,-67,-66,-59,-85,-75,-66,-67,-64,-65,-72,-74,-78,-77,-84,-80,-73,-73,-82,-200,-72,-78,-74,-76,-76,-85,-200,-200,-80,-85,-76,-83,-200,-200,-86,-200,-88,-77,-200,-200,-200,-200,-200,-200,-200,-200,-75,-75,-200,-200,-88,-79,-200,-81,-85,-90,-200,-200
1526465900049,-44,-53,-51,-57,-42,-54,-61,-52,-77,-67,-68,-63,-67,-66,-59,-85,-75,-66,-67,-64,-65,-72,-74,-78,-77,-84,-80,-73,-73,-82,-200,-72,-78,-74,-76,-76,-85,-200,-200,-80,-85,-76,-83,-200,-200,-86,-200,-88,-77,-200,-200,-200,-200,-200,-200,-200,-200,-75,-75,-200,-200,-88,-79,-200,-81,-85,-90,-200,-200
1526465903097,-44,-53,-51,-57,-42,-54,-61,-52,-77,-67,-68,-63,-67,-66,-59,-85,-75,-66,-67,-64,-65,-72,-74,-78,-77,-84,-80,-73,-73,-82,-200,-72,-78,-74,-76,-76,-85,-200,-200,-80,-85,-76,-83,-200,-200,-86,-200,-88,-77,-200,-200,-200,-200,-200,-200,-200,-200,-75,-75,-200,-200,-88,-79,-200,-81,-85,-90,-200,-200
1526465906135,-40,-52,-51,-54,-39,-53,-60,-51,-77,-67,-68,-62,-65,-66,-61,-71,-76,-67,-67,-61,-67,-69,-75,-79,-72,-76,-81,-73,-76,-200,-200,-72,-75,-74,-77,-76,-200,-200,-200,-79,-85,-76,-83,-87,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-75,-200,-91,-200,-79,-200,-200,-87,-200,-77,-87
