,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526463232305,-200,-89,-200,-200,-200,-200,-200,-93,-200,-200,-200,-86,-67,-98,-79,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97
1526463232413,-200,-200,-200,-200,-86,-200,-200,-92,-200,-200,-200,-200,-67,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526463232535,-69,-200,-200,-200,-86,-84,-96,-200,-71,-200,-200,-85,-65,-200,-78,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526463232623,-200,-200,-96,-97,-200,-200,-200,-200,-71,-72,-200,-85,-67,-97,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463232768,-68,-88,-200,-200,-200,-83,-95,-200,-200,-73,-200,-86,-66,-96,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526463237284,-74,-200,-95,-200,-87,-200,-95,-200,-84,-86,-200,-89,-200,-200,-200,-88,-97,-200,-200,-95,-200,-200,-200,-200,-200,-97,-92,-200,-94,-200,-200,-200
1526463237380,-200,-200,-98,-200,-200,-89,-94,-200,-83,-86,-200,-200,-70,-200,-200,-89,-99,-98,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526463237490,-200,-200,-98,-200,-87,-200,-200,-200,-200,-87,-200,-88,-69,-200,-200,-88,-200,-200,-200,-95,-200,-200,-200,-200,-92,-98,-92,-200,-95,-200,-100,-200
1526463237597,-74,-200,-97,-200,-87,-91,-200,-200,-83,-86,-200,-88,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-92,-97,-93,-200,-200,-200,-200,-200
1526463237703,-74,-200,-95,-200,-200,-200,-200,-200,-83,-86,-200,-86,-69,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526463237871,-73,-200,-95,-200,-87,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-101,-200,-94,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526463237947,-72,-93,-200,-200,-85,-200,-200,-200,-200,-80,-91,-89,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-90,-200,-94,-200,-200,-200,-200,-200
1526463242347,-74,-94,-200,-200,-85,-87,-92,-200,-75,-200,-200,-85,-75,-200,-85,-200,-200,-200,-200,-91,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526463242450,-74,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-86,-75,-200,-200,-88,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463242558,-75,-200,-94,-200,-84,-89,-200,-92,-75,-200,-200,-85,-75,-200,-200,-88,-200,-92,-94,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526463242676,-74,-200,-94,-200,-84,-200,-93,-92,-76,-200,-200,-86,-200,-200,-200,-90,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526463242816,-74,-92,-93,-200,-200,-89,-200,-200,-76,-80,-92,-85,-75,-200,-86,-200,-200,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
