,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462598203,-40,-32,-43,-49,-200,-42,-46,-39,-51,-45,-60,-36,-36,-46,-55,-26,-200,-52,-55,-59,-49,-200,-53,-200,-67,-54,-200,-50,-66,-71,-200,-59,-59,-78,-70,-76,-59,-78,-65,-63,-200,-68,-200,-69,-200,-78,-74,-79,-200,-67,-89,-90,-84,-89,-91,-62,-68,-70,-63,-65,-66,-70,-63,-60,-64,-200,-200,-200,-200,-200,-200
1526462601224,-40,-32,-43,-49,-200,-41,-46,-39,-51,-45,-60,-36,-36,-46,-55,-26,-200,-52,-55,-59,-49,-200,-53,-200,-67,-54,-200,-50,-66,-71,-200,-59,-59,-78,-70,-76,-59,-78,-65,-63,-200,-68,-200,-69,-200,-78,-74,-79,-200,-67,-89,-90,-84,-89,-91,-62,-68,-70,-63,-65,-66,-70,-63,-60,-64,-200,-200,-200,-200,-200,-200
1526462604251,-37,-32,-42,-49,-200,-39,-46,-39,-51,-46,-60,-38,-40,-40,-55,-29,-200,-52,-57,-58,-50,-200,-53,-200,-67,-54,-200,-50,-66,-70,-200,-59,-59,-78,-70,-76,-56,-79,-69,-65,-200,-68,-200,-70,-70,-78,-73,-80,-200,-70,-89,-90,-84,-89,-200,-62,-68,-200,-63,-65,-66,-70,-63,-60,-64,-78,-200,-200,-200,-200,-200
1526462607275,-37,-32,-42,-49,-200,-42,-46,-39,-51,-46,-60,-38,-40,-40,-55,-29,-200,-52,-57,-58,-50,-200,-53,-200,-67,-54,-200,-50,-66,-70,-200,-59,-59,-78,-70,-76,-56,-79,-69,-65,-200,-68,-200,-70,-70,-78,-73,-80,-200,-70,-89,-90,-84,-89,-200,-62,-68,-200,-63,-65,-66,-70,-63,-60,-64,-78,-200,-200,-200,-200,-200
1526462610285,-38,-32,-43,-49,-47,-40,-46,-40,-200,-50,-66,-38,-40,-42,-55,-32,-200,-50,-55,-58,-50,-200,-57,-54,-200,-51,-200,-50,-73,-70,-200,-59,-59,-78,-70,-76,-56,-78,-69,-65,-200,-68,-200,-72,-63,-78,-73,-76,-200,-70,-89,-90,-84,-89,-200,-62,-68,-200,-200,-200,-200,-70,-63,-60,-64,-78,-71,-87,-200,-200,-200
1526462613323,-38,-32,-43,-49,-47,-41,-46,-40,-200,-50,-66,-38,-40,-42,-55,-32,-200,-50,-55,-58,-50,-200,-57,-54,-200,-51,-200,-50,-73,-70,-200,-59,-59,-78,-70,-76,-56,-78,-69,-65,-200,-68,-200,-72,-63,-78,-73,-76,-200,-70,-89,-90,-84,-89,-200,-62,-68,-200,-200,-200,-200,-70,-63,-60,-64,-78,-71,-87,-200,-200,-200
1526462616336,-38,-23,-46,-45,-47,-39,-50,-39,-59,-48,-62,-42,-42,-46,-56,-34,-200,-53,-56,-61,-49,-200,-57,-54,-200,-57,-200,-50,-76,-70,-200,-59,-59,-200,-70,-76,-60,-76,-69,-65,-200,-71,-200,-73,-66,-200,-69,-76,-200,-72,-89,-83,-85,-200,-89,-68,-66,-200,-200,-200,-58,-70,-200,-60,-64,-78,-71,-87,-74,-200,-200
1526462619348,-38,-23,-46,-45,-47,-39,-50,-39,-59,-48,-62,-42,-42,-46,-56,-34,-200,-53,-56,-61,-49,-200,-57,-54,-200,-57,-200,-50,-76,-70,-200,-59,-59,-200,-70,-76,-60,-76,-69,-65,-200,-71,-200,-73,-66,-200,-69,-76,-200,-72,-89,-83,-85,-200,-89,-68,-66,-200,-200,-200,-58,-200,-200,-200,-64,-78,-71,-87,-74,-200,-200
1526462622412,-38,-24,-45,-46,-47,-39,-48,-42,-59,-45,-61,-40,-39,-41,-56,-36,-200,-53,-51,-58,-52,-200,-51,-57,-57,-57,-200,-50,-76,-63,-200,-59,-59,-200,-70,-76,-68,-71,-69,-65,-200,-75,-80,-74,-66,-200,-74,-81,-200,-72,-87,-83,-85,-200,-89,-57,-64,-200,-200,-200,-58,-200,-200,-200,-64,-78,-71,-87,-74,-57,-72
1526462625444,-38,-24,-45,-46,-47,-36,-48,-42,-59,-45,-61,-40,-39,-41,-56,-36,-200,-53,-51,-58,-52,-200,-51,-57,-57,-57,-200,-50,-76,-63,-200,-59,-200,-200,-200,-76,-68,-71,-69,-65,-200,-75,-80,-74,-66,-200,-74,-81,-200,-72,-87,-83,-85,-200,-89,-57,-64,-200,-200,-200,-58,-200,-200,-200,-200,-78,-71,-87,-74,-57,-72
1526462628457,-47,-24,-46,-46,-47,-39,-48,-35,-55,-45,-60,-38,-39,-41,-55,-35,-51,-55,-46,-61,-53,-200,-60,-57,-55,-56,-68,-50,-76,-61,-200,-59,-200,-72,-200,-77,-63,-72,-69,-69,-200,-70,-80,-75,-66,-200,-71,-80,-200,-68,-86,-83,-85,-200,-89,-58,-64,-200,-62,-200,-54,-200,-200,-200,-200,-78,-71,-87,-74,-57,-72
1526462631470,-47,-24,-46,-46,-47,-37,-48,-35,-55,-45,-60,-38,-39,-41,-55,-35,-51,-55,-46,-61,-53,-200,-60,-57,-55,-56,-68,-50,-76,-61,-200,-59,-200,-72,-200,-77,-63,-72,-69,-69,-200,-70,-80,-75,-66,-200,-71,-80,-200,-68,-86,-83,-85,-200,-89,-58,-64,-200,-62,-200,-54,-200,-200,-200,-200,-200,-71,-87,-74,-57,-72
