,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526463376828,-27,-39,-46,-45,-44,-200,-46,-52,-42,-52,-55,-48,-57,-54,-50,-63,-56,-63,-57,-57,-200,-200,-61,-47,-60,-200,-60,-55,-200,-59,-65,-61,-72,-60,-66,-200,-68,-200,-78,-62,-67,-200,-200,-81,-200,-62,-86,-200,-77,-83,-85,-85,-72,-72,-89,-83,-79,-91,-82,-200,-200,-49,-63,-71,-79,-51,-56,-62,-66,-66,-72,-74,-55,-58,-66,-65,-66,-67,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526463379854,-27,-39,-46,-45,-44,-200,-46,-52,-42,-52,-55,-48,-57,-54,-50,-63,-56,-63,-57,-57,-200,-200,-61,-47,-60,-200,-60,-55,-200,-59,-65,-200,-72,-200,-66,-200,-68,-200,-78,-62,-67,-200,-200,-81,-200,-62,-86,-200,-77,-83,-85,-85,-72,-72,-89,-83,-79,-200,-82,-200,-200,-49,-200,-200,-79,-51,-56,-62,-66,-66,-72,-74,-55,-58,-66,-65,-66,-67,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526463382866,-27,-41,-47,-41,-43,-200,-44,-48,-42,-48,-55,-52,-56,-56,-53,-63,-54,-63,-55,-57,-200,-200,-62,-47,-60,-200,-60,-57,-200,-59,-65,-200,-72,-65,-68,-200,-68,-200,-77,-63,-67,-200,-200,-82,-200,-62,-86,-200,-83,-83,-84,-84,-74,-74,-89,-87,-79,-200,-83,-200,-200,-48,-200,-200,-80,-51,-56,-62,-66,-66,-72,-78,-55,-58,-66,-65,-66,-67,-83,-65,-200,-200,-200,-200,-200,-200,-200
1526463385896,-27,-41,-47,-41,-43,-200,-44,-48,-42,-48,-55,-52,-56,-56,-53,-63,-54,-63,-55,-57,-200,-200,-62,-200,-60,-200,-60,-57,-200,-59,-65,-200,-72,-65,-68,-200,-200,-200,-77,-63,-67,-200,-200,-82,-200,-62,-86,-200,-83,-83,-84,-84,-74,-74,-89,-87,-79,-200,-83,-200,-200,-48,-200,-200,-80,-51,-200,-62,-200,-200,-200,-78,-55,-58,-66,-65,-66,-67,-83,-65,-200,-200,-200,-200,-200,-200,-200
1526463388927,-28,-41,-47,-54,-43,-200,-46,-47,-42,-50,-55,-52,-56,-60,-53,-63,-53,-61,-57,-57,-200,-200,-64,-200,-60,-200,-60,-57,-200,-62,-65,-200,-72,-63,-68,-200,-200,-200,-81,-63,-69,-200,-200,-82,-200,-62,-86,-200,-79,-83,-80,-88,-72,-74,-89,-87,-79,-200,-83,-200,-200,-52,-200,-200,-80,-50,-200,-62,-200,-65,-200,-78,-55,-58,-66,-65,-66,-67,-83,-65,-67,-71,-72,-200,-200,-200,-200
1526463391941,-27,-41,-44,-38,-39,-200,-42,-51,-42,-50,-200,-52,-51,-60,-49,-55,-53,-61,-57,-57,-200,-200,-61,-200,-60,-200,-60,-57,-200,-62,-65,-52,-68,-65,-64,-200,-68,-200,-76,-62,-69,-200,-200,-79,-200,-62,-87,-200,-79,-86,-80,-87,-69,-72,-200,-83,-83,-200,-83,-200,-200,-52,-200,-70,-80,-50,-200,-62,-200,-65,-200,-78,-53,-58,-200,-65,-66,-67,-83,-65,-67,-71,-68,-200,-200,-200,-200
1526463394973,-27,-41,-44,-38,-39,-200,-42,-51,-42,-50,-200,-52,-51,-60,-49,-55,-53,-61,-57,-57,-200,-200,-61,-200,-60,-200,-60,-57,-200,-62,-65,-52,-68,-65,-64,-200,-68,-200,-76,-62,-69,-200,-200,-79,-200,-62,-87,-200,-79,-86,-80,-87,-69,-72,-200,-83,-83,-200,-83,-200,-200,-52,-200,-70,-80,-50,-200,-62,-200,-65,-200,-78,-53,-58,-200,-65,-66,-67,-83,-65,-67,-71,-68,-200,-200,-200,-200
1526463397987,-27,-41,-45,-37,-39,-200,-42,-51,-42,-46,-200,-52,-52,-57,-49,-55,-53,-63,-57,-57,-200,-200,-63,-200,-60,-200,-60,-57,-200,-62,-65,-61,-68,-65,-64,-200,-68,-200,-77,-65,-68,-200,-200,-80,-200,-68,-87,-200,-82,-84,-82,-84,-72,-78,-200,-83,-82,-200,-86,-200,-200,-48,-200,-70,-76,-50,-200,-62,-200,-65,-200,-78,-53,-200,-200,-65,-200,-67,-83,-65,-67,-71,-68,-78,-200,-200,-200
1526463401000,-27,-41,-45,-37,-39,-200,-42,-51,-42,-46,-200,-52,-52,-57,-49,-55,-53,-63,-57,-57,-200,-200,-63,-200,-60,-200,-60,-57,-200,-62,-65,-61,-68,-65,-64,-200,-68,-200,-77,-65,-68,-200,-200,-80,-200,-68,-87,-200,-82,-84,-82,-84,-72,-78,-200,-83,-82,-200,-86,-200,-200,-48,-200,-70,-76,-50,-200,-62,-200,-65,-200,-78,-53,-200,-200,-65,-200,-67,-83,-65,-67,-71,-68,-78,-200,-200,-200
1526463404034,-28,-41,-45,-35,-39,-200,-42,-51,-200,-46,-200,-49,-56,-54,-57,-62,-53,-63,-55,-57,-200,-200,-64,-200,-60,-200,-60,-57,-200,-62,-65,-59,-68,-63,-64,-200,-68,-200,-77,-64,-66,-200,-200,-79,-200,-68,-87,-200,-82,-84,-82,-83,-76,-76,-200,-84,-81,-200,-85,-200,-200,-46,-200,-70,-76,-50,-200,-200,-200,-65,-200,-78,-54,-200,-200,-65,-200,-200,-200,-65,-67,-71,-68,-78,-74,-200,-200
1526463407063,-28,-41,-46,-35,-39,-200,-42,-51,-200,-46,-200,-49,-56,-54,-57,-62,-53,-63,-55,-57,-200,-200,-64,-200,-200,-200,-60,-57,-200,-62,-200,-59,-68,-63,-64,-200,-68,-200,-77,-64,-66,-200,-200,-79,-200,-68,-87,-200,-82,-84,-82,-83,-76,-76,-200,-84,-81,-200,-85,-200,-200,-46,-200,-70,-76,-50,-200,-200,-200,-65,-200,-200,-54,-200,-200,-65,-200,-200,-200,-200,-67,-71,-68,-78,-74,-200,-200
1526463410094,-30,-41,-47,-38,-42,-200,-42,-51,-42,-59,-200,-46,-51,-54,-51,-59,-58,-63,-54,-57,-200,-61,-60,-47,-200,-200,-60,-59,-72,-67,-200,-59,-72,-63,-64,-200,-68,-200,-77,-64,-63,-200,-200,-79,-200,-68,-87,-200,-82,-87,-81,-83,-74,-76,-200,-84,-79,-200,-87,-200,-200,-45,-200,-70,-76,-53,-200,-200,-200,-65,-75,-200,-54,-62,-200,-65,-200,-200,-200,-200,-67,-71,-68,-78,-74,-64,-67
