,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526448607442,-80,-200,-72,-71,-200,-85,-89,-79,-86,-200,-91,-200,-77,-71,-200,-200,-79,-200,-86,-200,-88,-200,-200,-200,-200,-200
1526448607601,-200,-74,-200,-200,-200,-86,-89,-200,-86,-200,-90,-200,-77,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448607695,-200,-73,-200,-75,-200,-84,-200,-200,-81,-200,-200,-75,-200,-69,-90,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448612158,-200,-86,-200,-76,-200,-200,-86,-200,-80,-200,-88,-75,-85,-200,-93,-200,-83,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526448612263,-88,-86,-85,-75,-200,-200,-200,-82,-81,-200,-88,-75,-84,-73,-94,-97,-83,-200,-95,-200,-95,-99,-94,-200,-200,-200
1526448612373,-87,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200,-75,-85,-73,-94,-98,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448612539,-88,-200,-83,-200,-200,-200,-200,-200,-82,-200,-88,-200,-84,-73,-92,-97,-83,-200,-97,-200,-200,-200,-200,-200,-200,-200
1526448612606,-87,-200,-85,-74,-200,-200,-200,-200,-200,-200,-88,-74,-200,-200,-200,-200,-83,-200,-95,-200,-95,-200,-94,-200,-200,-200
1526448612716,-200,-200,-84,-76,-200,-200,-200,-200,-81,-200,-88,-75,-200,-200,-200,-200,-83,-200,-200,-200,-96,-200,-95,-200,-200,-200
1526448612824,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526448617135,-200,-73,-200,-72,-200,-86,-200,-82,-200,-200,-200,-200,-200,-66,-200,-75,-77,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526448617246,-200,-73,-200,-72,-200,-85,-200,-200,-86,-200,-200,-75,-72,-66,-93,-76,-78,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526448617329,-77,-73,-200,-72,-200,-85,-200,-200,-200,-200,-85,-200,-72,-66,-200,-200,-77,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526448617438,-200,-71,-200,-73,-94,-86,-94,-200,-86,-200,-200,-76,-74,-66,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526448617555,-76,-72,-75,-200,-94,-84,-200,-200,-200,-200,-200,-75,-73,-66,-200,-76,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526448617653,-200,-72,-74,-73,-200,-200,-200,-80,-200,-200,-200,-75,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448622162,-200,-74,-71,-73,-200,-200,-200,-80,-85,-200,-200,-200,-200,-71,-200,-200,-77,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526448622257,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200
1526448622364,-79,-73,-72,-73,-200,-83,-200,-200,-200,-200,-92,-74,-77,-70,-200,-200,-77,-200,-86,-200,-200,-200,-200,-200,-96,-200
1526448622473,-200,-73,-72,-73,-200,-200,-200,-80,-200,-200,-200,-74,-200,-70,-200,-200,-200,-200,-86,-200,-88,-200,-200,-200,-200,-200
1526448622578,-79,-73,-70,-72,-200,-200,-200,-79,-200,-200,-200,-73,-200,-200,-200,-81,-77,-200,-86,-200,-88,-200,-200,-200,-200,-200
1526448622685,-200,-74,-71,-73,-200,-86,-200,-200,-85,-200,-90,-74,-200,-71,-89,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526448627166,-200,-200,-200,-75,-200,-200,-200,-200,-81,-200,-88,-200,-85,-76,-200,-97,-83,-100,-200,-200,-94,-96,-200,-200,-200,-200
1526448627266,-200,-85,-200,-73,-200,-200,-86,-83,-200,-200,-88,-75,-84,-72,-200,-96,-83,-200,-96,-200,-200,-200,-200,-200,-200,-99
1526448627381,-86,-200,-84,-200,-200,-200,-200,-82,-81,-200,-88,-74,-85,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526448627490,-200,-85,-85,-74,-200,-200,-200,-200,-80,-200,-200,-75,-84,-73,-200,-95,-200,-200,-94,-200,-93,-200,-200,-200,-200,-200
1526448627603,-200,-85,-86,-200,-200,-200,-86,-82,-80,-200,-88,-75,-200,-72,-200,-96,-83,-200,-95,-200,-94,-98,-200,-200,-200,-200
1526448627714,-86,-200,-200,-200,-97,-200,-87,-200,-82,-200,-200,-74,-200,-200,-200,-98,-200,-200,-98,-200,-94,-96,-200,-200,-200,-200
1526448632145,-76,-71,-74,-200,-92,-200,-200,-82,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-94,-90,-200,-200,-200,-200,-200
1526448632242,-76,-73,-75,-72,-200,-200,-200,-82,-200,-200,-200,-75,-72,-66,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526448632348,-76,-71,-76,-73,-200,-200,-200,-83,-86,-200,-85,-200,-72,-200,-91,-200,-200,-200,-89,-200,-88,-200,-200,-200,-200,-200
1526448632455,-76,-200,-74,-74,-200,-200,-200,-82,-200,-200,-85,-77,-72,-200,-200,-200,-77,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526448632577,-77,-73,-200,-71,-200,-200,-200,-200,-200,-200,-85,-200,-72,-200,-92,-200,-77,-200,-88,-200,-90,-200,-200,-200,-200,-200
1526448632662,-77,-71,-200,-71,-200,-200,-200,-81,-200,-200,-85,-200,-72,-66,-92,-76,-200,-200,-88,-200,-90,-200,-200,-200,-200,-200
1526448632766,-76,-74,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-77,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526448637248,-79,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-78,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526448637367,-200,-74,-200,-200,-200,-200,-89,-200,-85,-200,-200,-73,-77,-70,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-94,-200
1526448637499,-79,-74,-200,-73,-200,-200,-88,-80,-85,-200,-200,-200,-200,-70,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90
1526448637702,-86,-78,-84,-200,-97,-200,-200,-82,-200,-200,-89,-75,-84,-200,-200,-200,-200,-200,-96,-200,-94,-95,-200,-200,-200,-200
1526448642274,-200,-86,-200,-75,-200,-200,-86,-200,-200,-200,-87,-200,-200,-200,-92,-200,-200,-200,-95,-200,-200,-97,-200,-200,-200,-200
1526448642373,-200,-87,-200,-200,-200,-200,-200,-200,-81,-200,-87,-75,-200,-72,-200,-93,-83,-200,-200,-200,-94,-200,-95,-200,-200,-200
1526448642469,-200,-87,-200,-75,-200,-200,-86,-82,-200,-200,-89,-200,-85,-200,-94,-95,-83,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526448642594,-200,-86,-85,-200,-98,-200,-200,-200,-80,-200,-200,-75,-85,-72,-94,-200,-82,-200,-95,-200,-96,-200,-200,-200,-200,-200
1526448642695,-200,-88,-86,-75,-200,-200,-86,-82,-200,-200,-88,-200,-84,-200,-92,-95,-83,-200,-200,-200,-200,-97,-95,-200,-200,-200
1526448642808,-76,-71,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-96,-78,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526448647199,-76,-71,-75,-71,-200,-200,-200,-82,-200,-200,-84,-75,-72,-66,-200,-76,-78,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526448647296,-77,-71,-75,-200,-200,-200,-200,-82,-200,-200,-84,-75,-200,-200,-200,-76,-200,-200,-89,-200,-89,-200,-200,-200,-200,-200
1526448647398,-76,-200,-75,-73,-200,-85,-200,-82,-200,-200,-83,-200,-200,-66,-91,-76,-78,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526448647519,-76,-72,-75,-71,-200,-86,-200,-82,-86,-200,-85,-76,-71,-66,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448647613,-200,-73,-76,-72,-200,-200,-200,-200,-86,-200,-84,-200,-72,-200,-91,-76,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526448647718,-80,-200,-75,-71,-200,-200,-200,-200,-200,-200,-200,-200,-72,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448652157,-79,-200,-73,-72,-200,-200,-200,-200,-200,-200,-200,-74,-77,-200,-90,-81,-200,-200,-200,-92,-200,-200,-200,-200,-200,-92
1526448652309,-200,-75,-72,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448652412,-200,-74,-72,-72,-200,-200,-200,-80,-200,-200,-200,-200,-200,-70,-200,-82,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526448652554,-80,-74,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-78,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526448652647,-79,-87,-84,-72,-200,-200,-86,-79,-80,-200,-200,-200,-77,-71,-200,-93,-200,-200,-200,-200,-88,-200,-95,-200,-200,-200
1526448657196,-200,-86,-83,-74,-200,-200,-85,-82,-80,-200,-87,-75,-83,-72,-93,-96,-82,-200,-94,-200,-95,-96,-200,-200,-200,-200
1526448657281,-86,-85,-200,-75,-96,-200,-87,-82,-80,-200,-88,-74,-84,-72,-93,-200,-82,-200,-95,-200,-94,-97,-200,-200,-200,-200
1526448657393,-86,-86,-85,-74,-200,-200,-87,-82,-80,-200,-88,-74,-83,-71,-94,-95,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448657498,-86,-86,-200,-74,-96,-200,-200,-200,-81,-200,-88,-74,-200,-72,-93,-200,-82,-200,-96,-200,-94,-200,-200,-200,-200,-200
1526448657622,-87,-86,-85,-74,-200,-200,-200,-82,-81,-200,-88,-200,-200,-200,-93,-200,-83,-99,-95,-200,-93,-98,-200,-200,-200,-200
1526448657732,-87,-200,-200,-75,-200,-200,-200,-200,-80,-200,-88,-75,-84,-75,-94,-200,-200,-200,-96,-200,-200,-200,-94,-200,-200,-200
1526448657829,-87,-85,-84,-75,-200,-200,-200,-200,-81,-200,-89,-76,-84,-200,-93,-97,-200,-200,-97,-200,-94,-98,-200,-200,-200,-200
1526448662154,-76,-71,-75,-200,-200,-200,-200,-82,-86,-200,-200,-200,-200,-66,-200,-200,-200,-200,-89,-200,-89,-200,-200,-200,-200,-200
1526448662240,-200,-71,-75,-200,-200,-200,-200,-82,-86,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526448662350,-77,-73,-75,-200,-200,-86,-200,-83,-86,-200,-85,-75,-73,-66,-91,-200,-200,-200,-88,-200,-89,-200,-200,-200,-200,-200
1526448662450,-77,-71,-75,-72,-200,-85,-200,-82,-86,-200,-200,-75,-72,-200,-93,-200,-78,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526448662560,-200,-71,-76,-200,-200,-200,-200,-82,-86,-200,-84,-75,-72,-200,-200,-200,-77,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526448662661,-76,-71,-200,-72,-200,-86,-200,-82,-86,-200,-84,-76,-72,-66,-91,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448662805,-77,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
