,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526456247037,-200,-200,-80,-200,-200,-72,-98,-93,-90,-83,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456247134,-73,-200,-80,-200,-200,-72,-96,-92,-200,-200,-70,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526456247240,-73,-200,-79,-83,-200,-72,-95,-200,-200,-200,-70,-200,-91,-200,-94,-200,-200,-200,-200,-200,-200
1526456247396,-74,-200,-80,-83,-200,-73,-200,-200,-200,-83,-70,-200,-91,-200,-92,-200,-200,-200,-200,-200,-200
1526456247507,-73,-200,-200,-200,-90,-72,-98,-200,-200,-84,-69,-200,-92,-96,-92,-200,-200,-200,-200,-200,-200
1526456247627,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-92,-200,-200,-200,-200,-200,-200
1526456252122,-75,-200,-200,-85,-80,-67,-200,-200,-84,-81,-70,-200,-200,-200,-91,-200,-92,-200,-200,-200,-200
1526456252210,-75,-200,-85,-200,-79,-66,-200,-91,-83,-79,-200,-200,-93,-200,-92,-200,-92,-200,-200,-200,-200
1526456252334,-200,-200,-84,-200,-81,-67,-200,-200,-84,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456252444,-76,-200,-84,-86,-80,-67,-200,-91,-200,-80,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456252590,-200,-96,-83,-91,-80,-200,-200,-80,-82,-200,-70,-95,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526456257095,-88,-200,-75,-89,-79,-66,-95,-80,-82,-200,-67,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526456257198,-89,-200,-200,-90,-200,-200,-200,-81,-200,-200,-67,-97,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526456257316,-87,-200,-200,-200,-80,-66,-200,-200,-200,-82,-67,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526456257411,-88,-200,-75,-91,-200,-200,-200,-81,-83,-82,-67,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526456257554,-89,-200,-80,-91,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456262030,-75,-200,-84,-85,-83,-71,-200,-89,-92,-84,-74,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526456262191,-72,-200,-200,-200,-200,-200,-200,-200,-87,-200,-75,-200,-200,-200,-200,-96,-93,-200,-200,-200,-200
1526456262272,-74,-98,-82,-200,-89,-77,-97,-200,-88,-80,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456262382,-75,-200,-79,-82,-200,-76,-200,-83,-200,-84,-200,-92,-200,-200,-95,-96,-95,-200,-200,-200,-200
1526456262493,-74,-200,-80,-84,-200,-73,-200,-84,-200,-83,-75,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526456267054,-74,-200,-200,-84,-78,-68,-200,-83,-200,-79,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456267145,-74,-200,-200,-84,-200,-67,-200,-82,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456267321,-73,-200,-200,-83,-200,-200,-200,-83,-200,-79,-71,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526456267426,-74,-200,-80,-83,-79,-68,-200,-82,-84,-79,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456267541,-74,-200,-200,-200,-79,-68,-200,-82,-85,-200,-73,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526456272036,-82,-200,-74,-89,-200,-69,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456272139,-82,-200,-78,-88,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456272250,-82,-96,-74,-87,-78,-200,-92,-76,-200,-77,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526456272378,-200,-95,-74,-200,-82,-67,-200,-200,-200,-73,-73,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456272486,-200,-95,-76,-81,-86,-67,-90,-200,-200,-75,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456272602,-200,-94,-200,-200,-200,-67,-200,-75,-81,-76,-200,-200,-200,-200,-200,-200,-90,-200,-93,-200,-200
1526456276993,-74,-99,-81,-80,-80,-71,-200,-85,-95,-87,-72,-91,-97,-200,-200,-95,-200,-200,-200,-200,-200
1526456277149,-75,-200,-83,-80,-81,-71,-200,-200,-97,-87,-200,-200,-100,-200,-200,-95,-200,-200,-200,-200,-200
1526456277257,-200,-200,-82,-80,-81,-71,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456277384,-200,-200,-81,-200,-81,-72,-200,-200,-200,-88,-200,-90,-96,-95,-200,-200,-96,-200,-200,-200,-200
1526456277490,-77,-99,-83,-81,-81,-72,-200,-85,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-97,-200
1526456277602,-76,-200,-83,-200,-200,-200,-200,-84,-200,-200,-73,-91,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526456282010,-73,-200,-79,-200,-84,-200,-200,-200,-88,-90,-70,-93,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526456282117,-73,-200,-73,-80,-73,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-93,-200,-200
1526456282215,-74,-200,-200,-200,-88,-200,-200,-200,-200,-73,-200,-91,-200,-200,-200,-200,-87,-200,-93,-200,-200
1526456282323,-72,-200,-200,-81,-200,-75,-200,-80,-200,-72,-71,-200,-90,-200,-200,-200,-87,-200,-200,-200,-200
1526456282538,-72,-200,-79,-200,-80,-70,-200,-78,-200,-76,-75,-94,-200,-200,-200,-200,-87,-200,-200,-93,-200
1526456282646,-77,-95,-76,-200,-200,-66,-200,-200,-200,-77,-73,-200,-92,-200,-200,-200,-82,-200,-200,-91,-200
1526456287129,-200,-95,-74,-80,-74,-200,-200,-200,-200,-78,-200,-200,-200,-200,-95,-200,-200,-200,-96,-200,-101
1526456287307,-200,-200,-200,-80,-75,-65,-200,-76,-82,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526456287411,-200,-200,-75,-80,-75,-200,-93,-76,-82,-76,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526456287591,-200,-200,-76,-80,-75,-67,-200,-75,-200,-200,-73,-200,-200,-200,-200,-200,-82,-93,-95,-200,-200
