,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463279072,-45,-44,-52,-50,-49,-50,-56,-46,-52,-49,-61,-49,-69,-60,-60,-60,-71,-65,-69,-64,-59,-65,-67,-73,-77,-69,-69,-47,-70,-80,-78,-75,-71,-77,-77,-73,-81,-89,-75,-81,-200,-82,-79,-81,-200,-200,-77,-87,-200,-200,-200,-82,-200,-90,-200,-200,-200,-83,-87,-200,-86,-200,-200,-200,-83,-200,-90,-88,-200,-200,-200,-200,-200
1526463282115,-44,-43,-51,-50,-54,-54,-56,-49,-54,-49,-61,-45,-58,-58,-61,-58,-200,-63,-66,-67,-64,-64,-71,-75,-78,-71,-75,-62,-71,-77,-77,-75,-74,-77,-77,-74,-78,-89,-83,-81,-200,-82,-76,-83,-200,-200,-78,-87,-200,-200,-200,-81,-88,-90,-200,-200,-200,-83,-85,-200,-200,-200,-200,-200,-83,-200,-90,-88,-200,-200,-200,-200,-200
1526463285152,-42,-45,-48,-55,-51,-43,-53,-44,-55,-49,-59,-49,-62,-55,-60,-70,-200,-67,-66,-67,-60,-64,-71,-75,-78,-67,-67,-62,-70,-77,-83,-73,-74,-73,-76,-74,-74,-200,-83,-82,-200,-86,-76,-86,-200,-200,-75,-84,-200,-91,-200,-87,-88,-90,-88,-90,-200,-83,-90,-200,-200,-200,-89,-200,-83,-200,-200,-88,-87,-200,-200,-200,-200
1526463288179,-40,-46,-50,-52,-51,-49,-52,-43,-57,-49,-54,-49,-66,-55,-58,-67,-67,-68,-64,-65,-63,-62,-71,-75,-72,-68,-70,-62,-73,-77,-76,-75,-74,-71,-75,-74,-78,-200,-75,-82,-200,-86,-76,-88,-200,-200,-75,-84,-200,-91,-200,-87,-90,-90,-87,-90,-200,-84,-90,-200,-200,-200,-89,-200,-83,-200,-200,-88,-87,-200,-200,-200,-200
1526463291212,-39,-45,-51,-57,-48,-50,-51,-44,-57,-51,-63,-43,-64,-56,-58,-70,-69,-77,-68,-64,-63,-63,-71,-80,-69,-68,-74,-62,-68,-77,-85,-74,-74,-71,-75,-81,-77,-85,-78,-82,-200,-86,-84,-85,-200,-200,-75,-84,-200,-90,-87,-87,-90,-200,-87,-90,-200,-84,-90,-91,-200,-200,-89,-200,-80,-83,-89,-200,-87,-200,-200,-200,-200
1526463294227,-44,-44,-51,-55,-48,-51,-48,-46,-53,-51,-52,-54,-65,-56,-74,-69,-70,-64,-68,-71,-62,-67,-73,-80,-71,-71,-74,-66,-73,-79,-85,-76,-80,-71,-81,-81,-80,-84,-78,-82,-200,-86,-84,-85,-86,-200,-82,-90,-200,-90,-87,-87,-90,-200,-88,-87,-200,-84,-90,-91,-200,-89,-89,-200,-80,-83,-89,-200,-87,-200,-200,-200,-200
1526463297265,-42,-43,-49,-56,-53,-49,-50,-44,-55,-51,-56,-47,-58,-57,-58,-73,-70,-73,-65,-64,-61,-64,-72,-77,-68,-71,-76,-76,-72,-84,-83,-74,-78,-71,-75,-84,-80,-84,-80,-79,-200,-200,-79,-89,-86,-200,-73,-90,-200,-90,-87,-88,-91,-200,-88,-87,-200,-83,-91,-91,-200,-89,-200,-200,-78,-85,-89,-200,-200,-85,-200,-200,-200
1526463300275,-40,-44,-56,-56,-54,-50,-54,-44,-57,-54,-56,-46,-64,-52,-73,-68,-70,-68,-65,-66,-67,-64,-73,-77,-68,-71,-76,-76,-69,-84,-83,-74,-77,-200,-78,-81,-78,-84,-80,-79,-200,-200,-79,-89,-86,-200,-77,-85,-200,-90,-89,-90,-91,-90,-88,-87,-200,-83,-91,-91,-200,-89,-200,-200,-78,-85,-89,-200,-200,-85,-86,-200,-200
1526463303312,-41,-43,-53,-58,-55,-48,-55,-44,-58,-51,-56,-42,-60,-56,-58,-67,-72,-73,-65,-68,-68,-75,-71,-70,-68,-67,-74,-86,-75,-80,-79,-76,-77,-200,-76,-81,-78,-84,-79,-79,-200,-200,-77,-88,-86,-85,-77,-85,-200,-200,-89,-90,-90,-90,-87,-87,-84,-83,-89,-200,-200,-89,-200,-91,-78,-85,-200,-200,-200,-85,-86,-73,-200
1526463306345,-44,-43,-52,-61,-53,-52,-54,-45,-56,-53,-54,-42,-63,-56,-63,-65,-72,-72,-74,-67,-62,-72,-71,-77,-74,-69,-74,-86,-71,-80,-80,-82,-76,-200,-78,-81,-76,-200,-79,-79,-200,-85,-77,-86,-200,-85,-74,-85,-200,-200,-89,-89,-90,-90,-90,-89,-84,-83,-89,-200,-200,-200,-200,-91,-78,-86,-200,-200,-200,-85,-86,-73,-200
1526463309381,-43,-43,-58,-57,-52,-48,-54,-46,-56,-49,-54,-47,-62,-57,-62,-68,-72,-69,-74,-66,-65,-66,-71,-77,-74,-69,-74,-86,-72,-81,-77,-75,-76,-200,-77,-78,-77,-85,-83,-79,-200,-85,-81,-89,-200,-85,-77,-85,-200,-200,-89,-89,-90,-90,-90,-89,-84,-200,-89,-200,-200,-200,-200,-91,-200,-86,-200,-200,-200,-200,-86,-73,-82
1526463312407,-44,-43,-58,-57,-51,-47,-51,-45,-55,-52,-58,-46,-60,-58,-58,-71,-71,-69,-64,-71,-64,-70,-63,-77,-74,-67,-74,-77,-74,-81,-76,-75,-78,-200,-77,-82,-80,-87,-75,-79,-83,-86,-78,-88,-200,-85,-77,-85,-200,-200,-89,-89,-90,-200,-90,-89,-80,-200,-89,-200,-200,-200,-200,-91,-200,-86,-200,-200,-200,-84,-200,-73,-82
