,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526453948602,-26,-42,-29,-54,-48,-42,-42,-200,-37,-69,-38,-52,-48,-200,-200,-42,-57,-55,-49,-58,-66,-58,-59,-57,-52,-86,-71,-200,-60,-66,-67,-200,-200,-73,-74,-200,-79,-74,-70,-79,-88,-200,-200,-200,-76,-76,-83,-86,-200,-200,-61,-83,-59,-72,-56,-53,-63,-72,-51,-71,-90,-200,-200,-200,-200
1526453951631,-26,-42,-29,-54,-48,-42,-42,-200,-37,-69,-38,-52,-48,-200,-200,-42,-57,-55,-49,-58,-66,-58,-59,-57,-52,-86,-71,-200,-60,-66,-67,-200,-200,-73,-74,-200,-79,-74,-70,-79,-88,-200,-200,-200,-76,-76,-83,-86,-200,-200,-61,-83,-59,-72,-56,-53,-63,-72,-51,-71,-90,-200,-200,-200,-200
1526453954657,-33,-34,-25,-56,-47,-41,-42,-200,-37,-69,-42,-52,-48,-53,-61,-50,-58,-55,-49,-58,-62,-56,-58,-55,-52,-86,-71,-200,-60,-66,-67,-200,-200,-73,-73,-200,-76,-73,-68,-82,-88,-200,-200,-200,-72,-75,-83,-86,-200,-200,-61,-83,-66,-72,-56,-53,-63,-72,-46,-71,-90,-200,-200,-200,-200
1526453957687,-33,-34,-25,-56,-47,-41,-42,-200,-37,-69,-42,-52,-48,-53,-61,-50,-58,-55,-49,-58,-62,-56,-58,-55,-52,-86,-71,-200,-60,-66,-67,-200,-200,-73,-73,-200,-76,-73,-68,-82,-88,-200,-200,-200,-72,-75,-83,-86,-200,-200,-61,-83,-66,-72,-56,-53,-63,-72,-46,-71,-90,-200,-200,-200,-200
1526453960710,-35,-34,-25,-60,-47,-41,-45,-200,-37,-69,-39,-52,-46,-53,-64,-50,-58,-51,-49,-58,-60,-56,-57,-55,-52,-84,-66,-200,-60,-66,-67,-200,-200,-71,-76,-200,-79,-72,-71,-85,-86,-200,-200,-200,-69,-74,-81,-200,-200,-200,-61,-83,-66,-200,-56,-53,-65,-72,-48,-71,-90,-78,-91,-200,-200
1526453963736,-35,-34,-25,-60,-47,-41,-45,-200,-37,-69,-39,-52,-46,-53,-64,-50,-58,-51,-49,-58,-60,-56,-57,-55,-52,-84,-66,-200,-60,-66,-67,-200,-200,-71,-76,-200,-79,-72,-71,-85,-86,-200,-200,-200,-69,-74,-81,-200,-200,-200,-61,-83,-66,-200,-56,-53,-65,-72,-48,-71,-90,-78,-91,-200,-200
1526453966762,-27,-36,-27,-53,-47,-41,-41,-200,-35,-69,-37,-52,-47,-53,-64,-46,-58,-56,-49,-58,-57,-56,-58,-55,-52,-83,-66,-200,-60,-66,-67,-70,-200,-71,-73,-200,-78,-72,-71,-79,-87,-200,-200,-200,-75,-74,-85,-200,-200,-200,-61,-83,-66,-200,-56,-53,-65,-200,-50,-71,-90,-75,-91,-200,-200
1526453969790,-27,-36,-27,-53,-47,-41,-41,-200,-35,-69,-37,-52,-47,-53,-64,-46,-58,-56,-49,-58,-57,-56,-58,-55,-52,-83,-66,-200,-60,-66,-67,-70,-200,-71,-73,-200,-78,-72,-71,-79,-87,-200,-200,-200,-75,-74,-85,-200,-200,-200,-61,-83,-66,-200,-56,-53,-65,-200,-50,-71,-90,-75,-91,-200,-200
1526453972813,-25,-36,-42,-55,-47,-41,-37,-200,-35,-69,-37,-52,-47,-55,-64,-46,-58,-49,-46,-200,-57,-58,-58,-59,-52,-83,-66,-200,-60,-200,-67,-70,-200,-71,-73,-73,-76,-72,-69,-77,-87,-200,-200,-200,-75,-74,-83,-200,-200,-200,-200,-85,-66,-200,-54,-53,-65,-200,-50,-200,-90,-75,-91,-200,-200
1526453975882,-25,-35,-31,-55,-44,-42,-40,-200,-35,-69,-52,-48,-49,-55,-64,-46,-58,-53,-45,-200,-62,-55,-58,-59,-56,-89,-66,-200,-67,-200,-67,-70,-200,-71,-70,-73,-78,-76,-69,-77,-87,-200,-200,-200,-75,-73,-83,-91,-200,-200,-200,-85,-66,-200,-54,-53,-65,-200,-50,-200,-90,-75,-91,-59,-200
1526453978892,-27,-35,-31,-55,-44,-42,-40,-200,-35,-200,-52,-48,-49,-55,-64,-46,-58,-53,-45,-200,-62,-55,-58,-59,-56,-89,-66,-200,-67,-200,-200,-70,-200,-71,-70,-73,-78,-76,-69,-77,-87,-200,-200,-200,-75,-73,-83,-91,-200,-200,-200,-85,-66,-200,-54,-200,-65,-200,-50,-200,-90,-75,-91,-59,-200
1526453981915,-33,-36,-30,-55,-49,-41,-44,-200,-36,-200,-44,-48,-49,-55,-64,-54,-58,-53,-45,-62,-59,-56,-63,-59,-56,-84,-66,-200,-67,-61,-200,-66,-200,-71,-73,-69,-78,-75,-69,-79,-85,-200,-200,-200,-71,-73,-79,-91,-200,-200,-200,-85,-66,-200,-57,-200,-65,-200,-51,-200,-90,-75,-91,-59,-81
