,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011309,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A20,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459546341,-25,-43,-45,-49,-53,-50,-53,-62,-62,-52,-65,-52,-61,-59,-60,-44,-67,-69,-60,-59,-71,-70,-54,-62,-73,-75,-63,-74,-75,-78,-73,-69,-86,-77,-74,-80,-78,-86,-83,-87,-80,-85,-68,-82,-75,-84,-75,-76,-80,-81,-81,-74,-200,-78,-74,-78,-85,-200,-86,-78,-200,-87,-88,-200,-93,-84,-200,-83,-200,-86,-91,-90,-200,-200,-91,-92,-92,-87,-200,-91,-86,-86,-200,-90,-94,-200,-200,-200,-68,-89,-95,-72,-200,-200,-200,-200,-92,-200,-82,-200,-200,-94,-200,-200,-94,-85,-94,-200,-200,-200,-200
1526459549392,-31,-36,-40,-49,-55,-52,-62,-51,-61,-62,-56,-62,-62,-57,-61,-46,-64,-69,-61,-64,-75,-66,-54,-67,-75,-62,-61,-73,-78,-83,-73,-71,-86,-87,-77,-78,-83,-86,-83,-80,-80,-85,-68,-84,-78,-87,-75,-82,-76,-81,-83,-74,-75,-83,-74,-78,-84,-200,-86,-79,-200,-90,-88,-200,-93,-84,-200,-200,-200,-86,-200,-91,-200,-200,-200,-92,-91,-87,-200,-86,-86,-86,-200,-90,-94,-200,-200,-200,-71,-90,-95,-72,-200,-200,-200,-200,-92,-200,-200,-200,-200,-94,-200,-200,-200,-85,-94,-200,-200,-200,-200
1526459552440,-25,-38,-44,-48,-52,-53,-59,-53,-63,-68,-55,-53,-63,-58,-53,-47,-63,-68,-62,-60,-73,-68,-56,-68,-75,-62,-63,-73,-76,-83,-74,-68,-84,-89,-77,-80,-81,-200,-83,-82,-86,-82,-69,-84,-77,-84,-75,-83,-76,-81,-83,-74,-75,-83,-77,-81,-84,-200,-200,-78,-200,-85,-200,-200,-93,-84,-200,-86,-86,-200,-200,-91,-200,-200,-86,-91,-91,-91,-200,-86,-86,-81,-200,-90,-96,-200,-200,-200,-74,-90,-200,-72,-200,-200,-95,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526459555492,-32,-37,-35,-48,-56,-50,-62,-55,-61,-69,-55,-56,-62,-55,-58,-46,-63,-70,-59,-64,-69,-65,-53,-65,-73,-62,-58,-73,-76,-83,-72,-69,-84,-86,-77,-78,-81,-200,-200,-81,-86,-81,-69,-84,-77,-87,-72,-76,-72,-81,-82,-76,-79,-79,-75,-77,-84,-200,-75,-80,-200,-85,-200,-200,-96,-200,-200,-84,-86,-200,-93,-91,-200,-200,-87,-91,-91,-91,-200,-86,-86,-80,-200,-200,-96,-95,-200,-200,-70,-90,-200,-200,-200,-200,-95,-200,-200,-89,-200,-200,-97,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526459558545,-24,-43,-49,-49,-48,-49,-60,-60,-58,-63,-58,-59,-62,-59,-59,-46,-68,-71,-58,-60,-74,-73,-56,-65,-78,-65,-61,-78,-68,-81,-75,-67,-84,-91,-79,-81,-80,-200,-200,-82,-86,-83,-68,-86,-78,-87,-73,-80,-82,-81,-81,-76,-79,-79,-75,-92,-84,-200,-77,-84,-200,-85,-200,-200,-90,-200,-200,-85,-86,-200,-93,-200,-200,-200,-82,-91,-91,-91,-200,-200,-86,-80,-96,-200,-96,-95,-200,-200,-77,-200,-200,-200,-200,-200,-95,-200,-200,-89,-200,-200,-97,-200,-200,-200,-200,-200,-96,-93,-91,-91,-200
1526459561584,-26,-48,-51,-44,-62,-49,-71,-58,-57,-58,-53,-53,-66,-66,-54,-45,-64,-74,-66,-58,-76,-66,-55,-67,-74,-60,-64,-71,-73,-81,-79,-69,-88,-88,-79,-77,-75,-94,-82,-76,-82,-82,-68,-81,-80,-91,-73,-77,-79,-85,-77,-73,-79,-65,-67,-74,-84,-200,-77,-78,-200,-200,-94,-200,-90,-84,-200,-87,-86,-200,-93,-200,-95,-200,-80,-94,-91,-200,-200,-200,-87,-85,-94,-200,-200,-95,-200,-200,-77,-200,-200,-200,-200,-200,-95,-200,-200,-89,-200,-200,-97,-200,-200,-200,-200,-200,-96,-90,-91,-91,-200
1526459564630,-32,-40,-44,-47,-56,-52,-61,-60,-56,-60,-61,-52,-59,-67,-58,-40,-66,-72,-59,-61,-66,-67,-53,-63,-78,-66,-58,-74,-70,-82,-71,-67,-88,-89,-79,-77,-77,-93,-82,-78,-78,-82,-68,-80,-82,-87,-66,-80,-81,-85,-89,-72,-79,-65,-67,-78,-200,-200,-77,-82,-83,-200,-87,-200,-93,-84,-200,-87,-86,-200,-91,-200,-95,-200,-81,-94,-200,-200,-200,-200,-87,-81,-94,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-94,-91,-91,-200
1526459567681,-32,-39,-44,-47,-61,-49,-59,-56,-60,-54,-60,-52,-59,-68,-58,-44,-69,-76,-61,-59,-66,-69,-51,-69,-77,-64,-63,-77,-77,-82,-73,-62,-85,-87,-79,-77,-81,-93,-82,-78,-78,-79,-75,-77,-78,-85,-67,-80,-79,-85,-82,-72,-200,-65,-80,-78,-82,-85,-73,-82,-83,-200,-87,-200,-96,-84,-200,-87,-85,-200,-93,-200,-95,-200,-80,-94,-200,-200,-200,-200,-91,-81,-94,-200,-72,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-95,-92,-200,-200,-97,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526459570733,-32,-39,-45,-49,-61,-47,-57,-57,-63,-58,-60,-60,-59,-68,-55,-44,-70,-70,-60,-62,-65,-67,-54,-63,-72,-60,-60,-74,-74,-82,-71,-66,-88,-88,-76,-81,-79,-93,-86,-77,-79,-77,-75,-74,-79,-82,-67,-74,-77,-82,-81,-73,-200,-200,-68,-76,-82,-85,-73,-82,-83,-200,-87,-200,-96,-82,-200,-200,-85,-200,-92,-94,-200,-200,-78,-92,-200,-200,-200,-91,-89,-85,-200,-200,-99,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-93,-93,-200,-93,-97,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526459573786,-30,-39,-44,-41,-54,-52,-62,-62,-59,-42,-58,-52,-200,-63,-60,-44,-67,-76,-57,-58,-67,-69,-53,-63,-72,-66,-61,-75,-75,-200,-70,-68,-88,-86,-79,-80,-79,-200,-86,-81,-77,-81,-75,-86,-79,-86,-69,-81,-77,-83,-83,-75,-81,-200,-82,-78,-83,-85,-73,-84,-200,-200,-200,-200,-96,-79,-200,-86,-85,-89,-89,-89,-200,-200,-79,-92,-91,-200,-200,-91,-84,-80,-200,-200,-99,-200,-200,-200,-62,-200,-200,-200,-200,-92,-200,-200,-94,-93,-200,-93,-97,-95,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526459576834,-31,-39,-51,-47,-52,-56,-60,-62,-59,-54,-65,-52,-63,-62,-58,-40,-59,-67,-60,-58,-70,-68,-58,-62,-72,-56,-56,-79,-69,-79,-72,-69,-88,-74,-77,-79,-77,-90,-75,-87,-77,-82,-72,-81,-81,-84,-68,-81,-81,-83,-80,-74,-81,-200,-82,-80,-89,-200,-200,-87,-200,-200,-200,-200,-93,-81,-200,-86,-200,-88,-89,-89,-200,-200,-79,-92,-91,-87,-200,-91,-84,-76,-200,-200,-99,-200,-200,-200,-79,-200,-200,-200,-200,-95,-200,-200,-94,-91,-200,-93,-200,-95,-200,-200,-200,-200,-200,-93,-200,-200,-84
1526459579888,-31,-40,-49,-44,-58,-47,-62,-57,-61,-64,-67,-62,-61,-56,-57,-51,-65,-66,-61,-56,-70,-67,-58,-67,-80,-56,-61,-75,-71,-79,-72,-67,-85,-85,-75,-80,-74,-90,-75,-83,-82,-82,-66,-81,-80,-81,-71,-75,-81,-83,-79,-78,-81,-200,-82,-79,-87,-200,-96,-86,-200,-200,-93,-200,-94,-81,-200,-86,-200,-88,-94,-89,-200,-200,-79,-95,-91,-87,-200,-89,-84,-79,-200,-98,-200,-200,-200,-200,-75,-200,-97,-200,-200,-95,-96,-200,-94,-90,-200,-200,-200,-95,-200,-200,-200,-200,-93,-93,-200,-200,-84
