,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443270603,-31,-66,-41,-47,-56,-46,-55,-65,-49,-59,-51,-60,-55,-54,-70,-63,-60,-66,-57,-78,-66,-73,-58,-74,-71,-77,-73,-75,-70,-73,-76,-67,-200,-74,-77,-86,-86,-78,-70,-80,-88,-71,-72,-84,-200,-79,-76,-93,-79,-200,-80,-200,-88,-200,-200,-84,-84,-91,-88,-86,-200,-200,-89,-91,-88,-90,-89,-89,-200,-200,-90,-90,-88,-87,-92,-76,-82,-90,-94,-200,-200,-92,-89,-74,-200,-200,-200,-200,-86,-83,-200,-200,-84,-200,-200,-200,-200,-200
1526443273645,-34,-63,-39,-44,-56,-51,-51,-62,-48,-60,-54,-60,-55,-61,-71,-63,-62,-68,-57,-80,-76,-74,-55,-76,-71,-71,-73,-75,-68,-73,-78,-66,-200,-55,-84,-86,-86,-79,-70,-82,-88,-73,-77,-83,-200,-80,-76,-93,-79,-200,-88,-200,-88,-200,-200,-78,-84,-85,-89,-87,-91,-200,-89,-91,-200,-90,-89,-89,-200,-200,-90,-90,-87,-87,-92,-73,-85,-90,-94,-200,-200,-92,-89,-69,-200,-200,-200,-200,-85,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526443276685,-32,-63,-40,-46,-58,-52,-51,-60,-49,-60,-54,-60,-55,-62,-71,-63,-60,-70,-56,-77,-76,-74,-48,-71,-69,-71,-73,-76,-67,-73,-79,-66,-200,-75,-84,-86,-86,-78,-72,-81,-85,-73,-77,-80,-85,-80,-75,-93,-80,-200,-88,-200,-88,-200,-200,-79,-84,-85,-89,-90,-91,-200,-89,-92,-200,-93,-89,-200,-200,-200,-90,-90,-87,-86,-92,-73,-85,-89,-94,-200,-200,-92,-89,-68,-85,-200,-200,-200,-85,-200,-200,-200,-200,-82,-76,-200,-200,-200
1526443279723,-15,-62,-39,-44,-57,-52,-59,-62,-49,-61,-55,-78,-53,-60,-71,-63,-61,-69,-55,-78,-71,-52,-56,-74,-74,-71,-74,-76,-68,-73,-81,-66,-200,-73,-82,-88,-86,-77,-69,-83,-85,-73,-73,-80,-85,-80,-76,-93,-82,-90,-88,-200,-88,-200,-200,-78,-83,-87,-89,-87,-90,-200,-90,-92,-200,-93,-89,-90,-200,-200,-90,-90,-87,-86,-91,-75,-85,-89,-94,-200,-200,-200,-89,-68,-85,-200,-200,-200,-85,-200,-90,-200,-200,-82,-76,-200,-200,-200
1526443282752,-34,-63,-37,-46,-54,-52,-54,-63,-48,-61,-53,-77,-54,-61,-71,-56,-60,-68,-57,-78,-71,-73,-57,-76,-72,-71,-72,-76,-68,-72,-81,-66,-200,-74,-82,-89,-86,-71,-70,-82,-85,-73,-73,-81,-85,-79,-74,-86,-82,-90,-86,-200,-200,-200,-200,-80,-83,-87,-89,-87,-90,-92,-91,-92,-200,-93,-89,-90,-200,-200,-200,-200,-87,-86,-89,-75,-85,-90,-200,-200,-200,-200,-200,-68,-82,-200,-92,-200,-81,-200,-91,-200,-200,-82,-76,-200,-200,-200
1526443285791,-31,-64,-41,-44,-57,-50,-51,-61,-49,-60,-53,-79,-54,-58,-71,-63,-61,-70,-57,-78,-54,-73,-55,-77,-69,-200,-72,-75,-69,-72,-78,-68,-200,-68,-82,-88,-86,-79,-70,-81,-85,-73,-74,-83,-85,-81,-74,-86,-80,-90,-87,-200,-200,-200,-200,-80,-83,-89,-92,-88,-90,-92,-91,-92,-200,-93,-87,-88,-200,-200,-90,-200,-200,-83,-89,-80,-200,-90,-200,-200,-200,-91,-200,-74,-82,-200,-92,-200,-84,-200,-91,-200,-85,-200,-76,-200,-200,-200
1526443288833,-34,-63,-39,-46,-56,-52,-54,-59,-48,-61,-55,-62,-54,-61,-68,-63,-60,-68,-57,-78,-75,-72,-49,-71,-73,-200,-74,-75,-68,-72,-78,-67,-200,-75,-84,-87,-88,-77,-70,-81,-200,-73,-70,-82,-200,-79,-80,-86,-80,-90,-87,-200,-200,-88,-200,-78,-80,-88,-92,-88,-92,-92,-89,-200,-200,-93,-87,-88,-200,-200,-90,-89,-89,-83,-89,-80,-200,-90,-200,-200,-200,-91,-91,-74,-82,-89,-92,-200,-85,-86,-91,-200,-85,-200,-200,-92,-200,-200
1526443291878,-32,-62,-38,-46,-55,-53,-53,-62,-49,-61,-49,-78,-54,-69,-72,-63,-60,-71,-53,-78,-77,-73,-57,-78,-74,-200,-70,-74,-68,-74,-81,-66,-200,-75,-83,-87,-88,-77,-70,-82,-83,-73,-78,-82,-200,-79,-76,-86,-80,-89,-86,-200,-200,-88,-200,-81,-80,-88,-89,-87,-89,-90,-89,-200,-200,-90,-89,-91,-200,-200,-90,-89,-88,-83,-91,-80,-200,-90,-200,-200,-200,-91,-91,-74,-84,-89,-92,-200,-83,-86,-91,-200,-85,-200,-200,-92,-88,-200
1526443294914,-32,-65,-39,-45,-57,-53,-53,-59,-49,-61,-54,-79,-57,-61,-71,-64,-59,-69,-59,-78,-75,-74,-57,-78,-74,-200,-70,-76,-68,-72,-79,-67,-200,-74,-83,-86,-89,-79,-70,-81,-84,-73,-78,-82,-200,-79,-76,-200,-80,-92,-81,-200,-200,-88,-200,-77,-82,-88,-89,-86,-89,-90,-90,-94,-88,-90,-89,-89,-200,-200,-89,-89,-88,-87,-91,-80,-200,-91,-87,-200,-200,-91,-91,-74,-84,-90,-200,-200,-83,-86,-96,-200,-85,-200,-200,-92,-88,-200
1526443297967,-32,-61,-39,-46,-53,-51,-53,-61,-48,-61,-54,-78,-56,-61,-70,-61,-61,-69,-56,-79,-75,-73,-57,-78,-73,-200,-70,-75,-67,-72,-80,-67,-200,-76,-80,-89,-89,-79,-69,-81,-84,-74,-78,-82,-200,-83,-74,-200,-79,-90,-81,-200,-86,-88,-200,-77,-82,-85,-90,-87,-90,-89,-89,-94,-88,-90,-90,-89,-200,-200,-89,-89,-88,-83,-91,-82,-200,-91,-87,-200,-200,-200,-91,-74,-83,-90,-200,-200,-88,-86,-96,-200,-200,-200,-200,-92,-88,-200
1526443300987,-34,-59,-39,-47,-56,-51,-59,-63,-49,-61,-54,-77,-57,-61,-71,-62,-70,-69,-57,-79,-76,-72,-57,-73,-72,-81,-74,-75,-69,-71,-80,-66,-200,-77,-82,-89,-88,-80,-69,-81,-86,-72,-72,-83,-82,-81,-79,-87,-80,-90,-81,-200,-86,-200,-200,-77,-85,-88,-89,-87,-90,-89,-89,-88,-91,-91,-88,-89,-200,-200,-89,-88,-92,-85,-91,-82,-200,-91,-88,-200,-200,-200,-200,-74,-83,-90,-200,-200,-91,-200,-96,-200,-200,-200,-200,-200,-200,-89
1526443304022,-35,-64,-39,-44,-55,-51,-54,-59,-49,-61,-55,-77,-55,-60,-62,-61,-60,-71,-55,-79,-76,-73,-57,-73,-75,-81,-73,-74,-67,-73,-79,-67,-200,-76,-82,-89,-88,-79,-71,-81,-84,-73,-71,-81,-82,-80,-79,-83,-80,-89,-82,-200,-86,-200,-200,-77,-85,-86,-90,-87,-90,-89,-89,-88,-90,-91,-88,-200,-200,-200,-90,-90,-92,-86,-91,-75,-200,-89,-88,-200,-200,-200,-90,-74,-83,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-89
