,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526462534401,-86,-200,-200,-68,-75,-83,-76,-200,-84,-65,-86,-200
1526462534496,-87,-200,-200,-68,-74,-83,-76,-200,-84,-65,-200,-200
1526462534724,-87,-79,-200,-68,-74,-200,-200,-200,-200,-65,-200,-200
1526462534845,-200,-200,-200,-76,-78,-200,-200,-86,-200,-65,-200,-200
1526462539976,-90,-78,-80,-73,-76,-83,-74,-85,-85,-74,-84,-200
1526462540074,-200,-200,-79,-200,-75,-83,-74,-85,-85,-74,-84,-200
1526462540192,-200,-78,-79,-74,-200,-200,-74,-82,-200,-74,-83,-200
1526462544400,-87,-82,-86,-86,-74,-88,-79,-83,-200,-68,-200,-200
1526462544528,-200,-200,-86,-200,-200,-200,-80,-83,-200,-68,-200,-200
1526462544643,-87,-200,-87,-200,-200,-88,-79,-82,-200,-68,-200,-93
1526462544750,-200,-200,-85,-200,-200,-88,-200,-82,-83,-68,-200,-200
1526462549410,-83,-200,-78,-74,-200,-84,-200,-82,-83,-66,-200,-200
1526462549511,-83,-79,-79,-200,-68,-200,-74,-82,-83,-66,-87,-200
1526462549630,-83,-79,-79,-74,-68,-200,-73,-200,-84,-66,-200,-200
1526462549745,-200,-79,-200,-200,-68,-84,-200,-88,-83,-200,-200,-200
1526462554403,-87,-200,-200,-200,-77,-84,-200,-87,-82,-72,-82,-200
1526462554498,-86,-200,-80,-200,-77,-84,-200,-200,-82,-200,-83,-200
1526462554597,-87,-79,-80,-71,-200,-84,-200,-88,-82,-200,-82,-200
1526462554709,-86,-79,-80,-200,-200,-200,-77,-200,-82,-200,-83,-200
