,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526460149717,-33,-37,-47,-53,-58,-54,-46,-53,-50,-49,-62,-80,-68,-69,-60,-57,-63,-55,-60,-79,-71,-67,-63,-70,-60,-65,-61,-68,-80,-56,-69,-76,-62,-200,-72,-74,-75,-75,-74,-68,-69,-75,-200,-77,-80,-87,-75,-79,-78,-200,-79,-82,-200,-91,-75,-85,-82,-72,-83,-85,-79,-82,-83,-77,-82,-83,-84,-78,-88,-94,-200,-79,-84,-93,-90,-88,-93,-88,-89,-200,-93,-91,-200,-200,-200,-200,-200,-78,-89,-85,-90,-93,-200,-200,-200,-200,-82,-200,-200,-200,-200,-90,-200,-92,-89,-200,-200,-200
1526460152766,-35,-38,-46,-55,-61,-54,-42,-53,-61,-48,-66,-79,-200,-67,-61,-61,-63,-55,-59,-79,-72,-71,-66,-73,-62,-55,-63,-67,-80,-57,-70,-76,-64,-200,-72,-74,-74,-78,-76,-68,-72,-75,-200,-76,-79,-81,-75,-81,-77,-200,-78,-83,-200,-91,-71,-88,-82,-72,-84,-84,-79,-79,-79,-76,-82,-80,-84,-200,-88,-94,-200,-79,-86,-93,-90,-88,-93,-88,-87,-200,-93,-93,-200,-200,-200,-200,-200,-78,-89,-83,-90,-93,-200,-200,-91,-200,-82,-200,-200,-200,-200,-90,-200,-200,-89,-79,-200,-200
1526460155826,-33,-45,-46,-54,-53,-53,-42,-53,-59,-48,-68,-89,-70,-67,-61,-61,-62,-55,-58,-79,-71,-69,-65,-70,-61,-63,-62,-66,-79,-60,-71,-77,-63,-200,-72,-74,-73,-76,-76,-68,-72,-79,-200,-76,-79,-78,-78,-80,-77,-200,-78,-80,-200,-89,-77,-88,-200,-72,-84,-85,-83,-83,-87,-78,-82,-83,-83,-78,-84,-92,-200,-200,-87,-92,-200,-88,-82,-86,-87,-200,-93,-93,-200,-96,-95,-200,-200,-200,-88,-85,-200,-200,-200,-200,-89,-200,-82,-200,-200,-200,-200,-90,-200,-200,-89,-79,-94,-200
1526460158883,-36,-43,-48,-54,-57,-54,-47,-57,-49,-50,-63,-84,-71,-66,-62,-57,-60,-54,-65,-78,-69,-70,-65,-67,-63,-65,-64,-63,-79,-60,-66,-76,-64,-200,-75,-79,-74,-77,-76,-66,-73,-78,-200,-73,-82,-82,-76,-78,-75,-200,-79,-81,-200,-91,-72,-84,-200,-200,-85,-86,-84,-83,-80,-79,-82,-82,-83,-79,-87,-92,-84,-84,-82,-93,-88,-88,-88,-94,-88,-200,-200,-93,-200,-96,-95,-200,-200,-200,-88,-80,-200,-200,-89,-94,-88,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-79,-94,-200
1526460161939,-35,-42,-46,-51,-57,-54,-45,-57,-46,-50,-61,-78,-71,-57,-60,-57,-62,-56,-65,-77,-64,-74,-65,-68,-64,-64,-62,-66,-81,-56,-66,-76,-67,-200,-75,-77,-74,-77,-73,-64,-73,-78,-200,-73,-80,-82,-80,-79,-75,-200,-76,-79,-200,-91,-72,-85,-200,-200,-84,-85,-84,-81,-80,-78,-82,-82,-83,-78,-87,-92,-84,-80,-82,-93,-88,-88,-87,-94,-87,-200,-200,-91,-200,-96,-95,-200,-200,-78,-88,-84,-91,-200,-89,-94,-88,-81,-87,-200,-200,-200,-200,-90,-200,-200,-200,-200,-94,-200
1526460164999,-36,-42,-48,-51,-54,-47,-46,-52,-51,-48,-62,-80,-75,-64,-64,-61,-59,-55,-58,-73,-73,-72,-68,-65,-60,-65,-60,-60,-85,-59,-66,-78,-65,-200,-75,-72,-75,-75,-73,-71,-72,-79,-200,-76,-80,-83,-75,-76,-75,-200,-78,-80,-200,-91,-73,-81,-200,-200,-83,-86,-84,-82,-77,-77,-83,-82,-200,-89,-87,-90,-84,-79,-82,-91,-88,-87,-87,-93,-91,-200,-200,-94,-200,-200,-95,-200,-200,-82,-200,-84,-91,-93,-89,-94,-86,-81,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
1526460168047,-37,-37,-46,-46,-48,-53,-47,-48,-50,-55,-58,-81,-72,-64,-58,-59,-57,-58,-53,-75,-69,-71,-68,-67,-62,-62,-62,-63,-84,-61,-65,-80,-65,-200,-200,-73,-73,-79,-67,-69,-69,-67,-200,-74,-83,-83,-69,-76,-200,-200,-77,-82,-200,-93,-74,-81,-200,-200,-80,-84,-200,-87,-79,-81,-80,-79,-84,-80,-200,-90,-200,-79,-82,-91,-200,-89,-88,-93,-90,-200,-200,-93,-200,-200,-200,-200,-200,-83,-200,-84,-91,-93,-200,-90,-88,-81,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
1526460171100,-39,-45,-52,-57,-50,-49,-43,-47,-57,-55,-59,-81,-75,-65,-52,-62,-57,-58,-57,-75,-74,-70,-73,-63,-62,-64,-61,-64,-83,-60,-65,-79,-66,-200,-200,-81,-75,-76,-73,-70,-72,-77,-83,-78,-83,-86,-69,-77,-200,-200,-75,-78,-200,-91,-69,-80,-200,-200,-81,-83,-200,-83,-80,-85,-80,-80,-87,-80,-200,-89,-200,-79,-84,-91,-200,-89,-88,-92,-89,-200,-89,-95,-200,-200,-200,-200,-200,-83,-200,-84,-86,-94,-200,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
1526460174153,-35,-46,-48,-60,-49,-50,-45,-48,-51,-53,-61,-79,-75,-67,-56,-57,-57,-56,-54,-68,-74,-70,-77,-65,-60,-60,-63,-62,-77,-60,-67,-80,-62,-200,-76,-79,-70,-74,-74,-70,-77,-78,-83,-78,-81,-82,-69,-76,-200,-200,-80,-76,-200,-91,-74,-79,-200,-200,-86,-84,-200,-83,-82,-79,-80,-83,-87,-82,-200,-89,-200,-82,-79,-86,-200,-87,-88,-83,-87,-200,-89,-93,-200,-200,-200,-200,-200,-83,-200,-88,-86,-94,-200,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460177209,-36,-45,-47,-58,-48,-49,-42,-47,-54,-52,-59,-80,-75,-72,-57,-57,-55,-57,-54,-70,-75,-72,-76,-64,-61,-65,-65,-65,-77,-58,-67,-78,-69,-200,-76,-72,-70,-77,-73,-70,-77,-67,-83,-73,-82,-82,-68,-75,-82,-200,-79,-76,-200,-91,-80,-79,-200,-200,-85,-88,-200,-84,-79,-80,-80,-82,-87,-81,-200,-89,-200,-83,-80,-86,-200,-86,-200,-89,-87,-200,-89,-95,-200,-200,-200,-200,-200,-83,-200,-88,-86,-94,-89,-89,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
