,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_08,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_03,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1540969191525,-34,-53,-42,-35,-41,-42,-50,-37,-51,-44,-49,-49,-200,-60,-56,-200,-46,-52,-58,-65,-200,-57,-57,-62,-51,-57,-63,-63,-58,-57,-53,-66,-64,-66,-61,-77,-63,-68,-69,-70,-71,-200,-76,-85,-83,-200,-69,-74,-76,-73,-69,-76,-90,-79,-75,-80,-84,-88,-200,-80,-200,-200,-200,-200,-200,-45,-43,-46,-68,-79,-86,-88,-47,-64,-52,-62,-63,-68,-69,-76,-88,-49,-54,-66,-200,-200,-200
1540969194557,-35,-38,-37,-38,-41,-42,-46,-34,-47,-44,-49,-52,-200,-59,-53,-200,-200,-52,-58,-65,-200,-58,-64,-200,-51,-62,-68,-68,-62,-57,-57,-66,-64,-66,-200,-200,-67,-68,-70,-70,-71,-200,-74,-76,-83,-200,-68,-72,-77,-73,-75,-76,-90,-76,-200,-80,-81,-88,-200,-84,-88,-200,-200,-200,-200,-53,-43,-53,-200,-79,-86,-200,-47,-64,-52,-62,-63,-68,-69,-76,-88,-48,-56,-66,-62,-200,-200
1540969197588,-35,-38,-37,-38,-41,-42,-46,-34,-47,-44,-49,-55,-200,-59,-53,-200,-200,-52,-58,-65,-200,-58,-64,-200,-51,-62,-68,-68,-62,-57,-57,-66,-64,-66,-200,-200,-67,-68,-70,-70,-71,-200,-74,-76,-83,-200,-68,-72,-77,-73,-75,-76,-90,-76,-200,-80,-81,-88,-200,-84,-88,-200,-200,-200,-200,-53,-43,-53,-200,-79,-86,-200,-47,-64,-52,-62,-63,-68,-69,-76,-88,-48,-56,-66,-62,-200,-200
1540969200628,-32,-35,-41,-38,-40,-42,-46,-34,-47,-44,-49,-54,-200,-59,-51,-200,-200,-52,-58,-65,-200,-58,-64,-200,-51,-62,-68,-71,-60,-67,-57,-66,-64,-68,-200,-200,-67,-68,-69,-71,-70,-200,-74,-78,-83,-200,-65,-71,-77,-73,-75,-80,-90,-75,-200,-78,-81,-81,-200,-84,-88,-200,-200,-200,-200,-53,-43,-53,-200,-79,-86,-200,-200,-64,-52,-62,-63,-68,-69,-76,-88,-48,-56,-66,-62,-200,-200
1540969203666,-32,-35,-41,-38,-40,-42,-46,-34,-47,-44,-49,-54,-200,-59,-51,-200,-200,-52,-58,-65,-200,-58,-64,-200,-51,-62,-68,-71,-60,-67,-57,-66,-64,-68,-200,-200,-67,-68,-69,-71,-70,-200,-74,-78,-83,-200,-65,-71,-77,-73,-75,-80,-90,-75,-200,-78,-81,-81,-200,-84,-88,-200,-200,-200,-200,-53,-43,-53,-200,-79,-86,-200,-200,-64,-52,-62,-63,-68,-69,-76,-88,-48,-56,-66,-62,-200,-200
1540969206705,-30,-32,-40,-38,-40,-42,-45,-34,-46,-200,-44,-54,-200,-59,-57,-200,-200,-53,-58,-200,-200,-60,-63,-200,-54,-69,-60,-71,-58,-67,-60,-200,-64,-68,-200,-200,-69,-68,-69,-70,-72,-200,-78,-74,-83,-200,-64,-73,-77,-73,-81,-82,-90,-74,-200,-82,-81,-83,-200,-84,-86,-200,-200,-200,-200,-53,-200,-53,-200,-200,-86,-200,-200,-64,-54,-62,-63,-68,-69,-76,-88,-48,-56,-66,-62,-55,-89
1540969209735,-30,-32,-40,-38,-40,-42,-45,-34,-46,-200,-44,-52,-200,-59,-57,-200,-200,-53,-58,-200,-200,-60,-63,-200,-54,-69,-60,-71,-58,-67,-60,-200,-64,-68,-200,-200,-69,-68,-69,-70,-72,-200,-78,-74,-83,-200,-64,-73,-77,-73,-81,-82,-90,-74,-200,-82,-81,-83,-200,-84,-86,-200,-200,-200,-200,-53,-200,-53,-200,-200,-86,-200,-200,-64,-54,-62,-63,-68,-69,-76,-88,-48,-56,-66,-62,-55,-89
1540969212766,-31,-31,-36,-38,-40,-200,-45,-34,-46,-200,-44,-53,-200,-59,-53,-200,-200,-54,-60,-200,-200,-60,-63,-200,-53,-72,-60,-71,-58,-68,-59,-63,-200,-67,-200,-200,-68,-68,-69,-70,-71,-200,-73,-72,-200,-77,-64,-77,-84,-73,-79,-84,-200,-74,-200,-80,-81,-83,-200,-86,-87,-200,-200,-200,-200,-53,-200,-53,-200,-200,-85,-200,-200,-64,-54,-200,-200,-200,-200,-200,-200,-48,-56,-66,-62,-55,-89
1540969215790,-31,-31,-36,-38,-40,-200,-45,-34,-46,-200,-44,-51,-200,-59,-53,-200,-200,-54,-60,-200,-200,-60,-63,-200,-53,-72,-60,-71,-58,-68,-59,-63,-200,-67,-200,-200,-68,-68,-69,-70,-71,-200,-73,-72,-200,-77,-64,-77,-84,-73,-79,-84,-200,-74,-200,-80,-81,-83,-200,-86,-87,-200,-200,-200,-200,-53,-200,-53,-200,-200,-85,-200,-200,-64,-54,-200,-200,-200,-200,-200,-200,-48,-56,-66,-62,-55,-89
1540969218830,-34,-29,-43,-38,-41,-200,-45,-33,-46,-52,-44,-51,-51,-59,-55,-200,-200,-51,-59,-58,-200,-60,-63,-200,-53,-61,-59,-71,-58,-68,-61,-62,-200,-68,-200,-70,-68,-73,-68,-72,-71,-200,-77,-72,-200,-77,-62,-74,-80,-200,-77,-81,-200,-73,-200,-84,-82,-83,-200,-86,-84,-200,-200,-200,-200,-53,-47,-53,-200,-200,-86,-200,-40,-200,-54,-200,-200,-200,-200,-200,-200,-48,-56,-200,-62,-55,-89
