,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526465790005,-200,-200,-200,-200,-200,-82,-79,-78,-200,-200,-200,-79,-200,-83,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526465790256,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-80,-87,-200,-200,-200,-200,-200,-200
1526465794888,-200,-83,-200,-75,-200,-200,-82,-80,-200,-84,-200,-77,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-200,-200
1526465795065,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-200,-200
1526465795164,-200,-200,-200,-76,-200,-200,-82,-200,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526465795270,-200,-200,-200,-76,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526465799887,-200,-86,-200,-84,-200,-200,-86,-200,-87,-200,-200,-76,-200,-200,-83,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526465799989,-64,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-76,-200,-200,-83,-200,-200,-86,-83,-78,-200,-200,-200,-89,-200,-200,-200
1526465800088,-200,-86,-200,-85,-200,-88,-87,-200,-86,-200,-200,-76,-200,-81,-200,-200,-82,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526465800209,-64,-200,-200,-87,-200,-200,-87,-200,-200,-86,-200,-200,-87,-82,-83,-81,-85,-200,-200,-200,-86,-200,-200,-200,-86,-200,-200
1526465804951,-200,-200,-200,-66,-200,-200,-200,-77,-200,-200,-84,-200,-200,-79,-86,-200,-85,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526465805093,-72,-200,-200,-66,-200,-82,-200,-200,-83,-200,-200,-200,-200,-80,-86,-78,-85,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200
1526465805190,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-200,-200,-87,-80,-86,-200,-85,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526465809902,-78,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-82,-83,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465810009,-200,-200,-200,-65,-200,-77,-200,-200,-200,-200,-82,-200,-200,-200,-200,-79,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526465810131,-79,-84,-200,-200,-200,-77,-200,-75,-200,-200,-82,-85,-200,-200,-200,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465814889,-75,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-84,-200,-90,-84,-200,-200,-200,-200,-200,-200,-98,-200
1526465815097,-200,-200,-88,-77,-89,-200,-200,-200,-84,-200,-200,-75,-200,-200,-200,-82,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526465815235,-83,-200,-200,-78,-200,-200,-200,-200,-84,-200,-85,-200,-200,-200,-87,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-87
1526465819970,-86,-200,-83,-78,-200,-200,-200,-83,-200,-200,-85,-79,-200,-200,-200,-200,-200,-85,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526465820075,-200,-200,-200,-75,-200,-200,-76,-200,-200,-76,-200,-80,-200,-84,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526465820177,-80,-82,-81,-74,-200,-79,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-83
1526465824923,-75,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526465825018,-200,-81,-200,-68,-200,-80,-80,-200,-77,-82,-200,-200,-200,-200,-200,-79,-200,-200,-200,-80,-200,-200,-200,-88,-200,-200,-200
1526465825205,-200,-200,-200,-68,-200,-200,-200,-84,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526465829920,-70,-200,-200,-200,-200,-200,-200,-84,-81,-200,-200,-77,-200,-200,-200,-77,-200,-200,-200,-79,-200,-200,-200,-89,-200,-200,-200
1526465830320,-200,-200,-200,-200,-200,-200,-76,-85,-83,-200,-200,-76,-200,-80,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526465834998,-65,-80,-200,-69,-200,-200,-200,-200,-200,-80,-200,-200,-87,-81,-200,-200,-200,-200,-200,-75,-87,-200,-200,-200,-88,-200,-200
1526465835100,-200,-80,-200,-68,-200,-200,-200,-200,-200,-200,-200,-76,-200,-82,-200,-200,-200,-200,-200,-75,-86,-200,-200,-200,-200,-200,-88
1526465835245,-68,-82,-200,-67,-200,-200,-200,-200,-84,-200,-86,-200,-87,-84,-82,-76,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-87
1526465839903,-200,-200,-200,-67,-200,-200,-200,-74,-200,-200,-200,-79,-200,-200,-200,-80,-200,-88,-200,-200,-200,-200,-200,-84,-200,-85,-200
1526465840080,-200,-85,-200,-66,-88,-200,-83,-73,-200,-200,-86,-79,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526465840228,-200,-200,-200,-67,-200,-200,-200,-72,-200,-84,-200,-79,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
