,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526452518028,-200,-92,-200,-88,-74,-84,-75,-74,-200,-83,-200,-200,-200,-94,-200,-93,-200,-200,-200,-200,-200,-95,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452522390,-200,-200,-200,-96,-200,-81,-200,-200,-200,-73,-84,-200,-200,-90,-200,-200,-200,-200,-82,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452522501,-93,-200,-200,-200,-75,-200,-200,-75,-90,-73,-200,-200,-71,-90,-200,-200,-200,-88,-81,-200,-93,-200,-200,-90,-200,-200,-95,-90,-200,-200,-200,-200,-200,-200,-200
1526452522606,-92,-200,-200,-89,-75,-82,-200,-76,-200,-73,-85,-200,-72,-91,-200,-200,-200,-200,-80,-200,-96,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526452522714,-200,-200,-200,-89,-200,-83,-200,-75,-200,-200,-200,-200,-72,-94,-200,-87,-200,-200,-80,-200,-92,-200,-200,-200,-93,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526452522818,-93,-200,-200,-91,-200,-200,-200,-78,-200,-73,-200,-200,-72,-91,-200,-86,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452522934,-200,-200,-200,-200,-200,-200,-200,-76,-200,-72,-200,-200,-200,-91,-200,-85,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526452523036,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-92,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526452527431,-73,-200,-200,-86,-75,-200,-200,-80,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452527580,-73,-200,-200,-200,-75,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452527695,-72,-200,-200,-86,-200,-200,-200,-200,-200,-76,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452527904,-74,-200,-200,-200,-73,-86,-75,-74,-200,-83,-83,-200,-200,-200,-200,-200,-200,-93,-84,-93,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200
1526452532489,-76,-92,-200,-200,-200,-86,-74,-200,-200,-200,-200,-200,-74,-200,-200,-94,-200,-92,-81,-200,-200,-200,-92,-95,-200,-97,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526452532597,-200,-91,-200,-90,-200,-85,-200,-200,-81,-200,-82,-200,-75,-97,-200,-94,-200,-200,-83,-92,-200,-94,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452532744,-77,-93,-200,-87,-74,-86,-200,-75,-200,-86,-200,-200,-74,-200,-200,-95,-200,-200,-83,-94,-200,-94,-200,-96,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452532869,-200,-200,-200,-89,-74,-86,-200,-75,-82,-200,-200,-200,-75,-200,-200,-200,-200,-200,-82,-200,-200,-95,-200,-200,-200,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526452532961,-200,-91,-200,-200,-74,-86,-200,-74,-81,-85,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452533066,-200,-89,-200,-87,-200,-86,-200,-200,-89,-200,-82,-200,-200,-200,-200,-85,-200,-89,-80,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452537499,-200,-200,-200,-200,-75,-200,-200,-76,-200,-73,-86,-200,-72,-90,-200,-200,-200,-200,-81,-200,-200,-200,-200,-89,-93,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526452537589,-200,-89,-200,-91,-74,-200,-90,-76,-89,-73,-87,-200,-72,-92,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452537692,-200,-200,-200,-90,-75,-81,-200,-76,-91,-73,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-93,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526452537819,-200,-90,-200,-89,-75,-81,-94,-75,-200,-73,-86,-200,-72,-200,-200,-85,-200,-89,-81,-200,-200,-200,-200,-200,-93,-200,-200,-90,-200,-200,-92,-200,-200,-200,-200
1526452537952,-200,-200,-200,-89,-75,-81,-200,-77,-200,-73,-200,-200,-71,-200,-200,-86,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-92,-200,-200,-200,-200
1526452538062,-200,-89,-200,-89,-200,-200,-76,-76,-89,-73,-200,-200,-78,-90,-200,-85,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452542447,-200,-80,-200,-200,-200,-75,-200,-79,-86,-200,-200,-200,-79,-84,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526452542670,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-85,-200,-200,-200,-90,-74,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526452542785,-200,-200,-200,-200,-75,-75,-200,-80,-200,-200,-200,-200,-82,-85,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-97,-93,-200,-200,-200,-200,-200,-95,-200,-89,-200
1526452542949,-200,-92,-200,-200,-75,-200,-200,-79,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526452547395,-200,-200,-200,-200,-200,-86,-200,-75,-81,-200,-200,-200,-74,-200,-200,-91,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-94,-200,-200
1526452547504,-200,-200,-200,-200,-74,-200,-200,-73,-81,-200,-82,-200,-75,-94,-200,-92,-200,-93,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452547656,-77,-200,-200,-87,-74,-200,-200,-75,-82,-83,-200,-200,-75,-200,-200,-200,-200,-200,-200,-93,-86,-96,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452547790,-77,-92,-200,-88,-74,-200,-75,-200,-200,-83,-82,-200,-75,-200,-200,-200,-200,-93,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526452547910,-200,-200,-200,-88,-73,-200,-200,-75,-82,-200,-83,-200,-75,-200,-200,-200,-200,-93,-82,-93,-200,-200,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452548013,-200,-200,-200,-200,-74,-200,-75,-200,-82,-200,-82,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452552389,-200,-200,-200,-200,-74,-200,-200,-76,-200,-73,-200,-200,-72,-200,-200,-85,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452552510,-80,-200,-200,-89,-73,-80,-200,-200,-92,-73,-86,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452552603,-93,-200,-200,-200,-74,-200,-200,-76,-200,-73,-200,-200,-200,-200,-200,-86,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452552715,-200,-88,-200,-200,-75,-80,-200,-76,-200,-73,-200,-200,-71,-200,-200,-88,-200,-200,-79,-200,-95,-200,-200,-200,-200,-200,-200,-89,-200,-200,-94,-200,-200,-200,-200
1526452552836,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-80,-200,-95,-94,-200,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452552950,-200,-200,-200,-89,-74,-81,-200,-76,-200,-74,-87,-200,-71,-91,-200,-200,-200,-88,-81,-200,-200,-200,-200,-89,-200,-200,-200,-200,-94,-200,-200,-89,-200,-200,-200
1526452553056,-200,-91,-200,-200,-85,-81,-200,-79,-86,-200,-200,-200,-77,-200,-200,-88,-200,-200,-73,-200,-97,-200,-200,-90,-92,-200,-200,-200,-200,-200,-97,-200,-92,-200,-89
1526452557522,-200,-200,-200,-83,-200,-200,-200,-200,-86,-200,-200,-200,-72,-83,-200,-200,-200,-200,-72,-200,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452557633,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526452557761,-70,-200,-200,-200,-200,-76,-77,-200,-200,-80,-84,-93,-70,-200,-200,-200,-200,-200,-74,-93,-200,-200,-200,-91,-96,-91,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526452557913,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452558033,-200,-200,-200,-88,-200,-200,-73,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-87,-200,-100,-89,-200,-94,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526452562428,-78,-200,-200,-85,-77,-200,-74,-71,-200,-200,-200,-200,-200,-100,-200,-89,-200,-91,-200,-96,-86,-200,-97,-96,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526452562552,-200,-200,-200,-89,-200,-200,-74,-71,-87,-200,-200,-200,-87,-200,-200,-200,-200,-91,-200,-95,-200,-200,-97,-97,-200,-200,-200,-93,-200,-200,-200,-200,-96,-200,-200
1526452562663,-77,-200,-200,-200,-200,-200,-200,-200,-87,-85,-200,-200,-87,-200,-200,-89,-95,-92,-200,-94,-86,-200,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200
1526452562786,-200,-200,-200,-89,-200,-200,-200,-71,-200,-85,-200,-200,-86,-98,-200,-89,-200,-91,-200,-200,-200,-200,-94,-200,-200,-94,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526452562889,-200,-200,-200,-88,-200,-92,-74,-70,-85,-200,-85,-200,-89,-200,-200,-88,-94,-92,-200,-95,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526452562994,-78,-200,-200,-88,-200,-91,-200,-71,-200,-85,-84,-200,-87,-200,-200,-200,-200,-200,-89,-95,-87,-200,-97,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
