,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526451312968,-200,-200,-200,-200,-200,-65,-200,-74,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526451313084,-71,-200,-89,-91,-200,-66,-200,-200,-200,-83,-87,-91,-200,-200,-200,-200,-200,-200,-94
1526451313210,-71,-200,-91,-86,-200,-67,-89,-80,-200,-200,-90,-90,-200,-89,-94,-98,-200,-200,-200
1526451317714,-200,-200,-200,-86,-200,-67,-200,-81,-200,-200,-200,-200,-200,-200,-93,-200,-87,-200,-200
1526451317834,-69,-200,-200,-86,-88,-200,-200,-200,-200,-200,-97,-200,-200,-200,-93,-200,-200,-200,-200
1526451317939,-69,-94,-200,-86,-200,-67,-200,-200,-200,-80,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526451318070,-70,-200,-200,-86,-87,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451318208,-68,-91,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451322617,-77,-90,-90,-200,-200,-200,-96,-83,-200,-86,-85,-96,-94,-200,-200,-200,-200,-200,-200
1526451322743,-78,-91,-200,-93,-92,-68,-200,-83,-73,-87,-86,-200,-94,-200,-200,-200,-200,-200,-200
1526451322812,-79,-200,-91,-200,-93,-68,-200,-200,-71,-87,-86,-97,-96,-200,-200,-200,-99,-200,-200
1526451322923,-200,-200,-89,-94,-200,-68,-200,-84,-71,-87,-85,-95,-95,-101,-200,-97,-200,-200,-200
1526451323060,-200,-91,-200,-200,-94,-68,-200,-82,-72,-87,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526451323169,-77,-92,-90,-200,-93,-68,-200,-83,-71,-86,-86,-94,-200,-200,-200,-97,-200,-200,-200
1526451323272,-200,-200,-200,-200,-91,-68,-89,-75,-76,-82,-200,-96,-200,-90,-200,-200,-200,-200,-200
1526451327655,-70,-93,-200,-200,-91,-64,-200,-75,-200,-83,-200,-200,-89,-200,-200,-200,-200,-200,-96
1526451327752,-200,-92,-200,-92,-200,-64,-200,-200,-200,-84,-88,-93,-200,-91,-200,-200,-200,-200,-200
1526451327865,-200,-200,-89,-200,-90,-65,-200,-200,-77,-200,-200,-93,-90,-91,-200,-200,-200,-200,-200
1526451327954,-70,-200,-200,-200,-94,-64,-200,-76,-80,-85,-88,-89,-91,-200,-200,-200,-200,-200,-200
1526451328087,-200,-200,-200,-91,-200,-65,-200,-75,-77,-200,-200,-89,-91,-200,-200,-200,-200,-200,-200
1526451328172,-200,-200,-200,-91,-200,-200,-90,-200,-76,-200,-200,-200,-90,-91,-91,-200,-200,-200,-200
1526451332602,-200,-92,-200,-200,-87,-65,-200,-81,-68,-200,-200,-200,-200,-89,-92,-200,-200,-200,-200
1526451332721,-69,-200,-92,-86,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526451332911,-68,-200,-200,-200,-200,-200,-200,-200,-65,-80,-200,-200,-200,-89,-200,-200,-88,-200,-200
1526451333091,-70,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451337612,-77,-200,-200,-200,-200,-67,-200,-84,-200,-200,-87,-97,-200,-200,-200,-97,-200,-200,-200
1526451337708,-77,-200,-200,-200,-94,-200,-200,-200,-73,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526451337816,-76,-92,-200,-200,-95,-68,-200,-200,-73,-200,-86,-200,-95,-200,-200,-200,-200,-200,-200
1526451337930,-77,-200,-91,-93,-200,-68,-200,-200,-74,-87,-200,-97,-95,-200,-200,-100,-200,-200,-200
1526451338077,-78,-200,-89,-93,-93,-200,-200,-200,-200,-87,-86,-96,-94,-200,-200,-99,-200,-200,-200
1526451338224,-200,-200,-89,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
