,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451098146,-84,-200,-94,-200,-85,-72,-94,-96,-200,-67,-200,-200,-83,-98,-200,-200,-200,-200,-200,-200
1526451102686,-200,-200,-200,-200,-88,-72,-93,-95,-200,-82,-200,-95,-82,-200,-200,-200,-200,-200,-200,-200
1526451102799,-77,-95,-94,-200,-88,-71,-200,-96,-94,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526451102904,-200,-93,-93,-200,-87,-72,-93,-95,-95,-92,-200,-200,-82,-98,-200,-200,-200,-99,-200,-200
1526451103011,-76,-200,-200,-200,-88,-71,-200,-200,-92,-85,-200,-102,-82,-200,-200,-200,-200,-200,-200,-200
1526451103110,-200,-94,-95,-200,-88,-72,-94,-200,-92,-89,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526451103223,-80,-200,-200,-200,-91,-200,-200,-200,-92,-88,-200,-76,-82,-200,-200,-200,-200,-200,-200,-200
1526451107676,-70,-200,-89,-200,-83,-73,-200,-200,-200,-69,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526451107782,-200,-90,-91,-200,-84,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451107887,-200,-88,-200,-200,-84,-72,-200,-91,-200,-69,-85,-77,-79,-200,-200,-200,-200,-200,-200,-200
1526451108047,-200,-88,-91,-200,-84,-71,-200,-92,-200,-69,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451108155,-200,-87,-200,-200,-84,-72,-200,-200,-72,-70,-86,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526451112627,-73,-200,-200,-200,-200,-200,-200,-92,-84,-67,-200,-200,-78,-200,-200,-93,-200,-91,-200,-200
1526451112729,-72,-200,-200,-200,-200,-76,-200,-200,-84,-67,-87,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526451112837,-73,-86,-200,-200,-200,-200,-200,-92,-200,-65,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526451112934,-72,-200,-200,-200,-83,-74,-200,-200,-85,-67,-200,-89,-200,-200,-200,-200,-200,-200,-200,-93
1526451113055,-200,-200,-200,-200,-200,-74,-200,-94,-84,-67,-200,-200,-78,-200,-200,-200,-200,-200,-200,-95
1526451113171,-72,-200,-200,-99,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-92,-200,-200,-200,-95
1526451117624,-81,-200,-200,-200,-88,-200,-93,-93,-88,-200,-200,-101,-82,-200,-200,-200,-200,-200,-200,-200
1526451117725,-79,-200,-200,-102,-200,-72,-92,-95,-89,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526451117833,-80,-200,-95,-200,-88,-200,-95,-200,-88,-84,-200,-200,-82,-97,-200,-200,-200,-200,-200,-200
1526451117936,-80,-200,-93,-96,-200,-200,-94,-200,-200,-78,-200,-200,-82,-96,-200,-200,-200,-200,-200,-200
1526451118045,-78,-200,-200,-200,-89,-200,-93,-200,-200,-81,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526451118154,-78,-200,-200,-200,-89,-200,-94,-95,-89,-78,-200,-200,-83,-99,-200,-200,-200,-200,-200,-200
1526451118263,-80,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526451122663,-69,-87,-200,-200,-82,-70,-200,-200,-72,-68,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526451122772,-200,-200,-200,-200,-82,-74,-200,-94,-71,-68,-85,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526451122886,-69,-200,-200,-200,-82,-73,-200,-200,-73,-68,-200,-76,-78,-200,-200,-200,-200,-200,-200,-200
1526451123046,-70,-89,-200,-93,-82,-72,-200,-200,-200,-68,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526451123177,-200,-87,-200,-200,-200,-72,-200,-200,-200,-66,-200,-200,-200,-94,-200,-200,-200,-200,-200,-94
1526451127709,-73,-86,-200,-200,-84,-74,-200,-200,-200,-200,-87,-84,-77,-200,-200,-200,-200,-200,-200,-200
1526451127800,-72,-87,-200,-200,-200,-74,-200,-92,-82,-66,-200,-200,-78,-200,-200,-200,-200,-200,-200,-95
1526451127930,-73,-87,-200,-200,-84,-200,-200,-94,-82,-66,-87,-85,-200,-200,-200,-200,-94,-200,-200,-200
1526451128116,-74,-200,-93,-200,-84,-200,-200,-200,-82,-200,-87,-200,-83,-200,-200,-200,-200,-91,-200,-200
1526451132647,-80,-200,-93,-100,-86,-200,-94,-93,-90,-200,-200,-99,-82,-97,-200,-200,-200,-200,-200,-200
1526451132815,-200,-200,-200,-200,-200,-200,-92,-98,-85,-200,-200,-200,-80,-200,-200,-200,-200,-95,-200,-200
1526451132908,-80,-200,-95,-200,-87,-200,-94,-94,-88,-80,-200,-97,-83,-200,-200,-200,-200,-94,-200,-200
1526451133052,-77,-200,-200,-200,-200,-74,-200,-97,-91,-80,-200,-92,-82,-98,-200,-200,-200,-200,-200,-200
1526451133207,-200,-95,-93,-200,-88,-200,-94,-94,-200,-200,-200,-96,-82,-200,-200,-200,-93,-200,-200,-200
1526451137651,-71,-200,-200,-200,-84,-71,-200,-200,-73,-67,-200,-75,-200,-200,-200,-200,-90,-200,-200,-200
1526451137735,-200,-200,-91,-200,-83,-71,-200,-200,-72,-67,-91,-200,-78,-200,-95,-200,-200,-200,-200,-200
1526451137860,-71,-88,-90,-200,-83,-71,-200,-200,-72,-67,-89,-200,-78,-200,-94,-200,-92,-200,-200,-200
1526451137964,-72,-89,-200,-88,-200,-71,-200,-93,-200,-67,-90,-75,-79,-200,-200,-200,-200,-200,-200,-200
1526451138074,-200,-200,-200,-200,-83,-71,-200,-92,-200,-68,-90,-76,-78,-200,-93,-200,-200,-200,-200,-200
1526451138186,-71,-89,-200,-200,-200,-200,-200,-200,-200,-68,-89,-200,-78,-200,-200,-200,-200,-200,-200,-200
