,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451027924,-84,-200,-200,-90,-76,-200,-200,-200,-86,-96,-200,-200,-99,-97,-200,-92,-94,-200,-200,-200,-200,-200,-200
1526451028030,-84,-200,-200,-90,-76,-97,-200,-200,-200,-200,-71,-200,-97,-200,-200,-92,-93,-200,-200,-200,-200,-200,-200
1526451028143,-84,-200,-82,-90,-77,-200,-200,-200,-200,-95,-71,-200,-200,-96,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526451032616,-83,-73,-83,-200,-83,-200,-200,-200,-85,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451032720,-82,-76,-86,-200,-80,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451032822,-200,-76,-85,-80,-200,-200,-200,-200,-200,-200,-62,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451032925,-83,-75,-200,-200,-81,-200,-200,-200,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451033025,-83,-76,-84,-200,-200,-93,-85,-93,-82,-200,-62,-200,-90,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526451033176,-200,-200,-200,-81,-200,-91,-85,-200,-72,-200,-62,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451037688,-78,-71,-80,-200,-69,-89,-83,-200,-200,-200,-63,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526451037816,-78,-71,-200,-79,-69,-200,-83,-200,-200,-200,-61,-200,-200,-200,-200,-93,-200,-200,-200,-200,-95,-200,-200
1526451037957,-78,-71,-200,-79,-69,-89,-83,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200
1526451038162,-200,-92,-200,-200,-69,-200,-87,-200,-85,-96,-200,-200,-97,-200,-200,-91,-94,-200,-200,-200,-200,-200,-200
1526451042702,-85,-200,-82,-91,-77,-200,-85,-200,-85,-200,-200,-99,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451042789,-200,-85,-82,-89,-79,-200,-200,-200,-86,-200,-200,-200,-96,-96,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526451042896,-86,-88,-200,-90,-78,-200,-87,-200,-200,-200,-71,-200,-200,-200,-200,-91,-92,-200,-200,-200,-200,-200,-200
1526451043000,-85,-88,-83,-89,-76,-200,-87,-200,-85,-200,-71,-200,-200,-96,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526451043116,-85,-90,-82,-90,-73,-200,-87,-200,-86,-96,-70,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451043248,-200,-91,-200,-80,-83,-200,-200,-200,-200,-200,-200,-98,-90,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200
1526451047652,-200,-73,-87,-79,-200,-200,-86,-200,-76,-200,-62,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451047760,-82,-71,-85,-200,-79,-89,-85,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451047865,-200,-71,-200,-200,-200,-200,-200,-200,-81,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200
1526451047986,-81,-71,-86,-81,-87,-200,-87,-91,-81,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451048096,-85,-71,-85,-80,-80,-200,-86,-92,-79,-200,-200,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451048230,-82,-200,-200,-80,-200,-87,-200,-200,-72,-200,-60,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451052845,-77,-200,-200,-80,-200,-88,-84,-200,-73,-200,-60,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200
1526451052992,-76,-200,-79,-78,-200,-200,-84,-94,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526451053191,-83,-78,-81,-200,-73,-200,-88,-200,-74,-200,-69,-94,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526451057827,-86,-83,-81,-93,-76,-200,-88,-200,-200,-200,-200,-200,-96,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526451057934,-83,-82,-81,-90,-75,-95,-90,-200,-200,-95,-70,-96,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526451058035,-200,-84,-80,-200,-200,-200,-91,-200,-87,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526451058150,-82,-200,-81,-200,-200,-200,-89,-200,-86,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451062619,-200,-200,-84,-80,-71,-200,-83,-200,-79,-200,-200,-200,-200,-200,-200,-92,-94,-200,-98,-200,-200,-200,-200
1526451062714,-200,-89,-200,-79,-71,-200,-83,-200,-81,-200,-66,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526451062826,-200,-86,-84,-200,-69,-200,-84,-89,-200,-90,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451062928,-80,-87,-85,-80,-200,-200,-83,-92,-78,-92,-67,-90,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526451063046,-200,-200,-82,-80,-200,-90,-84,-93,-200,-200,-66,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451063212,-83,-200,-200,-82,-72,-200,-83,-200,-78,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451067645,-200,-76,-76,-77,-67,-200,-76,-200,-71,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451067755,-80,-76,-200,-200,-70,-200,-76,-200,-73,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451067856,-200,-200,-200,-76,-68,-200,-200,-89,-71,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
