,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro
1526452229878,-29,-45,-49,-70,-51,-52,-56,-53,-51,-57,-56,-57,-55,-59,-60,-83,-200,-200,-59,-60,-200,-58,-61,-67,-68,-73,-75,-200,-91,-77,-79,-78,-78,-88,-200,-200,-200,-78,-84,-200,-74,-200,-84,-200,-200,-200,-72,-70,-75,-200,-200,-200,-87,-89,-200,-76,-200,-200,-69,-78,-200,-200,-81,-200,-79,-200,-74,-200,-200,-200,-200,-200,-69,-200,-86,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452232885,-30,-46,-49,-51,-52,-51,-64,-59,-76,-57,-57,-54,-55,-59,-60,-66,-200,-82,-58,-56,-61,-62,-85,-67,-67,-70,-76,-73,-200,-84,-79,-77,-77,-200,-200,-200,-200,-200,-83,-84,-74,-83,-83,-200,-200,-73,-70,-70,-200,-200,-200,-200,-200,-200,-66,-76,-200,-200,-70,-79,-82,-200,-200,-200,-79,-200,-200,-89,-200,-200,-79,-200,-69,-200,-200,-200,-200,-79,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452235891,-29,-45,-49,-51,-53,-51,-66,-54,-51,-57,-83,-57,-55,-59,-59,-66,-69,-82,-62,-61,-61,-62,-65,-67,-65,-71,-75,-73,-200,-84,-79,-76,-78,-79,-200,-200,-200,-200,-84,-84,-74,-83,-84,-200,-200,-73,-70,-200,-77,-200,-200,-200,-200,-200,-66,-75,-200,-200,-75,-79,-82,-200,-200,-78,-83,-200,-200,-89,-200,-200,-80,-200,-69,-200,-200,-200,-200,-79,-91,-78,-81,-87,-90,-200,-200,-200,-200,-200,-200,-200
1526452238896,-31,-45,-49,-49,-56,-52,-79,-73,-51,-57,-60,-58,-51,-59,-62,-65,-69,-80,-61,-61,-61,-58,-79,-67,-67,-71,-88,-72,-88,-77,-79,-78,-78,-89,-200,-200,-90,-83,-84,-84,-74,-87,-84,-200,-200,-73,-73,-73,-77,-200,-200,-81,-87,-200,-66,-75,-77,-200,-75,-79,-82,-200,-200,-78,-82,-200,-200,-89,-200,-200,-80,-200,-69,-200,-200,-200,-200,-79,-91,-78,-81,-87,-90,-200,-200,-200,-200,-200,-200,-200
1526452241900,-29,-35,-47,-58,-52,-51,-58,-54,-51,-57,-57,-55,-51,-59,-60,-73,-200,-80,-63,-62,-61,-58,-65,-67,-67,-72,-88,-72,-79,-77,-78,-77,-78,-76,-200,-80,-84,-83,-84,-85,-200,-87,-57,-200,-200,-73,-72,-72,-200,-200,-200,-81,-87,-200,-200,-75,-77,-200,-73,-200,-200,-200,-200,-200,-82,-200,-200,-90,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452244904,-29,-46,-50,-51,-52,-50,-64,-58,-67,-57,-56,-55,-55,-59,-59,-65,-200,-80,-63,-57,-61,-62,-65,-67,-67,-73,-77,-72,-79,-77,-79,-57,-78,-77,-200,-80,-84,-83,-83,-87,-74,-87,-84,-200,-200,-72,-72,-72,-200,-90,-200,-85,-84,-200,-71,-75,-77,-200,-73,-200,-81,-200,-200,-200,-82,-200,-200,-90,-200,-90,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526452247928,-32,-46,-49,-52,-67,-51,-58,-54,-52,-57,-57,-56,-52,-60,-59,-73,-200,-200,-62,-61,-61,-58,-91,-67,-66,-73,-77,-72,-79,-200,-57,-77,-78,-77,-200,-81,-85,-200,-83,-87,-72,-84,-84,-88,-200,-73,-72,-73,-200,-90,-200,-84,-83,-200,-71,-77,-200,-65,-200,-77,-81,-87,-200,-200,-81,-200,-200,-200,-79,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526452250934,-32,-44,-49,-51,-52,-51,-62,-59,-53,-57,-57,-56,-55,-59,-60,-72,-70,-200,-61,-58,-60,-59,-62,-70,-69,-71,-200,-72,-200,-77,-78,-77,-75,-77,-200,-82,-85,-200,-84,-200,-72,-84,-82,-88,-200,-73,-70,-73,-75,-200,-200,-84,-83,-200,-64,-72,-200,-65,-67,-78,-200,-87,-200,-78,-78,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-79,-200,-200,-200,-200
1526452253939,-29,-46,-49,-47,-53,-48,-58,-73,-65,-57,-59,-57,-54,-59,-68,-66,-68,-81,-62,-58,-60,-59,-79,-70,-69,-71,-200,-72,-200,-78,-57,-77,-77,-77,-200,-82,-83,-80,-84,-200,-72,-84,-85,-88,-200,-73,-70,-73,-76,-200,-200,-84,-83,-200,-64,-72,-200,-65,-67,-78,-82,-87,-84,-78,-78,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-83,-80,-89,-200,-200,-200
1526452256946,-33,-45,-49,-51,-52,-50,-62,-58,-51,-57,-56,-59,-55,-59,-58,-72,-68,-81,-60,-57,-60,-58,-79,-70,-66,-63,-200,-200,-200,-78,-79,-77,-77,-77,-200,-200,-85,-80,-83,-200,-200,-83,-85,-200,-200,-200,-200,-73,-76,-200,-85,-200,-200,-200,-200,-77,-200,-200,-200,-79,-82,-200,-83,-75,-78,-200,-200,-200,-85,-200,-200,-200,-68,-200,-200,-89,-200,-200,-200,-84,-200,-200,-200,-200,-200,-80,-89,-90,-200,-200
1526452259950,-29,-44,-50,-51,-54,-47,-62,-58,-53,-58,-57,-59,-54,-59,-58,-72,-68,-85,-61,-57,-60,-58,-66,-68,-68,-70,-200,-200,-200,-78,-79,-77,-76,-77,-200,-200,-85,-80,-83,-200,-71,-83,-86,-200,-200,-200,-72,-71,-76,-200,-85,-200,-200,-200,-200,-77,-200,-200,-75,-79,-82,-200,-83,-77,-78,-200,-75,-200,-85,-200,-200,-200,-68,-200,-200,-76,-200,-200,-90,-84,-200,-86,-200,-200,-200,-80,-89,-90,-79,-200
1526452262954,-30,-43,-51,-48,-52,-47,-64,-55,-200,-57,-56,-54,-56,-59,-57,-200,-200,-200,-62,-70,-200,-63,-69,-200,-62,-72,-74,-72,-74,-200,-57,-77,-58,-76,-200,-82,-200,-200,-58,-200,-75,-200,-84,-200,-200,-200,-200,-72,-200,-80,-200,-200,-84,-200,-66,-200,-200,-81,-75,-200,-200,-200,-79,-79,-76,-85,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-77,-200,-200,-200,-84
