,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526452158621,-43,-31,-39,-64,-62,-47,-68,-53,-51,-47,-70,-52,-73,-67,-76,-58,-59,-56,-86,-59,-68,-74,-86,-53,-90,-200,-66,-72,-71,-71,-70,-80,-75,-72,-71,-81,-200,-200,-90,-200,-87,-200,-87,-82,-200,-79,-71,-84,-84,-72,-73,-200,-200,-200,-200,-200,-200,-200,-62,-70,-86,-200,-200,-200,-200,-200,-90,-64,-70,-90,-200,-85,-86,-90,-200,-200,-200,-200,-93,-200,-200,-73,-200,-200,-81,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452161628,-45,-31,-39,-50,-48,-47,-51,-52,-51,-46,-54,-51,-59,-59,-76,-58,-60,-56,-86,-75,-200,-74,-86,-52,-90,-68,-65,-84,-69,-70,-71,-63,-75,-72,-71,-81,-77,-200,-90,-200,-87,-79,-87,-63,-75,-79,-78,-69,-84,-72,-73,-87,-200,-200,-200,-200,-200,-200,-62,-70,-70,-200,-200,-200,-200,-200,-90,-71,-200,-83,-200,-85,-86,-81,-200,-200,-200,-200,-93,-200,-200,-73,-200,-200,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452164693,-46,-32,-39,-47,-72,-47,-67,-53,-50,-47,-63,-48,-56,-59,-76,-60,-60,-55,-86,-67,-68,-61,-73,-53,-90,-67,-65,-84,-66,-71,-71,-71,-75,-72,-70,-81,-77,-76,-90,-75,-87,-79,-87,-63,-75,-66,-78,-68,-84,-73,-66,-87,-200,-200,-200,-200,-200,-200,-61,-70,-69,-200,-200,-200,-200,-200,-90,-70,-200,-83,-200,-85,-86,-81,-200,-200,-200,-200,-93,-200,-82,-72,-200,-200,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452167747,-39,-32,-38,-51,-48,-47,-67,-50,-50,-45,-63,-51,-58,-58,-62,-60,-59,-55,-200,-64,-68,-58,-73,-52,-200,-67,-63,-71,-72,-71,-200,-68,-75,-72,-74,-200,-200,-76,-200,-75,-200,-79,-200,-69,-200,-66,-79,-68,-200,-73,-73,-200,-200,-200,-200,-200,-200,-200,-61,-200,-69,-76,-200,-200,-200,-200,-79,-70,-200,-84,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-82,-72,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452170780,-41,-31,-39,-49,-48,-47,-66,-53,-51,-46,-200,-48,-63,-58,-62,-59,-59,-62,-200,-67,-69,-62,-200,-53,-200,-66,-63,-72,-66,-72,-74,-68,-74,-72,-74,-200,-200,-200,-200,-200,-85,-200,-200,-80,-75,-66,-80,-68,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-71,-200,-77,-200,-200,-83,-200,-85,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-85,-83,-85,-88,-88,-200,-200,-200,-200,-200,-200
1526452173833,-43,-32,-39,-50,-49,-48,-48,-57,-50,-46,-78,-62,-58,-56,-62,-59,-59,-65,-87,-60,-69,-76,-200,-53,-82,-68,-79,-72,-72,-72,-85,-68,-72,-72,-73,-200,-89,-200,-200,-200,-85,-78,-200,-82,-75,-200,-81,-68,-86,-200,-74,-200,-200,-200,-200,-200,-200,-200,-59,-58,-75,-200,-200,-200,-71,-200,-78,-200,-200,-83,-200,-200,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-91,-83,-85,-88,-88,-87,-89,-91,-200,-200,-200
1526452176894,-45,-32,-39,-49,-49,-47,-69,-76,-50,-46,-78,-49,-60,-50,-200,-60,-59,-64,-87,-56,-68,-76,-200,-53,-82,-67,-64,-60,-72,-71,-85,-66,-75,-200,-74,-70,-77,-200,-71,-200,-200,-78,-200,-82,-77,-200,-82,-72,-86,-200,-72,-200,-200,-200,-200,-200,-200,-200,-61,-57,-69,-76,-200,-200,-200,-72,-78,-65,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-91,-200,-91,-200,-200,-200,-200,-87,-89,-91,-84,-200,-200
1526452179947,-45,-38,-39,-49,-49,-47,-68,-52,-50,-47,-78,-45,-58,-57,-200,-57,-59,-61,-87,-61,-68,-58,-72,-53,-82,-68,-64,-72,-73,-72,-85,-71,-76,-73,-74,-70,-77,-200,-71,-200,-200,-78,-200,-66,-77,-200,-82,-72,-86,-74,-73,-200,-200,-200,-200,-200,-200,-200,-58,-57,-69,-76,-200,-200,-77,-72,-82,-65,-71,-82,-200,-86,-200,-80,-200,-200,-200,-200,-82,-200,-200,-74,-200,-200,-200,-91,-200,-84,-200,-200,-200,-200,-87,-84,-91,-84,-200,-200
1526452183005,-36,-31,-39,-47,-50,-47,-68,-54,-49,-47,-62,-46,-77,-56,-61,-57,-62,-57,-200,-61,-68,-58,-72,-53,-200,-61,-64,-72,-71,-72,-72,-74,-77,-73,-200,-70,-200,-75,-200,-200,-200,-78,-76,-66,-77,-67,-82,-67,-78,-74,-72,-200,-200,-200,-200,-200,-200,-200,-58,-62,-72,-200,-200,-200,-77,-200,-82,-65,-71,-200,-200,-86,-200,-80,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526452186056,-40,-32,-39,-49,-47,-47,-68,-59,-50,-46,-62,-46,-58,-56,-60,-60,-64,-63,-75,-61,-72,-58,-200,-53,-75,-61,-65,-70,-48,-71,-73,-72,-76,-72,-200,-200,-200,-75,-200,-200,-200,-78,-76,-71,-77,-69,-83,-68,-78,-74,-74,-200,-200,-200,-200,-87,-200,-200,-62,-62,-72,-76,-200,-88,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-91
