,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526465124116,-41,-43,-45,-64,-58,-62,-61,-71,-59,-70,-67,-64,-66,-73,-80,-71,-71,-78,-69,-68,-68,-75,-62,-67,-200,-86,-63,-80,-84,-200,-200,-78,-79,-200,-81,-200,-82,-200,-91,-87,-85,-200,-200,-200,-67,-81,-200,-75,-78,-200,-91,-89,-79,-88,-200,-200,-200,-200,-200,-200
1526465127165,-41,-43,-45,-64,-58,-62,-61,-71,-59,-70,-67,-64,-66,-73,-80,-71,-71,-78,-69,-68,-68,-75,-62,-67,-200,-86,-63,-80,-84,-200,-200,-78,-79,-200,-81,-200,-82,-200,-91,-87,-85,-200,-200,-200,-67,-81,-200,-75,-78,-200,-91,-89,-79,-88,-200,-200,-200,-200,-200,-200
1526465130211,-45,-57,-46,-65,-54,-58,-65,-68,-58,-70,-64,-64,-66,-71,-72,-66,-63,-72,-69,-74,-75,-74,-66,-72,-200,-83,-68,-71,-200,-82,-81,-85,-79,-200,-76,-84,-77,-87,-200,-90,-85,-200,-200,-200,-69,-81,-200,-77,-82,-200,-91,-200,-73,-200,-89,-200,-200,-200,-200,-200
1526465133266,-43,-54,-47,-65,-50,-53,-66,-69,-57,-70,-67,-63,-66,-71,-70,-65,-61,-71,-69,-69,-75,-74,-66,-72,-200,-83,-68,-72,-200,-82,-81,-83,-90,-200,-76,-84,-77,-87,-200,-90,-85,-88,-200,-200,-69,-81,-200,-77,-82,-200,-91,-200,-73,-90,-89,-200,-200,-200,-200,-200
1526465136300,-43,-54,-47,-65,-50,-53,-66,-69,-57,-70,-67,-63,-66,-71,-70,-65,-61,-71,-69,-69,-75,-74,-66,-72,-200,-83,-68,-72,-200,-82,-81,-83,-90,-200,-76,-84,-77,-87,-200,-90,-85,-88,-200,-200,-69,-81,-200,-77,-82,-200,-91,-200,-73,-90,-89,-200,-200,-200,-200,-200
1526465139346,-43,-54,-47,-65,-50,-53,-66,-69,-57,-70,-67,-63,-66,-71,-70,-65,-61,-71,-69,-69,-75,-74,-66,-72,-200,-83,-68,-72,-200,-82,-81,-83,-90,-200,-76,-84,-77,-87,-200,-90,-85,-88,-200,-200,-69,-81,-200,-77,-82,-200,-91,-200,-73,-90,-89,-200,-200,-200,-200,-200
1526465142383,-45,-49,-44,-64,-51,-55,-68,-69,-54,-68,-67,-61,-74,-75,-75,-67,-66,-71,-68,-69,-74,-200,-69,-74,-90,-82,-69,-82,-200,-85,-81,-88,-90,-87,-77,-200,-81,-200,-200,-200,-78,-88,-200,-200,-74,-85,-84,-71,-87,-200,-200,-200,-200,-90,-200,-82,-87,-91,-200,-200
1526465145416,-40,-51,-41,-57,-54,-58,-70,-66,-54,-68,-70,-61,-75,-74,-76,-77,-67,-71,-73,-70,-63,-74,-70,-74,-90,-82,-65,-79,-200,-88,-74,-88,-90,-87,-74,-200,-81,-200,-200,-200,-77,-88,-200,-200,-76,-85,-84,-71,-87,-200,-200,-200,-200,-90,-200,-82,-87,-91,-78,-200
1526465148460,-40,-51,-41,-57,-54,-58,-70,-66,-54,-68,-70,-61,-75,-74,-76,-77,-67,-71,-73,-70,-63,-74,-70,-74,-90,-82,-65,-79,-200,-88,-74,-88,-90,-87,-74,-200,-81,-200,-200,-200,-77,-88,-200,-200,-76,-85,-84,-71,-87,-200,-200,-200,-200,-90,-200,-82,-87,-91,-78,-200
1526465151507,-40,-51,-41,-57,-54,-58,-70,-66,-54,-68,-70,-61,-75,-74,-76,-77,-67,-71,-73,-70,-63,-74,-70,-74,-90,-82,-65,-79,-200,-88,-74,-88,-90,-87,-74,-200,-81,-200,-200,-200,-77,-88,-200,-200,-76,-85,-84,-71,-87,-200,-200,-200,-200,-90,-200,-82,-87,-91,-78,-200
1526465154554,-37,-51,-57,-57,-49,-57,-62,-72,-56,-69,-63,-65,-68,-74,-69,-69,-72,-200,-63,-71,-64,-75,-63,-69,-82,-77,-63,-77,-200,-88,-73,-75,-84,-87,-76,-200,-200,-200,-200,-200,-77,-200,-200,-200,-72,-79,-200,-80,-87,-200,-200,-200,-200,-200,-200,-200,-77,-200,-87,-91
