,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526451701607,-49,-54,-58,-51,-60,-62,-63,-63,-71,-62,-64,-69,-68,-73,-75,-67,-75,-84,-68,-83,-90,-68,-85,-76,-76,-76,-73,-71,-200,-73,-76,-200,-82,-85,-87,-90,-200,-200,-200,-76,-87,-84,-200,-89,-200,-200,-89,-85,-200,-91,-90,-86,-200,-78,-84,-200,-87,-91,-200,-200,-82,-200,-81,-87,-90,-92,-200,-200,-200,-200,-200
1526451704619,-50,-54,-57,-50,-66,-60,-70,-61,-68,-66,-64,-62,-67,-73,-73,-69,-75,-76,-64,-83,-79,-72,-85,-76,-79,-74,-73,-77,-80,-73,-76,-200,-88,-85,-87,-86,-86,-200,-200,-77,-200,-84,-200,-91,-200,-200,-89,-85,-200,-91,-90,-87,-200,-78,-81,-200,-88,-90,-200,-200,-81,-200,-200,-87,-90,-92,-87,-200,-200,-200,-200
1526451707652,-49,-49,-62,-51,-64,-61,-60,-63,-67,-64,-66,-63,-68,-79,-79,-68,-75,-78,-65,-200,-82,-72,-85,-79,-76,-76,-76,-77,-80,-200,-76,-200,-86,-84,-87,-86,-86,-200,-200,-77,-200,-88,-200,-91,-200,-200,-89,-80,-200,-91,-200,-86,-200,-84,-84,-200,-88,-90,-200,-200,-81,-88,-200,-87,-200,-92,-87,-88,-200,-200,-200
1526451710670,-48,-52,-64,-47,-62,-62,-60,-63,-66,-65,-66,-62,-67,-76,-78,-71,-72,-76,-67,-200,-86,-70,-200,-79,-78,-74,-82,-72,-84,-76,-77,-200,-84,-83,-200,-89,-86,-200,-200,-76,-200,-82,-200,-91,-200,-200,-89,-80,-73,-91,-200,-86,-200,-84,-82,-200,-91,-90,-200,-200,-81,-88,-200,-87,-200,-92,-87,-88,-87,-200,-200
1526451713682,-48,-51,-62,-49,-63,-61,-60,-63,-67,-68,-66,-62,-67,-72,-78,-72,-72,-75,-68,-200,-86,-70,-200,-79,-78,-77,-83,-74,-84,-73,-76,-200,-84,-82,-200,-89,-86,-200,-200,-78,-200,-84,-200,-91,-200,-200,-200,-84,-73,-200,-200,-86,-200,-84,-82,-200,-91,-90,-200,-200,-81,-88,-84,-200,-90,-200,-87,-88,-87,-200,-200
1526451716708,-49,-52,-62,-48,-62,-59,-57,-65,-67,-69,-62,-62,-69,-72,-78,-71,-73,-63,-70,-200,-89,-73,-76,-74,-76,-75,-77,-73,-87,-73,-76,-200,-84,-82,-200,-89,-200,-200,-200,-78,-200,-84,-200,-89,-200,-200,-200,-84,-79,-200,-88,-87,-200,-84,-82,-85,-88,-89,-200,-200,-80,-87,-84,-200,-90,-200,-200,-88,-87,-200,-200
1526451719742,-49,-49,-49,-51,-64,-56,-53,-60,-66,-64,-63,-63,-71,-75,-78,-71,-72,-72,-70,-83,-89,-70,-76,-74,-72,-76,-77,-73,-87,-81,-76,-200,-81,-77,-200,-90,-200,-200,-86,-78,-200,-84,-87,-89,-200,-200,-200,-83,-79,-200,-88,-92,-200,-75,-82,-85,-88,-89,-200,-200,-80,-89,-83,-85,-90,-200,-200,-200,-87,-89,-200
1526451722752,-51,-50,-63,-49,-64,-58,-53,-65,-69,-67,-59,-60,-70,-73,-69,-70,-72,-67,-66,-83,-84,-70,-76,-74,-75,-75,-75,-74,-87,-81,-79,-200,-80,-78,-200,-90,-200,-200,-86,-75,-200,-86,-87,-89,-200,-200,-200,-84,-79,-90,-88,-87,-200,-75,-82,-85,-88,-89,-200,-200,-80,-89,-83,-85,-90,-92,-200,-200,-200,-89,-75
1526451725764,-46,-48,-63,-51,-64,-61,-62,-62,-64,-66,-62,-60,-70,-73,-78,-69,-70,-67,-69,-83,-88,-62,-76,-74,-75,-74,-74,-71,-86,-79,-79,-200,-83,-78,-200,-89,-200,-200,-86,-75,-87,-86,-87,-89,-200,-200,-200,-84,-79,-90,-88,-87,-200,-75,-82,-85,-90,-91,-200,-200,-77,-88,-83,-85,-90,-92,-200,-200,-200,-89,-75
1526451728799,-49,-51,-63,-50,-60,-59,-56,-64,-63,-65,-62,-66,-71,-73,-83,-70,-67,-74,-67,-82,-87,-68,-82,-74,-73,-76,-77,-71,-86,-80,-80,-82,-81,-78,-200,-89,-84,-84,-83,-75,-85,-88,-200,-200,-200,-200,-200,-76,-200,-90,-88,-87,-200,-77,-200,-200,-86,-91,-86,-89,-77,-88,-79,-200,-90,-92,-200,-92,-200,-91,-75
1526451731834,-48,-48,-61,-50,-57,-62,-54,-49,-63,-66,-62,-62,-65,-77,-73,-69,-77,-64,-69,-82,-85,-68,-82,-74,-73,-75,-77,-72,-86,-77,-81,-82,-82,-79,-86,-89,-84,-84,-84,-76,-85,-88,-200,-200,-200,-200,-200,-76,-75,-89,-200,-87,-200,-77,-200,-200,-86,-91,-84,-89,-77,-87,-78,-200,-90,-200,-200,-92,-200,-91,-200
1526451734856,-48,-54,-62,-49,-61,-56,-57,-63,-66,-63,-62,-64,-68,-77,-76,-71,-70,-75,-68,-82,-74,-67,-82,-75,-72,-74,-79,-70,-85,-77,-81,-85,-82,-85,-86,-91,-86,-84,-84,-76,-86,-88,-200,-91,-200,-200,-200,-82,-75,-89,-86,-87,-200,-77,-82,-200,-88,-92,-84,-89,-200,-87,-78,-200,-90,-200,-87,-92,-200,-91,-200
