,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458508938,-44,-41,-53,-45,-72,-63,-56,-50,-59,-74,-66,-75,-67,-62,-69,-68,-68,-200,-200,-75,-68,-70,-78,-70,-200,-58,-75,-200,-200,-83,-69,-83,-200,-70,-200,-200,-200,-200,-85,-77,-200,-77,-75,-200,-200,-200,-200,-82,-80,-85,-92,-200,-200,-200,-200,-200
1526458511974,-48,-44,-52,-45,-68,-63,-56,-48,-59,-72,-66,-75,-63,-62,-69,-70,-68,-200,-68,-75,-70,-60,-83,-72,-84,-60,-74,-200,-200,-83,-68,-83,-80,-70,-200,-82,-87,-200,-82,-79,-78,-77,-78,-200,-200,-200,-91,-82,-80,-85,-92,-86,-200,-200,-200,-200
1526458515018,-48,-44,-52,-45,-68,-63,-56,-48,-59,-72,-66,-75,-63,-62,-69,-70,-68,-200,-68,-75,-70,-60,-83,-72,-84,-60,-74,-200,-200,-83,-68,-83,-80,-70,-200,-82,-87,-200,-82,-79,-78,-77,-78,-200,-200,-200,-91,-82,-80,-85,-92,-86,-200,-200,-200,-200
1526458518054,-48,-44,-52,-45,-68,-63,-56,-48,-59,-72,-66,-75,-63,-62,-69,-70,-68,-200,-68,-75,-70,-60,-83,-72,-84,-60,-74,-200,-200,-83,-68,-83,-80,-70,-200,-82,-87,-200,-82,-79,-78,-77,-78,-200,-200,-200,-91,-82,-80,-85,-92,-86,-200,-200,-200,-200
1526458521099,-45,-41,-56,-47,-69,-63,-59,-49,-63,-73,-66,-74,-65,-63,-74,-70,-67,-200,-67,-68,-77,-64,-81,-81,-84,-57,-74,-72,-200,-76,-68,-200,-83,-200,-88,-82,-87,-78,-80,-79,-76,-76,-78,-87,-200,-91,-91,-82,-76,-200,-200,-86,-93,-200,-200,-200
1526458524146,-43,-41,-56,-46,-69,-63,-59,-49,-59,-74,-64,-74,-65,-61,-74,-70,-67,-200,-67,-68,-69,-64,-81,-71,-84,-57,-73,-72,-200,-80,-68,-200,-83,-67,-88,-80,-87,-78,-80,-79,-76,-76,-78,-87,-200,-91,-91,-82,-76,-200,-200,-86,-93,-87,-91,-200
1526458527196,-43,-41,-56,-46,-69,-63,-59,-49,-59,-74,-64,-74,-65,-61,-74,-70,-67,-200,-67,-68,-69,-64,-81,-71,-84,-57,-73,-72,-200,-80,-68,-200,-83,-67,-88,-80,-87,-78,-80,-79,-76,-76,-78,-87,-200,-91,-91,-82,-76,-200,-200,-86,-93,-87,-91,-200
1526458530248,-43,-41,-56,-46,-69,-63,-59,-49,-59,-74,-64,-74,-65,-61,-74,-70,-67,-200,-67,-68,-69,-64,-81,-71,-84,-57,-73,-72,-200,-80,-68,-200,-83,-67,-88,-80,-87,-78,-80,-79,-76,-76,-78,-87,-200,-91,-91,-82,-76,-200,-200,-86,-93,-87,-91,-200
1526458533289,-46,-43,-54,-46,-66,-64,-61,-49,-59,-71,-65,-74,-65,-61,-72,-200,-66,-200,-68,-200,-78,-63,-200,-70,-200,-57,-74,-75,-200,-80,-75,-200,-81,-67,-88,-80,-200,-77,-200,-78,-200,-79,-200,-88,-200,-200,-200,-200,-77,-200,-200,-200,-200,-87,-91,-87
1526458536328,-46,-41,-56,-46,-66,-64,-61,-48,-56,-74,-65,-74,-65,-60,-72,-200,-68,-200,-68,-200,-70,-59,-200,-69,-200,-57,-77,-74,-200,-75,-68,-84,-81,-74,-88,-80,-200,-77,-200,-78,-200,-79,-79,-88,-200,-200,-200,-200,-77,-200,-200,-86,-200,-87,-91,-87
1526458539369,-46,-41,-56,-46,-66,-64,-61,-48,-56,-74,-65,-74,-65,-60,-72,-200,-68,-200,-68,-200,-70,-59,-200,-69,-200,-57,-77,-74,-200,-75,-68,-84,-81,-74,-88,-80,-200,-77,-200,-78,-200,-79,-79,-88,-200,-200,-200,-200,-77,-200,-200,-86,-200,-87,-91,-87
1526458542409,-46,-41,-56,-46,-66,-64,-61,-48,-56,-74,-65,-74,-65,-60,-72,-200,-68,-200,-68,-200,-70,-59,-200,-69,-200,-57,-77,-74,-200,-75,-68,-84,-81,-74,-88,-80,-200,-77,-200,-78,-200,-79,-79,-88,-200,-200,-200,-200,-77,-200,-200,-86,-200,-87,-91,-87
