,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450518373,-80,-200,-200,-86,-77,-200,-79,-200,-79,-74,-200,-73,-200,-82,-92,-77,-200,-200,-200,-200,-72,-200,-92,-200,-200,-92,-200,-200,-200,-200,-75,-200,-84,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450520561,-200,-200,-82,-84,-79,-200,-84,-200,-200,-200,-200,-87,-200,-200,-200,-72,-200,-81,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-83,-200,-200,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526450520707,-75,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-84,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526450521759,-70,-84,-200,-83,-200,-200,-200,-200,-200,-200,-200,-79,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450522869,-200,-200,-63,-200,-82,-200,-200,-200,-81,-72,-200,-71,-88,-83,-200,-200,-200,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-78,-200,-84,-79,-200,-200,-200,-200,-200,-200,-200,-90,-93,-200,-200,-200,-200,-200
1526450523996,-200,-86,-200,-200,-200,-200,-86,-200,-200,-200,-90,-74,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450525040,-200,-200,-200,-87,-78,-90,-73,-200,-200,-77,-86,-75,-200,-88,-200,-200,-200,-200,-200,-86,-72,-200,-90,-200,-200,-200,-200,-200,-84,-200,-73,-200,-86,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526450526166,-200,-89,-76,-90,-200,-200,-200,-200,-200,-73,-200,-200,-81,-79,-200,-71,-200,-200,-200,-200,-75,-200,-200,-82,-90,-200,-93,-200,-200,-96,-74,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450528372,-70,-81,-200,-200,-200,-200,-83,-200,-200,-200,-87,-200,-200,-84,-200,-200,-90,-91,-87,-200,-71,-200,-200,-200,-200,-200,-200,-200,-81,-200,-73,-200,-80,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526450530577,-70,-200,-67,-200,-79,-200,-72,-200,-77,-200,-200,-200,-88,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-86,-200,-76,-200,-200,-94,-200,-200,-200,-88,-200,-92,-84,-200,-200,-200,-200
1526450531754,-68,-200,-67,-88,-80,-200,-80,-200,-79,-200,-200,-200,-200,-200,-91,-67,-200,-200,-85,-83,-200,-200,-200,-85,-200,-200,-200,-200,-200,-86,-76,-200,-81,-200,-200,-200,-200,-88,-200,-200,-200,-92,-200,-200,-200
1526450533949,-72,-85,-200,-200,-80,-200,-200,-200,-200,-79,-200,-71,-200,-200,-92,-67,-89,-200,-200,-200,-75,-90,-86,-200,-200,-200,-95,-80,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526450535129,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-85,-82,-200,-200,-71,-200,-200,-200,-200,-200,-94,-83,-81,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450538351,-200,-84,-200,-200,-200,-90,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-95,-86,-200,-82,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526450539449,-200,-200,-70,-200,-78,-200,-200,-200,-200,-75,-200,-200,-200,-82,-200,-200,-82,-200,-88,-82,-71,-200,-200,-200,-200,-200,-91,-200,-200,-200,-70,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526450540546,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-96,-200,-200,-200,-200,-88,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450540650,-200,-200,-200,-200,-200,-200,-73,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-78,-200,-200,-200,-88,-96,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526450541755,-200,-200,-68,-85,-200,-200,-200,-200,-75,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450542861,-200,-82,-200,-200,-200,-200,-85,-200,-79,-200,-200,-200,-200,-80,-200,-68,-200,-85,-200,-200,-72,-200,-88,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526450543935,-200,-200,-200,-87,-200,-200,-75,-200,-200,-72,-200,-72,-200,-84,-200,-64,-84,-200,-200,-200,-70,-73,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-93,-200,-200,-200,-86,-200,-200,-200,-93,-200,-200,-200
1526450545103,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450546148,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-72,-200,-200,-200,-72,-94,-200,-200,-200,-78,-87,-200,-200,-96,-200,-92,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526450547256,-81,-86,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-92,-63,-200,-200,-200,-200,-91,-77,-200,-91,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450548341,-83,-88,-200,-200,-200,-200,-78,-200,-200,-200,-200,-73,-84,-200,-200,-200,-88,-200,-200,-82,-200,-200,-92,-200,-200,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526450549462,-200,-200,-200,-200,-80,-200,-200,-200,-74,-200,-200,-200,-200,-86,-200,-67,-200,-200,-200,-88,-200,-200,-200,-82,-200,-200,-200,-86,-200,-90,-82,-200,-200,-200,-91,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526450550577,-200,-200,-73,-200,-86,-200,-75,-200,-200,-200,-81,-75,-79,-200,-200,-71,-200,-200,-200,-200,-200,-85,-200,-90,-200,-200,-200,-200,-200,-78,-79,-200,-200,-200,-200,-200,-200,-88,-200,-200,-82,-200,-200,-200,-200
1526450551786,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-82,-76,-200,-92,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450552862,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-76,-200,-200,-200,-200,-200,-85,-200,-200,-200,-81,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-94,-200,-200,-200,-80,-200,-200,-84,-200,-94,-200,-200
1526450553961,-66,-200,-200,-86,-81,-200,-73,-200,-200,-70,-200,-68,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450555071,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-81,-200,-62,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526450556163,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-80,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526450557280,-200,-200,-200,-200,-82,-92,-200,-91,-200,-70,-200,-75,-200,-200,-200,-62,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-74,-200,-75,-200,-200,-85,-101,-200,-200,-200,-82,-200,-200,-82,-200,-200,-200,-200
1526450558373,-71,-200,-200,-200,-81,-200,-200,-200,-200,-70,-82,-200,-200,-200,-200,-62,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526450559436,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-83,-72,-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-93,-200
1526450560556,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-74,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450560651,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-81,-200,-200,-84,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526450560755,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-64,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526450561807,-200,-200,-84,-200,-84,-200,-200,-200,-200,-72,-200,-74,-200,-200,-200,-61,-90,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450563968,-68,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-73,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-93,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526450565060,-200,-200,-200,-200,-82,-200,-200,-200,-86,-200,-200,-200,-200,-82,-200,-61,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200
1526450566177,-200,-86,-200,-94,-200,-200,-200,-200,-200,-200,-200,-72,-80,-200,-200,-200,-93,-90,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-83,-200,-93,-83,-200,-200,-200,-200
1526450567293,-200,-200,-72,-200,-200,-200,-200,-200,-85,-67,-200,-75,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-90,-84,-200,-200,-200,-75,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200
1526450568444,-68,-200,-200,-94,-200,-200,-84,-200,-200,-200,-200,-81,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93
1526450569490,-200,-200,-200,-200,-200,-200,-80,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200
1526450570581,-200,-76,-77,-85,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-81,-200,-200,-200,-70,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92
1526450570692,-68,-86,-200,-200,-79,-200,-200,-200,-78,-200,-200,-72,-75,-200,-200,-62,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-86,-200,-200,-75,-200,-200,-96,-200,-200,-200,-200,-200,-92,-80,-200,-200,-200,-200
1526450572861,-200,-200,-73,-200,-79,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
