,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A20,DLINK_D02A30,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526461666991,-30,-44,-48,-49,-46,-57,-51,-53,-52,-60,-56,-73,-59,-61,-71,-74,-68,-80,-66,-67,-79,-66,-77,-69,-67,-76,-67,-65,-77,-63,-59,-71,-60,-72,-59,-87,-81,-77,-66,-67,-65,-90,-200,-200,-70,-78,-74,-79,-81,-63,-200,-83,-200,-81,-80,-200,-86,-200,-200,-86,-200,-93,-91,-200,-200,-200,-200,-82,-84,-94,-200,-82,-88,-89,-92,-200,-88,-92,-200,-200,-200,-91,-200,-200,-92,-91,-200,-200,-200,-89,-200,-67,-84,-88,-200,-200,-86,-200,-200,-200,-86,-92,-200,-93,-96,-97,-200,-200,-200,-200,-200
1526461670038,-39,-40,-48,-44,-43,-54,-46,-48,-54,-53,-56,-200,-59,-57,-70,-66,-75,-77,-66,-73,-77,-68,-73,-62,-68,-76,-69,-65,-77,-67,-61,-75,-73,-72,-59,-87,-82,-86,-73,-67,-67,-200,-200,-200,-70,-78,-77,-74,-82,-62,-200,-79,-200,-81,-80,-200,-82,-200,-200,-85,-200,-92,-87,-200,-200,-200,-200,-82,-85,-90,-200,-88,-88,-91,-92,-200,-88,-92,-200,-200,-200,-95,-200,-200,-93,-91,-200,-98,-200,-88,-200,-74,-84,-88,-200,-200,-86,-81,-200,-82,-200,-92,-200,-82,-96,-97,-200,-200,-200,-200,-200
1526461673093,-33,-43,-35,-47,-46,-55,-52,-51,-50,-52,-60,-200,-61,-66,-66,-66,-69,-77,-64,-64,-76,-66,-73,-55,-65,-76,-69,-62,-77,-67,-61,-69,-76,-76,-57,-87,-82,-78,-68,-76,-67,-200,-87,-200,-71,-78,-77,-80,-82,-62,-82,-79,-200,-81,-80,-200,-85,-82,-200,-85,-84,-92,-83,-200,-200,-200,-200,-82,-93,-95,-200,-88,-88,-88,-92,-200,-200,-89,-200,-200,-200,-92,-200,-200,-93,-200,-200,-98,-94,-92,-200,-76,-87,-88,-200,-200,-86,-81,-200,-82,-200,-92,-200,-82,-96,-97,-200,-200,-200,-200,-200
1526461676146,-29,-41,-44,-48,-47,-53,-46,-47,-50,-53,-58,-200,-64,-64,-67,-68,-68,-77,-68,-66,-76,-66,-74,-55,-74,-71,-69,-62,-77,-73,-65,-74,-74,-79,-55,-87,-78,-77,-70,-77,-69,-200,-87,-76,-70,-200,-76,-78,-82,-64,-82,-79,-200,-200,-200,-200,-85,-83,-200,-85,-84,-93,-83,-200,-200,-200,-94,-200,-89,-95,-200,-88,-89,-88,-92,-200,-200,-87,-200,-200,-200,-93,-200,-200,-93,-92,-200,-98,-94,-92,-92,-76,-87,-200,-84,-200,-82,-81,-200,-82,-92,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526461679192,-25,-44,-42,-49,-52,-53,-52,-49,-51,-57,-66,-200,-64,-68,-74,-69,-68,-83,-66,-66,-71,-71,-72,-58,-69,-71,-200,-62,-77,-65,-61,-73,-71,-79,-55,-85,-76,-73,-70,-79,-67,-90,-92,-76,-71,-200,-75,-76,-76,-65,-82,-85,-200,-78,-79,-200,-85,-83,-200,-87,-84,-94,-83,-200,-200,-200,-94,-200,-89,-95,-200,-85,-86,-88,-92,-200,-200,-88,-200,-200,-200,-91,-200,-94,-200,-96,-200,-200,-93,-92,-92,-76,-82,-200,-84,-200,-82,-200,-200,-78,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461682240,-25,-43,-44,-46,-50,-56,-52,-49,-48,-52,-60,-200,-60,-59,-65,-69,-79,-83,-67,-66,-71,-66,-72,-59,-65,-76,-200,-62,-79,-62,-59,-73,-71,-79,-57,-75,-77,-81,-67,-76,-69,-90,-92,-76,-70,-79,-78,-79,-78,-64,-200,-81,-200,-78,-76,-200,-200,-83,-200,-87,-200,-93,-85,-200,-200,-92,-94,-200,-89,-200,-200,-85,-88,-90,-92,-200,-86,-88,-200,-200,-200,-92,-200,-94,-200,-94,-200,-99,-93,-92,-91,-72,-85,-200,-84,-200,-82,-93,-200,-82,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461685286,-32,-45,-45,-49,-50,-52,-46,-48,-50,-52,-58,-200,-53,-68,-66,-68,-68,-83,-62,-67,-75,-69,-76,-60,-67,-76,-200,-60,-79,-62,-58,-71,-75,-72,-56,-75,-79,-75,-76,-75,-67,-90,-87,-200,-72,-79,-80,-79,-77,-63,-200,-81,-200,-78,-79,-200,-200,-82,-200,-87,-82,-91,-83,-200,-200,-92,-94,-83,-87,-200,-200,-85,-87,-92,-94,-200,-86,-90,-200,-200,-200,-92,-200,-94,-200,-94,-200,-99,-93,-94,-91,-72,-85,-200,-83,-200,-200,-93,-200,-82,-91,-200,-200,-200,-200,-200,-83,-97,-200,-200,-200
1526461688337,-33,-43,-42,-49,-52,-56,-53,-50,-50,-55,-62,-82,-61,-61,-71,-69,-61,-80,-67,-66,-73,-69,-68,-60,-70,-72,-200,-66,-79,-62,-65,-74,-77,-70,-56,-84,-81,-71,-69,-77,-67,-200,-87,-200,-73,-79,-80,-76,-79,-64,-200,-80,-200,-76,-80,-200,-200,-82,-200,-200,-82,-93,-83,-200,-200,-92,-200,-83,-87,-91,-200,-200,-86,-85,-94,-200,-86,-91,-200,-200,-200,-92,-200,-200,-200,-90,-200,-99,-94,-92,-91,-75,-83,-200,-83,-200,-87,-93,-200,-82,-200,-200,-200,-200,-200,-200,-83,-96,-200,-200,-200
1526461691379,-32,-41,-44,-49,-52,-50,-51,-51,-51,-58,-64,-79,-62,-62,-71,-70,-68,-80,-65,-69,-73,-69,-74,-60,-65,-69,-200,-65,-200,-71,-54,-72,-75,-74,-57,-86,-78,-71,-69,-82,-68,-200,-88,-200,-71,-79,-57,-76,-77,-63,-200,-81,-200,-76,-80,-200,-84,-82,-200,-200,-82,-93,-83,-200,-200,-200,-200,-83,-90,-91,-200,-200,-87,-85,-91,-200,-200,-88,-200,-200,-200,-89,-200,-200,-200,-95,-200,-200,-94,-92,-91,-75,-83,-200,-83,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-96,-93,-95,-200
1526461694426,-25,-46,-43,-50,-52,-56,-45,-51,-48,-53,-63,-74,-59,-69,-69,-69,-68,-80,-60,-64,-72,-68,-73,-67,-68,-75,-200,-66,-81,-72,-60,-75,-76,-74,-56,-85,-79,-70,-72,-81,-66,-90,-88,-200,-72,-78,-74,-76,-78,-64,-200,-81,-200,-76,-80,-200,-84,-200,-200,-200,-200,-93,-86,-200,-200,-200,-200,-82,-88,-91,-200,-200,-87,-90,-90,-200,-200,-90,-200,-92,-200,-89,-200,-200,-200,-92,-200,-200,-94,-90,-91,-75,-86,-89,-92,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-96,-93,-95,-93
1526461697479,-30,-38,-43,-48,-51,-56,-52,-50,-50,-58,-63,-74,-61,-65,-69,-69,-68,-200,-67,-69,-71,-71,-68,-60,-68,-69,-200,-72,-74,-72,-57,-74,-70,-72,-56,-85,-79,-73,-70,-78,-70,-94,-88,-200,-75,-78,-64,-78,-77,-63,-200,-83,-200,-78,-78,-200,-84,-200,-200,-92,-200,-93,-86,-200,-200,-200,-200,-82,-91,-200,-200,-200,-87,-87,-91,-96,-86,-90,-200,-92,-200,-93,-200,-200,-92,-92,-200,-200,-94,-90,-91,-200,-86,-89,-92,-200,-87,-200,-200,-83,-89,-200,-200,-200,-200,-200,-85,-200,-93,-95,-95
1526461700526,-26,-31,-43,-47,-52,-53,-45,-50,-49,-56,-63,-66,-60,-62,-70,-69,-71,-82,-67,-66,-71,-71,-68,-60,-71,-73,-200,-72,-74,-71,-59,-71,-74,-72,-57,-84,-79,-73,-72,-77,-66,-94,-86,-76,-75,-78,-64,-79,-77,-62,-200,-80,-200,-78,-79,-200,-85,-83,-98,-89,-200,-94,-86,-200,-200,-200,-96,-83,-88,-200,-200,-200,-86,-90,-91,-96,-86,-88,-200,-92,-200,-92,-200,-200,-92,-92,-200,-200,-94,-91,-91,-77,-86,-89,-92,-200,-83,-200,-200,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
