,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526465580938,-32,-58,-45,-40,-41,-53,-49,-52,-41,-55,-57,-63,-52,-67,-64,-71,-56,-65,-69,-65,-71,-73,-70,-63,-80,-79,-81,-74,-82,-77,-82,-73,-82,-82,-61,-89,-79,-80,-73,-81,-87,-200,-62,-60,-86,-77,-76,-74,-200,-200,-200,-74,-88,-87,-86,-79,-78,-200,-76,-89,-200,-200,-87,-90,-91,-91,-88,-74,-79,-81,-200,-84,-86,-86,-89,-90,-91,-89,-90,-88,-88,-81,-82,-84,-90,-85,-86,-89,-200,-92,-88,-76,-83,-88,-90,-200,-200,-200,-200,-200
1526465583988,-32,-49,-46,-37,-40,-53,-51,-51,-41,-53,-67,-61,-44,-60,-68,-66,-57,-63,-69,-65,-71,-73,-71,-65,-81,-79,-82,-69,-82,-77,-82,-73,-73,-82,-64,-200,-79,-81,-73,-81,-87,-200,-67,-59,-87,-81,-75,-74,-200,-200,-200,-74,-88,-86,-86,-79,-79,-200,-75,-88,-200,-200,-87,-90,-91,-91,-85,-74,-79,-82,-200,-84,-86,-86,-89,-90,-91,-88,-90,-87,-91,-81,-82,-84,-89,-85,-200,-84,-200,-92,-88,-76,-83,-88,-90,-89,-200,-200,-200,-200
1526465587031,-33,-51,-48,-41,-38,-54,-51,-47,-42,-53,-57,-62,-51,-60,-66,-61,-62,-63,-68,-64,-70,-69,-70,-62,-81,-200,-83,-69,-82,-78,-82,-71,-73,-200,-64,-200,-80,-82,-78,-79,-87,-89,-66,-57,-87,-81,-76,-77,-200,-200,-200,-74,-88,-86,-86,-83,-79,-200,-76,-84,-200,-89,-89,-90,-200,-91,-86,-80,-77,-81,-200,-85,-84,-86,-89,-89,-91,-87,-88,-87,-88,-80,-82,-83,-89,-87,-200,-84,-200,-92,-90,-200,-83,-88,-90,-89,-200,-200,-200,-200
1526465590071,-30,-49,-48,-17,-39,-54,-51,-52,-41,-53,-66,-63,-52,-59,-67,-63,-56,-65,-68,-65,-71,-73,-71,-63,-83,-200,-83,-75,-82,-78,-200,-71,-73,-200,-63,-200,-78,-82,-76,-81,-200,-89,-69,-62,-84,-78,-79,-73,-200,-200,-200,-72,-200,-87,-200,-81,-82,-200,-76,-84,-200,-89,-89,-90,-88,-93,-87,-80,-77,-84,-200,-85,-84,-86,-89,-89,-91,-91,-88,-92,-88,-80,-200,-83,-89,-88,-200,-84,-200,-200,-90,-200,-83,-200,-90,-89,-90,-200,-200,-200
1526465593117,-31,-49,-47,-40,-40,-55,-50,-55,-38,-54,-58,-57,-50,-61,-67,-63,-61,-63,-68,-64,-71,-73,-70,-64,-80,-200,-80,-72,-82,-78,-200,-74,-73,-200,-64,-200,-77,-82,-73,-81,-200,-89,-67,-59,-87,-78,-76,-72,-200,-200,-200,-72,-83,-88,-200,-80,-78,-200,-75,-84,-200,-89,-89,-200,-88,-93,-84,-80,-77,-83,-83,-85,-84,-85,-89,-88,-91,-91,-88,-92,-91,-83,-73,-84,-89,-88,-87,-84,-200,-200,-90,-200,-200,-200,-88,-89,-90,-200,-200,-200
1526465596161,-14,-49,-48,-40,-41,-54,-50,-54,-40,-60,-55,-59,-50,-61,-67,-63,-57,-65,-68,-65,-71,-81,-70,-64,-84,-200,-80,-72,-78,-78,-89,-73,-200,-87,-54,-200,-79,-81,-79,-81,-200,-89,-67,-59,-85,-82,-86,-73,-200,-200,-200,-72,-83,-86,-84,-80,-78,-200,-71,-84,-200,-89,-91,-200,-88,-93,-84,-74,-77,-82,-83,-89,-84,-86,-89,-88,-200,-87,-88,-88,-90,-81,-78,-84,-200,-88,-87,-200,-200,-200,-90,-200,-200,-200,-90,-200,-90,-87,-200,-200
1526465599195,-30,-51,-50,-40,-39,-53,-50,-51,-38,-53,-55,-59,-51,-59,-71,-63,-56,-65,-69,-62,-72,-73,-70,-62,-80,-200,-83,-70,-83,-78,-79,-73,-200,-86,-64,-92,-79,-81,-74,-81,-200,-90,-67,-60,-86,-76,-79,-78,-200,-200,-200,-72,-83,-86,-84,-78,-78,-200,-76,-200,-87,-200,-89,-200,-88,-93,-89,-73,-77,-83,-83,-89,-83,-87,-86,-88,-200,-87,-200,-88,-87,-82,-76,-84,-87,-88,-87,-200,-200,-200,-200,-200,-200,-200,-90,-200,-90,-87,-87,-200
1526465602231,-14,-51,-53,-38,-39,-54,-51,-53,-41,-53,-60,-60,-50,-61,-65,-66,-56,-65,-69,-63,-71,-73,-70,-62,-80,-200,-83,-73,-83,-78,-79,-70,-200,-86,-63,-92,-79,-80,-72,-80,-88,-90,-67,-60,-85,-78,-79,-79,-200,-200,-200,-74,-83,-86,-84,-80,-79,-200,-75,-200,-87,-200,-89,-200,-91,-200,-89,-73,-77,-81,-89,-89,-83,-87,-86,-88,-89,-87,-200,-88,-91,-82,-76,-79,-87,-200,-87,-83,-200,-200,-86,-77,-200,-200,-90,-200,-200,-87,-87,-89
1526465605274,-37,-57,-47,-40,-41,-54,-51,-62,-41,-55,-67,-61,-51,-63,-66,-63,-70,-63,-68,-63,-71,-74,-70,-70,-81,-200,-88,-75,-86,-78,-79,-70,-200,-84,-64,-89,-78,-79,-74,-81,-88,-90,-67,-61,-86,-76,-75,-84,-85,-200,-200,-74,-88,-86,-200,-80,-79,-200,-75,-200,-89,-200,-90,-200,-91,-200,-87,-81,-77,-82,-89,-200,-80,-88,-88,-91,-91,-85,-90,-88,-88,-82,-78,-79,-87,-87,-88,-85,-200,-200,-90,-77,-87,-200,-88,-200,-200,-200,-87,-89
1526465608312,-31,-48,-48,-36,-40,-53,-51,-52,-38,-54,-66,-63,-49,-59,-66,-63,-56,-65,-69,-63,-71,-74,-70,-64,-82,-200,-83,-74,-86,-74,-83,-74,-81,-84,-63,-89,-81,-78,-74,-81,-88,-200,-66,-61,-85,-79,-79,-77,-85,-200,-200,-74,-88,-85,-86,-79,-79,-200,-75,-200,-89,-200,-90,-84,-91,-92,-86,-81,-79,-81,-89,-86,-81,-88,-88,-91,-89,-88,-90,-88,-88,-84,-78,-83,-89,-87,-88,-82,-200,-200,-90,-77,-87,-88,-91,-200,-200,-200,-200,-89
1526465611350,-31,-47,-47,-36,-38,-52,-49,-53,-40,-54,-65,-59,-51,-61,-67,-63,-56,-65,-65,-65,-71,-72,-70,-62,-81,-81,-82,-72,-83,-77,-83,-73,-81,-84,-63,-89,-79,-81,-73,-81,-200,-200,-66,-57,-85,-78,-75,-72,-85,-200,-200,-73,-88,-85,-86,-79,-79,-200,-75,-200,-89,-200,-90,-84,-200,-92,-88,-81,-74,-81,-200,-86,-82,-86,-87,-89,-89,-88,-90,-89,-88,-81,-78,-83,-89,-87,-88,-82,-200,-90,-88,-76,-87,-88,-91,-200,-200,-200,-200,-200
1526465614391,-31,-47,-48,-39,-41,-54,-53,-52,-49,-53,-58,-60,-51,-59,-67,-63,-56,-65,-69,-63,-72,-73,-70,-63,-81,-81,-83,-72,-82,-77,-83,-73,-81,-200,-62,-200,-78,-83,-75,-82,-87,-200,-66,-60,-85,-77,-77,-73,-200,-200,-200,-73,-200,-85,-86,-81,-79,-200,-69,-200,-83,-200,-89,-84,-200,-92,-88,-200,-74,-81,-200,-86,-82,-86,-87,-92,-89,-91,-90,-88,-89,-81,-82,-80,-89,-200,-200,-85,-200,-90,-88,-76,-86,-88,-91,-200,-200,-200,-200,-200
